"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","7,206","7,206","7,245","7,094","1.95M","0.50%"
"03/26/2026","7,170","7,176","7,218","7,091","1.39M","-0.77%"
"03/25/2026","7,226","7,050","7,226","7,020","2.03M","3.29%"
"03/24/2026","6,996","6,957","7,023","6,839","2.19M","1.11%"
"03/23/2026","6,919","7,024","7,142","6,868","3.40M","-0.30%"
"03/20/2026","6,940","7,000","7,248","6,940","7.01M","-1.88%"
"03/19/2026","7,073","7,175","7,236","7,006","5.97M","-1.86%"
"03/18/2026","7,207","7,306","7,407","7,207","2.10M","-1.38%"
"03/17/2026","7,308","7,275","7,348","7,187","2.39M","0.32%"
"03/16/2026","7,285","7,249","7,420","7,230","3.31M","0.41%"
"03/13/2026","7,255","7,289","7,360","7,117","2.36M","0.76%"
"03/12/2026","7,200","7,230","7,290","7,057","4.09M","-0.26%"
"03/11/2026","7,219","7,161","7,249","7,010","3.45M","4.87%"
"03/10/2026","6,884","6,893","7,135","6,868","4.61M","1.04%"
"03/09/2026","6,813","6,821","6,915","6,793","2.13M","-0.73%"
"03/06/2026","6,863","7,120","7,120","6,831","3.14M","-2.04%"
"03/05/2026","7,006","7,050","7,141","6,987","2.54M","-0.51%"
"03/04/2026","7,042","6,925","7,096","6,856","2.86M","1.50%"
"03/03/2026","6,938","7,300","7,343","6,917","3.53M","-4.89%"
"03/02/2026","7,295","7,213","7,325","7,188","3.38M","-0.71%"
"02/27/2026","7,347","7,340","7,362","7,165","3.84M","1.41%"
"02/26/2026","7,245","7,400","7,520","7,000","3.25M","-1.90%"
"02/25/2026","7,385","7,500","7,517","7,353","1.94M","-2.19%"
"02/24/2026","7,550","7,550","7,623","7,510","1.28M","-1.02%"
"02/23/2026","7,628","7,550","7,693","7,550","1.58M","0.08%"
"02/20/2026","7,622","7,484","7,684","7,484","1.99M","1.71%"
"02/19/2026","7,494","7,408","7,577","7,408","1.10M","-0.61%"
"02/18/2026","7,540","7,403","7,599","7,403","1.36M","1.59%"
"02/17/2026","7,422","7,300","7,483","7,300","790.37K","-0.59%"
"02/16/2026","7,466","7,295","7,478","7,295","3.18M","2.70%"
"02/13/2026","7,270","7,351","7,422","7,270","1.35M","-1.76%"
"02/12/2026","7,400","7,333","7,459","7,302","1.71M","0.00%"
"02/11/2026","7,400","7,350","7,400","7,244","2.28M","-0.18%"
"02/10/2026","7,413","7,340","7,511","7,327","3.12M","0.42%"
"02/09/2026","7,382","7,350","7,392","7,294","2.04M","0.44%"
"02/06/2026","7,350","7,210","7,380","7,210","1.30M","0.52%"
"02/05/2026","7,312","7,425","7,425","7,101","1.58M","-0.10%"
"02/04/2026","7,319","7,323","7,392","7,172","1.59M","-0.05%"
"02/03/2026","7,323","7,350","7,420","7,267","2.38M","0.58%"
"02/02/2026","7,281","7,120","7,327","6,959","3.73M","1.96%"
"01/30/2026","7,141","6,955","7,254","6,953","3.87M","0.80%"
"01/29/2026","7,084","7,021","7,314","6,955","4.40M","1.17%"
"01/28/2026","7,002","7,120","7,120","6,948","1.79M","0.21%"
"01/27/2026","6,987","7,010","7,098","6,987","2.40M","-1.16%"
"01/26/2026","7,069","7,120","7,120","6,933","1.98M","0.44%"
"01/23/2026","7,038","7,100","7,121","6,942","3.16M","0.53%"
"01/22/2026","7,001","6,910","7,092","6,836","3.69M","1.97%"
"01/21/2026","6,866","6,850","6,945","6,813","1.65M","-0.35%"
"01/20/2026","6,890","6,955","6,955","6,821","1.57M","0.39%"
"01/19/2026","6,863","6,965","6,965","6,850","2.18M","-1.32%"
"01/16/2026","6,955","7,004","7,032","6,851","3.25M","0.80%"
"01/15/2026","6,900","6,651","6,981","6,650","5.01M","4.04%"
"01/14/2026","6,632","6,750","6,755","6,586","2.09M","-1.51%"
"01/13/2026","6,734","6,670","6,783","6,637","2.44M","0.42%"
"01/12/2026","6,706","6,950","6,950","6,697","2.22M","-3.58%"
"01/09/2026","6,955","6,950","6,965","6,880","1.73M","0.43%"
"01/08/2026","6,925","6,900","6,985","6,830","1.72M","0.68%"
"01/07/2026","6,878","7,050","7,050","6,826","2.59M","-1.80%"
"01/06/2026","7,004","7,035","7,092","6,974","1.80M","-0.13%"
"01/05/2026","7,013","7,073","7,073","6,959","1.30M","-0.95%"
"01/02/2026","7,080","7,241","7,241","6,988","1.25M","-1.20%"
"12/31/2025","7,166","7,229","7,277","7,138","394.32K","-0.64%"
"12/30/2025","7,212","7,260","7,273","7,176","1.02M","-0.40%"
"12/29/2025","7,241","7,100","7,283","7,100","661.66K","-0.33%"
"12/24/2025","7,265","7,186","7,290","7,159","267.38K","0.85%"
"12/23/2025","7,204","7,260","7,260","7,070","1.79M","0.54%"
"12/22/2025","7,165","7,160","7,220","7,100","1.12M","0.03%"
"12/19/2025","7,163","7,180","7,319","7,106","6.48M","-1.62%"
"12/18/2025","7,281","7,233","7,323","7,163","8.58M","1.68%"
"12/17/2025","7,161","7,020","7,226","7,020","2.07M","0.65%"
"12/15/2025","7,115","7,023","7,190","7,023","1.61M","0.44%"
"12/12/2025","7,084","7,197","7,206","7,056","1.98M","-1.06%"
"12/11/2025","7,160","7,062","7,220","7,062","2.64M","0.18%"
"12/10/2025","7,147","7,122","7,166","7,107","1.26M","-0.32%"
"12/09/2025","7,170","7,195","7,195","7,078","1.37M","1.53%"
"12/08/2025","7,062","7,300","7,300","7,062","1.20M","-2.32%"
"12/05/2025","7,230","7,205","7,309","7,181","1.29M","0.00%"
"12/04/2025","7,230","7,300","7,317","7,205","978.00K","-0.23%"
"12/03/2025","7,247","7,320","7,399","7,216","1.44M","-0.92%"
"12/02/2025","7,314","7,284","7,409","7,240","1.50M","0.40%"
"12/01/2025","7,285","7,309","7,309","7,161","2.02M","0.48%"
"11/28/2025","7,250","7,299","7,318","7,230","3.11M","0.40%"
"11/27/2025","7,221","7,489","7,489","7,221","1.76M","-2.29%"
"11/26/2025","7,390","7,315","7,473","7,315","1.65M","0.59%"
"11/25/2025","7,347","7,300","7,482","7,173","1.25M","0.74%"
"11/24/2025","7,293","7,225","7,315","7,175","5.07M","0.97%"
"11/21/2025","7,223","7,320","7,341","7,196","1.73M","-1.85%"
"11/20/2025","7,359","7,350","7,486","7,336","2.30M","-0.14%"
"11/19/2025","7,369","7,343","7,426","7,312","1.03M","0.10%"
"11/18/2025","7,362","7,388","7,486","7,359","1.32M","-1.84%"
"11/17/2025","7,500","7,450","7,527","7,296","1.70M","2.81%"
"11/14/2025","7,295","7,350","7,432","7,275","1.60M","-1.46%"
"11/13/2025","7,403","7,400","7,468","7,201","1.42M","1.90%"
"11/12/2025","7,265","7,140","7,383","7,140","2.30M","0.97%"
"11/11/2025","7,195","7,140","7,241","7,140","1.36M","0.66%"
"11/10/2025","7,148","7,070","7,203","7,027","1.24M","1.35%"
"11/07/2025","7,053","7,050","7,153","6,970","2.19M","0.01%"
"11/06/2025","7,052","7,111","7,143","7,000","4.47M","-0.16%"
"11/05/2025","7,063","7,001","7,118","6,902","5.01M","0.16%"
"11/04/2025","7,052","7,263","7,342","7,020","2.20M","-2.93%"
"11/03/2025","7,265","7,318","7,451","7,245","1.22M","-0.48%"
"10/31/2025","7,300","7,390","7,514","7,281","1.65M","-1.60%"
"10/30/2025","7,419","7,450","7,489","7,354","1.53M","0.03%"
"10/29/2025","7,417","7,576","7,576","7,400","1.37M","-1.07%"
"10/28/2025","7,497","7,520","7,642","7,456","5.31M","0.77%"
"10/27/2025","7,440","7,380","7,475","7,349","2.33M","0.88%"
"10/24/2025","7,375","7,320","7,445","7,320","2.14M","0.00%"
"10/23/2025","7,375","7,390","7,390","7,307","1.42M","-0.20%"
"10/22/2025","7,390","7,329","7,397","7,309","1.87M","1.58%"
"10/21/2025","7,275","7,450","7,450","7,269","1.71M","-0.25%"
"10/20/2025","7,293","7,290","7,406","7,272","1.19M","-0.03%"
"10/17/2025","7,295","7,369","7,369","7,257","1.82M","-0.75%"
"10/16/2025","7,350","7,499","7,499","7,258","2.87M","0.00%"
"10/15/2025","7,350","7,404","7,404","7,234","2.68M","-1.23%"
"10/14/2025","7,442","7,388","7,466","7,348","1.10M","0.28%"
"10/13/2025","7,421","7,322","7,438","7,322","981.01K","-0.03%"
"10/10/2025","7,423","7,405","7,503","7,351","1.18M","0.38%"
"10/09/2025","7,395","7,312","7,426","7,268","1.14M","0.91%"
"10/08/2025","7,328","7,377","7,455","7,268","1.42M","-1.10%"
"10/07/2025","7,410","7,444","7,476","7,385","1.93M","0.37%"
"10/06/2025","7,383","7,325","7,634","7,325","1.97M","0.15%"
"10/03/2025","7,372","7,230","7,383","7,230","1.80M","1.98%"
"10/02/2025","7,229","7,520","7,520","7,229","2.68M","-1.95%"
"10/01/2025","7,373","7,216","7,470","7,200","3.64M","2.83%"
"09/30/2025","7,170","7,157","7,187","7,053","2.91M","1.37%"
"09/29/2025","7,073","7,160","7,319","7,052","1.66M","-1.76%"
"09/26/2025","7,200","7,280","7,314","7,155","1.36M","-1.72%"
"09/25/2025","7,326","7,440","7,457","7,290","3.07M","-2.09%"
"09/23/2025","7,482","7,698","7,700","7,482","1.99M","-2.58%"
"09/22/2025","7,680","7,966","7,966","7,659","2.07M","-3.14%"
"09/19/2025","7,929","7,832","7,929","7,744","7.41M","1.14%"
"09/18/2025","7,840","7,709","7,840","7,684","5.74M","1.25%"
"09/17/2025","7,743","7,750","7,763","7,487","3.43M","1.20%"
"09/16/2025","7,651","7,750","7,819","7,596","2.57M","-1.35%"
"09/15/2025","7,756","7,450","7,867","7,400","6.04M","7.26%"
"09/12/2025","7,231","7,340","7,345","7,182","2.34M","-0.06%"
"09/11/2025","7,235","7,300","7,370","7,174","1.98M","-0.89%"
"09/10/2025","7,300","7,100","7,318","7,100","2.67M","2.01%"
"09/09/2025","7,156","7,165","7,241","7,070","6.34M","-0.96%"
"09/08/2025","7,225","7,210","7,268","7,166","4.16M","-0.15%"
"09/05/2025","7,236","7,310","7,371","7,228","3.62M","-1.30%"
"09/04/2025","7,331","7,334","7,461","7,312","2.78M","-0.12%"
"09/03/2025","7,340","7,545","7,545","7,269","3.00M","-1.54%"
"09/02/2025","7,455","7,546","7,547","7,280","4.00M","-0.86%"
"09/01/2025","7,520","7,700","7,700","7,464","2.71M","-1.00%"
"08/29/2025","7,596","7,502","7,651","7,502","4.08M","0.88%"
"08/28/2025","7,530","7,550","7,618","7,459","3.95M","0.94%"
"08/27/2025","7,460","7,599","7,599","7,213","5.58M","2.47%"
"08/26/2025","7,280","7,599","7,599","7,280","3.92M","-1.49%"
"08/25/2025","7,390","7,429","7,480","7,332","3.23M","-1.03%"
"08/22/2025","7,467","7,405","7,518","7,405","3.77M","0.23%"
"08/21/2025","7,450","7,500","7,517","7,443","2.14M","-0.40%"
"08/20/2025","7,480","7,455","7,539","7,429","2.52M","0.27%"
"08/19/2025","7,460","7,380","7,485","7,380","1.65M","0.17%"
"08/18/2025","7,447","7,500","7,610","7,446","2.82M","-0.49%"
"08/15/2025","7,484","7,400","7,537","7,400","2.01M","0.47%"
"08/14/2025","7,449","7,440","7,545","7,391","2.58M","-0.67%"
"08/13/2025","7,499","7,470","7,611","7,445","2.83M","-0.71%"
"08/12/2025","7,553","7,480","7,567","7,480","1.47M","0.32%"
"08/11/2025","7,529","7,490","7,617","7,490","1.75M","-0.67%"
"08/08/2025","7,580","7,541","7,610","7,473","1.36M","0.37%"
"08/07/2025","7,552","7,490","7,606","7,490","2.83M","0.27%"
"08/06/2025","7,532","7,452","7,601","7,452","2.78M","0.51%"
"08/05/2025","7,494","7,865","7,865","7,476","3.14M","-0.57%"
"08/04/2025","7,537","7,574","7,597","7,479","2.81M","0.78%"
"08/01/2025","7,479","7,680","7,779","7,479","2.74M","-3.18%"
"07/31/2025","7,725","7,749","7,787","7,663","3.09M","0.78%"
"07/30/2025","7,665","7,578","7,671","7,524","2.11M","0.41%"
"07/29/2025","7,634","7,621","7,800","7,579","3.11M","-0.14%"
"07/28/2025","7,645","7,631","7,819","7,631","1.88M","-0.80%"
"07/25/2025","7,707","7,619","7,760","7,605","2.43M","0.38%"
"07/24/2025","7,678","7,575","7,739","7,575","1.70M","-0.31%"
"07/23/2025","7,702","7,548","7,702","7,548","2.16M","1.06%"
"07/22/2025","7,621","7,568","7,715","7,527","1.91M","-0.79%"
"07/21/2025","7,682","7,738","7,829","7,638","1.97M","-0.89%"
"07/18/2025","7,751","7,948","7,948","7,654","1.31M","0.95%"
"07/17/2025","7,678","7,666","7,696","7,588","1.71M","0.58%"
"07/16/2025","7,634","7,611","7,906","7,542","1.08M","-0.05%"
"07/15/2025","7,638","7,783","7,784","7,610","2.92M","-0.75%"
"07/14/2025","7,696","7,708","7,750","7,595","2.12M","0.43%"
"07/11/2025","7,663","7,840","7,843","7,643","2.08M","-1.39%"
"07/10/2025","7,771","7,800","7,941","7,760","2.16M","-1.63%"
"07/09/2025","7,900","7,950","8,008","7,851","2.53M","-0.32%"
"07/08/2025","7,925","7,970","7,970","7,801","1.72M","0.52%"
"07/07/2025","7,884","7,970","7,970","7,835","1.23M","0.15%"
"07/04/2025","7,872","7,849","7,872","7,712","1.23M","1.42%"
"07/03/2025","7,762","7,900","7,900","7,737","1.85M","-0.51%"
"07/02/2025","7,802","7,882","7,882","7,635","3.63M","-0.61%"
"07/01/2025","7,850","7,733","7,966","7,733","1.73M","0.22%"
"06/30/2025","7,833","7,827","7,939","7,764","2.54M","0.63%"
"06/27/2025","7,784","7,585","7,789","7,585","1.54M","1.06%"
"06/26/2025","7,702","7,766","7,923","7,680","2.20M","-1.95%"
"06/25/2025","7,855","7,800","7,997","7,800","1.27M","-1.11%"
"06/24/2025","7,943","7,775","7,975","7,774","1.07M","2.16%"
"06/23/2025","7,775","7,900","7,968","7,715","1.75M","-2.12%"
"06/20/2025","7,943","7,774","8,015","7,774","4.12M","0.65%"
