"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","1,375","1,412","1,412","1,355","24.31M","-1.22%"
"03/26/2026","1,392","1,380","1,399","1,360","35.30M","0.00%"
"03/25/2026","1,392","1,389","1,398","1,350","25.63M","2.88%"
"03/24/2026","1,353","1,412","1,412","1,335","29.90M","-0.95%"
"03/23/2026","1,366","1,350","1,400","1,332","29.74M","0.44%"
"03/20/2026","1,360","1,367","1,407","1,360","47.49M","-1.16%"
"03/19/2026","1,376","1,400","1,400","1,346","61.78M","-1.29%"
"03/18/2026","1,394","1,450","1,466","1,390","28.46M","-4.06%"
"03/17/2026","1,453","1,480","1,480","1,399","35.60M","-0.55%"
"03/16/2026","1,461","1,472","1,496","1,437","26.66M","-0.81%"
"03/13/2026","1,473","1,483","1,493","1,451","15.28M","-0.67%"
"03/12/2026","1,483","1,465","1,501","1,465","14.64M","-1.53%"
"03/11/2026","1,506","1,510","1,541","1,475","22.14M","-1.12%"
"03/10/2026","1,523","1,491","1,539","1,486","30.60M","2.56%"
"03/09/2026","1,485","1,434","1,485","1,413","17.55M","2.06%"
"03/06/2026","1,455","1,514","1,517","1,435","24.83M","-3.96%"
"03/05/2026","1,515","1,538","1,540","1,499","18.62M","-1.50%"
"03/04/2026","1,538","1,510","1,547","1,472","17.38M","1.79%"
"03/03/2026","1,511","1,628","1,628","1,495","23.22M","-6.56%"
"03/02/2026","1,617","1,615","1,634","1,603","11.46M","-2.24%"
"02/27/2026","1,654","1,696","1,700","1,651","15.49M","-1.61%"
"02/26/2026","1,681","1,659","1,689","1,654","10.61M","1.33%"
"02/25/2026","1,659","1,657","1,660","1,635","12.43M","0.48%"
"02/24/2026","1,651","1,612","1,652","1,600","12.22M","1.60%"
"02/23/2026","1,625","1,592","1,629","1,592","12.40M","1.12%"
"02/20/2026","1,607","1,620","1,627","1,601","6.87M","-0.68%"
"02/19/2026","1,618","1,601","1,640","1,601","8.21M","-0.31%"
