"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","597","600","602","586","2.10M","-0.33%"
"03/26/2026","599","595","607","590","1.41M","0.17%"
"03/25/2026","598","590","602","580","2.26M","3.10%"
"03/24/2026","580","603","609","567","4.69M","-4.92%"
"03/23/2026","610","591","620","591","3.09M","0.16%"
"03/20/2026","609","605","625","603","3.25M","0.66%"
"03/19/2026","605","622","625","600","3.10M","-2.26%"
"03/18/2026","619","574","626","571","4.95M","8.41%"
"03/17/2026","571","565","587","565","1.31M","-1.72%"
"03/16/2026","581","565","586","565","2.77M","2.47%"
"03/13/2026","567","592","592","566","1.44M","-1.22%"
"03/12/2026","574","597","597","566","2.43M","-1.88%"
"03/11/2026","585","599","599","580","3.76M","-1.68%"
"03/10/2026","595","585","602","584","5.44M","1.88%"
"03/09/2026","584","591","600","558","3.92M","-1.18%"
"03/06/2026","591","630","635","591","1.23M","-6.78%"
"03/05/2026","634","628","643","625","1.70M","0.96%"
"03/04/2026","628","627","636","625","2.33M","-0.95%"
"03/03/2026","634","657","660","628","3.05M","-4.08%"
"03/02/2026","661","660","665","639","3.75M","0.30%"
"02/27/2026","659","649","669","646","4.39M","1.54%"
"02/26/2026","649","634","653","634","3.35M","2.04%"
"02/25/2026","636","631","639","631","1.12M","-0.16%"
"02/24/2026","637","650","650","629","2.01M","0.31%"
"02/23/2026","635","630","647","630","3.48M","0.79%"
"02/20/2026","630","630","635","628","2.54M","0.16%"
"02/19/2026","629","633","640","626","3.40M","-0.63%"
"02/18/2026","633","613","645","613","2.16M","1.77%"
"02/17/2026","622","627","629","618","1.44M","-1.27%"
"02/16/2026","630","621","630","618","2.03M","1.94%"
"02/13/2026","618","630","630","608","1.21M","-0.80%"
"02/12/2026","623","630","631","612","2.57M","0.32%"
"02/11/2026","621","627","627","617","374.18K","-0.32%"
"02/10/2026","623","632","632","618","1.77M","-0.32%"
"02/09/2026","625","613","632","606","4.50M","1.79%"
"02/06/2026","614","617","628","609","1.94M","-0.49%"
"02/05/2026","617","621","622","609","1.07M","0.00%"
"02/04/2026","617","614","620","592","1.41M","0.49%"
"02/03/2026","614","610","615","604","1.48M","1.82%"
"02/02/2026","603","604","608","591","720.17K","-1.63%"
"01/30/2026","613","614","627","608","1.53M","0.16%"
"01/29/2026","612","614","620","606","1.49M","0.66%"
"01/28/2026","608","600","615","599","1.72M","2.01%"
"01/27/2026","596","611","611","593","1.62M","0.51%"
"01/26/2026","593","609","611","591","2.18M","-1.17%"
"01/23/2026","600","614","624","594","2.69M","-0.83%"
"01/22/2026","605","580","610","580","3.18M","4.49%"
"01/21/2026","579","569","583","569","2.59M","1.76%"
"01/20/2026","569","554","572","554","931.31K","0.35%"
"01/19/2026","567","572","573","560","1.21M","0.35%"
"01/16/2026","565","551","572","551","1.44M","2.73%"
"01/15/2026","550","545","558","540","1.75M","-0.36%"
"01/14/2026","552","556","566","549","433.39K","-1.25%"
"01/13/2026","559","557","560","550","723.34K","0.36%"
"01/12/2026","557","568","568","556","644.62K","-0.18%"
"01/09/2026","558","543","567","543","2.43M","1.27%"
"01/08/2026","551","554","556","543","1.18M","-0.18%"
"01/07/2026","552","539","557","538","985.24K","2.03%"
"01/06/2026","541","531","546","531","796.99K","1.69%"
"01/05/2026","532","565","565","530","1.90M","-3.80%"
"01/02/2026","553","561","562","546","381.26K","-1.07%"
"12/31/2025","559","549","559","546","240.55K","0.90%"
"12/30/2025","554","554","564","553","659.24K","0.18%"
"12/29/2025","553","546","567","546","614.36K","1.84%"
"12/24/2025","543","556","558","541","1.18M","-2.16%"
"12/23/2025","555","534","560","534","1.04M","0.73%"
"12/22/2025","551","532","554","532","1.60M","4.36%"
"12/19/2025","528","525","538","522","2.47M","0.96%"
"12/18/2025","523","518","532","518","1.30M","0.58%"
"12/17/2025","520","520","526","518","490.01K","-0.19%"
"12/15/2025","521","518","528","518","537.12K","0.00%"
"12/12/2025","521","528","528","516","1.05M","0.00%"
"12/11/2025","521","525","525","517","780.57K","0.19%"
"12/10/2025","520","521","524","507","3.66M","-0.19%"
"12/09/2025","521","536","548","521","2.49M","-4.23%"
"12/08/2025","544","544","552","533","1.08M","1.12%"
"12/05/2025","538","535","545","526","733.00K","1.70%"
"12/04/2025","529","535","536","525","4.28M","-1.49%"
"12/03/2025","537","527","541","525","692.01K","0.75%"
"12/02/2025","533","521","540","521","1.01M","1.33%"
"12/01/2025","526","540","542","521","3.43M","-3.31%"
"11/28/2025","544","532","553","532","4.73M","2.26%"
"11/27/2025","532","521","533","517","1.55M","2.70%"
"11/26/2025","518","505","525","505","1.04M","2.37%"
