"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","2,687","2,664","2,713","2,625","1.15M","-0.44%"
"03/26/2026","2,699","2,672","2,699","2,660","360.73K","0.37%"
"03/25/2026","2,689","2,622","2,689","2,622","1.14M","2.95%"
"03/24/2026","2,612","2,657","2,703","2,611","769.71K","-1.88%"
"03/23/2026","2,662","2,510","2,683","2,510","1.09M","2.62%"
"03/20/2026","2,594","2,566","2,628","2,566","2.25M","-0.38%"
"03/19/2026","2,604","2,577","2,625","2,545","1.40M","0.46%"
"03/18/2026","2,592","2,594","2,651","2,574","1.11M","0.47%"
"03/17/2026","2,580","2,565","2,593","2,554","951.03K","-0.12%"
"03/16/2026","2,583","2,613","2,613","2,537","2.09M","0.58%"
"03/13/2026","2,568","2,590","2,626","2,554","435.86K","-1.83%"
"03/12/2026","2,616","2,590","2,675","2,590","851.79K","-1.69%"
"03/11/2026","2,661","2,575","2,665","2,575","1.17M","2.31%"
"03/10/2026","2,601","2,555","2,624","2,555","1.92M","1.96%"
"03/09/2026","2,551","2,537","2,575","2,509","1.93M","-0.20%"
"03/06/2026","2,556","2,700","2,700","2,544","1.26M","-5.47%"
"03/05/2026","2,704","2,685","2,710","2,676","757.32K","0.30%"
"03/04/2026","2,696","2,660","2,709","2,660","692.92K","-0.04%"
"03/03/2026","2,697","2,776","2,779","2,687","1.74M","-2.64%"
"03/02/2026","2,770","2,715","2,800","2,715","911.97K","-2.02%"
"02/27/2026","2,827","2,859","2,873","2,825","440.14K","-1.02%"
"02/26/2026","2,856","2,800","2,870","2,800","424.00K","1.78%"
"02/25/2026","2,806","2,801","2,813","2,774","367.19K","0.18%"
"02/24/2026","2,801","2,835","2,835","2,779","595.38K","-0.67%"
"02/23/2026","2,820","2,785","2,825","2,785","534.44K","1.26%"
"02/20/2026","2,785","2,771","2,788","2,768","302.74K","0.58%"
"02/19/2026","2,769","2,819","2,821","2,760","929.47K","-1.91%"
"02/18/2026","2,823","2,770","2,824","2,760","1.12M","1.26%"
"02/17/2026","2,788","2,752","2,788","2,730","933.68K","1.09%"
"02/16/2026","2,758","2,749","2,763","2,732","1.08M","0.80%"
"02/13/2026","2,736","2,746","2,748","2,725","1.25M","-0.51%"
"02/12/2026","2,750","2,761","2,766","2,735","448.10K","0.36%"
"02/11/2026","2,740","2,717","2,740","2,696","886.29K","0.55%"
"02/10/2026","2,725","2,722","2,732","2,694","663.38K","-0.11%"
"02/09/2026","2,728","2,740","2,740","2,702","399.77K","0.00%"
"02/06/2026","2,728","2,730","2,741","2,716","966.41K","-0.26%"
"02/05/2026","2,735","2,749","2,760","2,729","687.68K","-0.51%"
"02/04/2026","2,749","2,785","2,785","2,738","511.90K","-1.26%"
"02/03/2026","2,784","2,755","2,812","2,750","2.22M","1.61%"
"02/02/2026","2,740","2,700","2,746","2,677","1.87M","-0.15%"
"01/30/2026","2,744","2,776","2,776","2,718","957.09K","-0.62%"
"01/29/2026","2,761","2,745","2,775","2,722","820.65K","1.54%"
"01/28/2026","2,719","2,767","2,767","2,705","1.08M","-0.91%"
"01/27/2026","2,744","2,743","2,749","2,724","1.43M","0.18%"
"01/26/2026","2,739","2,723","2,745","2,717","2.20M","0.62%"
"01/23/2026","2,722","2,749","2,762","2,714","677.37K","-1.23%"
"01/22/2026","2,756","2,720","2,769","2,720","1.06M","1.96%"
"01/21/2026","2,703","2,730","2,730","2,693","638.71K","-0.73%"
"01/20/2026","2,723","2,680","2,723","2,670","909.52K","0.78%"
"01/19/2026","2,702","2,688","2,706","2,657","964.99K","0.15%"
"01/16/2026","2,698","2,651","2,706","2,632","972.51K","0.94%"
"01/15/2026","2,673","2,700","2,700","2,626","1.37M","0.91%"
"01/14/2026","2,649","2,666","2,678","2,630","824.01K","-0.60%"
"01/13/2026","2,665","2,645","2,680","2,611","1.37M","0.60%"
"01/12/2026","2,649","2,689","2,691","2,632","1.13M","-1.49%"
"01/09/2026","2,689","2,693","2,698","2,665","260.37K","-0.41%"
"01/08/2026","2,700","2,735","2,735","2,658","815.27K","-0.26%"
"01/07/2026","2,707","2,782","2,782","2,702","257.79K","-2.70%"
"01/06/2026","2,782","2,736","2,815","2,724","939.70K","2.02%"
"01/05/2026","2,727","2,809","2,809","2,723","375.30K","-2.08%"
"01/02/2026","2,785","2,725","2,792","2,713","682.78K","2.20%"
"12/31/2025","2,725","2,691","2,725","2,681","708.77K","1.30%"
"12/30/2025","2,690","2,690","2,710","2,681","330.28K","0.34%"
"12/29/2025","2,681","2,653","2,706","2,653","248.08K","0.04%"
"12/24/2025","2,680","2,710","2,710","2,655","74.27K","1.21%"
"12/23/2025","2,648","2,600","2,649","2,600","441.57K","1.22%"
"12/22/2025","2,616","2,720","2,720","2,560","523.45K","-1.10%"
"12/19/2025","2,645","2,586","2,673","2,584","4.31M","2.28%"
"12/18/2025","2,586","2,563","2,593","2,537","1.00M","0.90%"
"12/17/2025","2,563","2,600","2,600","2,544","436.23K","-1.31%"
"12/15/2025","2,597","2,570","2,622","2,570","490.70K","0.23%"
"12/12/2025","2,591","2,632","2,636","2,550","863.56K","-0.46%"
"12/11/2025","2,603","2,650","2,680","2,603","592.43K","-2.22%"
"12/10/2025","2,662","2,651","2,677","2,632","299.34K","0.30%"
"12/09/2025","2,654","2,675","2,694","2,654","930.06K","-0.82%"
"12/08/2025","2,676","2,720","2,720","2,659","964.13K","-0.15%"
