"Date","Price","Open","High","Low","Vol.","Change %"
"2026/04/07","2,200","2,300","2,300","2,200","13.50M","-3.51%"
"2026/04/02","2,280","2,298","2,298","2,254","6.69M","-1.60%"
"2026/04/01","2,317","2,305","2,331","2,260","14.01M","2.52%"
"2026/03/31","2,260","2,230","2,275","2,220","13.22M","1.62%"
"2026/03/30","2,224","2,287","2,287","2,210","15.42M","-1.98%"
"2026/03/27","2,269","2,310","2,318","2,242","11.36M","-1.77%"
"2026/03/26","2,310","2,320","2,328","2,301","8.04M","-0.77%"
"2026/03/25","2,328","2,305","2,342","2,281","10.34M","2.92%"
"2026/03/24","2,262","2,360","2,360","2,250","17.25M","-2.08%"
"2026/03/23","2,310","2,291","2,378","2,222","22.28M","-1.07%"
"2026/03/20","2,335","2,286","2,405","2,286","36.02M","0.91%"
"2026/03/19","2,314","2,250","2,324","2,214","37.55M","2.12%"
"2026/03/18","2,266","2,315","2,356","2,252","11.10M","-2.24%"
"2026/03/17","2,318","2,333","2,367","2,317","10.89M","-0.73%"
"2026/03/16","2,335","2,327","2,353","2,286","13.78M","1.26%"
"2026/03/13","2,306","2,371","2,389","2,306","16.32M","-2.99%"
"2026/03/12","2,377","2,362","2,409","2,324","15.37M","-0.59%"
"2026/03/11","2,391","2,465","2,468","2,364","7.85M","-2.45%"
"2026/03/10","2,451","2,417","2,479","2,412","14.69M","3.46%"
"2026/03/09","2,369","2,365","2,400","2,311","18.96M","-1.50%"
"2026/03/06","2,405","2,500","2,536","2,392","9.94M","-4.45%"
"2026/03/05","2,517","2,540","2,575","2,517","10.80M","-0.24%"
"2026/03/04","2,523","2,480","2,523","2,455","10.73M","1.73%"
"2026/03/03","2,480","2,600","2,610","2,480","19.48M","-4.62%"
"2026/03/02","2,600","2,620","2,637","2,585","14.61M","-2.26%"
"2026/02/27","2,660","2,687","2,691","2,649","15.00M","-0.82%"
"2026/02/26","2,682","2,620","2,710","2,620","8.91M","2.29%"
"2026/02/25","2,622","2,625","2,668","2,622","4.96M","-1.65%"
"2026/02/24","2,666","2,601","2,666","2,587","8.16M","2.26%"
"2026/02/23","2,607","2,610","2,643","2,605","5.68M","0.27%"
"2026/02/20","2,600","2,601","2,615","2,584","6.71M","-0.08%"
"2026/02/19","2,602","2,635","2,635","2,594","4.12M","-0.27%"
"2026/02/18","2,609","2,625","2,640","2,607","5.23M","0.62%"
"2026/02/17","2,593","2,601","2,625","2,583","3.53M","-0.77%"
"2026/02/16","2,613","2,599","2,642","2,599","6.36M","0.97%"
"2026/02/13","2,588","2,610","2,644","2,581","14.49M","-1.30%"
"2026/02/12","2,622","2,599","2,641","2,569","6.31M","1.20%"
"2026/02/11","2,591","2,614","2,616","2,561","10.74M","-0.80%"
"2026/02/10","2,612","2,630","2,649","2,603","5.35M","-0.53%"
"2026/02/09","2,626","2,640","2,640","2,593","10.29M","0.34%"
"2026/02/06","2,617","2,613","2,637","2,595","9.10M","0.15%"
"2026/02/05","2,613","2,661","2,675","2,604","16.68M","-2.06%"
"2026/02/04","2,668","2,700","2,700","2,619","17.72M","-0.60%"
"2026/02/03","2,684","2,750","2,750","2,684","17.81M","-1.11%"
"2026/02/02","2,714","2,628","2,800","2,575","21.32M","2.49%"
"2026/01/30","2,648","2,650","2,710","2,627","17.83M","-0.71%"
"2026/01/29","2,667","2,679","2,745","2,667","13.15M","-0.45%"
"2026/01/28","2,679","2,657","2,694","2,636","6.79M","1.48%"
"2026/01/27","2,640","2,657","2,673","2,617","9.27M","0.27%"
"2026/01/26","2,633","2,645","2,666","2,610","11.31M","-0.83%"
"2026/01/23","2,655","2,676","2,687","2,640","13.58M","-0.45%"
"2026/01/22","2,667","2,600","2,675","2,594","16.56M","2.89%"
"2026/01/21","2,592","2,524","2,592","2,511","11.56M","2.61%"
"2026/01/20","2,526","2,519","2,526","2,501","4.33M","0.28%"
"2026/01/19","2,519","2,510","2,523","2,471","8.08M","0.08%"
"2026/01/16","2,517","2,555","2,555","2,510","16.13M","-0.36%"
"2026/01/15","2,526","2,538","2,568","2,525","11.37M","-0.04%"
"2026/01/14","2,527","2,625","2,625","2,513","16.01M","-5.11%"
"2026/01/13","2,663","2,719","2,719","2,660","7.05M","-1.00%"
"2026/01/12","2,690","2,695","2,702","2,646","5.52M","0.71%"
"2026/01/09","2,671","2,626","2,708","2,626","5.43M","1.64%"
"2026/01/08","2,628","2,632","2,656","2,617","6.38M","-0.15%"
"2026/01/07","2,632","2,638","2,660","2,600","11.32M","0.30%"
"2026/01/06","2,624","2,640","2,662","2,624","7.29M","-0.53%"
"2026/01/05","2,638","2,675","2,683","2,636","8.45M","-1.38%"
"2026/01/02","2,675","2,664","2,681","2,603","3.30M","1.13%"
"2025/12/31","2,645","2,685","2,685","2,643","3.20M","-0.38%"
"2025/12/30","2,655","2,660","2,675","2,644","4.27M","0.34%"
"2025/12/29","2,646","2,660","2,670","2,630","2.81M","0.34%"
"2025/12/24","2,637","2,640","2,645","2,611","1.08M","0.84%"
"2025/12/23","2,615","2,605","2,617","2,595","3.36M","0.93%"
"2025/12/22","2,591","2,635","2,635","2,582","6.15M","-0.69%"
"2025/12/19","2,609","2,699","2,699","2,576","24.65M","-2.10%"
"2025/12/18","2,665","2,646","2,718","2,636","34.30M","0.79%"
"2025/12/17","2,644","2,644","2,660","2,608","12.36M","0.34%"
"2025/12/15","2,635","2,606","2,650","2,603","7.53M","1.11%"
"2025/12/12","2,606","2,611","2,648","2,601","9.15M","0.12%"
"2025/12/11","2,603","2,650","2,650","2,597","9.53M","-1.03%"
"2025/12/10","2,630","2,675","2,685","2,625","7.24M","-1.68%"
"2025/12/09","2,675","2,745","2,747","2,665","16.55M","-1.65%"
"2025/12/08","2,720","2,795","2,795","2,711","15.57M","-2.61%"
"2025/12/05","2,793","2,740","2,831","2,730","17.52M","3.02%"
"2025/12/04","2,711","2,729","2,740","2,696","12.75M","0.30%"
"2025/12/03","2,703","2,616","2,719","2,598","23.91M","3.92%"
"2025/12/02","2,601","2,615","2,643","2,586","16.00M","0.00%"
"2025/12/01","2,601","2,629","2,629","2,545","18.31M","-0.50%"
"2025/11/28","2,614","2,641","2,672","2,592","23.39M","-0.08%"
"2025/11/27","2,616","2,650","2,650","2,586","10.85M","0.35%"
"2025/11/26","2,607","2,600","2,640","2,574","19.09M","1.56%"
"2025/11/25","2,567","2,625","2,662","2,520","24.18M","0.08%"
"2025/11/24","2,565","2,608","2,615","2,545","26.05M","-0.74%"
"2025/11/21","2,584","2,611","2,640","2,563","10.51M","-2.53%"
"2025/11/20","2,651","2,600","2,673","2,600","21.38M","1.96%"
"2025/11/19","2,600","2,600","2,620","2,559","13.98M","0.27%"
"2025/11/18","2,593","2,633","2,649","2,593","10.96M","-2.88%"
"2025/11/17","2,670","2,700","2,700","2,650","8.89M","-0.11%"
"2025/11/14","2,673","2,720","2,720","2,640","9.54M","-1.62%"
"2025/11/13","2,717","2,690","2,750","2,688","8.03M","0.41%"
"2025/11/12","2,706","2,675","2,717","2,650","13.63M","2.93%"
"2025/11/11","2,629","2,670","2,703","2,629","7.79M","-1.72%"
"2025/11/10","2,675","2,660","2,696","2,634","6.74M","1.48%"
"2025/11/07","2,636","2,685","2,750","2,622","6.57M","-2.33%"
"2025/11/06","2,699","2,720","2,720","2,658","17.75M","0.75%"
"2025/11/05","2,679","2,679","2,695","2,642","23.02M","0.00%"
"2025/11/04","2,679","2,730","2,749","2,632","12.87M","-1.90%"
"2025/11/03","2,731","2,671","2,744","2,657","13.23M","3.45%"
"2025/10/31","2,640","2,689","2,689","2,638","9.17M","-0.64%"
"2025/10/30","2,657","2,699","2,699","2,656","7.60M","-0.90%"
"2025/10/29","2,681","2,684","2,707","2,674","11.12M","-0.04%"
"2025/10/28","2,682","2,626","2,711","2,626","10.51M","0.86%"
"2025/10/27","2,659","2,680","2,694","2,644","6.56M","-0.37%"
"2025/10/24","2,669","2,650","2,724","2,650","8.37M","-0.60%"
"2025/10/23","2,685","2,663","2,686","2,635","9.44M","0.83%"
"2025/10/22","2,663","2,640","2,686","2,617","12.80M","1.91%"
"2025/10/21","2,613","2,775","2,786","2,585","26.52M","-4.70%"
"2025/10/20","2,742","2,672","2,761","2,672","19.22M","2.66%"
"2025/10/17","2,671","2,630","2,679","2,622","9.04M","0.94%"
"2025/10/16","2,646","2,627","2,649","2,621","14.18M","0.72%"
"2025/10/15","2,627","2,600","2,627","2,588","9.52M","1.43%"
"2025/10/14","2,590","2,576","2,606","2,557","9.22M","0.08%"
"2025/10/13","2,588","2,627","2,627","2,550","7.72M","-0.38%"
"2025/10/10","2,598","2,546","2,635","2,525","19.73M","2.04%"
"2025/10/09","2,546","2,505","2,570","2,493","15.25M","2.00%"
"2025/10/08","2,496","2,505","2,507","2,464","6.12M","0.16%"
"2025/10/07","2,492","2,514","2,522","2,486","12.55M","0.16%"
"2025/10/06","2,488","2,490","2,506","2,455","12.26M","0.40%"
"2025/10/03","2,478","2,447","2,490","2,443","14.63M","1.47%"
"2025/10/02","2,442","2,410","2,463","2,410","10.48M","0.91%"
"2025/10/01","2,420","2,434","2,451","2,404","10.77M","-0.45%"
"2025/09/30","2,431","2,420","2,457","2,398","15.40M","0.75%"
"2025/09/29","2,413","2,467","2,467","2,408","9.66M","-0.78%"
"2025/09/26","2,432","2,470","2,470","2,426","6.86M","-0.94%"
"2025/09/25","2,455","2,515","2,520","2,445","12.51M","-2.77%"
"2025/09/23","2,525","2,517","2,562","2,517","6.19M","-0.51%"
"2025/09/22","2,538","2,589","2,589","2,518","9.98M","-1.63%"
"2025/09/19","2,580","2,565","2,658","2,547","19.77M","-0.19%"
"2025/09/18","2,585","2,535","2,599","2,522","26.88M","1.97%"
"2025/09/17","2,535","2,530","2,554","2,490","11.70M","0.40%"
"2025/09/16","2,525","2,570","2,570","2,503","10.92M","-0.47%"
"2025/09/15","2,537","2,545","2,581","2,521","15.88M","0.48%"
"2025/09/12","2,525","2,520","2,559","2,485","18.08M","1.61%"
"2025/09/11","2,485","2,493","2,516","2,455","17.79M","0.40%"
"2025/09/10","2,475","2,490","2,502","2,463","8.61M","-0.64%"
"2025/09/09","2,491","2,520","2,520","2,481","14.92M","-0.68%"
"2025/09/08","2,508","2,540","2,540","2,500","11.06M","0.32%"
"2025/09/05","2,500","2,475","2,523","2,465","21.38M","1.71%"
"2025/09/04","2,458","2,477","2,506","2,458","16.60M","-0.65%"
"2025/09/03","2,474","2,500","2,500","2,414","16.00M","0.37%"
"2025/09/02","2,465","2,529","2,529","2,456","14.63M","-1.75%"
"2025/09/01","2,509","2,545","2,549","2,509","9.12M","-1.22%"
"2025/08/29","2,540","2,545","2,555","2,532","11.10M","0.04%"
"2025/08/28","2,539","2,565","2,590","2,539","13.25M","-0.24%"
"2025/08/27","2,545","2,552","2,574","2,532","11.05M","-0.39%"
"2025/08/26","2,555","2,587","2,595","2,549","43.70M","-0.70%"
"2025/08/25","2,573","2,580","2,581","2,553","5.29M","0.19%"
"2025/08/22","2,568","2,570","2,580","2,551","11.97M","0.71%"
"2025/08/21","2,550","2,541","2,570","2,541","9.07M","0.04%"
"2025/08/20","2,549","2,555","2,588","2,544","9.03M","-1.05%"
