"Date","Price","Open","High","Low","Vol.","Change %"
"03/26/2026","78,953","80,900","80,900","78,932","969.53K","-2.56%"
"03/25/2026","81,029","78,350","81,895","78,350","1.16M","3.42%"
"03/24/2026","78,350","80,499","81,360","78,095","999.06K","-2.28%"
"03/23/2026","80,180","78,480","81,979","76,603","1.28M","0.11%"
"03/20/2026","80,093","79,991","80,840","79,195","2.66M","0.42%"
"03/19/2026","79,759","82,880","82,915","79,165","3.42M","-4.21%"
"03/18/2026","83,268","89,843","91,785","83,200","1.78M","-7.32%"
"03/17/2026","89,843","89,601","91,958","89,195","1.10M","-0.40%"
"03/16/2026","90,200","91,400","92,099","88,759","1.09M","-0.21%"
"03/13/2026","90,388","88,201","91,228","87,754","1.23M","2.74%"
"03/12/2026","87,977","86,415","88,278","85,807","1.17M","0.80%"
"03/11/2026","87,280","87,500","88,384","86,805","1.27M","-1.33%"
"03/10/2026","88,452","85,010","89,273","85,010","1.53M","8.72%"
"03/09/2026","81,357","80,950","82,477","80,284","629.30K","0.50%"
"03/06/2026","80,953","82,411","82,916","80,545","1.06M","0.04%"
"03/05/2026","80,921","80,750","80,990","79,113","782.70K","1.89%"
"03/04/2026","79,420","78,700","80,034","77,828","1.45M","0.91%"
"03/03/2026","78,701","81,199","81,199","77,875","950.34K","-1.57%"
"03/02/2026","79,960","80,841","81,668","78,953","1.48M","-2.73%"
"02/27/2026","82,200","83,800","83,800","81,794","1.23M","-0.18%"
"02/26/2026","82,351","82,599","82,599","81,323","1.08M","-1.38%"
"02/25/2026","83,500","83,399","83,995","82,500","579.55K","0.62%"
"02/24/2026","82,984","82,725","83,192","82,010","851.79K","-1.17%"
"02/23/2026","83,968","84,900","85,699","83,388","1.45M","1.31%"
"02/20/2026","82,880","82,700","83,239","82,225","811.96K","-1.22%"
"02/19/2026","83,903","84,680","84,721","83,480","1.29M","-0.38%"
"02/18/2026","84,225","81,900","84,289","81,859","887.80K","3.34%"
"02/17/2026","81,500","80,400","81,794","80,135","967.00K","0.34%"
"02/16/2026","81,222","80,800","81,785","80,409","1.12M","0.52%"
"02/13/2026","80,800","82,000","82,676","80,228","1.00M","-1.87%"
"02/12/2026","82,338","81,880","84,020","81,502","1.01M","-1.55%"
"02/11/2026","83,633","85,000","85,000","83,225","1.03M","-1.51%"
"02/10/2026","84,912","87,000","87,000","84,230","979.95K","-2.96%"
"02/09/2026","87,500","89,150","89,270","87,133","869.66K","-0.13%"
"02/06/2026","87,612","86,500","88,462","86,111","1.13M","0.71%"
"02/05/2026","86,995","86,500","88,457","86,240","993.72K","1.27%"
"02/04/2026","85,900","88,480","88,800","85,900","2.04M","-4.61%"
"02/03/2026","90,051","90,340","91,307","89,100","957.08K","-1.80%"
"02/02/2026","91,700","92,000","92,824","89,498","1.00M","-1.42%"
"01/30/2026","93,017","93,700","94,295","92,200","1.13M","-1.70%"
"01/29/2026","94,629","95,601","96,084","94,629","420.87K","-1.33%"
"01/28/2026","95,900","97,800","97,800","95,701","650.21K","-0.27%"
"01/27/2026","96,155","95,137","96,450","94,893","634.20K","1.55%"
"01/26/2026","94,687","97,000","97,000","94,460","867.50K","-1.05%"
"01/23/2026","95,691","96,587","96,587","94,800","920.77K","-1.04%"
"01/22/2026","96,700","97,998","97,998","96,000","785.00K","-0.51%"
"01/21/2026","97,200","98,523","98,906","96,442","864.18K","-1.27%"
"01/20/2026","98,452","99,647","99,647","97,291","756.69K","-1.59%"
"01/19/2026","100,047","101,150","101,851","99,792","505.79K","-1.35%"
"01/16/2026","101,420","101,611","102,833","101,112","433.40K","0.00%"
"01/15/2026","101,420","105,000","105,297","101,085","886.25K","-3.89%"
"01/14/2026","105,525","107,200","107,202","105,334","780.18K","-0.83%"
"01/13/2026","106,412","105,700","107,149","105,411","581.49K","1.35%"
"01/12/2026","104,997","103,480","105,009","103,480","481.28K","2.44%"
"01/09/2026","102,495","102,300","103,491","101,772","366.35K","-0.89%"
"01/08/2026","103,411","104,000","104,827","103,315","284.02K","-1.81%"
"01/07/2026","105,312","104,580","106,348","103,401","559.65K","-0.16%"
"01/06/2026","105,482","104,551","106,200","104,550","787.01K","1.29%"
"01/05/2026","104,136","106,900","106,900","103,782","542.86K","-0.82%"
"01/02/2026","105,000","105,067","106,998","104,384","395.09K","2.59%"
"12/31/2025","102,352","103,421","104,037","102,352","162.72K","-1.40%"
"12/30/2025","103,810","104,500","104,500","103,154","404.03K","0.07%"
"12/29/2025","103,739","103,400","104,003","102,600","394.12K","0.04%"
"12/24/2025","103,700","104,300","105,000","103,262","154.02K","0.25%"
"12/23/2025","103,440","102,098","104,262","102,098","384.96K","-0.37%"
"12/22/2025","103,828","105,400","105,400","103,263","317.88K","-1.44%"
"12/19/2025","105,344","103,556","105,344","103,542","4.15M","2.95%"
"12/18/2025","102,322","102,247","102,449","100,616","3.36M","-0.43%"
"12/17/2025","102,762","103,600","104,569","102,729","857.08K","-1.29%"
"12/15/2025","104,100","104,900","105,773","103,693","841.53K","-1.99%"
"12/12/2025","106,213","105,299","107,629","105,001","867.08K","1.48%"
"12/11/2025","104,662","103,649","105,560","102,701","827.58K","2.29%"
"12/10/2025","102,319","102,001","103,010","101,377","656.32K","0.51%"
"12/09/2025","101,796","102,348","102,859","100,857","764.72K","-0.44%"
"12/08/2025","102,241","103,011","103,811","101,947","619.77K","-1.07%"
"12/05/2025","103,343","103,501","104,603","103,001","484.19K","-0.40%"
"12/04/2025","103,753","103,002","105,199","103,002","827.48K","0.26%"
"12/03/2025","103,481","104,700","104,700","102,917","800.84K","-0.96%"
"12/02/2025","104,481","106,500","106,998","104,363","654.56K","-2.30%"
"12/01/2025","106,938","107,500","107,688","105,397","1.00M","0.62%"
"11/28/2025","106,283","107,472","108,142","106,069","796.92K","-1.11%"
"11/27/2025","107,472","109,599","109,660","106,767","979.85K","-2.07%"
"11/26/2025","109,740","110,821","111,270","109,672","488.71K","-0.22%"
"11/25/2025","109,985","111,130","111,467","108,907","744.70K","-1.03%"
"11/24/2025","111,126","116,800","116,857","109,417","1.47M","-1.95%"
"11/21/2025","113,335","113,850","113,850","111,413","508.69K","-1.66%"
"11/20/2025","115,249","116,593","117,838","114,676","513.25K","-0.83%"
"11/19/2025","116,211","118,341","118,341","115,198","471.82K","-0.57%"
"11/18/2025","116,874","117,699","117,699","116,047","411.47K","-1.56%"
"11/17/2025","118,730","120,300","121,551","117,938","505.08K","-1.31%"
"11/14/2025","120,300","123,000","123,000","118,880","719.52K","-3.06%"
"11/13/2025","124,091","121,893","126,450","121,222","918.53K","1.73%"
"11/12/2025","121,980","121,512","123,190","121,282","461.87K","0.69%"
"11/11/2025","121,150","122,426","122,482","120,812","521.48K","-1.04%"
"11/10/2025","122,429","119,450","123,150","119,450","423.00K","3.24%"
"11/07/2025","118,589","120,700","121,390","117,986","527.46K","-3.00%"
"11/06/2025","122,251","121,070","122,499","120,889","521.59K","1.71%"
"11/05/2025","120,200","120,700","120,700","118,779","367.43K","0.11%"
"11/04/2025","120,065","118,050","120,185","117,899","483.80K","0.35%"
"11/03/2025","119,645","120,900","120,900","118,698","317.99K","0.00%"
"10/31/2025","119,640","119,990","120,710","118,407","637.06K","-1.56%"
"10/30/2025","121,532","121,550","122,289","120,079","511.24K","-0.01%"
"10/29/2025","121,550","121,150","122,050","120,455","301.90K","0.33%"
"10/28/2025","121,149","121,950","123,193","121,019","614.30K","-1.66%"
"10/27/2025","123,195","121,000","124,008","120,362","677.36K","3.48%"
"10/24/2025","119,050","118,949","119,802","118,129","421.91K","0.14%"
"10/23/2025","118,879","118,315","118,879","117,515","542.91K","0.64%"
