"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","3,914","3,975","3,975","3,895","1.66M","-0.76%"
"03/26/2026","3,944","3,930","3,967","3,790","415.28K","0.10%"
"03/25/2026","3,940","3,891","3,980","3,879","722.75K","1.70%"
"03/24/2026","3,874","3,850","3,880","3,809","1.07M","0.10%"
"03/23/2026","3,870","3,801","3,876","3,721","972.85K","1.20%"
"03/20/2026","3,824","3,870","3,894","3,819","1.55M","-1.19%"
"03/19/2026","3,870","3,902","3,940","3,862","337.53K","-1.38%"
"03/18/2026","3,924","4,002","4,021","3,924","307.36K","-1.65%"
"03/17/2026","3,990","3,900","4,004","3,900","630.90K","1.01%"
"03/16/2026","3,950","3,939","3,967","3,897","459.19K","0.51%"
"03/13/2026","3,930","3,943","3,955","3,896","1.17M","-0.38%"
"03/12/2026","3,945","3,963","3,977","3,875","649.53K","-0.73%"
"03/11/2026","3,974","4,041","4,041","3,950","821.65K","-1.76%"
"03/10/2026","4,045","4,010","4,076","3,983","626.05K","1.20%"
"03/09/2026","3,997","4,042","4,056","3,973","412.79K","-1.09%"
"03/06/2026","4,041","4,063","4,094","4,024","1.81M","-0.35%"
"03/05/2026","4,055","3,980","4,105","3,957","765.42K","1.73%"
"03/04/2026","3,986","4,155","4,182","3,971","2.58M","-3.37%"
"03/03/2026","4,125","4,151","4,157","4,054","1.71M","-1.01%"
"03/02/2026","4,167","4,030","4,203","4,030","434.60K","-1.40%"
"02/27/2026","4,226","4,208","4,265","4,189","570.93K","0.38%"
"02/26/2026","4,210","4,163","4,228","4,133","616.12K","2.31%"
"02/25/2026","4,115","4,021","4,153","4,021","927.70K","1.21%"
"02/24/2026","4,066","4,151","4,153","4,046","691.08K","-2.02%"
"02/23/2026","4,150","4,082","4,214","4,068","1.57M","2.22%"
"02/20/2026","4,060","4,064","4,083","4,037","519.35K","0.25%"
"02/19/2026","4,050","3,980","4,075","3,980","412.12K","0.00%"
"02/18/2026","4,050","3,944","4,050","3,944","353.63K","2.79%"
"02/17/2026","3,940","3,982","3,982","3,897","672.47K","-1.05%"
"02/16/2026","3,982","3,933","3,997","3,933","980.72K","1.25%"
"02/13/2026","3,933","3,905","3,988","3,905","681.73K","-0.38%"
"02/12/2026","3,948","3,889","3,996","3,889","1.64M","0.64%"
"02/11/2026","3,923","4,203","4,203","3,843","4.51M","-6.73%"
"02/10/2026","4,206","4,150","4,228","4,146","928.34K","2.09%"
"02/09/2026","4,120","4,086","4,176","4,086","1.28M","0.00%"
"02/06/2026","4,120","4,121","4,162","4,068","1.14M","0.81%"
"02/05/2026","4,087","4,261","4,280","4,087","978.33K","-3.95%"
"02/04/2026","4,255","4,110","4,358","4,110","459.15K","-0.79%"
"02/03/2026","4,289","4,286","4,342","4,264","1.61M","1.32%"
"02/02/2026","4,233","4,178","4,284","4,135","891.59K","-0.52%"
"01/30/2026","4,255","4,259","4,319","4,233","308.58K","-0.77%"
"01/29/2026","4,288","4,269","4,326","4,243","397.72K","0.54%"
"01/28/2026","4,265","4,371","4,371","4,265","494.54K","-1.25%"
"01/27/2026","4,319","4,318","4,385","4,267","747.85K","1.84%"
"01/26/2026","4,241","4,262","4,280","4,162","579.42K","0.95%"
