"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","4,780","4,825","4,843","4,771","455.78K","-0.93%"
"03/26/2026","4,825","4,700","4,825","4,700","476.70K","0.27%"
"03/25/2026","4,812","4,728","4,812","4,671","936.87K","3.13%"
"03/24/2026","4,666","4,600","4,768","4,586","204.68K","-1.25%"
"03/23/2026","4,725","4,719","4,856","4,624","303.37K","0.13%"
"03/20/2026","4,719","4,882","4,882","4,654","764.75K","-0.40%"
"03/19/2026","4,738","4,859","4,859","4,684","289.57K","-1.39%"
"03/18/2026","4,805","4,738","4,866","4,687","239.87K","2.93%"
"03/17/2026","4,668","4,720","4,738","4,650","357.23K","-1.10%"
"03/16/2026","4,720","4,650","4,755","4,650","155.59K","0.88%"
"03/13/2026","4,679","4,850","4,850","4,679","249.13K","-1.31%"
"03/12/2026","4,741","4,920","4,920","4,741","308.14K","-2.27%"
"03/11/2026","4,851","4,900","4,935","4,824","326.43K","-1.40%"
"03/10/2026","4,920","5,094","5,094","4,920","239.90K","-1.26%"
"03/09/2026","4,983","5,007","5,258","4,964","367.16K","-2.12%"
"03/06/2026","5,091","5,435","5,435","5,009","707.77K","-6.59%"
"03/05/2026","5,450","5,441","5,514","5,440","288.06K","-1.16%"
"03/04/2026","5,514","5,560","5,560","5,441","864.97K","-0.83%"
"03/03/2026","5,560","5,690","5,690","5,408","1.04M","-1.96%"
"03/02/2026","5,671","5,728","5,736","5,637","212.24K","-0.60%"
"02/27/2026","5,705","5,645","5,752","5,635","123.37K","0.88%"
"02/26/2026","5,655","5,554","5,714","5,554","321.94K","0.57%"
"02/25/2026","5,623","5,424","5,625","5,424","456.75K","1.53%"
"02/24/2026","5,538","5,520","5,592","5,465","450.45K","0.69%"
"02/23/2026","5,500","5,482","5,538","5,482","541.03K","0.18%"
"02/20/2026","5,490","5,365","5,508","5,365","884.94K","1.18%"
"02/19/2026","5,426","5,319","5,513","5,319","264.36K","0.02%"
"02/18/2026","5,425","5,220","5,545","5,220","778.38K","1.99%"
"02/17/2026","5,319","5,191","5,350","5,179","388.85K","1.82%"
"02/16/2026","5,224","5,225","5,273","5,200","1.87M","0.10%"
"02/13/2026","5,219","5,216","5,240","5,141","362.78K","-0.65%"
"02/12/2026","5,253","5,171","5,309","5,168","1.57M","0.46%"
"02/11/2026","5,229","5,086","5,292","5,086","824.79K","-0.72%"
"02/10/2026","5,267","5,086","5,330","5,086","1.12M","0.42%"
"02/09/2026","5,245","5,185","5,245","5,147","597.80K","1.63%"
"02/06/2026","5,161","5,189","5,189","5,100","572.60K","0.02%"
"02/05/2026","5,160","5,175","5,356","5,129","1.27M","-0.06%"
"02/04/2026","5,163","5,269","5,350","5,144","1.35M","-1.28%"
"02/03/2026","5,230","5,141","5,258","5,102","920.14K","2.15%"
"02/02/2026","5,120","5,074","5,171","5,039","1.97M","-1.04%"
"01/30/2026","5,174","5,205","5,286","5,146","1.20M","-0.88%"
"01/29/2026","5,220","4,953","5,355","4,953","543.73K","3.45%"
"01/28/2026","5,046","5,000","5,094","4,924","376.73K","1.53%"
"01/27/2026","4,970","4,801","5,036","4,800","678.14K","0.91%"
"01/26/2026","4,925","4,910","4,969","4,801","380.24K","0.43%"
"01/23/2026","4,904","4,912","4,963","4,879","528.88K","-0.22%"
"01/22/2026","4,915","4,827","4,982","4,813","492.06K","2.08%"
"01/21/2026","4,815","4,625","4,867","4,612","318.79K","4.38%"
"01/20/2026","4,613","4,607","4,645","4,560","231.94K","0.13%"
"01/19/2026","4,607","4,624","4,651","4,548","222.14K","-0.67%"
"01/16/2026","4,638","4,693","4,828","4,569","329.48K","-2.71%"
"01/15/2026","4,767","4,696","4,836","4,696","401.81K","1.27%"
"01/14/2026","4,707","4,751","4,826","4,700","468.95K","-0.49%"
"01/13/2026","4,730","4,704","4,755","4,673","356.99K","0.30%"
"01/12/2026","4,716","4,744","4,785","4,660","211.47K","0.26%"
"01/09/2026","4,704","4,620","4,727","4,620","240.75K","1.86%"
"01/08/2026","4,618","4,562","4,675","4,550","295.46K","0.83%"
"01/07/2026","4,580","4,600","4,617","4,519","578.70K","-0.24%"
"01/06/2026","4,591","4,512","4,641","4,501","225.18K","1.37%"
"01/05/2026","4,529","4,561","4,582","4,490","272.22K","0.15%"
"01/02/2026","4,522","4,468","4,569","4,414","347.22K","1.48%"
"12/31/2025","4,456","4,440","4,489","4,429","97.94K","0.36%"
"12/30/2025","4,440","4,413","4,465","4,400","214.56K","0.86%"
"12/29/2025","4,402","4,460","4,493","4,298","416.81K","-1.30%"
"12/24/2025","4,460","4,431","4,472","4,401","65.48K","0.79%"
"12/23/2025","4,425","4,365","4,430","4,361","210.79K","1.40%"
"12/22/2025","4,364","4,319","4,382","4,289","223.19K","1.94%"
"12/19/2025","4,281","4,200","4,320","4,200","648.63K","0.14%"
"12/18/2025","4,275","4,274","4,340","4,241","207.55K","0.02%"
"12/17/2025","4,274","4,236","4,292","4,225","253.39K","0.90%"
"12/15/2025","4,236","4,195","4,262","4,156","111.72K","0.28%"
"12/12/2025","4,224","4,164","4,251","4,161","225.51K","1.32%"
"12/11/2025","4,169","4,193","4,263","4,161","215.49K","0.00%"
"12/10/2025","4,169","4,151","4,190","4,137","478.53K","0.70%"
"12/09/2025","4,140","4,148","4,168","4,088","455.57K","-0.24%"
"12/08/2025","4,150","4,192","4,192","4,115","465.99K","-0.36%"
"12/05/2025","4,165","4,148","4,193","4,125","399.17K","1.22%"
"12/04/2025","4,115","4,101","4,136","4,092","212.05K","0.37%"
"12/03/2025","4,100","4,075","4,190","4,075","501.26K","2.50%"
"12/02/2025","4,000","3,950","4,029","3,922","467.38K","1.50%"
"12/01/2025","3,941","4,014","4,032","3,917","563.96K","-2.21%"
"11/28/2025","4,030","4,024","4,076","4,001","1.39M","1.15%"
"11/27/2025","3,984","3,987","4,114","3,977","768.91K","0.81%"
"11/26/2025","3,952","3,931","4,006","3,908","295.71K","-1.96%"
"11/25/2025","4,031","4,010","4,050","3,980","393.73K","0.67%"
"11/24/2025","4,004","4,049","4,049","3,996","812.62K","-0.20%"
"11/21/2025","4,012","4,012","4,036","3,955","792.79K","-0.72%"
"11/20/2025","4,041","4,053","4,200","4,012","1.23M","1.03%"
"11/19/2025","4,000","3,890","4,043","3,866","1.02M","2.56%"
"11/18/2025","3,900","3,970","4,006","3,841","1.53M","-1.89%"
"11/17/2025","3,975","3,958","4,001","3,938","1.24M","0.15%"
"11/14/2025","3,969","4,109","4,109","3,926","861.09K","-1.44%"
"11/13/2025","4,027","4,167","4,177","3,929","2.05M","-3.80%"
"11/12/2025","4,186","4,157","4,208","4,095","846.30K","1.01%"
"11/11/2025","4,144","4,050","4,151","4,035","1.05M","1.94%"
"11/10/2025","4,065","4,021","4,123","4,005","1.78M","1.63%"
"11/07/2025","4,000","4,017","4,064","3,959","2.00M","-0.87%"
"11/06/2025","4,035","4,158","4,164","3,980","504.67K","-3.05%"
"11/05/2025","4,162","4,162","4,233","4,114","2.20M","-0.07%"
"11/04/2025","4,165","4,166","4,195","4,100","378.09K","-0.43%"
"11/03/2025","4,183","4,177","4,200","4,109","123.78K","0.87%"
"10/31/2025","4,147","4,113","4,220","4,080","425.20K","0.29%"
"10/30/2025","4,135","4,201","4,377","4,135","151.79K","-1.64%"
"10/29/2025","4,204","4,202","4,269","4,167","248.42K","-0.61%"
"10/28/2025","4,230","4,294","4,350","4,177","381.45K","-0.54%"
"10/27/2025","4,253","4,165","4,296","4,158","545.39K","2.16%"
"10/24/2025","4,163","4,398","4,400","4,150","346.65K","-5.00%"
"10/23/2025","4,382","4,230","4,432","4,061","774.79K","0.78%"
"10/22/2025","4,348","4,320","4,428","4,215","389.01K","2.31%"
"10/21/2025","4,250","4,253","4,423","4,190","666.76K","-0.47%"
"10/20/2025","4,270","4,341","4,341","4,250","102.59K","-0.58%"
"10/17/2025","4,295","4,335","4,341","4,274","85.37K","-1.56%"
"10/16/2025","4,363","4,383","4,430","4,327","552.24K","0.51%"
"10/15/2025","4,341","4,450","4,488","4,341","2.76M","-1.25%"
"10/14/2025","4,396","4,450","4,450","4,346","451.71K","-0.59%"
"10/13/2025","4,422","4,489","4,508","4,410","319.88K","-2.17%"
"10/10/2025","4,520","4,450","4,547","4,306","672.18K","4.63%"
"10/09/2025","4,320","4,392","4,446","4,315","389.96K","-2.02%"
"10/08/2025","4,409","4,200","4,450","4,199","304.44K","4.73%"
"10/07/2025","4,210","4,103","4,210","4,100","733.65K","1.94%"
"10/06/2025","4,130","4,207","4,215","4,101","250.65K","-2.02%"
"10/03/2025","4,215","4,126","4,230","4,122","561.11K","2.13%"
"10/02/2025","4,127","4,149","4,251","4,117","209.75K","-1.39%"
"10/01/2025","4,185","4,350","4,350","4,141","442.38K","-1.76%"
"09/30/2025","4,260","4,301","4,331","4,180","617.31K","-2.07%"
"09/29/2025","4,350","4,356","4,364","4,313","337.81K","0.07%"
"09/26/2025","4,347","4,416","4,426","4,284","722.67K","-1.02%"
"09/25/2025","4,392","4,347","4,408","4,279","975.26K","1.78%"
"09/23/2025","4,315","4,311","4,336","4,227","626.86K","0.35%"
"09/22/2025","4,300","4,260","4,308","4,230","460.66K","1.15%"
"09/19/2025","4,251","4,309","4,309","4,141","518.84K","-0.14%"
"09/18/2025","4,257","4,145","4,320","4,145","291.70K","1.45%"
"09/17/2025","4,196","4,031","4,202","4,031","393.90K","1.60%"
"09/16/2025","4,130","4,100","4,166","4,036","560.11K","-0.48%"
"09/15/2025","4,150","4,027","4,162","4,027","674.05K","1.19%"
"09/12/2025","4,101","4,050","4,110","3,922","875.06K","2.24%"
"09/11/2025","4,011","4,108","4,151","4,010","758.48K","-3.00%"
"09/10/2025","4,135","4,147","4,314","4,101","77.02K","-0.82%"
"09/09/2025","4,169","4,300","4,300","4,143","122.64K","-1.07%"
"09/08/2025","4,214","4,218","4,301","4,202","259.17K","-0.12%"
"09/05/2025","4,219","4,228","4,273","4,201","144.54K","-0.42%"
"09/04/2025","4,237","4,301","4,454","4,206","182.41K","-1.49%"
"09/03/2025","4,301","4,401","4,401","4,249","180.96K","-0.67%"
"09/02/2025","4,330","4,499","4,499","4,301","304.36K","-0.30%"
"09/01/2025","4,343","4,396","4,414","4,330","164.90K","-1.14%"
"08/29/2025","4,393","4,371","4,451","4,371","179.65K","0.50%"
"08/28/2025","4,371","4,350","4,433","4,350","145.68K","0.60%"
"08/27/2025","4,345","4,420","4,436","4,345","142.62K","-1.72%"
"08/26/2025","4,421","4,515","4,532","4,421","223.50K","-2.49%"
"08/25/2025","4,534","4,547","4,561","4,492","57.54K","-0.50%"
"08/22/2025","4,557","4,555","4,560","4,475","75.54K","0.62%"
"08/21/2025","4,529","4,569","4,584","4,529","109.32K","-0.44%"
"08/20/2025","4,549","4,600","4,619","4,537","161.43K","-1.56%"
"08/19/2025","4,621","4,538","4,665","4,534","313.42K","0.90%"
"08/18/2025","4,580","4,585","4,634","4,532","328.45K","-0.43%"
"08/15/2025","4,600","4,594","4,633","4,563","292.35K","-0.22%"
"08/14/2025","4,610","4,517","4,640","4,426","425.15K","2.44%"
"08/13/2025","4,500","4,453","4,522","4,444","188.98K","1.08%"
"08/12/2025","4,452","4,359","4,491","4,359","76.09K","0.72%"
"08/11/2025","4,420","4,522","4,582","4,386","636.63K","-2.39%"
"08/08/2025","4,528","4,549","4,549","4,468","412.63K","-0.04%"
"08/07/2025","4,530","4,502","4,560","4,473","797.85K","0.62%"
"08/06/2025","4,502","4,469","4,515","4,459","113.78K","0.60%"
"08/05/2025","4,475","4,400","4,558","4,400","381.53K","-0.02%"
"08/04/2025","4,476","4,445","4,495","4,419","220.68K","1.11%"
"08/01/2025","4,427","4,521","4,605","4,358","1.36M","-1.86%"
"07/31/2025","4,511","4,511","4,555","4,510","405.89K","-0.42%"
"07/30/2025","4,530","4,500","4,594","4,461","381.54K","0.67%"
"07/29/2025","4,500","4,542","4,574","4,478","212.58K","-0.44%"
"07/28/2025","4,520","4,682","4,682","4,515","285.10K","-2.82%"
"07/25/2025","4,651","4,760","4,760","4,651","166.65K","-2.35%"
"07/24/2025","4,763","4,774","4,788","4,720","85.36K","0.61%"
"07/23/2025","4,734","4,892","4,892","4,697","284.73K","-2.89%"
"07/22/2025","4,875","4,861","4,887","4,830","288.28K","0.52%"
"07/21/2025","4,850","4,829","4,878","4,814","284.71K","0.41%"
"07/18/2025","4,830","4,781","4,854","4,745","190.81K","1.68%"
"07/17/2025","4,750","4,748","4,775","4,718","182.48K","0.19%"
"07/16/2025","4,741","4,804","4,810","4,724","1.44M","-0.71%"
"07/15/2025","4,775","4,666","4,806","4,653","1.91M","2.47%"
"07/14/2025","4,660","4,665","4,675","4,618","431.10K","0.06%"
"07/11/2025","4,657","4,682","4,682","4,625","619.99K","0.09%"
"07/10/2025","4,653","4,599","4,671","4,564","178.84K","1.15%"
"07/09/2025","4,600","4,567","4,635","4,543","2.10M","1.41%"
"07/08/2025","4,536","4,563","4,563","4,507","188.86K","0.24%"
"07/07/2025","4,525","4,526","4,567","4,500","216.45K","-0.09%"
"07/04/2025","4,529","4,524","4,597","4,489","142.87K","0.15%"
"07/03/2025","4,522","4,502","4,543","4,490","238.04K","0.82%"
"07/02/2025","4,485","4,473","4,491","4,380","353.14K","0.00%"
"07/01/2025","4,485","4,430","4,502","4,430","231.98K","0.79%"
"06/30/2025","4,450","4,463","4,494","4,435","253.09K","-0.34%"
"06/27/2025","4,465","4,468","4,500","4,410","208.21K","-0.31%"
"06/26/2025","4,479","4,500","4,724","4,419","585.42K","-1.04%"
"06/25/2025","4,526","4,561","4,605","4,484","588.30K","-1.01%"
"06/24/2025","4,572","4,552","4,644","4,525","259.74K","1.22%"
"06/23/2025","4,517","4,555","4,601","4,485","527.34K","-0.83%"
"06/20/2025","4,555","4,520","4,657","4,520","318.15K","-1.92%"
"06/19/2025","4,644","4,520","4,685","4,520","545.32K","0.00%"
"06/18/2025","4,644","4,585","4,644","4,540","304.42K","-0.66%"
"06/17/2025","4,675","4,654","4,716","4,616","356.44K","0.97%"
"06/13/2025","4,630","4,760","4,781","4,608","380.02K","-3.42%"
"06/12/2025","4,794","4,850","4,850","4,716","456.03K","0.33%"
"06/11/2025","4,778","4,968","4,968","4,778","449.07K","-3.57%"
"06/10/2025","4,955","4,974","5,050","4,951","573.61K","0.20%"
"06/09/2025","4,945","4,758","4,948","4,758","372.98K","3.89%"
"06/06/2025","4,760","4,780","4,792","4,701","690.17K","2.15%"
"06/05/2025","4,660","4,731","4,764","4,593","384.82K","-1.83%"
"06/04/2025","4,747","4,880","4,936","4,747","247.97K","-1.29%"
"06/03/2025","4,809","4,599","4,879","4,538","760.38K","6.39%"
"06/02/2025","4,520","4,355","4,597","4,355","2.30M","10.51%"
"05/30/2025","4,090","4,061","4,115","4,030","1.70M","0.76%"
"05/29/2025","4,059","4,150","4,150","4,059","303.21K","-2.19%"
"05/28/2025","4,150","4,255","4,275","4,116","213.53K","-1.73%"
"05/27/2025","4,223","4,272","4,275","4,192","131.17K","-0.73%"
"05/26/2025","4,254","4,221","4,304","4,207","80.26K","1.50%"
"05/23/2025","4,191","4,189","4,260","4,165","151.09K","-0.21%"
"05/22/2025","4,200","4,080","4,209","4,062","264.62K","2.34%"
"05/21/2025","4,104","4,100","4,141","4,084","178.94K","0.20%"
"05/20/2025","4,096","4,166","4,187","4,074","162.78K","-1.32%"
"05/19/2025","4,151","4,245","4,245","4,090","327.27K","-1.24%"
"05/16/2025","4,203","4,244","4,276","4,181","304.12K","-0.43%"
"05/15/2025","4,221","4,239","4,300","4,161","535.12K","-0.68%"
"05/14/2025","4,250","4,230","4,310","4,204","597.84K","0.47%"
"05/13/2025","4,230","4,261","4,315","4,180","766.52K","0.71%"
"05/12/2025","4,200","4,202","4,344","4,083","515.55K","-1.15%"
"05/09/2025","4,249","4,550","4,636","4,020","928.83K","-7.02%"
"05/08/2025","4,570","4,463","4,580","4,456","104.46K","1.83%"
"05/07/2025","4,488","4,500","4,586","4,442","347.84K","-1.04%"
"05/06/2025","4,535","4,519","4,586","4,486","232.65K","0.24%"
"05/05/2025","4,524","4,430","4,557","4,430","175.11K","1.75%"
"05/02/2025","4,446","4,427","4,513","4,396","303.77K","0.91%"
"04/30/2025","4,406","4,378","4,458","4,373","269.22K","0.62%"
"04/29/2025","4,379","4,431","4,460","4,329","296.29K","0.71%"
"04/25/2025","4,348","4,275","4,411","4,275","248.16K","0.02%"
"04/24/2025","4,347","4,292","4,381","4,286","273.45K","0.95%"
