"Date","Price","Open","High","Low","Vol.","Change %"
"04/07/2026","601","597","605","587","10.71M","0.17%"
"04/02/2026","600","603","603","585","4.50M","0.00%"
"04/01/2026","600","600","608","596","9.34M","0.84%"
"03/31/2026","595","589","608","586","14.44M","1.19%"
"03/30/2026","588","600","600","577","25.50M","-0.68%"
"03/27/2026","592","600","602","580","15.39M","-1.66%"
"03/26/2026","602","604","608","594","10.20M","-1.31%"
"03/25/2026","610","613","613","600","19.91M","1.16%"
"03/24/2026","603","612","612","585","11.75M","0.33%"
"03/23/2026","601","585","609","582","16.91M","-0.50%"
"03/20/2026","604","609","616","601","42.59M","0.33%"
"03/19/2026","602","617","617","587","10.90M","-0.82%"
"03/18/2026","607","611","629","607","13.63M","-0.49%"
"03/17/2026","610","605","612","603","5.83M","0.00%"
"03/16/2026","610","599","610","595","8.11M","1.50%"
"03/13/2026","601","605","605","593","19.80M","-0.66%"
"03/12/2026","605","630","630","601","10.99M","-1.79%"
"03/11/2026","616","626","630","607","21.03M","-1.60%"
"03/10/2026","626","607","637","607","35.81M","2.45%"
"03/09/2026","611","633","633","607","46.70M","-3.93%"
"03/06/2026","636","660","660","634","26.66M","-3.20%"
"03/05/2026","657","668","668","657","26.22M","-0.30%"
"03/04/2026","659","665","672","659","24.46M","-1.20%"
"03/03/2026","667","670","685","663","20.35M","-2.49%"
"03/02/2026","684","675","692","675","25.15M","-1.30%"
"02/27/2026","693","680","695","673","32.20M","2.06%"
"02/26/2026","679","688","696","679","13.76M","-1.31%"
"02/25/2026","688","693","695","684","5.26M","-0.58%"
"02/24/2026","692","690","695","683","5.31M","0.14%"
"02/23/2026","691","680","691","680","4.31M","1.47%"
"02/20/2026","681","689","691","681","9.41M","-0.73%"
"02/19/2026","686","683","690","677","12.30M","0.44%"
"02/18/2026","683","681","688","677","8.28M","0.74%"
"02/17/2026","678","670","685","665","21.81M","1.19%"
"02/16/2026","670","682","684","664","17.94M","0.90%"
"02/13/2026","664","667","681","664","9.14M","-2.06%"
"02/12/2026","678","672","682","666","9.73M","0.89%"
"02/11/2026","672","661","673","659","11.04M","1.66%"
"02/10/2026","661","660","666","653","13.70M","0.00%"
"02/09/2026","661","654","675","654","15.84M","-0.45%"
"02/06/2026","664","648","668","645","7.66M","2.47%"
"02/05/2026","648","646","658","641","14.71M","0.31%"
"02/04/2026","646","645","648","632","14.72M","0.94%"
"02/03/2026","640","640","650","638","13.70M","0.95%"
"02/02/2026","634","623","639","615","8.45M","1.60%"
"01/30/2026","624","638","638","623","11.03M","-0.64%"
"01/29/2026","628","624","637","618","14.26M","1.95%"
"01/28/2026","616","607","619","601","9.06M","2.16%"
"01/27/2026","603","639","639","601","40.50M","-3.83%"
"01/26/2026","627","639","642","627","4.74M","-0.79%"
"01/23/2026","632","646","646","628","3.47M","-0.78%"
"01/22/2026","637","634","647","632","8.04M","1.11%"
"01/21/2026","630","632","635","624","5.18M","0.16%"
"01/20/2026","629","630","631","621","5.06M","0.64%"
"01/19/2026","625","633","633","616","4.40M","0.81%"
"01/16/2026","620","615","626","615","4.24M","0.65%"
"01/15/2026","616","630","630","615","3.73M","-0.16%"
"01/14/2026","617","645","645","615","8.66M","-1.91%"
"01/13/2026","629","620","643","616","11.20M","1.78%"
"01/12/2026","618","626","627","614","3.51M","-1.44%"
"01/09/2026","627","627","628","620","4.45M","0.48%"
"01/08/2026","624","626","631","621","7.01M","0.00%"
"01/07/2026","624","621","628","616","5.75M","0.97%"
"01/06/2026","618","608","621","606","8.01M","1.81%"
"01/05/2026","607","605","608","598","4.50M","0.83%"
"01/02/2026","602","601","602","586","4.88M","0.33%"
"12/31/2025","600","599","600","594","1.45M","0.50%"
"12/30/2025","597","593","601","591","4.85M","-0.17%"
"12/29/2025","598","591","599","588","2.68M","1.87%"
"12/24/2025","587","594","595","587","1.79M","-0.34%"
"12/23/2025","589","594","594","585","5.37M","-0.67%"
"12/22/2025","593","591","594","583","10.25M","0.51%"
"12/19/2025","590","600","600","555","26.20M","-0.67%"
"12/18/2025","594","589","598","580","9.95M","1.89%"
"12/17/2025","583","583","587","569","6.03M","1.22%"
"12/15/2025","576","581","584","571","13.52M","-0.86%"
"12/12/2025","581","585","590","577","9.78M","0.00%"
"12/11/2025","581","580","581","570","12.87M","0.87%"
"12/10/2025","576","574","584","571","9.14M","0.00%"
"12/09/2025","576","589","589","573","9.88M","-1.37%"
"12/08/2025","584","591","594","584","8.80M","-1.52%"
"12/05/2025","593","596","600","587","10.32M","0.00%"
"12/04/2025","593","596","601","592","10.32M","-0.67%"
"12/03/2025","597","577","598","575","6.99M","3.29%"
"12/02/2025","578","576","584","575","12.62M","-0.34%"
"12/01/2025","580","586","588","576","9.65M","-0.85%"
"11/28/2025","585","584","594","584","15.31M","-0.85%"
"11/27/2025","590","593","597","589","9.74M","-1.34%"
"11/26/2025","598","594","600","589","12.53M","0.67%"
"11/25/2025","594","600","600","587","7.22M","-0.17%"
"11/24/2025","595","604","604","594","14.52M","-0.50%"
"11/21/2025","598","604","607","595","18.23M","-1.32%"
"11/20/2025","606","580","614","580","29.95M","3.06%"
"11/19/2025","588","566","588","564","11.95M","0.17%"
"11/18/2025","587","597","611","585","16.86M","-3.14%"
"11/17/2025","606","591","606","591","12.05M","2.71%"
"11/14/2025","590","597","598","580","6.74M","-1.17%"
"11/13/2025","597","595","600","588","26.36M","0.84%"
"11/12/2025","592","568","594","566","13.62M","4.96%"
"11/11/2025","564","572","575","563","6.55M","-1.57%"
"11/10/2025","573","566","575","563","4.67M","1.42%"
"11/07/2025","565","558","571","558","4.43M","1.07%"
"11/06/2025","559","561","565","555","5.16M","0.72%"
"11/05/2025","555","560","567","554","10.05M","-0.36%"
"11/04/2025","557","566","567","555","10.29M","-1.42%"
"11/03/2025","565","548","567","542","7.60M","4.63%"
"10/31/2025","540","544","544","537","15.51M","-1.10%"
"10/30/2025","546","545","548","534","10.96M","-0.18%"
"10/29/2025","547","548","552","544","5.90M","0.00%"
"10/28/2025","547","538","550","537","12.18M","2.05%"
"10/27/2025","536","548","548","533","16.26M","-0.74%"
"10/24/2025","540","555","555","540","16.19M","-1.82%"
"10/23/2025","550","545","556","538","10.70M","1.10%"
"10/22/2025","544","543","546","539","11.62M","1.49%"
"10/21/2025","536","544","544","532","3.17M","-0.74%"
"10/20/2025","540","533","544","531","7.15M","1.31%"
"10/17/2025","533","531","534","521","11.15M","0.19%"
"10/16/2025","532","520","532","519","10.17M","2.31%"
"10/15/2025","520","529","532","519","15.65M","-1.14%"
"10/14/2025","526","524","533","523","4.46M","0.38%"
"10/13/2025","524","529","535","522","7.57M","-1.13%"
"10/10/2025","530","519","531","516","13.18M","2.12%"
"10/09/2025","519","510","519","506","8.55M","1.17%"
"10/08/2025","513","515","518","508","7.39M","0.00%"
"10/07/2025","513","514","519","506","8.38M","-0.39%"
"10/06/2025","515","509","516","502","6.03M","1.58%"
"10/03/2025","507","493","509","491","5.65M","2.84%"
"10/02/2025","493","486","502","486","12.10M","-0.60%"
"10/01/2025","496","501","501","494","4.76M","-0.20%"
"09/30/2025","497","499","501","493","10.52M","0.81%"
"09/29/2025","493","500","503","493","7.99M","-1.40%"
"09/26/2025","500","499","503","489","12.65M","0.00%"
"09/25/2025","500","510","510","498","7.46M","-2.15%"
"09/23/2025","511","502","513","501","7.43M","1.39%"
"09/22/2025","504","509","509","498","8.58M","-0.79%"
"09/19/2025","508","507","508","496","42.00M","0.59%"
"09/18/2025","505","498","507","498","10.20M","0.20%"
"09/17/2025","504","497","505","494","6.33M","1.41%"
"09/16/2025","497","514","514","497","7.24M","-1.97%"
"09/15/2025","507","510","511","506","4.31M","-0.39%"
"09/12/2025","509","505","513","503","4.28M","0.39%"
"09/11/2025","507","496","511","490","6.91M","2.22%"
"09/10/2025","496","494","500","494","5.66M","0.61%"
"09/09/2025","493","490","495","487","5.81M","0.20%"
"09/08/2025","492","495","495","486","5.38M","0.41%"
"09/05/2025","490","490","493","483","8.89M","0.00%"
"09/04/2025","490","492","493","487","8.64M","-0.20%"
"09/03/2025","491","499","503","487","12.67M","-2.19%"
"09/02/2025","502","514","514","500","8.61M","-1.18%"
"09/01/2025","508","508","511","505","3.28M","0.40%"
"08/29/2025","506","510","512","504","8.10M","-0.59%"
"08/28/2025","509","511","518","509","5.66M","-0.39%"
"08/27/2025","511","501","513","501","14.15M","0.99%"
"08/26/2025","506","505","509","494","21.35M","-0.39%"
"08/25/2025","508","495","509","495","7.40M","2.01%"
"08/22/2025","498","500","503","496","12.83M","-0.20%"
"08/21/2025","499","493","500","493","11.68M","1.22%"
"08/20/2025","493","493","501","493","8.35M","-0.60%"
"08/19/2025","496","497","498","492","6.28M","0.00%"
"08/18/2025","496","494","498","490","5.25M","0.40%"
"08/15/2025","494","490","496","488","4.95M","0.20%"
"08/14/2025","493","492","494","489","6.77M","0.61%"
"08/13/2025","490","493","495","486","5.62M","-0.81%"
"08/12/2025","494","494","496","488","7.50M","0.82%"
"08/11/2025","490","487","491","485","5.18M","1.24%"
"08/08/2025","484","478","486","478","8.06M","1.26%"
"08/07/2025","478","476","480","470","10.84M","0.00%"
"08/06/2025","478","486","486","478","2.72M","-0.62%"
"08/05/2025","481","480","488","477","5.83M","0.63%"
"08/04/2025","478","482","482","474","7.04M","0.42%"
"08/01/2025","476","480","483","474","10.76M","-1.45%"
"07/31/2025","483","484","486","479","9.27M","0.21%"
"07/30/2025","482","477","486","477","3.99M","0.84%"
"07/29/2025","478","480","480","473","3.74M","0.63%"
"07/28/2025","475","474","479","469","3.07M","0.21%"
"07/25/2025","474","485","485","471","4.41M","-2.27%"
"07/24/2025","485","489","492","485","4.93M","-0.41%"
"07/23/2025","487","485","489","484","13.20M","0.41%"
"07/22/2025","485","482","488","479","6.27M","1.25%"
"07/21/2025","479","483","484","477","8.64M","-0.21%"
"07/18/2025","480","480","484","473","11.93M","0.00%"
"07/17/2025","480","476","481","475","6.64M","0.63%"
"07/16/2025","477","475","477","470","8.31M","0.85%"
"07/15/2025","473","473","481","472","10.59M","0.00%"
"07/14/2025","473","465","474","465","6.49M","0.85%"
"07/11/2025","469","466","471","460","7.92M","0.21%"
"07/10/2025","468","466","469","463","5.08M","-0.21%"
"07/09/2025","469","467","469","462","6.16M","0.43%"
"07/08/2025","467","468","473","465","17.65M","-0.64%"
"07/07/2025","470","466","474","461","5.27M","0.43%"
"07/04/2025","468","454","468","453","4.73M","3.08%"
"07/03/2025","454","450","458","450","14.94M","0.22%"
"07/02/2025","453","457","460","450","6.69M","-1.52%"
"07/01/2025","460","459","461","453","16.67M","0.44%"
"06/30/2025","458","455","461","453","8.55M","-0.22%"
"06/27/2025","459","454","459","452","6.56M","0.66%"
"06/26/2025","456","460","461","453","8.74M","-0.22%"
"06/25/2025","457","454","459","453","5.46M","0.88%"
"06/24/2025","453","452","460","448","7.04M","0.89%"
"06/23/2025","449","447","453","445","6.64M","0.00%"
"06/20/2025","449","455","460","447","48.89M","-1.32%"
"06/19/2025","455","449","455","445","7.03M","0.89%"
"06/18/2025","451","444","452","441","6.00M","1.12%"
"06/17/2025","446","459","459","445","14.15M","-0.67%"
"06/13/2025","449","462","465","449","5.84M","-3.44%"
"06/12/2025","465","466","467","463","6.76M","-0.21%"
"06/11/2025","466","467","471","462","6.88M","-0.21%"
"06/10/2025","467","470","471","463","8.49M","0.00%"
"06/09/2025","467","473","475","467","6.12M","-1.27%"
"06/06/2025","473","466","478","466","8.87M","1.28%"
"06/05/2025","467","465","472","465","11.26M","-1.27%"
"06/04/2025","473","474","484","472","7.89M","-1.25%"
"06/03/2025","479","470","479","465","27.54M","2.57%"
"06/02/2025","467","468","471","463","15.31M","-0.21%"
"05/30/2025","468","455","470","455","26.41M","2.18%"
"05/29/2025","458","442","459","442","45.97M","3.62%"
"05/28/2025","442","435","444","435","9.47M","-3.70%"
"05/27/2025","459","455","461","452","11.14M","0.00%"
"05/26/2025","459","458","462","455","6.82M","0.44%"
"05/23/2025","457","453","457","449","7.76M","0.88%"
"05/22/2025","453","454","454","449","9.76M","-0.44%"
"05/21/2025","455","450","458","450","11.39M","0.66%"
"05/20/2025","452","456","457","446","8.27M","-0.88%"
"05/19/2025","456","450","457","447","8.51M","1.33%"
"05/16/2025","450","440","453","439","4.21M","2.27%"
"05/15/2025","440","440","446","435","14.23M","-0.45%"
"05/14/2025","442","450","450","440","20.96M","-1.12%"
