"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","54,788","56,700","56,700","54,397","181.34K","-0.55%"
"03/26/2026","55,090","56,249","56,687","54,841","155.60K","-0.65%"
"03/25/2026","55,450","54,866","55,500","54,522","298.57K","1.44%"
"03/24/2026","54,662","55,014","55,468","54,502","390.38K","-0.88%"
"03/23/2026","55,147","55,821","56,758","54,372","1.05M","-0.64%"
"03/20/2026","55,500","57,099","57,099","55,500","1.20M","-1.60%"
"03/19/2026","56,400","56,300","57,074","55,501","1.45M","0.12%"
"03/18/2026","56,330","56,001","57,180","56,001","644.12K","-0.11%"
"03/17/2026","56,392","54,501","56,653","54,501","654.19K","2.14%"
"03/16/2026","55,209","54,477","55,953","53,799","607.53K","2.88%"
"03/13/2026","53,662","53,304","54,015","53,100","314.21K","0.84%"
"03/12/2026","53,215","53,151","53,577","53,001","234.57K","-0.41%"
"03/11/2026","53,434","55,696","55,696","53,100","350.17K","-1.32%"
"03/10/2026","54,151","53,539","54,771","53,447","576.82K","1.44%"
"03/09/2026","53,384","55,156","56,189","53,100","503.72K","-2.94%"
"03/06/2026","55,000","53,865","55,438","53,088","468.66K","3.38%"
"03/05/2026","53,200","53,468","53,803","53,080","463.64K","-0.49%"
"03/04/2026","53,462","54,343","54,343","53,092","331.81K","-0.10%"
"03/03/2026","53,517","54,851","55,289","53,253","496.66K","-2.84%"
"03/02/2026","55,079","56,275","56,277","54,851","271.09K","-2.13%"
"02/27/2026","56,275","56,000","56,275","55,268","527.82K","0.71%"
"02/26/2026","55,881","55,300","56,343","55,191","280.69K","1.05%"
"02/25/2026","55,300","54,477","55,937","54,477","206.10K","-0.69%"
"02/24/2026","55,687","55,304","55,869","54,421","145.19K","1.48%"
"02/23/2026","54,875","55,857","55,857","54,357","207.93K","-0.59%"
"02/20/2026","55,200","54,801","55,298","54,504","167.92K","0.73%"
"02/19/2026","54,801","55,100","56,091","54,781","295.95K","-1.26%"
"02/18/2026","55,500","54,400","55,942","54,400","197.95K","1.66%"
"02/17/2026","54,592","54,300","54,727","54,063","181.78K","0.45%"
"02/16/2026","54,350","54,000","54,547","53,580","152.23K","0.65%"
"02/13/2026","54,000","54,544","54,544","53,576","298.31K","-0.86%"
"02/12/2026","54,467","55,077","55,077","53,973","236.54K","0.11%"
"02/11/2026","54,409","55,433","55,433","54,409","301.66K","-1.85%"
"02/10/2026","55,433","55,355","55,614","54,350","295.74K","0.67%"
"02/09/2026","55,065","56,000","56,000","54,772","178.39K","-0.40%"
"02/06/2026","55,286","55,577","55,688","54,501","262.78K","1.07%"
"02/05/2026","54,700","54,940","55,009","54,336","204.12K","-0.07%"
"02/04/2026","54,738","54,500","54,836","53,221","320.77K","0.55%"
"02/03/2026","54,440","55,244","55,244","53,800","595.33K","-1.20%"
"02/02/2026","55,100","56,484","56,484","54,500","609.17K","-0.77%"
"01/30/2026","55,528","56,776","56,776","55,051","947.77K","-0.84%"
"01/29/2026","56,000","55,816","56,510","55,372","291.91K","0.24%"
"01/28/2026","55,865","56,024","56,251","55,500","307.45K","-0.92%"
"01/27/2026","56,383","57,000","57,000","56,167","166.59K","0.33%"
"01/26/2026","56,200","56,939","57,304","55,918","424.54K","-1.36%"
"01/23/2026","56,975","57,500","57,500","56,450","384.22K","-0.22%"
"01/22/2026","57,100","56,575","57,600","56,575","312.08K","1.13%"
"01/21/2026","56,463","57,215","57,215","55,839","238.33K","-1.07%"
"01/20/2026","57,075","58,209","58,209","56,557","120.36K","-0.50%"
"01/19/2026","57,362","58,006","58,438","57,159","157.39K","-2.54%"
"01/16/2026","58,857","57,595","59,342","57,519","551.99K","0.78%"
"01/15/2026","58,399","57,463","58,433","57,000","370.56K","2.45%"
"01/14/2026","57,000","58,300","58,300","56,778","226.81K","-0.91%"
"01/13/2026","57,521","58,350","58,350","57,059","346.98K","0.10%"
"01/12/2026","57,464","58,207","58,207","56,831","166.43K","-0.46%"
"01/09/2026","57,728","58,000","58,398","57,707","131.26K","-0.75%"
"01/08/2026","58,166","57,395","58,189","57,250","190.13K","1.16%"
"01/07/2026","57,500","57,928","57,928","56,417","466.78K","0.25%"
"01/06/2026","57,354","57,250","57,996","57,152","232.67K","0.18%"
"01/05/2026","57,251","57,657","57,657","56,512","190.87K","-0.69%"
"01/02/2026","57,648","58,236","58,245","56,797","99.68K","-0.61%"
"12/31/2025","58,000","57,963","58,000","57,447","91.62K","0.42%"
"12/30/2025","57,758","57,709","58,125","57,538","96.44K","0.31%"
"12/29/2025","57,580","57,499","58,400","57,137","154.31K","-0.03%"
"12/24/2025","57,600","56,501","57,976","56,501","62.63K","0.25%"
"12/23/2025","57,454","55,777","57,627","55,777","164.87K","0.80%"
"12/22/2025","57,000","56,821","57,101","56,418","297.11K","0.61%"
"12/19/2025","56,657","57,457","57,457","55,001","856.46K","-0.10%"
"12/18/2025","56,715","56,455","57,214","56,229","1.23M","0.65%"
"12/17/2025","56,350","57,776","57,776","55,600","272.79K","0.77%"
"12/15/2025","55,921","55,029","56,326","55,029","260.60K","0.79%"
"12/12/2025","55,481","56,500","57,331","55,080","389.79K","-0.52%"
"12/11/2025","55,769","55,661","56,098","55,525","278.61K","-0.06%"
"12/10/2025","55,802","56,417","56,417","55,378","246.02K","0.54%"
"12/09/2025","55,500","55,533","55,766","55,239","590.64K","-0.17%"
"12/08/2025","55,592","56,219","56,221","55,523","435.27K","-1.13%"
"12/05/2025","56,225","56,899","56,899","55,748","234.08K","0.32%"
"12/04/2025","56,048","56,799","56,799","55,530","267.98K","-0.07%"
"12/03/2025","56,090","58,399","58,399","55,501","173.42K","0.58%"
"12/02/2025","55,767","57,500","57,500","55,523","205.21K","-1.60%"
"12/01/2025","56,675","56,679","58,144","56,524","283.02K","-2.12%"
"11/28/2025","57,900","57,799","58,158","57,408","469.31K","0.22%"
"11/27/2025","57,773","58,800","58,801","57,501","293.97K","-1.35%"
"11/26/2025","58,562","57,800","58,792","57,500","256.69K","1.49%"
"11/25/2025","57,700","57,299","57,745","56,723","378.41K","0.70%"
"11/24/2025","57,300","58,390","58,390","57,036","554.87K","0.53%"
"11/21/2025","57,000","57,500","57,942","56,207","528.42K","-1.39%"
"11/20/2025","57,801","57,999","58,400","57,450","647.12K","0.36%"
"11/19/2025","57,596","57,499","57,833","56,199","412.88K","0.60%"
"11/18/2025","57,250","55,999","57,354","55,555","410.49K","1.89%"
"11/17/2025","56,190","56,700","57,236","56,001","319.34K","0.16%"
"11/14/2025","56,100","56,148","56,349","55,724","204.80K","-0.04%"
"11/13/2025","56,123","57,799","57,980","56,123","315.69K","-1.96%"
"11/12/2025","57,246","57,000","57,853","56,200","445.66K","1.52%"
"11/11/2025","56,389","55,810","57,073","55,318","854.83K","1.42%"
"11/10/2025","55,600","55,000","55,794","54,530","216.45K","1.20%"
"11/07/2025","54,941","55,262","55,545","54,538","372.35K","-0.59%"
"11/06/2025","55,267","54,725","55,493","54,285","224.52K","0.68%"
"11/05/2025","54,892","54,454","54,914","53,902","260.90K","0.28%"
"11/04/2025","54,739","54,501","54,811","53,909","362.95K","0.44%"
"11/03/2025","54,501","55,809","55,949","54,500","222.28K","-1.71%"
"10/31/2025","55,449","55,999","56,197","54,625","244.56K","0.57%"
"10/30/2025","55,136","56,049","56,990","54,570","172.41K","-0.12%"
"10/29/2025","55,200","55,452","55,769","54,479","261.82K","-0.87%"
"10/28/2025","55,687","55,000","56,422","55,000","221.42K","0.69%"
"10/27/2025","55,305","55,979","56,776","54,961","413.46K","-1.59%"
"10/24/2025","56,200","57,124","57,124","54,760","739.94K","0.33%"
"10/23/2025","56,013","53,864","56,248","53,864","785.08K","1.84%"
"10/22/2025","55,000","51,000","55,000","51,000","1.20M","8.07%"
"10/21/2025","50,894","50,278","50,949","50,085","389.17K","1.23%"
"10/20/2025","50,277","50,311","50,840","50,277","156.72K","-0.05%"
"10/17/2025","50,301","50,999","50,999","50,070","313.27K","-0.39%"
"10/16/2025","50,500","50,590","50,991","50,384","275.08K","-0.18%"
"10/15/2025","50,590","50,271","50,899","50,271","202.89K","0.13%"
"10/14/2025","50,525","50,321","51,676","50,107","178.36K","-1.11%"
"10/13/2025","51,092","51,770","51,909","50,355","137.60K","0.82%"
"10/10/2025","50,676","51,000","51,724","50,676","232.28K","-0.98%"
"10/09/2025","51,179","50,000","51,188","49,500","283.92K","1.81%"
"10/08/2025","50,270","50,309","50,574","49,800","248.97K","-0.30%"
"10/07/2025","50,423","50,900","51,325","50,395","393.56K","-0.93%"
"10/06/2025","50,896","50,556","51,158","50,556","415.82K","0.09%"
"10/03/2025","50,850","50,977","51,594","50,723","475.99K","0.30%"
"10/02/2025","50,700","50,999","50,999","50,477","402.08K","0.50%"
"10/01/2025","50,450","51,000","51,000","49,994","334.46K","-0.10%"
"09/30/2025","50,500","51,000","51,000","50,274","432.79K","-0.42%"
"09/29/2025","50,712","50,950","50,950","50,321","388.14K","0.02%"
"09/26/2025","50,700","50,800","50,800","49,935","214.44K","0.64%"
"09/25/2025","50,380","51,400","51,400","50,055","564.87K","-1.87%"
"09/23/2025","51,342","51,950","51,950","51,001","194.74K","-0.31%"
"09/22/2025","51,500","52,259","52,259","51,500","268.27K","-1.45%"
"09/19/2025","52,259","52,301","52,796","52,000","520.30K","-0.57%"
"09/18/2025","52,560","53,900","53,900","52,027","607.65K","0.86%"
"09/17/2025","52,111","52,100","52,434","51,900","132.45K","0.06%"
"09/16/2025","52,080","52,038","52,327","51,901","186.52K","0.12%"
"09/15/2025","52,020","52,350","52,350","51,791","180.69K","0.11%"
"09/12/2025","51,965","52,899","52,899","51,710","210.14K","-0.47%"
"09/11/2025","52,210","52,719","53,452","51,500","191.22K","0.40%"
"09/10/2025","52,000","52,499","52,500","51,412","281.52K","-0.95%"
"09/09/2025","52,500","52,102","52,718","51,897","386.57K","0.77%"
"09/08/2025","52,100","54,075","54,075","51,617","273.45K","0.61%"
"09/05/2025","51,782","53,256","53,256","51,454","304.99K","0.54%"
"09/04/2025","51,506","51,700","52,100","51,001","433.50K","-1.12%"
"09/03/2025","52,087","53,630","53,630","51,534","507.33K","-1.15%"
"09/02/2025","52,693","53,999","53,999","52,378","382.07K","-1.69%"
"09/01/2025","53,600","53,201","54,098","53,201","262.28K","0.10%"
"08/29/2025","53,545","53,500","54,454","53,413","275.27K","-1.15%"
"08/28/2025","54,169","54,495","54,836","53,875","400.71K","0.47%"
"08/27/2025","53,916","54,000","54,228","53,517","246.50K","0.39%"
"08/26/2025","53,707","53,700","53,816","53,170","359.60K","0.10%"
"08/25/2025","53,653","53,337","54,248","53,150","192.73K","-1.01%"
"08/22/2025","54,199","53,400","54,199","53,179","180.53K","2.10%"
"08/21/2025","53,084","52,799","53,429","52,799","156.77K","0.16%"
"08/20/2025","53,000","52,518","53,190","52,129","172.18K","1.17%"
"08/19/2025","52,387","52,228","52,471","51,950","262.44K","0.40%"
"08/18/2025","52,179","52,530","52,890","52,179","138.28K","-0.89%"
"08/15/2025","52,646","52,473","52,704","52,239","114.37K","0.33%"
"08/14/2025","52,473","52,468","52,868","51,828","207.60K","-0.05%"
"08/13/2025","52,500","52,100","52,577","51,913","189.85K","0.61%"
"08/12/2025","52,182","52,260","52,450","51,900","151.80K","0.03%"
"08/11/2025","52,167","53,204","53,204","51,817","116.67K","-0.07%"
"08/08/2025","52,203","52,200","52,534","51,825","154.33K","-0.11%"
"08/07/2025","52,263","52,598","53,361","51,935","279.03K","0.08%"
"08/06/2025","52,222","51,851","52,673","51,851","202.53K","0.62%"
"08/05/2025","51,900","52,799","52,799","51,773","327.64K","-0.31%"
"08/04/2025","52,063","53,238","53,238","51,633","434.73K","-1.16%"
"08/01/2025","52,674","52,576","52,957","51,951","373.15K","0.05%"
"07/31/2025","52,650","52,590","53,138","52,565","495.74K","-0.60%"
"07/30/2025","52,966","52,801","52,966","52,511","339.41K","0.21%"
"07/29/2025","52,854","53,196","53,196","52,534","383.51K","-0.38%"
"07/28/2025","53,053","52,730","53,548","52,163","326.48K","0.62%"
"07/25/2025","52,728","51,892","52,728","51,663","310.68K","1.59%"
"07/24/2025","51,901","52,125","52,396","51,697","196.13K","-0.30%"
"07/23/2025","52,055","52,248","52,248","51,373","289.79K","0.86%"
"07/22/2025","51,613","52,897","53,298","51,578","229.55K","-2.43%"
"07/21/2025","52,898","52,250","53,278","52,188","395.00K","1.30%"
"07/18/2025","52,217","51,500","52,217","51,110","228.29K","1.88%"
"07/17/2025","51,254","51,744","51,744","50,917","536.38K","-0.21%"
"07/16/2025","51,363","52,170","52,170","51,243","553.51K","-0.84%"
"07/15/2025","51,800","53,000","53,000","51,423","587.32K","-1.12%"
"07/14/2025","52,389","53,036","53,158","52,268","431.73K","-1.88%"
"07/11/2025","53,394","53,700","54,250","52,706","369.21K","0.57%"
"07/10/2025","53,091","52,838","53,690","52,550","210.14K","0.45%"
"07/09/2025","52,855","53,800","53,806","52,185","421.78K","-1.04%"
"07/08/2025","53,409","53,998","55,784","53,401","678.85K","-0.33%"
"07/07/2025","53,587","53,000","53,763","52,500","752.88K","0.92%"
"07/04/2025","53,101","57,045","57,045","52,257","1.41M","-7.93%"
