"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","18,501","18,899","18,899","18,209","1.19M","-1.05%"
"03/26/2026","18,697","18,501","18,852","18,362","1.48M","0.66%"
"03/25/2026","18,574","18,600","18,961","18,153","1.70M","2.08%"
"03/24/2026","18,196","17,900","18,413","17,527","1.10M","1.66%"
"03/23/2026","17,898","17,900","18,600","17,657","1.21M","-1.07%"
"03/20/2026","18,092","18,299","18,620","17,966","3.76M","-0.17%"
"03/19/2026","18,123","18,400","18,530","17,703","4.19M","-1.51%"
"03/18/2026","18,400","18,689","18,916","18,367","951.62K","-1.04%"
"03/17/2026","18,593","18,430","18,754","18,345","1.10M","0.34%"
"03/16/2026","18,530","18,400","18,784","18,180","1.42M","2.00%"
"03/13/2026","18,166","18,000","18,435","17,714","1.29M","2.30%"
"03/12/2026","17,757","17,703","17,925","17,548","792.70K","-0.35%"
"03/11/2026","17,819","18,333","18,333","17,527","947.45K","-0.37%"
"03/10/2026","17,885","17,800","18,125","17,731","947.69K","0.88%"
"03/09/2026","17,729","17,607","17,828","17,434","787.29K","-0.26%"
"03/06/2026","17,776","18,159","18,396","17,654","1.03M","-3.39%"
"03/05/2026","18,400","17,986","18,600","17,986","837.54K","-0.14%"
"03/04/2026","18,426","18,398","18,529","18,017","949.63K","0.98%"
"03/03/2026","18,248","18,500","19,198","18,125","992.28K","-4.88%"
"03/02/2026","19,185","18,751","19,223","18,392","762.47K","-1.05%"
"02/27/2026","19,389","19,500","19,515","19,119","921.52K","0.21%"
"02/26/2026","19,348","19,255","19,856","19,255","728.97K","0.77%"
"02/25/2026","19,201","19,481","19,481","19,053","721.64K","-1.13%"
"02/24/2026","19,420","18,601","19,420","18,601","590.31K","2.50%"
"02/23/2026","18,946","18,600","19,130","18,600","521.90K","0.26%"
"02/20/2026","18,897","18,576","18,919","18,576","1.18M","0.39%"
"02/19/2026","18,824","19,208","19,208","18,574","1.61M","-0.51%"
"02/18/2026","18,920","18,811","19,213","18,780","518.40K","0.51%"
"02/17/2026","18,824","18,775","18,925","18,568","525.73K","0.31%"
"02/16/2026","18,765","18,708","18,765","18,579","802.48K","1.12%"
"02/13/2026","18,557","17,740","18,710","17,740","814.76K","-1.12%"
"02/12/2026","18,768","18,528","18,768","18,267","729.41K","1.28%"
"02/11/2026","18,531","18,230","18,531","17,700","823.55K","1.68%"
"02/10/2026","18,224","18,500","18,500","17,879","2.35M","-1.02%"
"02/09/2026","18,412","18,501","18,689","18,322","629.57K","-0.04%"
"02/06/2026","18,419","18,268","18,431","18,103","676.60K","0.65%"
"02/05/2026","18,300","18,814","18,814","18,270","630.43K","-1.24%"
"02/04/2026","18,529","18,640","18,653","18,292","437.36K","-0.60%"
"02/03/2026","18,641","18,704","18,855","18,392","861.84K","-0.12%"
"02/02/2026","18,663","18,345","18,725","17,901","1.00M","1.73%"
"01/30/2026","18,346","17,910","18,917","17,910","1.55M","-0.04%"
"01/29/2026","18,354","18,047","18,459","18,047","965.51K","1.32%"
"01/28/2026","18,115","18,305","18,400","17,916","731.31K","-0.65%"
"01/27/2026","18,234","18,090","18,518","18,090","1.14M","-0.09%"
"01/26/2026","18,250","18,140","18,274","17,902","682.52K","0.61%"
"01/23/2026","18,139","18,222","18,421","17,973","728.31K","-1.03%"
"01/22/2026","18,328","18,119","18,328","18,064","1.79M","1.68%"
"01/21/2026","18,025","17,700","18,098","17,690","432.71K","0.03%"
"01/20/2026","18,019","17,928","18,019","17,740","926.21K","0.72%"
"01/19/2026","17,891","18,000","18,023","17,703","489.61K","-1.07%"
"01/16/2026","18,084","18,279","18,296","18,048","1.05M","-0.63%"
"01/15/2026","18,199","18,100","18,316","17,968","944.58K","1.44%"
"01/14/2026","17,940","18,299","18,299","17,833","656.85K","-1.23%"
"01/13/2026","18,164","18,300","18,300","18,050","837.20K","-0.06%"
"01/12/2026","18,175","18,800","18,800","18,000","548.92K","-2.03%"
"01/09/2026","18,552","18,468","18,686","18,299","672.06K","1.55%"
"01/08/2026","18,268","18,000","18,380","17,999","520.54K","-0.47%"
"01/07/2026","18,354","18,500","18,533","17,800","1.13M","-0.50%"
"01/06/2026","18,447","18,091","18,536","18,091","812.37K","2.13%"
"01/05/2026","18,062","17,951","18,079","17,775","552.74K","0.37%"
"01/02/2026","17,996","18,400","18,400","17,845","394.46K","-0.91%"
"12/31/2025","18,161","18,100","18,161","18,000","277.92K","0.34%"
"12/30/2025","18,100","18,172","18,218","18,061","441.89K","0.00%"
"12/29/2025","18,100","18,200","18,244","17,970","381.38K","0.98%"
"12/24/2025","17,925","17,880","18,048","17,825","275.12K","0.24%"
"12/23/2025","17,882","17,999","17,999","17,774","485.22K","0.47%"
"12/22/2025","17,798","17,700","17,983","17,617","442.75K","-0.34%"
"12/19/2025","17,859","18,380","18,380","17,630","2.51M","-1.20%"
"12/18/2025","18,075","17,999","18,306","17,877","4.09M","0.54%"
"12/17/2025","17,978","17,700","17,978","17,603","823.82K","1.28%"
"12/15/2025","17,750","17,620","17,813","17,620","660.01K","0.65%"
"12/12/2025","17,636","17,799","17,977","17,636","1.20M","-0.94%"
"12/11/2025","17,803","18,165","18,165","17,652","1.03M","-0.54%"
"12/10/2025","17,900","17,700","17,975","17,700","398.24K","-0.31%"
"12/09/2025","17,956","17,549","18,134","17,549","1.07M","2.10%"
"12/08/2025","17,587","17,999","17,999","17,524","674.25K","-1.20%"
"12/05/2025","17,800","17,999","17,999","17,303","1.30M","0.56%"
"12/04/2025","17,700","17,979","17,979","17,670","654.56K","-0.32%"
"12/03/2025","17,756","17,718","17,906","17,547","1.19M","0.40%"
"12/02/2025","17,686","17,699","17,863","17,309","1.13M","0.72%"
"12/01/2025","17,560","17,733","17,940","17,100","1.78M","1.00%"
"11/28/2025","17,386","17,650","17,650","17,236","1.38M","-0.04%"
"11/27/2025","17,393","17,701","17,767","17,393","609.43K","-1.25%"
"11/26/2025","17,613","17,400","17,730","17,400","540.34K","1.22%"
"11/25/2025","17,400","17,300","17,470","17,141","641.41K","0.06%"
"11/24/2025","17,390","17,529","17,646","17,187","1.56M","0.21%"
"11/21/2025","17,354","17,728","17,728","17,169","710.19K","-2.12%"
"11/20/2025","17,729","17,587","17,990","17,547","577.92K","0.07%"
"11/19/2025","17,716","18,000","18,000","17,453","506.78K","1.33%"
"11/18/2025","17,483","17,800","17,943","17,483","639.13K","-2.33%"
"11/17/2025","17,900","17,400","18,013","17,400","704.48K","1.93%"
"11/14/2025","17,561","17,810","17,855","17,474","571.99K","-1.46%"
"11/13/2025","17,822","18,000","18,164","17,799","746.09K","-0.60%"
"11/12/2025","17,930","17,600","17,966","17,548","912.23K","1.85%"
"11/11/2025","17,605","17,800","17,800","17,464","870.05K","0.01%"
"11/10/2025","17,604","17,401","17,868","17,401","1.29M","1.70%"
"11/07/2025","17,309","17,450","17,473","17,163","915.03K","-0.53%"
"11/06/2025","17,402","17,442","17,512","17,250","729.16K","-0.23%"
"11/05/2025","17,442","17,065","17,442","16,805","863.63K","2.49%"
"11/04/2025","17,018","17,399","17,399","16,857","746.43K","-0.97%"
"11/03/2025","17,185","17,300","17,457","17,100","768.46K","-0.17%"
"10/31/2025","17,215","17,599","17,599","17,148","997.67K","-0.15%"
"10/30/2025","17,240","17,490","17,497","17,077","1.00M","-1.06%"
"10/29/2025","17,425","17,745","17,745","17,328","528.08K","-0.83%"
"10/28/2025","17,570","17,005","17,707","17,005","1.08M","2.57%"
"10/27/2025","17,129","17,062","17,437","17,062","1.11M","-0.99%"
"10/24/2025","17,300","17,008","17,447","17,008","513.36K","0.14%"
"10/23/2025","17,275","17,100","17,309","17,000","565.42K","0.00%"
"10/22/2025","17,275","17,281","17,313","17,108","1.00M","-0.43%"
"10/21/2025","17,350","17,498","17,498","17,230","1.14M","0.75%"
"10/20/2025","17,221","16,907","17,256","16,907","515.09K","1.86%"
"10/17/2025","16,907","16,955","17,130","16,807","777.68K","-1.08%"
"10/16/2025","17,092","17,039","17,296","17,032","845.65K","0.31%"
"10/15/2025","17,039","17,300","17,300","17,016","979.48K","-1.68%"
"10/14/2025","17,330","17,798","17,798","17,190","703.14K","-1.07%"
"10/13/2025","17,517","17,405","17,723","17,097","633.28K","-1.37%"
"10/10/2025","17,760","17,518","17,830","17,341","525.21K","1.38%"
"10/09/2025","17,518","17,025","17,571","17,025","777.60K","2.16%"
"10/08/2025","17,148","16,851","17,169","16,750","573.58K","1.40%"
"10/07/2025","16,911","17,141","17,340","16,866","1.09M","-1.08%"
"10/06/2025","17,095","17,084","17,095","16,683","858.41K","0.77%"
"10/03/2025","16,965","16,821","16,965","16,648","1.15M","0.78%"
"10/02/2025","16,833","17,094","17,094","16,700","844.31K","0.06%"
"10/01/2025","16,823","16,773","16,873","16,475","1.17M","0.30%"
"09/30/2025","16,773","16,805","17,054","16,600","1.27M","-1.11%"
"09/29/2025","16,961","17,506","17,557","16,814","1.35M","-1.80%"
"09/26/2025","17,272","17,350","17,374","16,801","928.86K","1.56%"
"09/25/2025","17,006","18,002","18,002","17,006","1.17M","-3.15%"
