"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","6,380","6,400","6,524","6,332","717.44K","-1.85%"
"03/26/2026","6,500","6,400","6,593","6,336","290.14K","0.81%"
"03/25/2026","6,448","6,300","6,497","6,300","461.83K","2.76%"
"03/24/2026","6,275","6,499","6,528","6,235","656.43K","-3.09%"
"03/23/2026","6,475","6,300","6,567","6,215","452.09K","2.37%"
"03/20/2026","6,325","6,213","6,472","6,213","2.48M","1.95%"
"03/19/2026","6,204","6,400","6,499","6,162","1.48M","-3.38%"
"03/18/2026","6,421","6,679","6,679","6,378","876.01K","-1.52%"
"03/17/2026","6,520","6,600","6,671","6,358","978.11K","0.31%"
"03/16/2026","6,500","6,220","6,569","6,220","732.83K","5.16%"
"03/13/2026","6,181","6,321","6,326","6,157","830.62K","-2.92%"
"03/12/2026","6,367","6,400","6,526","6,344","408.41K","-1.52%"
"03/11/2026","6,465","6,500","6,618","6,395","545.32K","-0.54%"
"03/10/2026","6,500","6,636","6,777","6,455","433.58K","-0.31%"
"03/09/2026","6,520","6,300","6,562","6,075","1.18M","2.31%"
"03/06/2026","6,373","6,706","6,708","6,360","801.02K","-4.77%"
"03/05/2026","6,692","6,585","6,750","6,531","406.69K","1.62%"
"03/04/2026","6,585","6,710","6,769","6,564","1.06M","-3.50%"
"03/03/2026","6,824","7,063","7,076","6,730","1.09M","-3.38%"
"03/02/2026","7,063","6,930","7,150","6,800","1.15M","1.19%"
"02/27/2026","6,980","6,999","7,338","6,938","2.29M","0.52%"
"02/26/2026","6,944","6,697","6,989","6,622","1.73M","3.69%"
"02/25/2026","6,697","7,425","7,519","6,697","1.66M","-10.08%"
"02/24/2026","7,448","7,574","7,574","6,903","2.76M","-2.28%"
"02/23/2026","7,622","8,400","8,443","7,415","2.63M","-9.14%"
"02/20/2026","8,389","8,861","9,007","8,308","3.14M","-7.33%"
"02/19/2026","9,053","9,092","9,162","9,024","298.37K","-0.61%"
"02/18/2026","9,109","9,200","9,200","8,979","220.60K","1.12%"
"02/17/2026","9,008","9,181","9,181","8,940","361.25K","-0.11%"
"02/16/2026","9,018","9,195","9,235","8,983","202.25K","-1.15%"
"02/13/2026","9,123","9,057","9,226","9,013","254.37K","0.46%"
"02/12/2026","9,081","8,917","9,184","8,854","644.81K","2.36%"
"02/11/2026","8,872","8,880","8,934","8,802","272.48K","0.19%"
"02/10/2026","8,855","9,149","9,149","8,800","326.99K","-0.62%"
"02/09/2026","8,910","8,920","8,938","8,802","334.10K","0.61%"
"02/06/2026","8,856","9,200","9,200","8,797","316.63K","-0.65%"
"02/05/2026","8,914","9,102","9,212","8,864","1.03M","-1.23%"
"02/04/2026","9,025","9,219","9,219","8,976","601.51K","-0.91%"
"02/03/2026","9,108","8,924","9,159","8,892","1.74M","2.57%"
"02/02/2026","8,880","8,850","8,979","8,764","1.08M","0.16%"
"01/30/2026","8,866","8,800","9,029","8,731","873.41K","0.29%"
"01/29/2026","8,840","9,155","9,190","8,840","1.05M","-3.74%"
"01/28/2026","9,183","9,174","9,242","9,101","521.99K","0.25%"
"01/27/2026","9,160","9,200","9,231","9,130","337.59K","0.08%"
"01/26/2026","9,153","9,205","9,322","9,100","776.96K","-0.80%"
"01/23/2026","9,227","9,300","9,338","9,074","449.09K","-1.55%"
"01/22/2026","9,372","9,331","9,551","9,331","728.26K","1.14%"
"01/21/2026","9,266","9,264","9,322","9,200","467.75K","-0.06%"
"01/20/2026","9,272","9,237","9,362","9,206","443.86K","-0.04%"
"01/19/2026","9,276","9,400","9,441","9,230","922.78K","-1.74%"
"01/16/2026","9,440","9,331","9,500","9,307","471.31K","1.05%"
"01/15/2026","9,342","9,481","9,606","9,342","821.09K","-1.66%"
"01/14/2026","9,500","9,500","9,598","9,437","595.47K","-0.42%"
