"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","9,058","9,058","9,058","9,058","0.32K","0.29%"
"03/26/2026","9,032","9,060","9,098","8,932","2.54M","-1.21%"
"03/25/2026","9,143","8,770","9,143","8,770","4.51M","4.46%"
"03/24/2026","8,753","8,837","8,860","8,640","4.40M","-0.21%"
"03/23/2026","8,771","8,777","9,113","8,521","5.53M","-0.48%"
"03/20/2026","8,813","8,833","9,041","8,780","9.37M","-0.09%"
"03/19/2026","8,821","8,650","9,007","8,585","11.92M","0.70%"
"03/18/2026","8,760","8,972","9,058","8,731","5.63M","-1.73%"
"03/17/2026","8,914","8,999","8,999","8,731","7.34M","-0.27%"
"03/16/2026","8,938","9,077","9,185","8,862","8.57M","-0.69%"
"03/13/2026","9,000","9,200","9,235","9,000","7.32M","-2.04%"
"03/12/2026","9,187","9,733","9,733","9,187","5.75M","-3.70%"
"03/11/2026","9,540","9,700","9,733","9,348","4.40M","-0.80%"
"03/10/2026","9,617","9,545","9,703","9,347","6.21M","3.72%"
"03/09/2026","9,272","9,225","9,401","9,090","4.77M","0.68%"
"03/06/2026","9,209","9,700","9,700","9,194","5.60M","-3.55%"
"03/05/2026","9,548","10,250","10,250","9,341","6.53M","-5.15%"
"03/04/2026","10,066","9,971","10,240","9,808","3.84M","0.94%"
"03/03/2026","9,972","10,475","10,475","9,875","4.53M","-3.98%"
"03/02/2026","10,385","10,455","10,538","10,175","3.68M","-2.19%"
"02/27/2026","10,618","10,573","10,779","10,515","6.95M","-0.66%"
"02/26/2026","10,689","10,565","10,820","10,565","2.55M","1.31%"
"02/25/2026","10,551","10,685","10,685","10,423","2.45M","-0.99%"
"02/24/2026","10,657","10,620","10,683","10,433","2.93M","0.35%"
"02/23/2026","10,620","10,623","10,847","10,591","2.30M","-0.02%"
"02/20/2026","10,622","10,577","10,730","10,567","2.45M","0.39%"
"02/19/2026","10,581","10,544","10,823","10,544","3.86M","-0.28%"
"02/18/2026","10,611","10,450","10,687","10,400","3.16M","2.31%"
"02/17/2026","10,371","10,300","10,463","10,209","2.08M","0.37%"
"02/16/2026","10,333","10,163","10,387","10,163","1.62M","1.67%"
"02/13/2026","10,163","10,239","10,330","10,104","2.62M","-0.75%"
"02/12/2026","10,240","10,200","10,259","10,025","2.13M","1.08%"
"02/11/2026","10,131","10,296","10,296","10,039","2.22M","-1.09%"
"02/10/2026","10,243","10,057","10,275","9,935","2.63M","1.86%"
"02/09/2026","10,056","10,149","10,182","9,969","2.68M","-0.17%"
"02/06/2026","10,073","10,234","10,234","9,978","3.30M","0.17%"
"02/05/2026","10,056","10,297","10,297","10,011","3.16M","-0.70%"
"02/04/2026","10,127","10,450","10,539","10,082","3.96M","-3.35%"
"02/03/2026","10,478","10,535","10,644","10,405","3.27M","0.37%"
"02/02/2026","10,439","10,088","10,514","9,950","4.06M","3.36%"
"01/30/2026","10,100","10,400","10,575","10,100","6.80M","-3.27%"
"01/29/2026","10,441","10,150","10,519","10,150","3.85M","2.30%"
"01/28/2026","10,206","10,450","10,453","10,150","2.99M","-1.55%"
"01/27/2026","10,367","10,450","10,576","10,341","5.88M","-0.20%"
"01/26/2026","10,388","10,355","10,431","10,144","3.27M","1.36%"
"01/23/2026","10,249","10,270","10,340","10,110","4.10M","-0.32%"
"01/22/2026","10,282","9,891","10,380","9,861","5.09M","3.94%"
"01/21/2026","9,892","9,675","9,892","9,666","2.26M","0.39%"
"01/20/2026","9,854","9,770","9,888","9,662","1.89M","-0.14%"
"01/19/2026","9,868","9,874","9,893","9,708","1.43M","-0.72%"
"01/16/2026","9,940","9,970","10,017","9,876","3.13M","-0.28%"
"01/15/2026","9,968","9,800","9,968","9,759","3.20M","2.27%"
"01/14/2026","9,747","9,922","9,925","9,654","3.37M","-1.49%"
"01/13/2026","9,894","9,951","10,113","9,894","3.20M","-1.66%"
"01/12/2026","10,061","10,318","10,318","9,953","2.08M","-1.70%"
"01/09/2026","10,235","10,330","10,330","10,182","1.97M","0.34%"
"01/08/2026","10,200","10,220","10,334","10,200","1.86M","-0.49%"
"01/07/2026","10,250","10,200","10,291","10,047","3.75M","0.18%"
"01/06/2026","10,232","9,950","10,307","9,860","3.19M","3.83%"
"01/05/2026","9,855","9,915","10,023","9,731","1.55M","-0.67%"
"01/02/2026","9,921","9,900","9,954","9,745","1.35M","0.73%"
"12/31/2025","9,849","9,937","9,952","9,849","966.71K","-0.77%"
"12/30/2025","9,925","9,950","10,022","9,825","1.14M","-0.25%"
"12/29/2025","9,950","9,800","9,982","9,747","1.00M","0.91%"
"12/24/2025","9,860","9,528","9,977","9,528","578.97K","-0.01%"
"12/23/2025","9,861","9,680","9,868","9,680","1.11M","1.16%"
"12/22/2025","9,748","9,503","9,905","9,503","1.73M","-1.70%"
"12/19/2025","9,917","10,039","10,110","9,434","7.98M","-1.36%"
"12/18/2025","10,054","9,948","10,156","9,822","11.92M","1.26%"
"12/17/2025","9,929","9,795","9,945","9,683","3.65M","1.37%"
"12/15/2025","9,795","9,608","9,805","9,580","3.28M","1.99%"
"12/12/2025","9,604","9,557","9,813","9,557","3.39M","-0.55%"
"12/11/2025","9,657","9,714","9,876","9,657","4.01M","-0.59%"
"12/10/2025","9,714","9,623","9,725","9,612","1.66M","0.07%"
"12/09/2025","9,707","9,500","9,735","9,500","3.18M","0.72%"
"12/08/2025","9,638","9,690","9,690","9,553","3.26M","-0.18%"
"12/05/2025","9,655","9,419","9,655","9,419","3.85M","1.69%"
"12/04/2025","9,495","9,385","9,495","9,322","2.82M","1.50%"
"12/03/2025","9,355","9,385","9,385","9,200","2.13M","0.65%"
"12/02/2025","9,295","9,175","9,385","9,145","2.30M","0.54%"
"12/01/2025","9,245","9,238","9,245","8,985","2.53M","0.76%"
"11/28/2025","9,175","9,300","9,301","9,084","4.16M","0.02%"
"11/27/2025","9,173","9,322","9,346","8,937","1.87M","-2.01%"
"11/26/2025","9,361","9,270","9,436","9,269","1.48M","0.97%"
"11/25/2025","9,271","9,301","9,301","9,080","1.94M","0.64%"
"11/24/2025","9,212","9,155","9,240","9,099","8.76M","0.62%"
"11/21/2025","9,155","9,325","9,349","9,112","2.41M","-2.13%"
"11/20/2025","9,354","9,350","9,515","9,306","3.12M","0.06%"
"11/19/2025","9,348","9,280","9,374","9,262","2.03M","0.27%"
"11/18/2025","9,323","9,500","9,558","9,323","2.49M","-2.37%"
"11/17/2025","9,549","9,473","9,625","9,375","2.27M","0.70%"
"11/14/2025","9,483","9,500","9,550","9,319","3.25M","-0.83%"
"11/13/2025","9,562","9,500","9,726","9,477","4.87M","0.62%"
"11/12/2025","9,503","9,175","9,560","9,175","4.30M","3.11%"
"11/11/2025","9,216","9,217","9,270","9,173","2.95M","0.37%"
"11/10/2025","9,182","9,220","9,264","9,116","1.99M","0.44%"
"11/07/2025","9,142","9,100","9,184","9,025","1.64M","-0.52%"
