"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","39,804","39,957","39,961","39,171","89.09K","0.36%"
"03/26/2026","39,662","39,552","39,902","39,496","61.69K","-0.29%"
"03/25/2026","39,778","39,700","40,093","39,044","68.51K","-0.59%"
"03/24/2026","40,013","39,822","40,590","39,224","143.63K","0.60%"
"03/23/2026","39,775","41,797","41,797","39,201","201.40K","-4.97%"
"03/20/2026","41,854","40,565","41,854","39,902","260.89K","2.96%"
"03/19/2026","40,650","41,000","41,153","39,953","46.32K","-0.85%"
"03/18/2026","41,000","41,158","41,461","40,526","107.06K","0.22%"
"03/17/2026","40,911","40,949","41,111","40,649","113.42K","-0.07%"
"03/16/2026","40,939","41,528","41,528","40,822","58.00K","0.22%"
"03/13/2026","40,850","41,596","41,596","40,400","48.43K","1.11%"
"03/12/2026","40,400","40,645","40,698","39,262","94.94K","-1.38%"
"03/11/2026","40,967","41,802","42,150","39,801","115.78K","-1.33%"
"03/10/2026","41,520","41,999","41,999","40,825","129.96K","2.71%"
"03/09/2026","40,425","41,600","41,600","39,615","95.53K","-2.86%"
"03/06/2026","41,615","43,156","43,156","41,601","81.63K","-1.97%"
"03/05/2026","42,453","43,334","43,334","42,224","40.58K","-0.40%"
"03/04/2026","42,624","42,465","43,445","42,002","45.48K","0.38%"
"03/03/2026","42,464","44,249","44,249","42,464","105.85K","-4.46%"
"03/02/2026","44,446","43,301","44,455","42,400","92.87K","1.65%"
"02/27/2026","43,723","44,461","45,500","43,723","114.75K","-2.84%"
"02/26/2026","45,000","43,463","45,139","43,463","51.76K","3.27%"
"02/25/2026","43,574","44,600","44,600","43,323","20.35K","-1.22%"
"02/24/2026","44,114","44,292","44,818","44,033","23.69K","-1.12%"
"02/23/2026","44,612","44,303","44,964","44,292","23.61K","0.81%"
"02/20/2026","44,252","44,647","44,779","44,252","17.04K","-0.47%"
"02/19/2026","44,459","44,502","45,079","44,459","21.64K","-0.63%"
"02/18/2026","44,742","44,354","45,500","44,354","27.46K","0.87%"
"02/17/2026","44,354","44,455","44,755","44,273","32.20K","-0.25%"
"02/16/2026","44,466","44,565","44,899","44,185","22.83K","0.43%"
"02/13/2026","44,277","45,373","45,373","44,277","54.03K","-1.95%"
"02/12/2026","45,156","44,657","45,298","43,575","77.03K","0.64%"
"02/11/2026","44,868","46,172","46,172","44,657","85.29K","-0.67%"
"02/10/2026","45,170","44,668","45,298","44,409","44.13K","1.16%"
"02/09/2026","44,652","44,483","44,698","44,217","18.02K","0.64%"
"02/06/2026","44,366","44,150","44,655","44,150","30.16K","0.21%"
"02/05/2026","44,275","44,795","44,795","44,201","87.46K","-0.82%"
"02/04/2026","44,643","44,746","44,940","44,149","91.94K","0.14%"
"02/03/2026","44,581","44,100","44,581","44,088","54.09K","1.18%"
"02/02/2026","44,061","42,271","44,061","41,894","26.26K","2.40%"
"01/30/2026","43,030","43,100","43,816","43,030","183.67K","-0.39%"
"01/29/2026","43,200","42,681","43,476","42,681","53.23K","1.18%"
