"Date","Price","Open","High","Low","Vol.","Change %"
"03/26/2026","27,700","27,200","27,700","26,528","2.39M","3.75%"
"03/25/2026","26,698","27,092","27,265","26,607","1.34M","-1.67%"
"03/24/2026","27,151","26,677","27,526","26,575","3.45M","1.12%"
"03/23/2026","26,850","26,600","27,137","25,929","3.32M","0.46%"
"03/20/2026","26,726","26,014","26,953","26,014","4.44M","1.48%"
"03/19/2026","26,336","26,100","26,471","25,710","3.93M","-0.04%"
"03/18/2026","26,346","26,999","27,026","26,113","2.32M","-1.37%"
"03/17/2026","26,712","26,999","27,266","26,604","1.80M","-0.77%"
"03/16/2026","26,920","26,200","26,929","25,882","2.48M","4.14%"
"03/13/2026","25,850","25,890","26,241","25,600","1.13M","0.01%"
"03/12/2026","25,847","26,589","26,589","25,608","1.66M","-1.46%"
"03/11/2026","26,230","26,679","26,680","25,500","1.49M","-1.12%"
"03/10/2026","26,527","26,549","26,929","26,221","2.07M","2.42%"
"03/09/2026","25,900","25,592","26,340","25,371","2.48M","0.56%"
"03/06/2026","25,757","26,683","26,683","25,692","1.91M","-2.37%"
"03/05/2026","26,383","25,881","26,404","25,590","1.45M","1.93%"
"03/04/2026","25,883","25,683","26,137","25,335","2.02M","0.78%"
"03/03/2026","25,683","26,867","27,123","25,468","3.20M","-4.41%"
"03/02/2026","26,867","26,011","26,923","26,011","1.76M","1.57%"
"02/27/2026","26,452","26,933","26,933","26,322","4.24M","-0.97%"
"02/26/2026","26,711","26,902","26,970","26,685","2.19M","-0.70%"
"02/25/2026","26,900","27,000","27,150","26,835","813.30K","-1.30%"
"02/24/2026","27,253","27,000","27,280","26,844","932.80K","0.75%"
"02/23/2026","27,051","27,195","27,221","26,973","749.17K","-0.25%"
"02/20/2026","27,118","27,190","27,369","27,015","728.61K","0.07%"
"02/19/2026","27,100","27,282","27,291","27,023","957.23K","-0.48%"
"02/18/2026","27,230","27,100","27,423","27,094","818.48K","0.32%"
"02/17/2026","27,144","27,000","27,159","26,896","1.04M","0.49%"
"02/16/2026","27,011","26,890","27,211","26,890","626.12K","0.61%"
"02/13/2026","26,848","26,590","26,905","26,456","1.02M","0.37%"
"02/12/2026","26,749","26,444","26,784","26,300","618.30K","1.26%"
"02/11/2026","26,416","26,497","26,517","26,206","868.25K","-0.31%"
"02/10/2026","26,498","26,250","26,600","25,890","969.27K","1.44%"
"02/09/2026","26,123","26,770","26,770","25,900","1.30M","-1.06%"
"02/06/2026","26,403","26,403","26,552","26,282","1.59M","0.00%"
"02/05/2026","26,403","26,385","26,879","26,200","1.11M","0.07%"
"02/04/2026","26,385","26,331","26,565","26,245","1.64M","0.13%"
"02/03/2026","26,350","26,831","26,900","26,350","1.75M","-0.63%"
"02/02/2026","26,518","26,250","26,518","25,259","2.86M","-0.47%"
"01/30/2026","26,642","26,700","27,199","26,408","2.39M","-0.39%"
"01/29/2026","26,745","26,500","27,078","26,500","1.73M","0.24%"
"01/28/2026","26,680","26,606","26,801","26,400","1.72M","0.48%"
"01/27/2026","26,552","26,621","26,825","26,511","2.48M","-0.25%"
"01/26/2026","26,618","26,870","27,003","26,601","1.46M","-0.91%"
"01/23/2026","26,863","26,950","26,955","26,651","1.81M","-0.31%"
"01/22/2026","26,946","26,756","27,285","26,756","1.91M","0.45%"
"01/21/2026","26,824","26,765","26,876","26,516","1.29M","0.90%"
