"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","4,903","4,910","4,960","4,900","79.09K","-0.08%"
"03/26/2026","4,907","4,900","4,924","4,694","10.76M","-2.19%"
"03/25/2026","5,017","4,970","5,183","4,928","13.53M","4.52%"
"03/24/2026","4,800","4,779","4,874","4,604","15.73M","0.90%"
"03/23/2026","4,757","4,480","4,777","4,282","31.91M","0.59%"
"03/20/2026","4,729","4,750","4,943","4,623","33.68M","2.27%"
"03/19/2026","4,624","4,981","5,072","4,386","46.41M","-10.66%"
"03/18/2026","5,176","5,500","5,547","4,983","13.48M","-8.57%"
"03/17/2026","5,661","5,600","5,701","5,505","11.23M","1.09%"
"03/16/2026","5,600","5,382","5,669","5,349","22.49M","4.46%"
"03/13/2026","5,361","5,621","5,789","5,337","14.71M","-8.00%"
"03/12/2026","5,827","5,650","5,920","5,543","14.26M","3.39%"
"03/11/2026","5,636","5,930","5,930","5,446","9.68M","-4.96%"
"03/10/2026","5,930","5,954","6,005","5,780","10.45M","4.31%"
"03/09/2026","5,685","5,610","5,760","5,501","12.54M","-1.39%"
"03/06/2026","5,765","6,142","6,142","5,651","8.92M","-3.16%"
"03/05/2026","5,953","6,154","6,217","5,870","11.18M","-1.90%"
"03/04/2026","6,068","6,129","6,344","6,046","12.65M","3.11%"
"03/03/2026","5,885","6,696","6,696","5,795","19.94M","-12.85%"
"03/02/2026","6,753","7,225","7,449","6,708","15.09M","-3.53%"
"02/27/2026","7,000","6,840","7,045","6,771","24.72M","7.13%"
"02/26/2026","6,534","6,640","6,759","6,506","11.09M","-1.22%"
"02/25/2026","6,615","6,510","6,701","6,498","13.69M","4.26%"
"02/24/2026","6,345","6,490","6,551","6,276","10.88M","-2.61%"
"02/23/2026","6,515","6,308","6,554","6,269","13.05M","3.28%"
"02/20/2026","6,308","6,298","6,423","6,100","13.95M","1.84%"
"02/19/2026","6,194","6,401","6,442","6,020","15.19M","-3.17%"
"02/18/2026","6,397","6,510","6,677","5,950","19.49M","0.33%"
"02/17/2026","6,376","6,471","6,628","6,376","10.48M","-3.45%"
"02/16/2026","6,604","6,758","6,800","6,535","5.04M","-2.65%"
"02/13/2026","6,784","6,600","6,849","6,410","12.81M","-1.41%"
"02/12/2026","6,881","6,949","6,989","6,819","10.90M","-0.26%"
"02/11/2026","6,899","6,787","7,075","6,787","8.48M","2.68%"
"02/10/2026","6,719","6,689","6,794","6,604","9.74M","0.49%"
"02/09/2026","6,686","6,750","6,755","6,418","7.58M","1.70%"
"02/06/2026","6,574","6,285","6,637","6,251","11.91M","1.29%"
"02/05/2026","6,490","6,840","6,866","6,286","14.13M","-8.40%"
"02/04/2026","7,085","7,191","7,237","7,045","18.19M","2.16%"
"02/03/2026","6,935","7,000","7,059","6,827","15.54M","2.95%"
"02/02/2026","6,736","5,866","6,923","5,705","28.10M","-8.70%"
"01/30/2026","7,378","7,475","7,699","7,083","47.01M","-9.69%"
"01/29/2026","8,170","8,400","8,543","8,088","16.68M","-0.64%"
"01/28/2026","8,223","8,050","8,378","7,983","16.72M","5.73%"
"01/27/2026","7,777","7,880","8,050","7,766","17.05M","-3.76%"
"01/26/2026","8,081","8,000","8,139","7,921","15.98M","3.88%"
"01/23/2026","7,779","7,440","7,796","7,350","17.66M","6.29%"
"01/22/2026","7,319","7,045","7,349","7,023","15.69M","3.13%"
"01/21/2026","7,097","7,250","7,319","7,051","13.94M","0.24%"
"01/20/2026","7,080","7,201","7,241","7,035","10.09M","-0.67%"
"01/19/2026","7,128","7,104","7,147","6,960","6.77M","2.81%"
"01/16/2026","6,933","6,955","7,099","6,820","13.17M","-2.31%"
"01/15/2026","7,097","7,165","7,227","6,928","15.98M","-1.85%"
"01/14/2026","7,231","7,150","7,525","7,125","13.50M","0.49%"
"01/13/2026","7,196","6,820","7,238","6,803","14.23M","3.84%"
"01/12/2026","6,930","6,650","7,002","6,627","11.81M","6.04%"
"01/09/2026","6,535","6,320","6,565","6,287","8.41M","5.83%"
"01/08/2026","6,175","6,431","6,468","6,044","11.62M","-3.68%"
"01/07/2026","6,411","6,390","6,579","6,371","17.21M","-0.93%"
"01/06/2026","6,471","6,378","6,546","6,254","11.69M","1.30%"
"01/05/2026","6,388","6,143","6,388","6,082","11.52M","5.03%"
"01/02/2026","6,082","6,164","6,276","5,994","8.72M","0.53%"
"12/31/2025","6,050","5,950","6,050","5,850","4.05M","-2.34%"
"12/30/2025","6,195","6,040","6,364","6,040","12.21M","2.57%"
"12/29/2025","6,040","6,394","6,448","6,016","9.63M","-6.65%"
"12/24/2025","6,470","6,480","6,540","6,389","2.50M","2.03%"
"12/23/2025","6,341","6,405","6,479","6,341","8.87M","-0.06%"
"12/22/2025","6,345","6,090","6,379","6,090","12.90M","7.22%"
"12/19/2025","5,918","5,765","5,975","5,762","22.64M","1.01%"
"12/18/2025","5,859","5,881","5,931","5,746","28.98M","1.26%"
"12/17/2025","5,786","5,964","6,026","5,765","15.86M","2.66%"
"12/15/2025","5,636","5,865","5,929","5,633","11.26M","-3.90%"
"12/12/2025","5,865","5,520","5,865","5,475","20.54M","8.19%"
"12/11/2025","5,421","5,338","5,470","5,319","8.15M","1.55%"
"12/10/2025","5,338","5,380","5,460","5,305","4.52M","0.41%"
"12/09/2025","5,316","5,360","5,400","5,203","6.91M","-1.01%"
"12/08/2025","5,370","5,380","5,417","5,272","9.84M","-0.63%"
"12/05/2025","5,404","5,260","5,464","5,260","9.54M","4.32%"
