"Date","Price","Open","High","Low","Vol.","Change %"
"03/26/2026","30,090","30,335","30,497","29,741","2.97M","-1.52%"
"03/25/2026","30,555","29,951","30,723","29,951","3.36M","2.16%"
"03/24/2026","29,910","30,095","30,095","29,281","3.73M","-0.17%"
"03/23/2026","29,960","29,200","30,574","28,653","4.85M","1.07%"
"03/20/2026","29,643","29,600","30,540","29,499","7.17M","-0.26%"
"03/19/2026","29,719","30,011","30,376","29,410","15.29M","-2.31%"
"03/18/2026","30,421","30,650","31,641","30,165","7.49M","-1.07%"
"03/17/2026","30,750","30,479","30,757","30,173","5.53M","0.56%"
"03/16/2026","30,579","29,594","30,579","29,472","6.63M","3.87%"
"03/13/2026","29,439","29,536","29,587","28,844","2.92M","-0.33%"
"03/12/2026","29,536","29,686","30,304","29,361","3.72M","0.20%"
"03/11/2026","29,476","29,936","29,986","28,678","2.63M","-1.31%"
"03/10/2026","29,868","30,239","30,491","29,581","3.39M","1.35%"
"03/09/2026","29,471","28,894","29,471","28,434","3.59M","0.99%"
"03/06/2026","29,183","30,515","30,797","28,909","3.81M","-4.99%"
"03/05/2026","30,715","31,679","31,679","30,661","2.70M","-0.59%"
"03/04/2026","30,896","30,505","30,980","30,239","2.85M","1.28%"
"03/03/2026","30,506","31,999","32,059","30,434","4.58M","-4.79%"
"03/02/2026","32,042","31,810","32,179","31,230","3.11M","-0.28%"
"02/27/2026","32,133","32,757","32,780","32,096","5.39M","-1.19%"
"02/26/2026","32,519","32,300","32,699","32,201","3.67M","1.01%"
"02/25/2026","32,194","32,287","32,293","31,777","2.45M","-0.53%"
"02/24/2026","32,365","32,201","32,787","31,798","1.97M","0.51%"
"02/23/2026","32,202","31,804","32,393","31,804","1.69M","0.62%"
"02/20/2026","32,003","32,365","32,460","31,939","2.29M","-1.38%"
"02/19/2026","32,450","32,400","32,675","31,944","3.29M","0.07%"
"02/18/2026","32,428","31,700","32,641","31,700","2.58M","2.14%"
"02/17/2026","31,748","31,200","31,833","31,200","1.88M","0.62%"
