"Date","Price","Open","High","Low","Vol.","Change %"
"2026/04/07","17,046.00","17,100.00","17,380.00","16,735.00","361.93K","-0.52%"
"2026/04/02","17,135.00","17,150.00","17,490.00","16,428.00","1.30M","-0.55%"
"2026/04/01","17,230.00","16,245.00","17,364.00","15,799.00","1.33M","2.76%"
"2026/03/31","16,768.00","17,626.00","17,787.00","16,700.00","4.29M","-3.98%"
"2026/03/30","17,463.00","16,551.00","18,061.00","16,551.00","1.58M","5.53%"
"2026/03/27","16,548.00","16,000.00","16,628.00","15,994.00","1.45M","4.25%"
"2026/03/26","15,873.00","15,393.00","16,199.00","15,354.00","1.39M","2.41%"
"2026/03/25","15,500.00","16,207.00","16,212.00","15,011.00","1.95M","-7.19%"
"2026/03/24","16,700.00","15,953.00","16,824.00","15,202.00","1.32M","3.09%"
"2026/03/23","16,200.00","17,880.00","17,880.00","15,050.00","2.42M","-7.53%"
"2026/03/20","17,519.00","17,900.00","18,000.00","17,510.00","1.62M","0.11%"
"2026/03/19","17,500.00","16,511.00","17,935.00","16,511.00","2.98M","6.06%"
"2026/03/18","16,500.00","15,700.00","16,600.00","15,248.00","1.03M","5.59%"
"2026/03/17","15,627.00","15,925.00","16,020.00","15,537.00","480.66K","-1.88%"
"2026/03/16","15,927.00","16,039.00","16,438.00","15,502.00","662.03K","-1.04%"
"2026/03/13","16,095.00","15,620.00","16,446.00","15,620.00","1.07M","3.13%"
"2026/03/12","15,606.00","15,805.00","15,972.00","15,356.00","1.17M","4.04%"
"2026/03/11","15,000.00","15,000.00","15,478.00","14,568.00","841.21K","-0.35%"
"2026/03/10","15,053.00","15,750.00","15,789.00","14,400.00","1.53M","-7.58%"
"2026/03/09","16,288.00","16,030.00","17,243.00","15,678.00","2.67M","5.08%"
"2026/03/06","15,500.00","14,500.00","15,500.00","14,261.00","1.27M","7.39%"
"2026/03/05","14,434.00","13,305.00","14,491.00","12,930.00","1.15M","9.46%"
"2026/03/04","13,187.00","13,980.00","14,196.00","13,187.00","2.17M","-6.02%"
"2026/03/03","14,032.00","11,893.00","14,256.00","11,869.00","3.83M","19.93%"
"2026/03/02","11,700.00","11,106.00","11,979.00","10,277.00","2.69M","5.35%"
"2026/02/27","11,106.00","10,750.00","11,118.00","10,721.00","663.19K","4.21%"
"2026/02/26","10,657.00","11,000.00","11,000.00","10,657.00","207.32K","-3.12%"
"2026/02/25","11,000.00","10,765.00","11,077.00","10,765.00","241.36K","0.00%"
"2026/02/24","11,000.00","10,900.00","11,039.00","10,750.00","322.51K","0.82%"
"2026/02/23","10,910.00","10,989.00","11,182.00","10,784.00","265.09K","0.60%"
"2026/02/20","10,845.00","10,880.00","10,916.00","10,726.00","322.31K","-0.41%"
"2026/02/19","10,890.00","10,898.00","11,001.00","10,643.00","256.27K","1.76%"
"2026/02/18","10,702.00","11,050.00","11,050.00","10,509.00","362.37K","0.59%"
"2026/02/17","10,639.00","11,224.00","11,224.00","10,459.00","258.74K","-0.74%"
"2026/02/16","10,718.00","11,339.00","11,452.00","10,718.00","630.89K","-5.00%"
"2026/02/13","11,282.00","11,300.00","11,391.00","11,128.00","546.09K","1.11%"
"2026/02/12","11,158.00","11,285.00","11,395.00","11,034.00","624.10K","-1.16%"
"2026/02/11","11,289.00","10,464.00","11,289.00","10,464.00","821.49K","7.87%"
"2026/02/10","10,465.00","10,158.00","10,465.00","10,131.00","347.02K","3.02%"
"2026/02/09","10,158.00","10,175.00","10,268.00","9,952.00","368.55K","-0.17%"
"2026/02/06","10,175.00","10,100.00","10,231.00","9,990.00","286.66K","0.69%"
"2026/02/05","10,105.00","10,299.00","10,400.00","9,922.00","408.23K","-2.18%"
"2026/02/04","10,330.00","10,001.00","10,330.00","10,000.00","316.09K","1.87%"
"2026/02/03","10,140.00","10,200.00","10,365.00","10,001.00","384.05K","-0.36%"
"2026/02/02","10,177.00","9,950.00","10,216.00","9,567.00","446.30K","1.76%"
"2026/01/30","10,001.00","9,986.00","10,130.00","9,750.00","595.55K","-1.26%"
