"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","29,950","30,089","30,428","29,585","521.95K","-1.72%"
"03/26/2026","30,475","28,800","30,475","28,788","468.51K","1.75%"
"03/25/2026","29,950","28,111","30,040","28,111","303.54K","1.40%"
"03/24/2026","29,536","27,201","29,536","27,201","475.43K","3.85%"
"03/23/2026","28,440","27,999","28,650","27,374","418.46K","-1.13%"
"03/20/2026","28,766","29,199","29,199","27,622","2.78M","3.10%"
"03/19/2026","27,900","28,521","29,089","27,510","841.50K","-2.84%"
"03/18/2026","28,715","29,790","29,790","28,715","230.09K","-2.10%"
"03/17/2026","29,332","29,133","29,804","29,133","253.61K","-0.49%"
"03/16/2026","29,477","29,246","29,614","29,246","128.40K","0.52%"
"03/13/2026","29,325","29,224","29,665","29,162","530.20K","-1.20%"
"03/12/2026","29,680","29,775","30,122","29,289","405.71K","-0.96%"
"03/11/2026","29,968","29,992","30,297","29,472","305.98K","0.19%"
"03/10/2026","29,910","29,300","30,508","29,300","575.83K","0.92%"
"03/09/2026","29,638","29,852","29,852","29,381","230.71K","-0.72%"
"03/06/2026","29,852","30,290","30,926","29,797","283.62K","-2.56%"
"03/05/2026","30,637","30,421","31,146","30,347","337.09K","0.71%"
"03/04/2026","30,421","30,660","31,222","30,120","306.55K","0.72%"
"03/03/2026","30,205","32,339","32,339","30,205","538.09K","-4.92%"
"03/02/2026","31,768","31,800","31,800","30,301","507.91K","-0.10%"
"02/27/2026","31,800","31,250","32,122","30,327","1.10M","0.93%"
"02/26/2026","31,507","33,550","33,560","31,370","593.41K","-6.17%"
"02/25/2026","33,578","34,230","34,230","33,422","529.62K","-1.36%"
"02/24/2026","34,040","33,352","34,043","33,352","333.17K","0.47%"
"02/23/2026","33,882","33,661","33,927","33,482","463.34K","0.54%"
"02/20/2026","33,701","33,220","33,938","33,110","205.93K","0.60%"
"02/19/2026","33,500","33,579","33,597","33,022","259.26K","-0.13%"
"02/18/2026","33,543","32,695","33,585","32,653","463.58K","2.79%"
"02/17/2026","32,633","34,205","34,507","32,319","832.23K","-5.53%"
"02/16/2026","34,544","34,118","34,594","34,118","113.58K","0.73%"
"02/13/2026","34,295","34,106","34,643","34,106","211.89K","-0.92%"
"02/12/2026","34,614","35,489","35,489","34,514","336.16K","-0.30%"
"02/11/2026","34,718","35,800","35,800","34,480","210.31K","-0.15%"
"02/10/2026","34,769","34,762","34,834","34,274","359.55K","0.00%"
"02/09/2026","34,769","35,800","35,800","34,769","347.53K","-2.25%"
"02/06/2026","35,568","34,211","35,676","34,211","457.39K","2.27%"
"02/05/2026","34,778","34,899","34,899","33,901","324.48K","-0.21%"
"02/04/2026","34,850","34,900","34,900","34,400","184.65K","-0.10%"
"02/03/2026","34,886","34,446","34,886","34,096","355.37K","2.17%"
"02/02/2026","34,145","33,750","34,459","33,000","421.48K","1.17%"
"01/30/2026","33,750","34,019","34,135","33,500","407.61K","0.60%"
"01/29/2026","33,550","33,500","34,321","33,500","251.74K","-0.59%"
"01/28/2026","33,750","34,011","34,293","33,671","175.79K","-0.98%"
"01/27/2026","34,085","34,176","34,249","33,659","433.77K","0.19%"
"01/26/2026","34,019","34,166","34,329","33,722","399.28K","-0.45%"
"01/23/2026","34,174","34,300","34,600","33,898","378.91K","-1.44%"
"01/22/2026","34,675","35,499","35,499","34,503","326.35K","-1.38%"
"01/21/2026","35,159","34,210","35,393","34,090","673.67K","2.69%"
"01/20/2026","34,239","34,280","34,280","33,739","211.00K","0.37%"
"01/19/2026","34,114","34,502","34,521","34,070","244.52K","-0.49%"
"01/16/2026","34,283","34,489","34,489","34,045","403.50K","0.34%"
"01/15/2026","34,167","33,880","34,534","33,820","226.83K","0.64%"
"01/14/2026","33,949","34,199","34,999","33,549","400.61K","-3.55%"
"01/13/2026","35,199","35,747","35,747","35,199","384.11K","-0.47%"
"01/12/2026","35,364","35,377","35,657","35,283","217.58K","0.00%"
"01/09/2026","35,364","35,647","35,748","35,309","179.69K","0.14%"
"01/08/2026","35,313","34,912","35,653","34,626","310.36K","2.00%"
"01/07/2026","34,621","34,749","34,749","34,306","197.49K","-7.10%"
"01/06/2026","37,269","37,389","37,505","37,010","330.91K","0.71%"
"01/05/2026","37,006","36,949","37,565","36,949","290.17K","0.15%"
"01/02/2026","36,949","36,823","36,963","36,308","208.61K","0.90%"
"12/31/2025","36,618","36,571","36,837","36,527","115.59K","0.13%"
"12/30/2025","36,571","36,816","36,841","36,492","107.52K","-0.23%"
"12/29/2025","36,655","36,735","36,912","36,250","148.54K","0.01%"
"12/24/2025","36,651","37,185","37,185","36,510","8.82K","-0.28%"
"12/23/2025","36,753","36,688","36,753","36,054","176.85K","1.24%"
"12/22/2025","36,303","36,001","36,934","36,001","211.88K","-1.45%"
"12/19/2025","36,838","37,321","37,321","36,337","1.54M","-0.93%"
"12/18/2025","37,183","35,701","37,299","35,701","593.45K","2.09%"
"12/17/2025","36,421","36,749","36,749","35,729","386.46K","1.07%"
"12/15/2025","36,035","35,656","36,285","35,496","289.65K","1.07%"
"12/12/2025","35,654","35,874","36,619","35,442","162.61K","-0.11%"
"12/11/2025","35,693","35,752","36,099","35,586","254.23K","-0.10%"
"12/10/2025","35,730","36,072","36,459","35,051","206.19K","0.19%"
"12/09/2025","35,661","35,600","35,748","35,376","285.55K","-0.08%"
"12/08/2025","35,689","36,436","36,549","35,668","315.36K","-1.90%"
"12/05/2025","36,382","36,180","36,699","36,108","207.18K","-0.54%"
"12/04/2025","36,581","36,419","36,626","36,139","286.65K","1.33%"
"12/03/2025","36,100","36,020","36,245","35,900","317.34K","-0.22%"
"12/02/2025","36,179","36,001","36,488","35,300","228.54K","0.78%"
"12/01/2025","35,900","35,945","36,341","35,226","463.26K","-0.09%"
"11/28/2025","35,932","35,209","36,092","35,106","838.88K","1.63%"
"11/27/2025","35,354","36,050","36,145","34,863","657.48K","-1.86%"
"11/26/2025","36,024","34,800","36,797","34,382","1.10M","7.08%"
"11/25/2025","33,641","34,069","34,069","33,272","738.54K","0.42%"
"11/24/2025","33,500","34,094","34,330","33,316","1.11M","-1.33%"
"11/21/2025","33,950","33,721","33,983","33,360","801.31K","-0.15%"
"11/20/2025","34,000","34,056","34,500","33,880","499.73K","0.00%"
"11/19/2025","34,000","33,601","34,252","33,601","461.06K","0.15%"
"11/18/2025","33,950","34,165","34,495","33,870","498.20K","-1.02%"
"11/17/2025","34,300","33,850","34,300","33,850","293.55K","1.33%"
"11/14/2025","33,851","33,500","34,320","33,489","537.65K","-0.41%"
"11/13/2025","33,990","33,826","34,436","33,826","464.08K","-0.03%"
"11/12/2025","34,000","33,421","34,196","33,282","470.29K","0.74%"
"11/11/2025","33,750","33,799","34,275","33,671","771.52K","-0.15%"
"11/10/2025","33,800","33,195","34,799","32,656","1.02M","2.42%"
"11/07/2025","33,000","32,999","33,470","32,672","263.30K","0.00%"
"11/06/2025","33,000","33,105","33,105","32,589","233.21K","0.00%"
"11/05/2025","33,000","32,300","33,144","32,300","347.63K","0.00%"
"11/04/2025","33,000","32,910","33,265","32,596","475.02K","0.05%"
"11/03/2025","32,985","32,840","33,299","32,484","358.93K","0.44%"
"10/31/2025","32,840","32,619","33,053","32,503","1.08M","-0.56%"
"10/30/2025","33,025","33,900","33,900","32,450","924.00K","0.29%"
"10/29/2025","32,930","33,094","33,219","32,800","332.36K","-0.51%"
"10/28/2025","33,100","33,099","33,490","32,860","885.23K","-0.07%"
"10/27/2025","33,123","33,058","33,636","32,888","444.09K","-0.83%"
"10/24/2025","33,400","33,733","33,789","33,003","685.62K","-0.88%"
"10/23/2025","33,696","33,950","33,954","33,501","408.50K","-0.90%"
"10/22/2025","34,002","33,810","34,128","33,715","366.29K","0.60%"
"10/21/2025","33,800","34,000","34,345","33,705","702.58K","-0.88%"
"10/20/2025","34,100","34,226","34,372","33,848","745.45K","-0.09%"
"10/17/2025","34,132","33,609","34,164","33,447","703.43K","1.66%"
"10/16/2025","33,574","33,324","33,822","33,324","746.62K","-0.60%"
"10/15/2025","33,778","33,067","33,778","32,903","1.22M","2.44%"
"10/14/2025","32,974","33,189","33,189","32,014","621.18K","0.41%"
"10/13/2025","32,838","32,100","33,234","32,100","253.13K","-0.79%"
"10/10/2025","33,101","31,855","33,408","31,694","1.03M","4.19%"
"10/09/2025","31,769","31,840","32,285","31,654","338.57K","-0.71%"
"10/08/2025","31,996","31,700","32,000","31,429","340.85K","0.93%"
"10/07/2025","31,700","31,975","31,975","31,576","321.47K","-0.31%"
"10/06/2025","31,800","32,340","32,340","31,593","291.25K","0.40%"
"10/03/2025","31,674","31,516","31,861","31,443","299.84K","0.55%"
"10/02/2025","31,500","31,501","31,904","31,305","533.50K","-0.57%"
"10/01/2025","31,680","31,010","32,385","30,638","666.48K","2.60%"
"09/30/2025","30,876","30,359","31,088","30,162","658.39K","1.71%"
"09/29/2025","30,358","30,513","30,660","30,242","450.54K","-0.63%"
"09/26/2025","30,550","30,300","30,659","30,237","214.81K","0.70%"
"09/25/2025","30,337","30,568","30,568","29,984","733.79K","-0.78%"
"09/23/2025","30,576","30,850","30,850","30,420","129.14K","-0.05%"
"09/22/2025","30,590","30,811","31,105","30,590","93.62K","-1.24%"
"09/19/2025","30,975","31,000","31,517","30,796","1.02M","-1.91%"
"09/18/2025","31,577","30,000","31,882","30,000","757.40K","2.74%"
"09/17/2025","30,736","29,900","30,736","29,836","804.83K","2.41%"
"09/16/2025","30,014","30,000","30,118","29,795","885.43K","0.55%"
"09/15/2025","29,851","30,011","30,126","29,701","361.78K","-0.50%"
"09/12/2025","30,000","30,000","30,258","29,948","406.87K","-0.51%"
"09/11/2025","30,153","30,320","30,320","29,399","514.92K","0.51%"
"09/10/2025","30,000","30,000","30,183","29,881","519.77K","0.00%"
"09/09/2025","30,000","30,339","30,339","29,941","256.47K","-0.66%"
"09/08/2025","30,200","30,527","30,702","30,200","185.08K","-0.70%"
"09/05/2025","30,412","30,277","30,528","30,252","194.68K","0.37%"
"09/04/2025","30,300","30,350","30,899","30,100","341.83K","-0.17%"
"09/03/2025","30,353","31,000","31,000","30,218","455.34K","-1.17%"
"09/02/2025","30,713","31,749","31,749","30,577","312.44K","-1.14%"
"09/01/2025","31,067","30,653","31,348","30,651","257.93K","-0.11%"
"08/29/2025","31,100","30,899","31,454","30,899","320.26K","-0.40%"
"08/28/2025","31,224","31,011","31,598","31,011","331.92K","-0.35%"
"08/27/2025","31,333","31,684","31,799","31,333","137.27K","-1.18%"
"08/26/2025","31,708","31,642","31,777","31,337","356.17K","0.24%"
"08/25/2025","31,631","31,935","31,935","31,253","114.09K","-0.79%"
"08/22/2025","31,883","31,350","31,920","30,631","234.21K","0.90%"
"08/21/2025","31,600","31,900","32,068","31,488","219.84K","-0.82%"
"08/20/2025","31,860","31,402","31,860","31,359","233.58K","1.19%"
"08/19/2025","31,486","30,856","31,900","30,856","197.14K","0.86%"
"08/18/2025","31,218","31,000","31,260","30,810","178.96K","1.36%"
"08/15/2025","30,800","31,000","31,000","30,639","115.69K","-0.22%"
"08/14/2025","30,867","30,999","30,999","30,652","230.40K","0.28%"
"08/13/2025","30,780","30,800","30,934","30,620","221.36K","0.52%"
"08/12/2025","30,622","29,601","30,622","29,601","219.48K","1.79%"
"08/11/2025","30,083","30,250","30,565","29,991","229.73K","-1.21%"
"08/08/2025","30,450","30,177","30,606","30,177","256.55K","-0.35%"
"08/07/2025","30,557","30,591","30,591","30,182","350.79K","1.14%"
"08/06/2025","30,214","30,089","30,573","30,024","371.26K","-0.55%"
"08/05/2025","30,382","30,311","30,394","29,816","296.00K","1.92%"
"08/04/2025","29,810","30,026","30,160","29,599","131.81K","-0.71%"
"08/01/2025","30,022","30,000","30,372","29,816","398.00K","-1.08%"
"07/31/2025","30,350","30,105","30,419","29,971","837.84K","0.81%"
"07/30/2025","30,105","29,751","30,441","29,372","107.53K","-0.52%"
"07/29/2025","30,262","29,936","30,262","29,845","146.11K","1.12%"
"07/28/2025","29,926","29,876","30,129","29,721","182.69K","-0.33%"
"07/25/2025","30,025","30,001","30,120","29,570","429.17K","-0.25%"
"07/24/2025","30,101","29,501","30,319","29,501","198.14K","-0.05%"
"07/23/2025","30,115","29,011","30,199","29,011","298.39K","1.83%"
"07/22/2025","29,573","29,159","29,573","29,100","282.84K","1.64%"
"07/21/2025","29,096","29,729","29,735","29,056","289.27K","-0.90%"
"07/18/2025","29,361","29,970","30,025","29,361","306.63K","-1.77%"
"07/17/2025","29,889","30,455","30,455","29,399","286.09K","0.25%"
"07/16/2025","29,813","29,376","29,813","29,137","270.10K","1.14%"
"07/15/2025","29,476","29,300","29,634","29,300","196.96K","-0.01%"
"07/14/2025","29,479","29,643","29,708","29,345","131.65K","-1.10%"
"07/11/2025","29,808","30,899","30,899","29,721","215.08K","-1.23%"
"07/10/2025","30,179","29,999","30,390","29,999","256.71K","-0.38%"
"07/09/2025","30,295","31,248","31,248","29,915","414.35K","0.87%"
"07/08/2025","30,033","30,541","30,678","29,958","393.62K","-1.29%"
"07/07/2025","30,425","30,400","30,676","30,258","228.29K","-0.63%"
"07/04/2025","30,619","30,485","30,774","30,458","115.42K","9,902.61%"
