"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","5,000","5,050","5,186","4,939","2.38M","-2.52%"
"03/26/2026","5,129","5,128","5,256","5,128","2.34M","-2.69%"
"03/25/2026","5,271","5,100","5,292","5,100","1.85M","2.33%"
"03/24/2026","5,151","5,108","5,220","5,060","2.58M","1.00%"
"03/23/2026","5,100","5,200","5,201","4,984","3.19M","-2.00%"
"03/20/2026","5,204","5,170","5,288","5,068","6.17M","2.42%"
"03/19/2026","5,081","4,971","5,081","4,873","1.96M","1.86%"
"03/18/2026","4,988","5,175","5,241","4,983","2.91M","-7.49%"
"03/17/2026","5,392","5,440","5,484","5,323","2.71M","-0.88%"
"03/16/2026","5,440","5,476","5,515","5,399","2.09M","0.00%"
"03/13/2026","5,440","5,490","5,537","5,433","1.87M","-1.82%"
"03/12/2026","5,541","5,471","5,633","5,425","2.89M","-1.28%"
"03/11/2026","5,613","5,700","5,730","5,503","2.32M","-1.53%"
"03/10/2026","5,700","5,744","5,788","5,627","2.55M","3.35%"
"03/09/2026","5,515","5,570","5,571","5,454","3.22M","-1.68%"
"03/06/2026","5,609","5,827","5,827","5,578","2.75M","-2.96%"
"03/05/2026","5,780","5,798","5,854","5,731","930.25K","-0.34%"
"03/04/2026","5,800","5,606","5,846","5,606","1.70M","2.78%"
"03/03/2026","5,643","5,750","5,881","5,629","2.57M","-4.27%"
"03/02/2026","5,895","5,980","6,015","5,790","3.00M","-2.61%"
"02/27/2026","6,053","6,080","6,280","6,024","2.59M","-0.38%"
"02/26/2026","6,076","5,807","6,248","5,806","3.68M","3.53%"
"02/25/2026","5,869","5,800","5,974","5,800","2.02M","0.17%"
"02/24/2026","5,859","5,656","5,884","5,656","931.75K","0.27%"
"02/23/2026","5,843","5,656","5,871","5,656","1.52M","2.98%"
"02/20/2026","5,674","5,651","5,734","5,646","1.55M","-0.11%"
"02/19/2026","5,680","5,575","5,682","5,542","864.90K","1.07%"
"02/18/2026","5,620","5,550","5,671","5,550","1.38M","0.81%"
"02/17/2026","5,575","5,605","5,683","5,575","1.45M","-0.98%"
"02/16/2026","5,630","5,600","5,695","5,600","923.32K","0.07%"
"02/13/2026","5,626","5,690","5,761","5,626","999.11K","-1.76%"
"02/12/2026","5,727","5,575","5,770","5,504","1.57M","2.47%"
"02/11/2026","5,589","5,974","5,974","5,580","1.83M","-1.65%"
"02/10/2026","5,683","5,660","5,741","5,660","1.12M","-0.99%"
"02/09/2026","5,740","5,950","5,950","5,671","1.33M","0.40%"
"02/06/2026","5,717","5,800","5,800","5,663","1.13M","-0.59%"
"02/05/2026","5,751","5,910","5,975","5,750","2.58M","-2.41%"
"02/04/2026","5,893","6,163","6,163","5,885","1.67M","-3.27%"
"02/03/2026","6,092","6,090","6,139","6,000","2.38M","2.03%"
"02/02/2026","5,971","6,000","6,055","5,870","2.30M","-0.65%"
"01/30/2026","6,010","6,010","6,145","5,937","2.34M","0.00%"
"01/29/2026","6,010","6,127","6,243","6,010","2.29M","-1.91%"
"01/28/2026","6,127","5,837","6,181","5,837","3.30M","3.76%"
"01/27/2026","5,905","5,870","6,019","5,850","2.93M","-1.17%"
"01/26/2026","5,975","6,042","6,055","5,850","4.23M","-1.01%"
"01/23/2026","6,036","6,110","6,380","5,955","4.36M","-0.87%"
"01/22/2026","6,089","5,911","6,090","5,832","7.13M","5.25%"
"01/21/2026","5,785","5,600","5,851","5,600","3.10M","2.12%"
"01/20/2026","5,665","5,644","5,718","5,595","3.27M","0.18%"
"01/19/2026","5,655","5,670","5,689","5,563","2.98M","0.00%"
"01/16/2026","5,655","5,610","5,691","5,588","2.55M","0.23%"
"01/15/2026","5,642","5,739","5,822","5,642","2.40M","-1.90%"
"01/14/2026","5,751","5,697","5,827","5,600","4.31M","0.38%"
"01/13/2026","5,729","5,750","5,866","5,729","1.90M","-1.48%"
"01/12/2026","5,815","5,800","5,902","5,747","1.38M","-1.31%"
"01/09/2026","5,892","5,600","5,892","5,600","2.39M","3.48%"
"01/08/2026","5,694","5,850","5,859","5,687","1.84M","-2.58%"
"01/07/2026","5,845","5,684","5,845","5,631","2.11M","3.16%"
"01/06/2026","5,666","5,659","5,694","5,607","1.26M","0.48%"
"01/05/2026","5,639","5,667","5,747","5,585","930.62K","-0.51%"
"01/02/2026","5,668","5,693","5,704","5,603","720.80K","-0.44%"
"12/31/2025","5,693","5,669","5,693","5,625","79.74K","0.41%"
"12/30/2025","5,670","5,739","5,761","5,658","705.46K","-0.74%"
"12/29/2025","5,712","5,636","5,741","5,636","692.64K","1.62%"
"12/24/2025","5,621","5,664","5,664","5,600","192.03K","0.38%"
"12/23/2025","5,600","5,550","5,639","5,550","456.12K","-0.27%"
"12/22/2025","5,615","5,800","5,800","5,557","1.12M","0.02%"
"12/19/2025","5,614","5,623","5,842","5,557","2.80M","-3.21%"
"12/18/2025","5,800","5,743","6,069","5,611","3.63M","1.15%"
"12/17/2025","5,734","5,550","5,745","5,550","881.00K","2.39%"
"12/15/2025","5,600","5,500","5,623","5,499","888.36K","1.82%"
