"Date","Price","Open","High","Low","Vol.","Change %"
"03/26/2026","15,007","15,070","15,100","14,855","1.21M","0.39%"
"03/25/2026","14,948","14,753","15,033","14,705","1.79M","1.47%"
"03/24/2026","14,731","14,275","14,731","14,147","2.82M","3.14%"
"03/23/2026","14,283","14,300","14,467","13,952","2.94M","-0.73%"
"03/20/2026","14,388","14,051","14,820","14,051","5.03M","-1.36%"
"03/19/2026","14,586","14,680","14,757","14,062","7.38M","-1.43%"
"03/18/2026","14,798","15,020","15,224","14,669","2.66M","-0.94%"
"03/17/2026","14,938","14,924","14,941","14,640","2.80M","-0.55%"
"03/16/2026","15,020","14,600","15,079","14,600","2.64M","2.87%"
"03/13/2026","14,601","14,551","14,784","14,443","1.89M","-1.12%"
"03/12/2026","14,767","14,900","14,900","14,558","2.35M","-0.79%"
"03/11/2026","14,884","15,051","15,312","14,602","2.82M","-1.76%"
"03/10/2026","15,151","15,227","15,307","14,952","2.53M","-0.32%"
"03/09/2026","15,199","15,445","15,445","14,983","2.65M","-2.16%"
"03/06/2026","15,534","15,818","16,030","15,435","2.20M","-2.41%"
"03/05/2026","15,917","16,150","16,150","15,802","1.66M","-0.41%"
"03/04/2026","15,982","15,944","16,031","15,691","1.48M","0.74%"
"03/03/2026","15,864","16,356","16,497","15,731","1.91M","-3.26%"
"03/02/2026","16,398","16,246","16,398","15,812","977.47K","0.76%"
"02/27/2026","16,274","16,248","16,295","15,895","3.06M","1.33%"
"02/26/2026","16,060","16,350","16,350","15,963","1.21M","-1.47%"
"02/25/2026","16,300","16,060","16,300","16,016","1.65M","0.50%"
"02/24/2026","16,219","16,035","16,300","15,815","1.34M","1.67%"
"02/23/2026","15,953","15,980","16,247","15,894","1.73M","0.28%"
"02/20/2026","15,909","15,648","15,954","15,648","1.40M","0.79%"
"02/19/2026","15,785","16,000","16,000","15,621","1.29M","-1.30%"
"02/18/2026","15,993","15,834","16,165","15,793","1.51M","1.48%"
"02/17/2026","15,759","15,611","15,930","15,611","597.82K","-0.06%"
"02/16/2026","15,769","15,457","15,824","15,457","550.02K","1.33%"
"02/13/2026","15,562","15,671","15,671","15,475","1.29M","-0.58%"
"02/12/2026","15,653","15,800","15,800","15,471","1.72M","0.99%"
"02/11/2026","15,499","15,576","15,688","15,425","1.18M","-0.49%"
"02/10/2026","15,576","15,650","15,795","15,433","1.14M","0.26%"
"02/09/2026","15,536","15,500","15,550","15,267","1.10M","0.92%"
"02/06/2026","15,395","15,185","15,517","15,171","871.69K","1.07%"
"02/05/2026","15,232","15,550","15,641","15,160","1.34M","-1.45%"
"02/04/2026","15,456","15,102","15,610","15,102","1.42M","-0.72%"
"02/03/2026","15,568","15,340","15,731","15,217","1.86M","1.49%"
"02/02/2026","15,340","15,066","15,557","14,652","1.71M","1.89%"
"01/30/2026","15,056","14,730","15,330","14,730","2.67M","0.48%"
"01/29/2026","14,984","14,730","15,026","14,628","2.41M","0.75%"
"01/28/2026","14,872","15,450","15,450","14,625","1.93M","-1.90%"
"01/27/2026","15,160","15,392","15,392","15,004","1.62M","-0.01%"
"01/26/2026","15,161","15,000","15,276","14,564","1.95M","3.13%"
"01/23/2026","14,701","14,563","14,871","14,563","1.68M","-0.78%"
"01/22/2026","14,816","14,460","14,957","14,392","2.12M","2.46%"
"01/21/2026","14,460","14,500","14,531","14,225","857.88K","0.63%"
"01/20/2026","14,370","14,499","14,499","14,179","1.28M","0.56%"
"01/19/2026","14,290","14,340","14,485","14,179","1.07M","-0.36%"
"01/16/2026","14,341","14,000","14,374","14,000","1.14M","0.24%"
"01/15/2026","14,307","14,600","14,600","14,100","1.16M","1.01%"
"01/14/2026","14,164","14,345","14,345","14,042","761.91K","-0.92%"
"01/13/2026","14,296","14,629","14,629","14,170","932.13K","-0.89%"
"01/12/2026","14,424","14,800","14,800","14,320","634.96K","-0.17%"
"01/09/2026","14,448","14,353","14,573","14,353","787.14K","-0.72%"
"01/08/2026","14,553","14,283","14,600","14,279","863.01K","1.06%"
"01/07/2026","14,400","14,635","14,650","14,311","1.49M","-1.61%"
"01/06/2026","14,635","13,500","14,776","13,500","1.71M","4.04%"
"01/05/2026","14,067","13,905","14,184","13,837","767.86K","-0.30%"
"01/02/2026","14,110","14,170","14,211","13,892","484.76K","-0.15%"
"12/31/2025","14,131","13,905","14,183","13,905","513.35K","0.15%"
"12/30/2025","14,110","13,938","14,235","13,938","601.42K","0.46%"
"12/29/2025","14,046","13,670","14,057","13,657","539.98K","1.57%"
"12/24/2025","13,829","13,250","13,956","13,250","386.12K","-0.39%"
"12/23/2025","13,883","13,829","13,883","13,610","732.56K","1.86%"
"12/22/2025","13,630","13,155","13,730","13,155","710.23K","-0.20%"
"12/19/2025","13,657","13,661","13,661","13,242","3.31M","0.46%"
"12/18/2025","13,594","13,617","13,898","13,484","4.75M","-0.44%"
"12/17/2025","13,654","13,330","13,700","13,241","1.26M","2.28%"
"12/15/2025","13,350","13,328","13,434","13,161","1.17M","0.17%"
"12/12/2025","13,328","13,437","13,571","13,274","1.03M","-0.81%"
"12/11/2025","13,437","13,240","13,534","13,240","985.02K","0.61%"
"12/10/2025","13,355","13,300","13,526","13,232","671.42K","-1.07%"
"12/09/2025","13,500","13,350","13,537","13,350","865.32K","0.93%"
"12/08/2025","13,375","13,400","13,458","13,303","1.59M","-0.19%"
"12/05/2025","13,401","13,400","13,414","13,210","1.70M","1.23%"
"12/04/2025","13,238","13,384","13,427","12,923","1.57M","-0.76%"
"12/03/2025","13,340","13,313","13,545","13,313","1.46M","-1.28%"
"12/02/2025","13,513","13,749","13,749","13,262","766.54K","0.67%"
"12/01/2025","13,423","13,400","13,550","13,131","673.25K","0.04%"
"11/28/2025","13,418","13,949","13,949","13,403","1.10M","-1.44%"
"11/27/2025","13,614","13,700","13,955","13,548","636.00K","-0.93%"
"11/26/2025","13,742","14,000","14,138","13,739","780.23K","-2.49%"
"11/25/2025","14,093","14,240","14,240","13,835","1.01M","0.89%"
"11/24/2025","13,968","14,288","14,288","13,713","2.72M","1.43%"
"11/21/2025","13,771","14,073","14,076","13,603","1.01M","-2.17%"
"11/20/2025","14,076","13,921","14,319","13,921","1.20M","0.16%"
"11/19/2025","14,053","13,919","14,208","13,919","952.58K","0.29%"
"11/18/2025","14,013","14,150","14,151","13,820","963.93K","-0.04%"
"11/17/2025","14,018","14,190","14,205","13,968","1.02M","0.57%"
"11/14/2025","13,939","14,099","14,158","13,785","1.34M","-0.44%"
"11/13/2025","14,000","13,865","14,212","13,821","1.42M","1.13%"
"11/12/2025","13,844","14,099","14,099","13,713","1.80M","-0.77%"
"11/11/2025","13,951","13,630","14,212","13,586","1.75M","2.33%"
"11/10/2025","13,633","13,800","13,845","13,436","1.63M","0.10%"
"11/07/2025","13,619","13,900","13,900","13,500","1.25M","-1.16%"
"11/06/2025","13,779","14,050","14,138","13,649","2.50M","1.49%"
"11/05/2025","13,577","14,100","14,100","13,350","1.89M","0.24%"
"11/04/2025","13,544","13,900","13,988","13,424","2.42M","-2.60%"
"11/03/2025","13,905","14,000","14,173","13,891","893.58K","-0.71%"
"10/31/2025","14,004","14,151","14,450","13,959","1.49M","0.75%"
"10/30/2025","13,900","14,150","14,150","13,750","1.80M","-1.06%"
"10/29/2025","14,049","13,975","14,130","13,788","865.73K","0.67%"
"10/28/2025","13,956","13,650","13,974","13,640","1.28M","2.39%"
"10/27/2025","13,630","13,508","13,762","13,474","892.71K","-0.29%"
"10/24/2025","13,670","13,650","13,944","13,458","984.20K","-0.43%"
"10/23/2025","13,729","13,750","13,779","13,477","838.60K","-0.46%"
"10/22/2025","13,792","13,680","13,921","13,680","1.25M","0.67%"
"10/21/2025","13,700","13,411","13,810","13,411","1.40M","0.50%"
"10/20/2025","13,632","13,487","13,732","13,487","1.18M","1.08%"
"10/17/2025","13,487","13,400","13,577","13,296","1.10M","0.25%"
"10/16/2025","13,454","13,484","13,553","13,323","932.90K","-0.22%"
"10/15/2025","13,484","13,244","13,490","13,225","1.99M","1.81%"
"10/14/2025","13,244","13,705","13,705","13,083","2.15M","-4.19%"
"10/13/2025","13,823","13,339","13,883","13,339","954.58K","0.45%"
"10/10/2025","13,761","13,500","13,893","13,481","1.12M","1.13%"
"10/09/2025","13,607","13,247","13,642","13,247","584.53K","0.35%"
"10/08/2025","13,560","13,490","13,563","13,266","820.02K","1.57%"
"10/07/2025","13,351","13,247","13,389","13,247","1.22M","0.37%"
"10/06/2025","13,302","13,500","13,506","13,100","1.03M","-1.47%"
"10/03/2025","13,500","13,423","13,500","13,274","679.02K","1.21%"
"10/02/2025","13,339","13,494","13,564","13,282","1.10M","-0.72%"
"10/01/2025","13,436","13,533","13,533","13,213","1.13M","0.80%"
"09/30/2025","13,329","13,150","13,329","13,092","1.29M","1.16%"
"09/29/2025","13,176","13,060","13,277","13,060","1.07M","-0.86%"
"09/26/2025","13,290","13,220","13,292","12,972","774.98K","1.43%"
"09/25/2025","13,103","13,205","13,205","12,831","2.56M","-1.06%"
"09/23/2025","13,243","13,250","13,419","13,239","1.06M","-0.73%"
"09/22/2025","13,340","13,274","13,340","13,059","1.08M","0.50%"
"09/19/2025","13,274","13,322","13,446","12,900","3.72M","-1.23%"
"09/18/2025","13,439","13,429","13,582","13,315","3.99M","-0.67%"
"09/17/2025","13,529","13,241","13,573","13,241","869.53K","0.57%"
"09/16/2025","13,452","13,315","13,488","13,206","1.64M","0.04%"
"09/15/2025","13,446","13,300","13,462","13,300","1.27M","0.68%"
"09/12/2025","13,355","13,500","13,600","13,239","2.09M","-1.61%"
"09/11/2025","13,573","13,700","13,773","13,518","1.29M","-1.20%"
"09/10/2025","13,738","13,705","13,825","13,568","921.43K","0.47%"
"09/09/2025","13,674","13,888","13,888","13,604","1.75M","-0.18%"
"09/08/2025","13,698","13,798","13,911","13,677","1.03M","-0.73%"
"09/05/2025","13,799","13,989","13,989","13,628","1.16M","1.55%"
"09/04/2025","13,589","13,630","13,812","13,587","1.35M","-0.64%"
"09/03/2025","13,677","14,000","14,050","13,585","1.39M","-1.52%"
"09/02/2025","13,888","14,183","14,183","13,817","1.15M","-1.10%"
"09/01/2025","14,042","14,166","14,390","14,000","876.16K","-1.23%"
"08/29/2025","14,217","14,255","14,497","14,124","1.24M","-1.07%"
"08/28/2025","14,371","14,331","14,473","14,230","825.27K","1.61%"
"08/27/2025","14,143","14,100","14,478","14,047","759.23K","-0.72%"
"08/26/2025","14,245","14,110","14,378","14,029","1.66M","-0.95%"
"08/25/2025","14,382","14,555","14,663","14,364","588.64K","-1.61%"
"08/22/2025","14,617","14,321","14,694","14,321","763.50K","2.22%"
"08/21/2025","14,300","14,255","14,483","14,163","876.97K","1.05%"
"08/20/2025","14,152","14,008","14,373","14,008","944.30K","0.31%"
"08/19/2025","14,108","14,250","14,250","14,068","551.04K","-0.17%"
"08/18/2025","14,132","14,298","14,425","14,080","769.63K","-1.52%"
"08/15/2025","14,350","14,590","14,590","14,298","823.68K","-0.70%"
"08/14/2025","14,451","14,155","14,600","14,054","1.35M","2.09%"
"08/13/2025","14,155","13,800","14,155","13,800","1.01M","1.84%"
"08/12/2025","13,899","13,750","13,936","13,608","854.15K","2.12%"
"08/11/2025","13,611","14,028","14,028","13,475","1.28M","-0.98%"
"08/08/2025","13,746","13,991","13,991","13,627","830.63K","-1.16%"
"08/07/2025","13,907","13,710","14,004","13,629","1.42M","1.44%"
"08/06/2025","13,710","13,450","13,800","13,450","922.54K","1.48%"
"08/05/2025","13,510","13,522","13,889","13,476","1.20M","-1.50%"
"08/04/2025","13,716","13,800","13,800","13,608","817.57K","0.25%"
"08/01/2025","13,682","13,801","13,849","13,526","936.73K","-1.62%"
"07/31/2025","13,908","13,884","14,744","13,731","2.02M","-0.54%"
"07/30/2025","13,984","13,933","14,045","13,700","1.08M","0.64%"
"07/29/2025","13,895","13,679","13,931","13,634","1.71M","1.93%"
"07/28/2025","13,632","13,612","13,722","13,524","946.73K","0.15%"
"07/25/2025","13,612","13,561","13,797","13,480","1.11M","0.38%"
"07/24/2025","13,561","13,600","13,718","13,362","1.27M","1.32%"
"07/23/2025","13,384","14,400","14,695","13,384","3.14M","-6.86%"
"07/22/2025","14,370","14,350","14,639","14,272","1.36M","0.20%"
"07/21/2025","14,341","14,400","14,438","14,235","882.05K","0.38%"
"07/18/2025","14,287","14,060","14,319","14,057","983.34K","1.66%"
"07/17/2025","14,054","14,035","14,270","13,983","731.61K","0.19%"
"07/16/2025","14,027","13,700","14,027","13,598","824.45K","2.39%"
"07/15/2025","13,700","13,753","13,982","13,685","1.13M","-1.68%"
"07/14/2025","13,934","13,760","14,056","13,758","1.04M","0.51%"
"07/11/2025","13,863","13,944","14,196","13,729","1.55M","-1.18%"
"07/10/2025","14,028","13,920","14,091","13,920","809.76K","-0.21%"
"07/09/2025","14,057","13,905","14,266","13,905","980.71K","0.04%"
"07/08/2025","14,052","13,800","14,127","13,783","1.16M","1.58%"
"07/07/2025","13,833","13,601","13,924","13,601","755.87K","-0.35%"
"07/04/2025","13,881","13,903","13,940","13,695","496.72K","-0.16%"
"07/03/2025","13,903","13,732","13,932","13,732","839.60K","0.51%"
"07/02/2025","13,832","13,784","14,099","13,711","1.87M","-1.09%"
"07/01/2025","13,984","13,515","13,984","13,515","1.65M","2.30%"
"06/30/2025","13,670","13,660","13,800","13,499","2.06M","0.07%"
"06/27/2025","13,660","13,055","13,776","13,055","1.30M","1.01%"
"06/26/2025","13,523","13,535","13,615","13,300","2.03M","-0.16%"
"06/25/2025","13,545","12,850","13,669","12,850","1.88M","1.38%"
"06/24/2025","13,361","13,071","13,423","13,071","1.43M","2.22%"
"06/23/2025","13,071","13,027","13,150","12,854","1.25M","-0.24%"
"06/20/2025","13,103","12,997","13,172","12,836","6.94M","0.77%"
"06/19/2025","13,003","12,700","13,003","12,672","3.04M","0.84%"
"06/18/2025","12,895","12,754","12,895","12,489","1.68M","-2.36%"
"06/17/2025","13,207","13,292","13,590","13,113","2.73M","-2.24%"
"06/13/2025","13,509","13,580","13,710","13,436","2.22M","-1.18%"
"06/12/2025","13,671","13,638","13,690","13,446","1.06M","0.98%"
"06/11/2025","13,538","13,476","13,667","13,407","1.07M","-0.91%"
"06/10/2025","13,662","13,565","13,700","13,501","1.45M","0.72%"
"06/09/2025","13,565","13,636","13,727","13,419","1.01M","-0.46%"
"06/06/2025","13,628","13,800","13,800","13,503","1.07M","-0.44%"
"06/05/2025","13,688","13,799","13,799","13,532","1.69M","0.74%"
"06/04/2025","13,588","13,400","13,849","13,400","1.62M","0.32%"
"06/03/2025","13,544","13,358","13,880","13,358","1.54M","-1.22%"
"06/02/2025","13,711","13,777","13,921","13,600","1.33M","-0.48%"
"05/30/2025","13,777","13,724","13,955","13,678","3.82M","-0.52%"
"05/29/2025","13,849","13,570","13,853","13,474","1.39M","3.20%"
"05/28/2025","13,420","13,499","13,587","13,357","1.30M","-0.63%"
"05/27/2025","13,505","13,480","13,589","13,375","1.63M","0.30%"
"05/26/2025","13,465","13,501","13,771","13,426","879.96K","-1.63%"
"05/23/2025","13,688","13,860","13,883","13,519","1.02M","0.06%"
"05/22/2025","13,680","13,554","13,747","13,474","1.28M","-0.54%"
"05/21/2025","13,754","13,789","14,000","13,528","1.73M","0.39%"
"05/20/2025","13,700","13,398","13,837","13,318","2.01M","2.90%"
"05/19/2025","13,314","12,901","13,539","12,800","2.27M","0.61%"
"05/16/2025","13,233","13,484","13,484","13,126","771.85K","0.34%"
"05/15/2025","13,188","12,900","13,348","12,900","1.65M","0.35%"
"05/14/2025","13,142","13,148","13,216","12,901","1.77M","0.37%"
"05/13/2025","13,094","13,070","13,266","12,935","1.74M","-0.77%"
