"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","15,450","15,458","15,531","15,200","130.77K","1.15%"
"03/26/2026","15,275","15,296","15,417","15,002","130.08K","-0.39%"
"03/25/2026","15,335","14,898","15,473","14,803","123.56K","4.33%"
"03/24/2026","14,699","14,750","14,945","14,641","93.78K","-0.39%"
"03/23/2026","14,757","14,401","15,600","14,284","113.95K","-0.43%"
"03/20/2026","14,820","14,938","15,122","14,733","196.81K","-0.39%"
"03/19/2026","14,878","15,151","15,151","14,426","183.63K","-1.98%"
"03/18/2026","15,179","15,640","15,905","15,179","122.15K","-2.30%"
"03/17/2026","15,536","15,956","16,008","15,493","215.10K","-2.77%"
"03/16/2026","15,978","15,750","16,252","15,503","154.72K","0.78%"
"03/13/2026","15,854","16,202","16,645","15,753","166.11K","-0.94%"
"03/12/2026","16,004","16,250","16,250","15,900","100.37K","-1.56%"
"03/11/2026","16,258","16,675","16,675","16,059","159.46K","-2.08%"
"03/10/2026","16,604","16,770","17,175","16,437","145.01K","1.70%"
"03/09/2026","16,326","17,301","17,306","16,326","216.40K","-6.30%"
"03/06/2026","17,423","18,107","18,307","17,378","442.08K","-4.70%"
"03/05/2026","18,283","17,844","18,379","17,827","239.70K","2.46%"
"03/04/2026","17,844","17,889","18,102","17,117","460.25K","1.20%"
"03/03/2026","17,632","20,998","20,998","17,589","412.58K","-16.51%"
"03/02/2026","21,119","20,960","21,231","20,743","77.21K","-0.03%"
"02/27/2026","21,126","20,997","21,451","20,895","241.08K","0.30%"
"02/26/2026","21,062","20,898","21,227","20,559","147.34K","1.76%"
"02/25/2026","20,698","20,481","20,832","20,415","179.28K","0.97%"
"02/24/2026","20,500","20,000","20,599","19,896","123.73K","0.91%"
"02/23/2026","20,316","19,597","20,445","19,400","117.15K","4.39%"
"02/20/2026","19,461","19,409","19,549","19,372","252.31K","0.62%"
"02/19/2026","19,341","19,050","19,400","19,050","158.51K","1.70%"
"02/18/2026","19,018","18,426","19,090","18,426","96.70K","1.63%"
"02/17/2026","18,713","18,550","18,802","18,550","85.78K","0.24%"
"02/16/2026","18,668","18,604","18,746","18,488","64.66K","1.03%"
"02/13/2026","18,477","17,900","18,965","17,900","88.35K","-1.17%"
"02/12/2026","18,695","18,000","18,879","18,000","83.89K","0.34%"
"02/11/2026","18,631","18,273","18,700","18,273","167.00K","0.38%"
"02/10/2026","18,560","18,253","18,651","18,147","133.02K","1.70%"
"02/09/2026","18,250","17,999","18,385","17,786","160.14K","1.72%"
"02/06/2026","17,942","17,663","17,942","17,486","92.36K","2.11%"
"02/05/2026","17,572","17,662","17,703","17,488","134.23K","-0.03%"
"02/04/2026","17,577","17,821","17,878","17,333","52.55K","-0.97%"
"02/03/2026","17,750","17,450","17,808","17,426","123.31K","2.60%"
"02/02/2026","17,300","17,029","17,459","16,885","74.93K","-0.57%"
"01/30/2026","17,400","17,211","17,426","17,118","213.71K","0.87%"
"01/29/2026","17,250","17,255","17,509","17,230","93.15K","-0.13%"
"01/28/2026","17,272","17,209","17,351","16,984","151.06K","0.58%"
"01/27/2026","17,173","17,393","17,393","17,101","88.74K","-0.16%"
"01/26/2026","17,200","17,381","17,448","17,150","162.34K","-0.38%"
"01/23/2026","17,265","17,323","17,405","17,075","151.19K","0.96%"
"01/22/2026","17,100","16,802","17,237","16,802","80.60K","1.79%"
"01/21/2026","16,800","16,843","16,843","16,335","107.62K","1.51%"
"01/20/2026","16,550","16,801","16,845","16,299","94.05K","-1.51%"
"01/19/2026","16,803","16,850","18,000","16,585","293.79K","-0.28%"
"01/16/2026","16,850","16,873","17,019","16,681","174.65K","-0.14%"
"01/15/2026","16,873","17,345","17,366","16,702","162.59K","-1.60%"
"01/14/2026","17,148","16,789","17,390","16,789","98.98K","0.45%"
"01/13/2026","17,071","17,314","17,397","16,938","62.18K","-1.83%"
"01/12/2026","17,389","17,421","17,543","17,243","70.85K","-0.06%"
"01/09/2026","17,400","17,399","17,545","17,199","180.29K","0.86%"
"01/08/2026","17,251","17,010","17,360","17,010","97.13K","1.73%"
"01/07/2026","16,958","16,766","17,003","16,766","45.48K","0.79%"
"01/06/2026","16,825","16,800","16,927","16,568","28.16K","1.07%"
"01/05/2026","16,647","16,607","16,846","16,476","55.45K","-0.31%"
"01/02/2026","16,698","16,640","16,747","16,347","44.09K","-0.07%"
"12/31/2025","16,709","16,631","16,759","16,576","28.14K","0.57%"
"12/30/2025","16,614","16,627","16,952","16,497","100.64K","-0.51%"
"12/29/2025","16,700","16,505","16,801","16,503","191.34K","1.33%"
"12/24/2025","16,481","16,500","16,549","16,402","16.39K","0.49%"
"12/23/2025","16,400","16,297","16,480","16,248","92.81K","1.22%"
"12/22/2025","16,202","16,120","16,275","15,949","136.55K","0.51%"
"12/19/2025","16,120","15,734","16,212","15,734","409.16K","1.90%"
"12/18/2025","15,820","15,655","15,910","15,595","107.12K","1.41%"
"12/17/2025","15,600","15,501","15,649","15,433","61.66K","0.32%"
"12/15/2025","15,550","15,891","15,891","15,451","85.32K","-1.46%"
"12/12/2025","15,781","15,476","15,800","15,374","74.61K","2.95%"
"12/11/2025","15,329","15,100","15,450","15,029","149.20K","2.00%"
"12/10/2025","15,029","15,200","15,240","15,025","27.71K","-0.18%"
"12/09/2025","15,056","15,075","15,291","14,936","79.64K","-0.10%"
"12/08/2025","15,071","15,500","15,500","15,006","67.62K","-2.77%"
"12/05/2025","15,500","15,182","15,546","15,109","79.82K","2.65%"
"12/04/2025","15,100","14,752","15,100","14,752","84.43K","1.60%"
"12/03/2025","14,862","14,771","14,944","14,771","148.64K","0.42%"
"12/02/2025","14,800","14,845","14,893","14,770","112.99K","-0.82%"
"12/01/2025","14,922","14,911","14,992","14,740","45.82K","-1.04%"
"11/28/2025","15,079","15,000","15,126","14,913","75.62K","0.53%"
"11/27/2025","15,000","15,038","15,219","14,955","176.43K","0.20%"
"11/26/2025","14,970","14,955","15,052","14,784","57.00K","0.20%"
"11/25/2025","14,940","14,982","15,111","14,900","57.20K","-0.51%"
"11/24/2025","15,016","14,963","15,024","14,832","93.50K","0.29%"
"11/21/2025","14,972","14,955","15,030","14,705","92.41K","-0.65%"
"11/20/2025","15,070","15,085","15,391","15,020","208.57K","0.41%"
"11/19/2025","15,009","14,960","15,009","14,528","63.67K","3.13%"
"11/18/2025","14,554","14,921","15,224","14,415","167.78K","-3.30%"
"11/17/2025","15,050","14,830","15,293","14,830","653.80K","1.20%"
"11/14/2025","14,871","15,061","15,146","14,763","242.54K","-1.54%"
"11/13/2025","15,104","15,230","15,326","15,029","121.03K","0.29%"
"11/12/2025","15,061","15,000","15,274","14,776","69.33K","1.14%"
"11/11/2025","14,891","15,000","15,000","14,747","57.50K","1.00%"
"11/10/2025","14,743","14,999","14,999","14,480","50.63K","1.68%"
"11/07/2025","14,500","14,649","14,897","14,422","100.34K","-2.03%"
"11/06/2025","14,800","15,097","15,153","14,726","108.97K","-0.98%"
"11/05/2025","14,947","14,757","15,129","14,641","58.59K","0.88%"
"11/04/2025","14,816","15,486","15,486","14,750","130.30K","-1.92%"
"11/03/2025","15,106","15,235","15,300","15,059","40.93K","-0.30%"
"10/31/2025","15,152","15,377","15,377","15,067","195.23K","-0.70%"
"10/30/2025","15,259","15,281","15,812","15,178","31.33K","-0.35%"
"10/29/2025","15,312","15,899","15,899","15,300","52.34K","-1.65%"
"10/28/2025","15,569","15,692","15,883","15,474","180.52K","-0.26%"
"10/27/2025","15,610","15,576","15,750","15,357","129.01K","0.85%"
"10/24/2025","15,479","15,366","15,510","15,122","141.71K","0.64%"
"10/23/2025","15,380","15,043","15,400","15,000","505.26K","2.24%"
"10/22/2025","15,043","15,077","15,283","15,020","115.60K","-2.32%"
"10/21/2025","15,401","15,723","15,736","15,395","84.66K","-1.34%"
"10/20/2025","15,610","15,760","15,922","15,402","55.08K","0.50%"
"10/17/2025","15,533","15,521","15,581","15,260","106.87K","0.08%"
"10/16/2025","15,521","15,848","15,848","15,510","93.33K","-1.69%"
"10/15/2025","15,788","15,872","16,000","15,674","205.34K","0.46%"
"10/14/2025","15,715","15,536","15,750","15,479","184.66K","1.06%"
"10/13/2025","15,550","15,397","15,640","15,294","243.95K","0.21%"
"10/10/2025","15,518","15,038","15,518","14,944","438.49K","3.52%"
"10/09/2025","14,990","15,005","15,107","14,886","1.28M","-0.40%"
"10/08/2025","15,050","14,971","15,087","14,858","240.33K","0.69%"
"10/07/2025","14,947","14,951","15,137","14,880","65.16K","-0.25%"
"10/06/2025","14,985","14,979","15,073","14,918","138.06K","-0.19%"
"10/03/2025","15,014","14,932","15,150","14,932","356.24K","0.43%"
"10/02/2025","14,950","15,430","15,430","14,950","127.27K","-1.75%"
"10/01/2025","15,217","14,861","15,280","14,861","66.59K","1.24%"
"09/30/2025","15,030","15,291","15,291","14,890","81.98K","-1.12%"
"09/29/2025","15,200","15,061","15,269","14,967","90.19K","0.52%"
"09/26/2025","15,122","15,095","15,268","14,879","74.14K","-0.19%"
"09/25/2025","15,151","15,156","15,307","15,093","54.41K","-0.69%"
"09/23/2025","15,257","15,503","15,568","15,169","37.52K","-1.43%"
"09/22/2025","15,479","15,211","15,479","15,197","58.21K","1.06%"
"09/19/2025","15,317","15,700","15,700","15,200","157.93K","-1.37%"
"09/18/2025","15,530","15,725","15,831","15,517","48.16K","-1.85%"
"09/17/2025","15,823","15,584","15,925","15,583","41.61K","0.90%"
"09/16/2025","15,682","16,200","16,200","15,530","177.07K","0.30%"
"09/15/2025","15,635","15,949","16,202","15,450","150.31K","-1.67%"
"09/12/2025","15,900","15,548","15,918","15,398","206.37K","2.75%"
"09/11/2025","15,475","15,601","15,832","15,269","334.37K","-1.49%"
"09/10/2025","15,709","16,764","16,860","15,666","327.75K","-6.47%"
"09/09/2025","16,796","17,057","17,350","16,551","127.03K","-1.43%"
"09/08/2025","17,039","16,951","17,361","16,903","47.08K","0.70%"
"09/05/2025","16,920","17,050","17,238","16,679","148.35K","0.15%"
"09/04/2025","16,895","16,811","17,025","16,707","78.66K","-0.26%"
"09/03/2025","16,939","16,769","17,318","16,769","85.02K","-0.55%"
"09/02/2025","17,032","17,449","17,449","16,705","44.70K","0.30%"
"09/01/2025","16,981","17,072","17,184","16,843","77.68K","-0.35%"
"08/29/2025","17,041","17,002","17,237","17,002","80.86K","0.24%"
"08/28/2025","17,001","16,964","17,199","16,961","86.77K","0.62%"
"08/27/2025","16,897","16,835","17,056","16,815","39.70K","-0.13%"
"08/26/2025","16,919","17,114","17,124","16,800","78.87K","-1.82%"
"08/25/2025","17,233","17,383","17,491","17,200","37.83K","-1.62%"
"08/22/2025","17,516","17,609","17,772","17,249","43.64K","-0.38%"
"08/21/2025","17,583","16,918","17,589","16,896","120.29K","3.55%"
"08/20/2025","16,981","17,177","17,268","16,871","35.05K","-1.27%"
"08/19/2025","17,200","17,090","17,492","16,949","95.81K","0.97%"
"08/18/2025","17,035","17,146","17,217","16,909","46.88K","-0.76%"
"08/15/2025","17,166","17,231","17,278","17,055","21.08K","-0.33%"
"08/14/2025","17,222","17,562","17,600","17,016","69.45K","-1.39%"
"08/13/2025","17,464","17,199","17,550","17,150","70.63K","2.09%"
"08/12/2025","17,106","16,901","17,151","16,750","144.66K","1.22%"
"08/11/2025","16,900","17,112","17,200","16,874","105.10K","-1.54%"
"08/08/2025","17,164","17,198","17,356","17,044","67.67K","0.32%"
"08/07/2025","17,110","16,813","17,233","16,813","213.74K","1.54%"
"08/06/2025","16,850","16,826","16,972","16,687","228.57K","0.78%"
"08/05/2025","16,719","17,420","17,420","16,669","132.50K","-1.03%"
"08/04/2025","16,893","17,037","17,252","16,662","97.83K","-1.01%"
"08/01/2025","17,066","17,228","17,233","17,020","91.88K","-1.85%"
"07/31/2025","17,388","17,499","17,729","17,265","272.01K","-1.16%"
"07/30/2025","17,592","17,245","17,663","17,219","109.30K","1.81%"
"07/29/2025","17,280","17,154","17,494","17,131","205.03K","0.85%"
"07/28/2025","17,134","17,300","17,440","17,102","63.23K","-0.38%"
