"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","5,055","5,120","5,137","5,045","2.53M","-1.48%"
"03/26/2026","5,131","5,050","5,145","5,033","1.94M","0.79%"
"03/25/2026","5,091","5,002","5,162","5,002","2.92M","-0.82%"
"03/24/2026","5,133","5,150","5,200","5,064","4.11M","0.45%"
"03/23/2026","5,110","5,020","5,231","4,984","4.34M","0.49%"
"03/20/2026","5,085","5,076","5,225","5,076","9.12M","-0.24%"
"03/19/2026","5,097","5,122","5,192","4,995","8.12M","-0.70%"
"03/18/2026","5,133","5,210","5,299","5,126","3.05M","-1.48%"
"03/17/2026","5,210","5,124","5,294","5,124","3.11M","0.08%"
"03/16/2026","5,206","5,172","5,267","5,164","3.66M","1.38%"
"03/13/2026","5,135","5,110","5,213","5,071","4.71M","-0.95%"
"03/12/2026","5,184","5,135","5,216","5,027","5.88M","-1.03%"
"03/11/2026","5,238","5,360","5,360","5,114","4.48M","-0.49%"
"03/10/2026","5,264","5,225","5,399","5,213","2.67M","1.45%"
"03/09/2026","5,189","5,101","5,211","5,069","3.15M","-0.29%"
"03/06/2026","5,204","5,350","5,413","5,124","5.59M","-2.73%"
"03/05/2026","5,350","5,300","5,440","5,217","5.18M","2.88%"
"03/04/2026","5,200","5,170","5,375","5,017","8.18M","1.38%"
"03/03/2026","5,129","5,417","5,456","5,118","6.24M","-6.20%"
"03/02/2026","5,468","5,400","5,468","5,340","3.00M","0.42%"
"02/27/2026","5,445","5,538","5,562","5,441","3.49M","-1.89%"
"02/26/2026","5,550","5,400","5,573","5,381","2.94M","3.35%"
"02/25/2026","5,370","5,390","5,565","5,367","1.63M","-1.34%"
"02/24/2026","5,443","5,402","5,472","5,386","2.16M","0.70%"
"02/23/2026","5,405","5,435","5,499","5,399","1.68M","0.06%"
"02/20/2026","5,402","5,385","5,444","5,385","2.92M","0.02%"
"02/19/2026","5,401","5,455","5,455","5,359","2.17M","0.02%"
"02/18/2026","5,400","5,395","5,453","5,365","6.18M","0.00%"
"02/17/2026","5,400","5,405","5,439","5,392","1.86M","-0.20%"
"02/16/2026","5,411","5,375","5,503","5,375","2.21M","-0.44%"
"02/13/2026","5,435","5,412","5,444","5,350","1.67M","0.37%"
"02/12/2026","5,415","5,480","5,480","5,381","2.09M","0.19%"
"02/11/2026","5,405","5,411","5,432","5,380","1.56M","-0.28%"
"02/10/2026","5,420","5,480","5,480","5,397","2.00M","-0.75%"
"02/09/2026","5,461","5,554","5,554","5,431","2.32M","-0.73%"
"02/06/2026","5,501","5,500","5,542","5,412","2.47M","1.16%"
"02/05/2026","5,438","5,406","5,459","5,400","2.76M","-0.35%"
"02/04/2026","5,457","5,560","5,560","5,403","2.00M","-0.60%"
"02/03/2026","5,490","5,495","5,537","5,413","4.94M","1.07%"
"02/02/2026","5,432","5,420","5,465","5,273","4.14M","0.30%"
"01/30/2026","5,416","5,695","5,715","5,416","6.70M","-3.37%"
"01/29/2026","5,605","5,850","5,866","5,565","10.63M","-6.19%"
