"Date","Price","Open","High","Low","Vol.","Change %"
"04/07/2026","85.39","82.60","86.00","82.55","2.75M","3.38%"
"04/06/2026","82.60","81.35","84.30","81.00","2.31M","1.64%"
"04/05/2026","81.27","81.98","82.10","80.10","2.44M","-0.89%"
"04/02/2026","82.00","83.79","84.25","81.60","2.36M","-2.14%"
"04/01/2026","83.79","81.72","84.46","80.75","3.00M","2.56%"
"03/31/2026","81.70","80.96","83.00","79.50","3.72M","0.93%"
"03/30/2026","80.95","85.37","85.95","79.80","3.93M","-4.81%"
"03/29/2026","85.04","89.52","89.84","83.60","6.28M","-4.45%"
"03/26/2026","89.00","93.29","93.75","88.88","2.89M","-3.78%"
"03/25/2026","92.50","94.62","95.00","91.25","1.61M","-1.60%"
"03/24/2026","94.00","87.40","94.40","87.00","4.17M","8.05%"
"03/18/2026","87.00","87.55","88.10","86.75","1.02M","-0.63%"
"03/17/2026","87.55","87.00","87.99","85.50","1.54M","1.02%"
"03/16/2026","86.67","86.22","87.95","82.50","2.03M","0.78%"
"03/15/2026","86.00","89.00","90.35","85.53","3.27M","-2.34%"
"03/12/2026","88.06","87.50","89.00","85.50","3.97M","3.60%"
"03/11/2026","85.00","81.50","85.00","80.50","1.90M","6.38%"
"03/10/2026","79.90","82.86","82.86","78.50","2.09M","-4.99%"
"03/09/2026","84.10","91.00","91.80","82.10","3.04M","-3.33%"
"03/08/2026","87.00","83.10","91.50","83.00","5.28M","11.64%"
"03/05/2026","77.93","79.00","81.26","77.51","1.31M","-0.90%"
"03/04/2026","78.64","78.71","85.84","77.90","5.68M","0.96%"
"03/03/2026","77.89","67.75","79.80","66.65","5.69M","14.88%"
"03/02/2026","67.80","68.00","68.60","66.30","1.48M","-1.45%"
"03/01/2026","68.80","66.00","68.80","63.70","2.69M","-1.29%"
"02/26/2026","69.70","68.30","70.97","68.00","2.25M","2.05%"
"02/25/2026","68.30","69.01","69.50","67.54","789.32K","-1.04%"
"02/24/2026","69.02","70.10","70.10","68.90","633.22K","-1.54%"
"02/23/2026","70.10","67.00","71.89","66.95","4.06M","4.63%"
"02/22/2026","67.00","67.01","67.50","65.00","1.85M","-0.96%"
"02/19/2026","67.65","68.16","68.65","67.23","787.21K","-1.53%"
"02/18/2026","68.70","68.99","70.00","66.53","3.16M","-0.42%"
"02/17/2026","68.99","70.32","71.00","68.01","2.49M","-1.86%"
"02/16/2026","70.30","71.90","72.50","70.00","1.38M","-2.18%"
"02/15/2026","71.87","69.72","72.00","69.01","1.47M","3.08%"
"02/12/2026","69.72","69.50","70.84","62.01","1.68M","0.24%"
"02/11/2026","69.55","69.50","71.00","69.20","1.35M","0.36%"
"02/10/2026","69.30","68.70","69.69","68.51","1.49M","0.73%"
"02/09/2026","68.80","69.47","69.90","68.12","1.31M","-0.94%"
"02/08/2026","69.45","65.76","69.75","65.76","2.24M","5.77%"
"02/05/2026","65.66","65.89","66.43","65.00","1.46M","-0.47%"
