"Date","Price","Open","High","Low","Vol.","Change %"
"2026/04/07","11,210","11,111","11,318","11,076","131.96K","-0.84%"
"2026/04/02","11,305","11,020","11,394","11,020","120.58K","-1.79%"
"2026/04/01","11,511","11,506","11,577","11,377","172.22K","0.72%"
"2026/03/31","11,429","11,267","11,696","11,267","184.37K","-1.64%"
"2026/03/30","11,619","11,546","11,748","11,540","278.88K","0.26%"
"2026/03/27","11,589","11,665","11,665","11,485","175.53K","-0.30%"
"2026/03/26","11,624","11,555","11,660","11,471","200.43K","0.87%"
"2026/03/25","11,524","11,440","11,524","11,260","539.01K","1.53%"
"2026/03/24","11,350","11,164","11,390","11,073","395.21K","0.58%"
"2026/03/23","11,285","11,289","11,443","11,151","541.12K","0.29%"
"2026/03/20","11,252","11,316","11,501","11,252","331.55K","-0.38%"
"2026/03/19","11,295","11,393","11,393","11,126","419.37K","0.25%"
"2026/03/18","11,267","11,111","11,404","11,111","256.53K","0.97%"
"2026/03/17","11,159","10,841","11,235","10,841","135.49K","0.35%"
"2026/03/16","11,120","10,797","11,148","10,797","435.72K","3.00%"
"2026/03/13","10,796","10,950","11,208","10,694","206.37K","-1.21%"
"2026/03/12","10,928","10,998","11,054","10,783","335.84K","-0.42%"
"2026/03/11","10,974","11,234","11,234","10,796","184.04K","-0.02%"
"2026/03/10","10,976","10,887","11,041","10,720","217.99K","1.74%"
"2026/03/09","10,788","10,880","10,897","10,635","403.33K","-1.75%"
"2026/03/06","10,980","11,185","11,320","10,948","267.74K","-2.53%"
"2026/03/05","11,265","11,013","11,431","10,960","252.12K","2.38%"
"2026/03/04","11,003","10,600","11,019","10,600","400.69K","1.32%"
"2026/03/03","10,860","11,235","11,235","10,815","521.36K","-2.88%"
"2026/03/02","11,182","10,899","11,182","10,744","299.31K","1.93%"
"2026/02/27","10,970","10,211","11,041","10,211","534.95K","2.43%"
"2026/02/26","10,710","10,500","10,737","10,422","417.43K","3.45%"
"2026/02/25","10,353","10,188","10,353","9,832","523.29K","2.48%"
"2026/02/24","10,102","10,087","10,189","9,999","195.64K","-0.92%"
"2026/02/23","10,196","9,965","10,234","9,965","267.30K","2.05%"
"2026/02/20","9,991","10,100","10,204","9,954","298.36K","-1.18%"
"2026/02/19","10,110","10,483","10,490","10,110","245.96K","-3.61%"
"2026/02/18","10,489","10,600","10,600","10,361","119.36K","-0.83%"
"2026/02/17","10,577","10,469","10,697","10,373","214.65K","1.17%"
"2026/02/16","10,455","10,080","10,531","9,769","703.77K","8.19%"
"2026/02/13","9,664","9,652","9,664","9,573","327.87K","-0.37%"
"2026/02/12","9,700","9,891","9,891","9,623","411.15K","-0.67%"
"2026/02/11","9,765","9,730","9,765","9,684","461.87K","0.26%"
"2026/02/10","9,740","9,699","9,844","9,646","615.07K","0.93%"
"2026/02/09","9,650","9,596","9,678","9,575","329.98K","0.80%"
"2026/02/06","9,573","9,240","9,657","9,240","491.36K","0.14%"
"2026/02/05","9,560","9,750","9,750","9,548","447.86K","-0.31%"
"2026/02/04","9,590","9,561","9,767","9,561","491.21K","-0.62%"
"2026/02/03","9,650","9,700","9,715","9,558","273.48K","0.00%"
"2026/02/02","9,650","9,500","9,660","9,244","236.27K","1.49%"
"2026/01/30","9,508","9,750","9,750","9,508","445.27K","-1.75%"
"2026/01/29","9,677","9,700","9,752","9,599","171.70K","0.03%"
"2026/01/28","9,674","9,667","9,696","9,545","150.20K","0.04%"
"2026/01/27","9,670","9,654","9,806","9,532","463.19K","-0.03%"
"2026/01/26","9,673","9,976","9,976","9,597","348.62K","0.14%"
"2026/01/23","9,659","9,976","9,976","9,595","188.90K","-3.16%"
"2026/01/22","9,974","9,702","9,974","9,640","414.75K","4.22%"
"2026/01/21","9,570","9,303","9,587","9,303","369.88K","0.77%"
"2026/01/20","9,497","9,702","9,702","9,367","143.62K","1.36%"
"2026/01/19","9,370","9,276","9,443","9,220","174.97K","0.50%"
"2026/01/16","9,323","9,701","9,701","9,323","573.48K","-1.34%"
"2026/01/15","9,450","9,580","9,621","9,430","720.63K","-0.22%"
"2026/01/14","9,471","9,360","9,578","9,315","367.57K","1.10%"
"2026/01/13","9,368","9,580","9,580","9,257","375.99K","0.16%"
"2026/01/12","9,353","9,499","9,550","9,345","176.61K","-1.65%"
"2026/01/09","9,510","9,115","9,559","9,115","412.73K","2.70%"
"2026/01/08","9,260","9,317","9,317","9,160","95.74K","-0.02%"
"2026/01/07","9,262","9,408","9,420","9,217","115.38K","-1.05%"
"2026/01/06","9,360","8,940","9,420","8,940","371.31K","3.21%"
"2026/01/05","9,069","9,122","9,296","9,015","208.20K","-0.01%"
"2026/01/02","9,070","8,775","9,070","8,775","378.76K","1.55%"
"2025/12/31","8,932","8,983","8,985","8,912","144.04K","-0.42%"
"2025/12/30","8,970","9,039","9,039","8,931","529.90K","0.62%"
"2025/12/29","8,915","9,040","9,040","8,864","420.91K","-0.39%"
"2025/12/24","8,950","8,850","9,015","8,813","240.97K","0.91%"
"2025/12/23","8,869","8,826","8,895","8,750","394.02K","0.44%"
"2025/12/22","8,830","8,778","8,888","8,699","267.35K","1.33%"
"2025/12/19","8,714","8,776","8,817","8,702","697.45K","-0.85%"
"2025/12/18","8,789","8,915","8,915","8,711","162.42K","1.08%"
"2025/12/17","8,695","8,921","8,921","8,622","208.45K","0.08%"
"2025/12/15","8,688","8,740","8,840","8,688","134.70K","0.06%"
"2025/12/12","8,683","8,661","8,779","8,620","305.20K","1.26%"
"2025/12/11","8,575","8,698","8,699","8,521","400.48K","-1.56%"
"2025/12/10","8,711","8,654","8,725","8,654","109.54K","0.11%"
