"Date","Price","Open","High","Low","Vol.","Change %"
"2026/04/07","10.70","10.61","10.75","10.60","12.92K","0.85%"
"2026/04/06","10.61","10.60","10.88","10.51","88.21K","0.47%"
"2026/04/05","10.56","10.54","10.65","10.45","61.24K","0.67%"
"2026/04/02","10.49","10.46","10.54","10.32","91.32K","0.29%"
"2026/04/01","10.46","10.40","10.59","10.36","954.24K","0.38%"
"2026/03/31","10.42","10.30","10.54","10.00","4.89M","1.17%"
"2026/03/30","10.30","10.64","10.80","10.23","234.81K","-2.74%"
"2026/03/29","10.59","10.70","10.80","10.45","46.89K","-1.03%"
"2026/03/26","10.70","10.71","11.21","10.51","226.76K","-0.83%"
"2026/03/25","10.79","10.80","10.90","10.66","30.38K","-0.55%"
"2026/03/24","10.85","10.67","11.00","10.32","118.67K","1.88%"
"2026/03/18","10.65","10.67","11.00","10.55","65.44K","1.24%"
"2026/03/17","10.52","10.52","10.67","10.36","3.57K","0.00%"
"2026/03/16","10.52","10.80","10.98","10.31","86.40K","-3.22%"
"2026/03/15","10.87","10.98","11.00","10.78","33.96K","-1.00%"
"2026/03/12","10.98","10.80","11.00","10.76","107.02K","2.04%"
"2026/03/11","10.76","10.71","10.95","10.63","52.90K","0.56%"
"2026/03/10","10.70","10.40","10.79","10.24","155.53K","3.58%"
"2026/03/09","10.33","10.60","10.69","10.22","143.82K","-1.05%"
"2026/03/08","10.44","10.33","10.57","10.20","129.54K","1.16%"
"2026/03/05","10.32","10.50","10.50","10.25","102.54K","0.68%"
"2026/03/04","10.25","10.50","10.80","10.20","117.53K","-0.10%"
"2026/03/03","10.26","10.40","10.69","10.16","37.99K","-1.44%"
"2026/03/02","10.41","10.15","10.79","9.62","216.91K","3.79%"
"2026/03/01","10.03","10.15","10.20","9.50","113.87K","-1.76%"
"2026/02/26","10.21","10.30","10.48","10.04","144.73K","1.09%"
"2026/02/25","10.10","10.44","10.57","10.02","213.90K","-4.54%"
"2026/02/24","10.58","10.70","10.98","10.43","131.98K","-0.56%"
"2026/02/23","10.64","10.43","10.79","10.43","123.69K","2.11%"
"2026/02/22","10.42","11.24","11.45","10.25","416.93K","-7.79%"
"2026/02/19","11.30","11.35","11.50","10.90","79.47K","0.98%"
"2026/02/18","11.19","11.32","11.40","11.15","346.46K","-1.15%"
"2026/02/17","11.32","11.50","11.84","11.29","217.42K","-0.96%"
"2026/02/16","11.43","11.55","11.88","11.35","119.56K","-0.61%"
"2026/02/15","11.50","11.58","11.90","11.40","840.37K","0.00%"
"2026/02/12","11.50","11.66","11.97","11.40","349.30K","-1.71%"
"2026/02/11","11.70","11.71","11.92","11.18","1.35M","-0.59%"
"2026/02/10","11.77","11.29","11.90","11.20","395.42K","4.81%"
"2026/02/09","11.23","11.17","11.40","11.10","76.20K","0.54%"
"2026/02/08","11.17","11.30","11.47","11.05","165.77K","0.09%"
"2026/02/05","11.16","10.72","11.24","10.63","490.43K","4.30%"
"2026/02/04","10.70","10.34","11.50","10.33","1.24M","3.28%"
"2026/02/03","10.36","10.31","10.61","10.25","153.87K","1.47%"
"2026/02/02","10.21","10.00","10.37","9.95","1.78M","2.41%"
"2026/02/01","9.97","10.25","10.30","9.25","175.60K","-1.68%"
"2026/01/28","10.14","10.22","10.61","10.00","175.65K","-0.88%"
"2026/01/27","10.23","10.41","10.69","10.17","1.52M","-1.63%"
"2026/01/26","10.40","9.94","10.49","9.65","543.04K","4.94%"
"2026/01/25","9.91","9.69","9.94","9.40","720.14K","2.59%"
"2026/01/22","9.66","9.07","9.68","9.06","631.56K","6.62%"
"2026/01/21","9.06","8.97","9.40","8.82","79.31K","1.12%"
"2026/01/20","8.96","8.74","9.20","8.66","464.23K","3.82%"
"2026/01/19","8.63","8.52","8.74","8.51","82.96K","2.13%"
"2026/01/18","8.45","8.55","8.64","8.40","601.05K","-0.59%"
"2026/01/15","8.50","8.57","8.69","8.10","616.83K","0.00%"
"2026/01/14","8.50","8.70","8.77","8.32","217.68K","-3.08%"
"2026/01/13","8.77","8.78","8.88","8.68","247.49K","0.00%"
"2026/01/12","8.77","8.90","8.90","8.65","10.34K","0.00%"
"2026/01/11","8.77","8.65","8.99","8.60","495.14K","1.86%"
"2026/01/08","8.61","8.78","8.95","8.60","124.04K","-2.27%"
"2026/01/06","8.81","8.90","8.95","8.65","42.80K","0.00%"
"2026/01/05","8.81","8.87","8.90","8.74","118.98K","-1.67%"
"2026/01/04","8.96","9.10","9.17","8.87","73.86K","-1.54%"
