"Date","Price","Open","High","Low","Vol.","Change %"
"2026/03/27","26.28","26.28","26.28","26.28","19.13K","0.00%"
"2026/03/26","26.28","26.28","26.28","26.28","17.99K","0.08%"
"2026/03/25","26.26","26.26","26.26","26.26","1.20K","0.04%"
"2026/03/24","26.25","26.25","26.25","26.25","41.51K","0.00%"
"2026/03/23","26.25","26.42","26.42","26.25","150.00K","-0.61%"
"2026/03/20","26.41","26.41","26.41","26.41","2.00K","0.04%"
"2026/03/19","26.40","26.40","26.40","26.40","3.79K","0.04%"
"2026/03/17","26.39","26.39","26.39","26.39","72.89K","0.04%"
"2026/03/16","26.38","26.37","26.38","26.37","70.30K","0.04%"
"2026/03/13","26.37","26.37","26.37","26.36","21.86K","0.04%"
"2026/03/12","26.36","26.36","26.36","26.36","0.60K","0.08%"
"2026/03/10","26.34","26.33","26.34","26.33","6.68K","0.08%"
"2026/03/09","26.32","26.32","26.32","26.32","10.50K","0.00%"
"2026/03/03","26.32","26.32","26.32","26.32","5.50K","0.00%"
"2026/03/02","26.32","26.32","26.32","26.32","0.50K","0.11%"
"2026/02/25","26.29","26.30","26.30","26.29","1.20K","0.04%"
"2026/02/23","26.28","26.28","26.28","26.28","16.60K","0.04%"
"2026/02/20","26.27","26.26","26.27","26.26","10.00K","0.08%"
"2026/02/17","26.25","26.25","26.25","26.25","6.41K","0.11%"
"2026/02/11","26.22","26.22","26.22","26.22","6.00K","0.04%"
"2026/02/06","26.21","26.21","26.21","26.21","1.00K","0.08%"
"2026/02/04","26.19","26.19","26.19","26.19","8.41K","0.11%"
"2026/01/27","26.16","26.16","26.16","26.16","1.00K","0.04%"
"2026/01/26","26.15","26.15","26.15","26.15","5.00K","0.08%"
"2026/01/23","26.13","26.13","26.13","26.13","1.00K","0.08%"
"2026/01/22","26.11","26.12","26.12","26.11","1.70K","0.00%"
"2026/01/21","26.11","26.11","26.11","26.11","0.95K","0.00%"
"2026/01/16","26.11","26.11","26.11","26.11","4.11K","0.15%"
"2026/01/05","26.07","26.05","26.07","26.05","7.76K","0.08%"
"2025/12/29","26.05","26.05","26.05","26.05","0.60K","0.04%"
"2025/12/18","26.04","26.05","26.05","26.04","2.30K","0.00%"
"2025/12/17","26.04","26.04","26.04","26.04","10.00K","0.08%"
"2025/12/12","26.02","26.02","26.02","26.02","0.50K","0.04%"
"2025/12/09","26.01","26.02","26.02","26.01","59.47K","0.00%"
"2025/12/08","26.01","26.01","26.01","26.01","9.60K","0.04%"
"2025/12/05","26.00","26.00","26.00","26.00","770.35K","12.55%"
"2025/12/04","23.10","23.10","23.10","23.09","20.47K","0.04%"
"2025/11/25","23.09","23.10","23.10","23.09","25.00K","0.00%"
"2025/11/18","23.09","23.09","23.09","23.09","0.62K","0.00%"
"2025/11/12","23.09","23.10","23.10","23.09","9.77K","0.00%"
"2025/11/11","23.09","23.09","23.09","23.09","7.49K","0.09%"
"2025/11/10","23.07","23.07","23.07","23.07","4.67K","0.00%"
"2025/11/05","23.07","23.07","23.07","23.07","0.67K","0.09%"
"2025/10/27","23.05","23.05","23.05","23.05","1.00K","0.04%"
"2025/10/24","23.04","23.03","23.04","23.03","8.30K","0.09%"
"2025/10/14","23.02","23.02","23.03","23.02","4.70K","0.00%"
"2025/10/07","23.02","23.02","23.02","23.02","2.20K","0.04%"
"2025/10/06","23.01","23.01","23.01","23.01","4.50K","3.65%"
"2025/09/25","22.20","22.20","22.20","22.20","2.90K","0.09%"
"2025/09/18","22.18","22.18","22.18","22.18","42.34K","0.09%"
"2025/09/17","22.16","22.18","22.18","22.16","11.50K","0.00%"
"2025/09/11","22.16","22.16","22.16","22.16","4.91K","0.05%"
"2025/09/10","22.15","22.15","22.15","22.15","1.67K","0.05%"
"2025/09/09","22.14","22.14","22.14","22.14","8.75K","0.14%"
"2025/09/05","22.11","22.11","22.11","22.11","13.08K","0.09%"
"2025/09/02","22.09","22.09","22.09","22.09","1.97K","0.09%"
"2025/08/29","22.07","22.07","22.07","22.07","0.10K","0.05%"
"2025/08/28","22.06","22.06","22.06","22.06","2.00K","0.05%"
"2025/08/18","22.05","22.05","22.05","22.05","0.70K","0.05%"
"2025/08/12","22.04","22.04","22.04","22.04","15.00K","0.09%"
"2025/08/08","22.02","22.02","22.02","22.02","1.00K","0.05%"
"2025/08/07","22.01","22.01","22.01","22.01","56.03K","0.82%"
"2025/08/05","21.83","21.82","21.83","21.82","52.63K","0.09%"
"2025/08/04","21.81","21.81","21.81","21.81","1.00K","0.00%"
"2025/08/01","21.81","21.81","21.81","21.81","10.70K","0.14%"
"2025/07/30","21.78","21.78","21.78","21.78","1.00K","0.18%"
"2025/07/17","21.74","21.72","21.74","21.72","35.13K","0.18%"
"2025/07/14","21.70","21.70","21.70","21.70","5.60K","0.00%"
"2025/07/09","21.70","21.70","21.70","21.70","6.50K","0.18%"
"2025/07/04","21.66","21.66","21.66","21.66","1.90K","0.09%"
"2025/06/26","21.64","21.64","21.64","21.64","4.26K","0.05%"
"2025/06/25","21.63","21.62","21.63","21.62","4.12K","0.19%"
"2025/06/18","21.59","21.59","21.59","21.59","1.50K","0.00%"
"2025/06/17","21.59","21.58","21.59","21.58","12.66K","0.05%"
"2025/06/11","21.58","21.58","21.58","21.58","36.70K","0.00%"
"2025/06/09","21.58","21.56","21.58","21.56","16.25K","0.14%"
"2025/06/05","21.55","21.55","21.55","21.55","0.50K","0.00%"
"2025/06/04","21.55","21.55","21.55","21.55","1.50K","0.00%"
"2025/06/02","21.55","21.55","21.55","21.55","1.00K","0.00%"
"2025/05/30","21.55","21.55","21.55","21.55","42.00K","0.05%"
"2025/05/28","21.54","21.54","21.54","21.54","2.34K","0.05%"
"2025/05/23","21.53","21.53","21.53","21.53","2.20K","0.05%"
"2025/05/20","21.52","21.52","21.52","21.52","13.43K","0.05%"
"2025/05/16","21.51","21.51","21.51","21.51","9.50K","0.09%"
"2025/05/13","21.49","21.49","21.49","21.49","14.90K","0.05%"
"2025/05/09","21.48","21.47","21.48","21.47","83.00K","0.14%"
"2025/05/07","21.45","21.45","21.45","21.45","4.42K","0.00%"
"2025/05/06","21.45","21.45","21.45","21.45","5.09K","0.37%"
"2025/04/30","21.37","21.37","21.37","21.37","17.35K","0.05%"
"2025/04/25","21.36","21.36","21.36","21.36","2.00K","0.00%"
"2025/04/24","21.36","21.36","21.36","21.36","7.99K","0.09%"
"2025/04/23","21.34","21.34","21.34","21.34","41.10K","0.05%"
"2025/04/16","21.33","21.32","21.33","21.32","37.63K","0.09%"
"2025/04/14","21.31","21.30","21.31","21.30","1.90K","0.05%"
