"Date","Price","Open","High","Low","Vol.","Change %"
"04/08/2026","26.89","26.60","26.95","26.70","343.81K","1.09%"
"04/07/2026","26.60","26.50","26.99","26.06","4.75M","0.38%"
"04/06/2026","26.50","25.95","26.50","25.80","3.64M","2.79%"
"04/05/2026","25.78","25.38","25.89","25.22","1.87M","2.38%"
"04/02/2026","25.18","24.83","25.45","24.71","3.27M","2.15%"
"04/01/2026","24.65","24.95","24.96","24.25","2.58M","2.71%"
"03/31/2026","24.00","24.00","24.40","23.29","3.00M","4.21%"
"03/30/2026","23.03","22.98","23.28","22.80","536.93K","0.13%"
"03/29/2026","23.00","22.98","23.08","22.78","86.27K","0.83%"
"03/26/2026","22.81","23.00","23.08","22.77","489.03K","0.04%"
"03/25/2026","22.80","22.80","23.00","22.70","1.45M","0.48%"
"03/24/2026","22.69","23.24","23.50","22.66","883.14K","-2.37%"
"03/18/2026","23.24","23.00","23.30","22.74","89.08K","1.93%"
"03/17/2026","22.80","22.40","23.09","22.40","185.73K","1.88%"
"03/16/2026","22.38","23.03","23.12","22.14","340.75K","-2.78%"
"03/15/2026","23.02","23.20","23.25","22.70","391.60K","-0.78%"
"03/12/2026","23.20","23.29","23.40","22.61","1.01M","-0.43%"
"03/11/2026","23.30","22.30","23.30","22.00","1.54M","5.00%"
"03/10/2026","22.19","21.57","22.39","21.42","1.48M","3.79%"
"03/09/2026","21.38","21.83","21.95","21.10","989.92K","-1.57%"
"03/08/2026","21.72","21.99","22.00","21.58","463.86K","0.14%"
"03/05/2026","21.69","21.59","21.95","21.55","600.46K","0.84%"
"03/04/2026","21.51","22.25","22.47","21.50","545.17K","-1.83%"
"03/03/2026","21.91","21.70","22.30","21.54","923.05K","1.67%"
"03/02/2026","21.55","22.24","22.79","21.01","429.32K","-2.13%"
"03/01/2026","22.02","21.95","22.25","20.00","264.15K","-3.25%"
"02/26/2026","22.76","22.95","23.23","22.70","157.98K","-1.04%"
"02/25/2026","23.00","22.99","23.23","22.63","1.24M","0.31%"
"02/24/2026","22.93","23.39","23.45","22.90","329.06K","-1.63%"
"02/23/2026","23.31","22.55","23.35","22.50","453.63K","3.51%"
"02/22/2026","22.52","22.89","22.90","22.45","324.15K","-1.66%"
"02/19/2026","22.90","23.15","23.39","22.00","1.65M","-0.65%"
"02/18/2026","23.05","23.76","24.25","22.90","2.50M","-2.95%"
"02/17/2026","23.75","23.94","24.17","23.60","930.12K","0.89%"
"02/16/2026","23.54","23.92","24.19","23.54","2.17M","-1.38%"
"02/15/2026","23.87","24.00","24.38","23.71","430.13K","-0.50%"
"02/12/2026","23.99","23.50","24.00","23.49","609.46K","1.10%"
"02/11/2026","23.73","24.01","24.43","23.50","1.92M","-1.13%"
"02/10/2026","24.00","24.96","25.20","23.80","1.67M","-3.73%"
"02/09/2026","24.93","25.60","25.96","24.90","1.05M","-1.97%"
"02/08/2026","25.43","25.37","26.00","25.00","239.11K","1.72%"
"02/05/2026","25.00","25.70","25.98","24.80","896.78K","-2.84%"
"02/04/2026","25.73","25.86","26.00","25.51","502.69K","0.27%"
"02/03/2026","25.66","25.44","26.00","25.40","426.02K","0.90%"
"02/02/2026","25.43","25.99","25.99","25.25","228.10K","-2.15%"
"02/01/2026","25.99","25.75","26.10","24.80","1.02M","-1.29%"
"01/28/2026","26.33","25.65","26.40","24.85","1.21M","2.61%"
"01/27/2026","25.66","25.90","26.17","25.50","1.37M","-0.08%"
"01/26/2026","25.68","25.56","25.97","25.51","358.23K","-0.23%"
"01/25/2026","25.74","26.40","26.50","25.45","472.61K","-2.61%"
"01/22/2026","26.43","25.99","26.50","25.60","708.66K","1.65%"
"01/21/2026","26.00","25.50","26.00","25.43","1.63M","1.96%"
"01/20/2026","25.50","25.50","25.99","25.12","2.10M","1.76%"
"01/19/2026","25.06","25.50","25.50","24.95","409.44K","-1.69%"
"01/18/2026","25.49","24.26","25.90","24.26","3.22M","6.21%"
"01/15/2026","24.00","24.05","24.85","23.80","819.71K","-0.21%"
"01/14/2026","24.05","24.10","24.30","23.50","607.18K","0.21%"
"01/13/2026","24.00","24.25","24.50","23.81","923.69K","0.76%"
"01/12/2026","23.82","24.31","24.43","23.40","778.49K","-1.57%"
