"Date","Price","Open","High","Low","Vol.","Change %"
"2024/02/20","1,535","1,527","1,536","1,515","937.61K","0.00%"
"2024/02/19","1,535","1,543","1,544","1,464","4.39M","-0.58%"
"2024/02/16","1,544","1,564","1,564","1,542","1.04M","-1.40%"
"2024/02/15","1,566","1,565","1,579","1,556","1.64M","0.06%"
"2024/02/14","1,565","1,544","1,569","1,535","2.60M","1.03%"
"2024/02/13","1,549","1,546","1,554","1,533","5.29M","0.78%"
"2024/02/12","1,537","1,528","1,544","1,510","1.54M","0.46%"
"2024/02/09","1,530","1,536","1,537","1,520","574.13K","-0.20%"
"2024/02/08","1,533","1,538","1,539","1,525","2.55M","-0.33%"
"2024/02/07","1,538","1,519","1,543","1,519","5.58M","0.00%"
"2024/02/06","1,538","1,558","1,558","1,524","1.39M","-0.84%"
"2024/02/05","1,551","1,530","1,563","1,496","1.02M","1.37%"
"2024/02/02","1,530","1,523","1,548","1,523","1.11M","0.20%"
"2024/02/01","1,527","1,535","1,535","1,514","2.43M","-0.84%"
"2024/01/31","1,540","1,559","1,559","1,532","1.31M","0.00%"
"2024/01/30","1,540","1,525","1,551","1,525","8.82M","0.92%"
"2024/01/29","1,526","1,510","1,536","1,510","1.93M","0.20%"
"2024/01/26","1,523","1,515","1,540","1,515","665.08K","-0.20%"
"2024/01/25","1,526","1,525","1,533","1,514","1.12M","-0.65%"
"2024/01/24","1,536","1,543","1,560","1,502","1.77M","0.26%"
"2024/01/23","1,532","1,519","1,532","1,485","3.22M","1.73%"
"2024/01/22","1,506","1,459","1,520","1,459","2.47M","3.86%"
"2024/01/19","1,450","1,420","1,450","1,399","6.39M","2.55%"
"2024/01/18","1,414","1,355","1,414","1,355","9.15M","2.46%"
"2024/01/17","1,380","1,371","1,385","1,371","579.26K","-0.36%"
"2024/01/16","1,385","1,400","1,400","1,380","632.71K","-0.57%"
"2024/01/15","1,393","1,383","1,399","1,381","864.77K","1.24%"
"2024/01/12","1,376","1,371","1,381","1,357","373.42K","1.03%"
"2024/01/11","1,362","1,368","1,371","1,355","503.36K","-0.37%"
"2024/01/10","1,367","1,369","1,369","1,356","533.66K","0.07%"
"2024/01/09","1,366","1,374","1,383","1,362","756.19K","0.44%"
"2024/01/08","1,360","1,378","1,378","1,351","523.95K","-1.09%"
"2024/01/05","1,375","1,377","1,384","1,373","510.31K","-0.51%"
"2024/01/04","1,382","1,398","1,405","1,375","894.96K","-0.50%"
"2024/01/03","1,389","1,378","1,397","1,375","637.35K","0.36%"
"2024/01/02","1,384","1,385","1,394","1,381","424.08K","0.22%"
"2023/12/29","1,381","1,400","1,400","1,377","660.36K","-1.36%"
"2023/12/28","1,400","1,411","1,416","1,399","365.47K","-0.28%"
"2023/12/27","1,404","1,400","1,421","1,391","1.33M","0.57%"
"2023/12/22","1,396","1,374","1,420","1,373","839.01K","2.12%"
"2023/12/21","1,367","1,362","1,367","1,347","2.07M","1.03%"
"2023/12/20","1,353","1,351","1,358","1,345","580.01K","0.37%"
"2023/12/19","1,348","1,345","1,352","1,345","1.14M","0.22%"
"2023/12/18","1,345","1,341","1,387","1,341","2.92M","-0.30%"
"2023/12/14","1,349","1,333","1,351","1,318","7.36M","1.73%"
"2023/12/13","1,326","1,346","1,350","1,318","1.27M","-1.41%"
"2023/12/12","1,345","1,341","1,355","1,341","1.49M","-0.59%"
"2023/12/11","1,353","1,353","1,358","1,341","1.08M","-0.66%"
"2023/12/08","1,362","1,370","1,370","1,347","730.14K","0.29%"
"2023/12/07","1,358","1,391","1,425","1,358","2.82M","-0.88%"
"2023/12/06","1,370","1,374","1,375","1,365","2.43M","0.00%"
"2023/12/05","1,370","1,365","1,384","1,365","2.39M","2.54%"
"2023/12/04","1,336","1,383","1,402","1,336","1.89M","-2.84%"
"2023/12/01","1,375","1,400","1,440","1,360","1.95M","0.44%"
"2023/11/30","1,369","1,356","1,484","1,341","3.15M","1.94%"
"2023/11/29","1,343","1,312","1,343","1,307","1.15M","2.68%"
"2023/11/28","1,308","1,310","1,318","1,288","1.53M","-0.38%"
"2023/11/27","1,313","1,315","1,349","1,302","1.17M","-0.91%"
"2023/11/24","1,325","1,304","1,325","1,304","1.20M","1.45%"
"2023/11/23","1,306","1,294","1,310","1,294","970.32K","0.85%"
"2023/11/22","1,295","1,284","1,303","1,284","669.23K","1.17%"
"2023/11/21","1,280","1,295","1,298","1,280","4.42M","-0.78%"
"2023/11/20","1,290","1,291","1,300","1,278","1.59M","0.08%"
"2023/11/17","1,289","1,280","1,296","1,256","1.63M","1.26%"
"2023/11/16","1,273","1,294","1,303","1,269","1.64M","-2.23%"
"2023/11/15","1,302","1,275","1,325","1,275","3.54M","0.93%"
"2023/11/14","1,290","1,277","1,290","1,268","4.90M","1.02%"
"2023/11/13","1,277","1,294","1,294","1,268","1.82M","-0.93%"
"2023/11/10","1,289","1,279","1,291","1,279","3.55M","0.23%"
"2023/11/09","1,286","1,298","1,298","1,279","2.76M","-0.39%"
"2023/11/08","1,291","1,302","1,302","1,288","1.63M","-0.31%"
"2023/11/07","1,295","1,295","1,300","1,273","2.48M","-0.38%"
"2023/11/06","1,300","1,299","1,307","1,293","1.83M","-0.15%"
"2023/11/03","1,302","1,305","1,316","1,295","1.87M","-0.23%"
"2023/11/02","1,305","1,322","1,322","1,305","1.88M","-0.76%"
"2023/11/01","1,315","1,301","1,329","1,301","2.36M","0.46%"
"2023/10/31","1,309","1,300","1,325","1,300","1.28M","0.69%"
"2023/10/30","1,300","1,296","1,315","1,287","2.12M","0.31%"
"2023/10/27","1,296","1,290","1,299","1,285","1.80M","0.86%"
"2023/10/26","1,285","1,294","1,294","1,280","2.80M","-0.77%"
"2023/10/25","1,295","1,309","1,318","1,290","3.11M","-0.38%"
"2023/10/24","1,300","1,290","1,314","1,290","1.26M","0.46%"
"2023/10/23","1,294","1,291","1,307","1,280","2.47M","-0.46%"
"2023/10/20","1,300","1,251","1,308","1,251","1.99M","-0.23%"
"2023/10/19","1,303","1,295","1,310","1,290","314.49K","-0.23%"
"2023/10/18","1,306","1,295","1,311","1,295","1.40M","0.46%"
"2023/10/17","1,300","1,315","1,315","1,291","2.11M","-0.91%"
"2023/10/16","1,312","1,300","1,319","1,300","1.25M","0.38%"
"2023/10/13","1,307","1,308","1,309","1,298","1.84M","-0.08%"
"2023/10/12","1,308","1,323","1,330","1,302","1.23M","-0.61%"
"2023/10/11","1,316","1,307","1,319","1,297","25.17M","0.69%"
"2023/10/10","1,307","1,297","1,308","1,286","5.24M","1.48%"
"2023/10/09","1,288","1,296","1,296","1,268","4.39M","-1.30%"
"2023/10/06","1,305","1,280","1,340","1,276","5.45M","2.35%"
"2023/10/05","1,275","1,240","1,275","1,227","1.75M","2.00%"
"2023/10/04","1,250","1,265","1,265","1,225","1.26M","-1.50%"
"2023/10/03","1,269","1,299","1,299","1,267","1.55M","-2.08%"
"2023/10/02","1,296","1,293","1,302","1,280","785.09K","0.70%"
"2023/09/29","1,287","1,273","1,298","1,273","834.01K","0.86%"
"2023/09/28","1,276","1,278","1,279","1,270","355.48K","-0.16%"
"2023/09/27","1,278","1,285","1,298","1,242","372.44K","-1.08%"
"2023/09/26","1,292","1,304","1,305","1,287","841.65K","-1.22%"
"2023/09/22","1,308","1,320","1,320","1,307","1.13M","-0.68%"
