"Date","Price","Open","High","Low","Vol.","Change %"
"07/04/2026","3,685","3,680","3,740","3,666","2.22M","0.00%"
"02/04/2026","3,685","3,677","3,685","3,559","2.20M","0.22%"
"01/04/2026","3,677","3,614","3,695","3,614","2.45M","2.28%"
"31/03/2026","3,595","3,571","3,638","3,570","3.91M","0.67%"
"30/03/2026","3,571","3,576","3,701","3,528","2.93M","-0.11%"
"27/03/2026","3,575","3,585","3,645","3,551","4.28M","-1.57%"
"26/03/2026","3,632","3,501","3,698","3,501","3.31M","-2.23%"
"25/03/2026","3,715","3,580","3,715","3,570","2.17M","4.12%"
"24/03/2026","3,568","3,490","3,568","3,490","2.35M","1.51%"
"23/03/2026","3,515","3,465","3,559","3,400","3.49M","1.85%"
"20/03/2026","3,451","3,581","3,596","3,451","15.54M","-3.33%"
"19/03/2026","3,570","3,576","3,629","3,400","3.75M","-0.42%"
"18/03/2026","3,585","3,676","3,694","3,579","977.09K","-1.89%"
"17/03/2026","3,654","3,720","3,720","3,604","1.38M","-0.19%"
"16/03/2026","3,661","3,599","3,693","3,541","1.64M","1.02%"
"13/03/2026","3,624","3,634","3,669","3,585","1.69M","-0.30%"
"12/03/2026","3,635","3,714","3,714","3,626","1.50M","-1.22%"
"11/03/2026","3,680","3,707","3,731","3,633","1.59M","-0.14%"
"10/03/2026","3,685","3,511","3,700","3,511","3.58M","5.26%"
"09/03/2026","3,501","3,589","3,589","3,501","3.05M","-2.18%"
"06/03/2026","3,579","3,818","3,818","3,579","3.94M","-4.48%"
"05/03/2026","3,747","3,854","3,875","3,747","3.82M","-2.35%"
"04/03/2026","3,837","3,893","3,913","3,808","2.44M","-1.49%"
"03/03/2026","3,895","4,014","4,147","3,881","2.87M","-4.21%"
"02/03/2026","4,066","4,086","4,086","3,916","2.03M","0.54%"
"27/02/2026","4,044","3,950","4,088","3,950","3.06M","0.65%"
"26/02/2026","4,018","3,865","4,044","3,865","1.04M","3.64%"
"25/02/2026","3,877","3,970","3,988","3,877","1.17M","-2.93%"
"24/02/2026","3,994","4,050","4,050","3,950","808.29K","0.53%"
"23/02/2026","3,973","3,933","3,994","3,928","1.19M","1.15%"
"20/02/2026","3,928","3,901","4,048","3,901","868.78K","-0.58%"
"19/02/2026","3,951","3,940","4,037","3,940","772.28K","-1.74%"
"18/02/2026","4,021","3,916","4,058","3,916","872.25K","0.90%"
"17/02/2026","3,985","3,900","4,027","3,895","2.15M","1.40%"
"16/02/2026","3,930","3,831","3,930","3,831","830.41K","2.66%"
"13/02/2026","3,828","3,833","3,900","3,828","1.27M","-1.64%"
"12/02/2026","3,892","3,927","3,927","3,826","1.11M","0.99%"
"11/02/2026","3,854","3,855","3,884","3,842","2.37M","-0.57%"
"10/02/2026","3,876","3,930","3,930","3,811","2.96M","0.57%"
"09/02/2026","3,854","3,949","3,949","3,809","1.23M","0.47%"
"06/02/2026","3,836","3,740","3,854","3,740","4.79M","0.16%"
"05/02/2026","3,830","3,861","3,878","3,819","1.19M","-0.26%"
"04/02/2026","3,840","3,907","3,907","3,824","960.70K","-1.44%"
"03/02/2026","3,896","3,850","3,942","3,850","2.31M","1.01%"
"02/02/2026","3,857","3,681","3,892","3,681","1.66M","2.39%"
"30/01/2026","3,767","3,800","3,861","3,764","2.62M","-1.13%"
"29/01/2026","3,810","3,777","3,827","3,777","1.18M","1.44%"
"28/01/2026","3,756","3,815","3,815","3,755","1.53M","-1.16%"
"27/01/2026","3,800","3,822","3,885","3,793","1.49M","-1.38%"
"26/01/2026","3,853","3,836","3,867","3,797","1.09M","0.89%"
"23/01/2026","3,819","3,849","3,850","3,791","1.12M","0.26%"
"22/01/2026","3,809","3,778","3,838","3,715","1.97M","2.01%"
"21/01/2026","3,734","3,716","3,850","3,716","2.38M","-0.37%"
"20/01/2026","3,748","3,800","3,800","3,740","2.18M","-0.37%"
"19/01/2026","3,762","3,765","3,779","3,717","2.53M","-0.42%"
"16/01/2026","3,778","3,801","3,819","3,747","2.15M","-0.58%"
"15/01/2026","3,800","3,750","3,832","3,750","2.53M","-0.11%"
"14/01/2026","3,804","3,800","3,880","3,777","3.00M","-1.17%"
"13/01/2026","3,849","3,858","3,886","3,847","1.76M","-0.23%"
"12/01/2026","3,858","3,903","3,903","3,807","1.48M","-0.54%"
"09/01/2026","3,879","3,917","3,927","3,864","1.69M","-0.82%"
"08/01/2026","3,911","3,900","3,921","3,870","915.98K","0.44%"
"07/01/2026","3,894","3,800","3,923","3,800","797.05K","-0.46%"
"06/01/2026","3,912","3,873","3,924","3,840","1.57M","1.01%"
"05/01/2026","3,873","3,850","3,873","3,807","1.41M","0.60%"
"02/01/2026","3,850","3,702","3,862","3,702","1.33M","0.68%"
"31/12/2025","3,824","3,800","3,832","3,793","576.70K","-0.16%"
"30/12/2025","3,830","3,700","3,858","3,700","584.07K","0.31%"
"29/12/2025","3,818","3,843","3,850","3,770","609.68K","0.45%"
