"Date","Price","Open","High","Low","Vol.","Change %"
"2026/04/08","1,976","1,936","1,980","1,909","442.45K","4.66%"
"2026/04/07","1,888","1,965","1,965","1,873","1.43M","-1.10%"
"2026/04/02","1,909","1,930","1,930","1,888","1.52M","-1.24%"
"2026/04/01","1,933","1,900","1,958","1,900","1.77M","1.20%"
"2026/03/31","1,910","1,907","1,939","1,899","1.91M","1.00%"
"2026/03/30","1,891","1,900","1,930","1,886","1.54M","-2.07%"
"2026/03/27","1,931","1,948","1,948","1,906","1.90M","0.00%"
"2026/03/26","1,931","1,874","1,938","1,868","2.07M","1.31%"
"2026/03/25","1,906","1,872","1,909","1,850","1.51M","3.47%"
"2026/03/24","1,842","1,899","1,936","1,839","2.24M","-2.90%"
"2026/03/23","1,897","1,825","1,906","1,767","4.06M","4.23%"
"2026/03/20","1,820","1,810","1,860","1,810","5.55M","-0.27%"
"2026/03/19","1,825","1,842","1,848","1,805","3.20M","-0.71%"
"2026/03/18","1,838","1,858","1,877","1,822","1.45M","-0.92%"
"2026/03/17","1,855","1,815","1,865","1,815","1.12M","0.82%"
"2026/03/16","1,840","1,831","1,850","1,805","2.36M","0.99%"
"2026/03/13","1,822","1,805","1,838","1,805","1.82M","-0.60%"
"2026/03/12","1,833","1,815","1,852","1,804","3.54M","-0.60%"
"2026/03/11","1,844","1,910","1,910","1,798","2.41M","-0.97%"
"2026/03/10","1,862","1,885","1,955","1,858","1.70M","-1.22%"
"2026/03/09","1,885","1,850","1,904","1,813","2.43M","0.37%"
"2026/03/06","1,878","1,856","1,956","1,856","7.38M","0.75%"
"2026/03/05","1,864","1,850","1,896","1,842","3.05M","-0.75%"
"2026/03/04","1,878","1,814","1,887","1,801","2.41M","3.59%"
"2026/03/03","1,813","1,906","1,914","1,810","3.93M","-5.67%"
"2026/03/02","1,922","1,920","1,952","1,887","1.48M","-1.18%"
"2026/02/27","1,945","2,050","2,050","1,945","1.43M","-2.02%"
"2026/02/26","1,985","1,950","2,010","1,950","1.70M","1.28%"
"2026/02/25","1,960","1,952","1,985","1,942","1.65M","-0.66%"
"2026/02/24","1,973","1,987","2,002","1,947","2.14M","-2.08%"
"2026/02/23","2,015","2,060","2,060","1,987","1.65M","-0.69%"
"2026/02/20","2,029","2,073","2,073","2,003","2.28M","0.05%"
"2026/02/19","2,028","2,050","2,118","2,028","1.70M","-1.31%"
"2026/02/18","2,055","2,036","2,069","2,002","2.14M","2.29%"
