"Date","Price","Open","High","Low","Vol.","Change %"
"2026/04/07","4,838","4,808","4,943","4,808","644.53K","0.14%"
"2026/04/02","4,831","4,765","4,844","4,685","572.15K","1.22%"
"2026/04/01","4,773","4,841","4,841","4,726","477.78K","0.76%"
"2026/03/31","4,737","4,672","4,786","4,672","684.10K","1.72%"
"2026/03/30","4,657","4,605","4,681","4,548","612.72K","0.37%"
"2026/03/27","4,640","4,515","4,669","4,515","704.72K","-0.22%"
"2026/03/26","4,650","4,564","4,693","4,564","776.22K","1.46%"
"2026/03/25","4,583","4,405","4,590","4,369","465.85K","5.14%"
"2026/03/24","4,359","4,260","4,400","4,225","1.18M","2.18%"
"2026/03/23","4,266","4,286","4,360","4,178","545.55K","-2.71%"
"2026/03/20","4,385","4,255","4,385","4,223","3.29M","3.06%"
"2026/03/19","4,255","4,073","4,255","4,059","520.21K","3.03%"
"2026/03/18","4,130","4,020","4,147","3,930","1.27M","3.72%"
"2026/03/17","3,982","4,049","4,074","3,936","622.23K","-2.52%"
"2026/03/16","4,085","3,825","4,088","3,825","844.99K","10.55%"
"2026/03/13","3,695","3,687","3,735","3,619","418.45K","0.63%"
"2026/03/12","3,672","3,733","3,737","3,671","286.82K","-2.42%"
"2026/03/11","3,763","3,783","3,783","3,689","373.65K","0.32%"
"2026/03/10","3,751","3,869","3,990","3,734","460.21K","-1.70%"
"2026/03/09","3,816","3,973","3,973","3,720","753.51K","-3.64%"
"2026/03/06","3,960","4,140","4,161","3,932","418.51K","-4.39%"
"2026/03/05","4,142","4,246","4,249","4,140","142.96K","-1.89%"
"2026/03/04","4,222","4,120","4,260","4,120","388.95K","1.49%"
"2026/03/03","4,160","4,266","4,348","4,160","754.81K","-5.15%"
"2026/03/02","4,386","4,400","4,410","4,267","475.42K","-0.88%"
"2026/02/27","4,425","4,350","4,425","4,211","454.56K","1.58%"
"2026/02/26","4,356","4,250","4,356","4,250","334.10K","2.49%"
"2026/02/25","4,250","4,279","4,279","4,153","539.64K","0.62%"
"2026/02/24","4,224","4,202","4,261","4,039","948.40K","-1.29%"
"2026/02/23","4,279","4,274","4,300","4,220","233.89K","0.73%"
"2026/02/20","4,248","4,350","4,356","4,216","332.14K","-0.56%"
"2026/02/19","4,272","4,356","4,383","4,272","329.05K","-1.79%"
"2026/02/18","4,350","4,346","4,373","4,303","235.97K","1.21%"
"2026/02/17","4,298","4,280","4,304","4,227","246.02K","0.89%"
"2026/02/16","4,260","4,300","4,300","4,228","301.33K","-0.19%"
"2026/02/13","4,268","4,350","4,350","4,232","151.07K","-0.67%"
"2026/02/12","4,297","4,290","4,334","4,256","350.98K","0.63%"
"2026/02/11","4,270","4,359","4,359","4,265","563.57K","-1.29%"
"2026/02/10","4,326","4,389","4,389","4,242","233.00K","1.74%"
"2026/02/09","4,252","4,329","4,329","4,199","408.49K","-1.32%"
"2026/02/06","4,309","4,392","4,392","4,239","332.82K","-0.51%"
"2026/02/05","4,331","4,399","4,399","4,295","277.74K","0.21%"
"2026/02/04","4,322","4,368","4,385","4,300","319.81K","0.37%"
"2026/02/03","4,306","4,300","4,349","4,232","394.01K","1.46%"
"2026/02/02","4,244","4,300","4,300","4,168","579.12K","-1.30%"
"2026/01/30","4,300","4,200","4,327","4,198","450.46K","1.42%"
"2026/01/29","4,240","4,240","4,262","4,185","440.66K","1.10%"
"2026/01/28","4,194","4,200","4,228","4,125","441.20K","1.67%"
"2026/01/27","4,125","4,245","4,245","4,125","227.46K","-1.67%"
"2026/01/26","4,195","4,149","4,250","4,123","421.50K","1.55%"
"2026/01/23","4,131","4,220","4,247","4,113","472.15K","-2.04%"
"2026/01/22","4,217","3,960","4,230","3,932","712.38K","6.62%"
"2026/01/21","3,955","3,995","3,995","3,862","173.78K","1.96%"
"2026/01/20","3,879","3,889","3,973","3,858","147.18K","-1.57%"
"2026/01/19","3,941","3,987","3,987","3,890","137.41K","-0.73%"
