"Date","Price","Open","High","Low","Vol.","Change %"
"07/04/2026","4,010","4,011","4,010","4,010","","0.00%"
"02/04/2026","4,010","4,011","4,010","4,010","","0.00%"
"01/04/2026","4,010","4,011","4,010","4,010","","0.00%"
"31/03/2026","4,010","4,010","4,010","4,010","6.67K","0.75%"
"30/03/2026","3,980","3,980","3,980","3,980","","0.00%"
"27/03/2026","3,980","3,980","3,980","3,980","","0.00%"
"26/03/2026","3,980","3,980","3,980","3,980","0.17K","-1.12%"
"25/03/2026","4,025","4,025","4,025","4,025","5.00K","1.13%"
"24/03/2026","3,980","3,980","4,025","3,980","6.06K","-0.50%"
"23/03/2026","4,000","4,000","4,000","4,000","3.72K","0.00%"
"21/03/2026","4,000","4,000","4,000","4,000","","0.00%"
"20/03/2026","4,000","4,000","4,000","4,000","","0.00%"
"19/03/2026","4,000","3,990","4,000","4,000","","0.00%"
"18/03/2026","4,000","3,990","4,000","4,000","","0.00%"
"17/03/2026","4,000","3,990","4,000","3,980","14.03K","0.50%"
"16/03/2026","3,980","3,980","3,980","3,980","","0.00%"
"13/03/2026","3,980","3,980","3,980","3,980","","0.00%"
"12/03/2026","3,980","3,961","4,000","3,960","6.00K","0.51%"
"11/03/2026","3,960","3,960","3,960","3,960","","0.00%"
"10/03/2026","3,960","3,960","3,960","3,960","0.00K","-1.00%"
"09/03/2026","4,000","4,000","4,000","4,000","","0.00%"
"06/03/2026","4,000","4,000","4,000","4,000","0.50K","2.56%"
"05/03/2026","3,900","3,900","3,900","3,900","","0.00%"
"04/03/2026","3,900","3,900","3,900","3,900","","0.00%"
"03/03/2026","3,900","3,900","3,900","3,900","0.01K","-2.50%"
"02/03/2026","4,000","4,000","4,000","4,000","","0.00%"
"27/02/2026","4,000","4,000","4,000","4,000","","0.00%"
"26/02/2026","4,000","4,000","4,000","4,000","","0.00%"
"25/02/2026","4,000","4,000","4,000","4,000","1.48K","0.00%"
"24/02/2026","4,000","4,000","4,000","4,000","0.03K","2.56%"
"23/02/2026","3,900","3,900","3,900","3,900","18.00K","0.00%"
"20/02/2026","3,900","3,900","3,900","3,900","4.41K","0.00%"
"19/02/2026","3,900","3,899","3,900","3,899","179.02K","0.00%"
"18/02/2026","3,900","3,910","3,910","3,900","8.25K","-0.03%"
"17/02/2026","3,901","3,901","3,901","3,901","","0.00%"
"16/02/2026","3,901","3,900","3,901","3,901","","0.00%"
"13/02/2026","3,901","3,900","3,900","3,900","10.89K","-2.48%"
"12/02/2026","4,000","4,001","4,000","4,000","","0.00%"
"11/02/2026","4,000","4,001","4,000","4,000","","0.00%"
"10/02/2026","4,000","4,001","4,001","4,000","3.64K","2.56%"
"09/02/2026","3,900","3,900","3,900","3,900","","0.00%"
"06/02/2026","3,900","3,900","3,900","3,900","","0.00%"
"05/02/2026","3,900","4,000","4,000","3,900","0.22K","0.00%"
"04/02/2026","3,900","3,900","3,900","3,900","","0.00%"
"03/02/2026","3,900","3,900","3,900","3,900","","0.00%"
"02/02/2026","3,900","3,900","3,900","3,900","","0.00%"
"30/01/2026","3,900","3,900","3,900","3,900","","0.00%"
"29/01/2026","3,900","3,900","3,900","3,900","","0.00%"
"28/01/2026","3,900","3,900","3,900","3,900","","0.00%"
"27/01/2026","3,900","3,900","3,900","3,900","0.07K","-2.50%"
"26/01/2026","4,000","3,900","4,000","3,825","1.51K","4.44%"
"25/01/2026","3,830","3,830","3,830","3,830","","0.00%"
"23/01/2026","3,830","3,830","3,830","3,830","","0.00%"
"22/01/2026","3,830","3,830","3,830","3,830","","0.00%"
"21/01/2026","3,830","3,830","3,830","3,830","1.00K","-4.25%"
"20/01/2026","4,000","4,000","4,000","4,000","","0.00%"
"19/01/2026","4,000","4,000","4,000","4,000","","0.00%"
"16/01/2026","4,000","4,000","4,000","4,000","","0.00%"
"15/01/2026","4,000","4,000","4,000","4,000","","0.00%"
"14/01/2026","4,000","4,000","4,000","4,000","1.00K","0.00%"
"13/01/2026","4,000","3,990","4,000","3,990","0.52K","5.26%"
"12/01/2026","3,800","3,800","3,800","3,800","","0.00%"
"09/01/2026","3,800","3,800","3,800","3,798","16.89K","0.00%"
"08/01/2026","3,800","3,800","3,800","3,800","","0.00%"
"07/01/2026","3,800","3,800","3,800","3,800","","0.00%"
"06/01/2026","3,800","3,800","3,800","3,800","0.50K","0.00%"
"05/01/2026","3,800","3,800","3,800","3,800","","0.00%"
"02/01/2026","3,800","3,800","3,800","3,800","","0.00%"
"30/12/2025","3,800","3,800","3,800","3,800","1.20K","0.00%"
"29/12/2025","3,800","3,800","3,800","3,800","2.08K","0.00%"
"23/12/2025","3,800","3,800","3,800","3,800","0.06K","0.00%"
"22/12/2025","3,800","3,800","3,800","3,800","43.69K","0.00%"
"19/12/2025","3,800","3,800","3,800","3,800","20.37K","0.00%"
"18/12/2025","3,800","3,800","3,800","3,800","","0.00%"
"17/12/2025","3,800","3,800","3,800","3,800","","0.00%"
"15/12/2025","3,800","3,800","3,800","3,800","0.65K","0.00%"
"12/12/2025","3,800","3,800","3,800","3,800","","0.00%"
"11/12/2025","3,800","3,800","3,800","3,800","1.30K","0.00%"
"10/12/2025","3,800","3,800","3,800","3,800","","0.00%"
"09/12/2025","3,800","3,800","3,800","3,800","0.51K","-2.56%"
"08/12/2025","3,900","3,899","3,900","3,900","","0.00%"
"05/12/2025","3,900","3,899","3,900","3,899","2.03K","0.03%"
"04/12/2025","3,899","3,806","3,899","3,805","15.90K","2.66%"
"03/12/2025","3,798","3,700","3,798","3,798","","0.00%"
"02/12/2025","3,798","3,700","3,798","3,700","4.78K","5.47%"
"01/12/2025","3,601","3,601","3,601","3,601","","0.00%"
"28/11/2025","3,601","3,601","3,601","3,601","","0.00%"
"27/11/2025","3,601","3,601","3,601","3,601","","0.00%"
"26/11/2025","3,601","3,601","3,601","3,601","","0.00%"
"25/11/2025","3,601","3,601","3,601","3,601","0.05K","0.00%"
"24/11/2025","3,601","3,601","3,601","3,601","0.20K","-5.24%"
"21/11/2025","3,800","3,800","3,800","3,800","9.79K","0.00%"
"20/11/2025","3,800","3,800","3,800","3,800","","0.00%"
"19/11/2025","3,800","3,800","3,800","3,800","0.00K","8.57%"
"18/11/2025","3,500","3,501","3,501","3,500","9.83K","0.86%"
"17/11/2025","3,470","3,500","3,500","3,470","2.20K","0.00%"
"14/11/2025","3,470","3,500","3,470","3,470","","0.00%"
"13/11/2025","3,470","3,500","3,470","3,470","","0.00%"
"12/11/2025","3,470","3,500","3,500","3,470","2.70K","-0.12%"
"11/11/2025","3,474","3,474","3,474","3,474","0.90K","0.00%"
"10/11/2025","3,474","3,474","3,474","3,474","0.60K","-1.31%"
"07/11/2025","3,520","3,521","3,521","3,520","3.54K","0.00%"
"06/11/2025","3,520","3,520","3,521","3,519","87.65K","3.23%"
"05/11/2025","3,410","3,410","3,410","3,410","","0.00%"
"04/11/2025","3,410","3,410","3,410","3,410","","0.00%"
"03/11/2025","3,410","3,410","3,410","3,410","","0.00%"
"31/10/2025","3,410","3,415","3,410","3,410","","0.00%"
"30/10/2025","3,410","3,415","3,415","3,410","20.00K","-10.26%"
"29/10/2025","3,800","3,800","3,800","3,800","","0.00%"
"28/10/2025","3,800","3,800","3,800","3,800","0.04K","4.08%"
"27/10/2025","3,651","3,400","3,651","3,651","","0.00%"
"24/10/2025","3,651","3,400","3,651","3,651","","0.00%"
"23/10/2025","3,651","3,400","3,651","3,651","","0.00%"
"22/10/2025","3,651","3,400","3,651","3,651","","0.00%"
"21/10/2025","3,651","3,400","3,651","3,251","11.95K","7.35%"
"20/10/2025","3,401","3,401","3,401","3,401","","0.00%"
"19/10/2025","3,401","3,401","3,401","3,401","","0.00%"
"17/10/2025","3,401","3,401","3,401","3,401","","0.00%"
"16/10/2025","3,401","3,401","3,401","3,401","","0.00%"
"15/10/2025","3,401","3,401","3,401","3,401","0.12K","0.03%"
"14/10/2025","3,400","3,400","3,400","3,400","7.60K","0.00%"
"13/10/2025","3,400","3,400","3,400","3,400","2.00K","-2.30%"
"10/10/2025","3,480","3,401","3,480","3,480","","0.00%"
"09/10/2025","3,480","3,401","3,480","3,401","2.08K","2.32%"
"08/10/2025","3,401","3,401","3,401","3,401","2.00K","0.03%"
"07/10/2025","3,400","3,400","3,400","3,400","","0.00%"
"06/10/2025","3,400","3,400","3,400","3,400","","0.00%"
"03/10/2025","3,400","3,400","3,400","3,400","0.70K","0.00%"
"02/10/2025","3,400","3,500","3,400","3,400","","0.00%"
"01/10/2025","3,400","3,500","3,400","3,400","","0.00%"
"30/09/2025","3,400","3,500","3,500","3,400","0.82K","-0.73%"
"29/09/2025","3,425","3,450","3,425","3,425","","0.00%"
"28/09/2025","3,425","3,450","3,425","3,425","","0.00%"
"26/09/2025","3,425","3,450","3,425","3,425","","0.00%"
"25/09/2025","3,425","3,450","3,450","3,425","0.50K","0.74%"
"23/09/2025","3,400","3,400","3,400","3,400","","0.00%"
"22/09/2025","3,400","3,400","3,400","3,400","","0.00%"
"21/09/2025","3,400","3,400","3,400","3,400","","0.00%"
"19/09/2025","3,400","3,400","3,400","3,400","","0.00%"
"18/09/2025","3,400","3,400","3,400","3,400","","0.00%"
"17/09/2025","3,400","3,400","3,400","3,400","","0.00%"
"16/09/2025","3,400","3,400","3,400","3,400","","0.00%"
"15/09/2025","3,400","3,400","3,400","3,340","12.83K","0.00%"
"12/09/2025","3,400","3,340","3,400","3,400","","0.00%"
"11/09/2025","3,400","3,340","3,400","3,340","6.05K","1.19%"
"10/09/2025","3,360","3,360","3,360","3,360","","0.00%"
"09/09/2025","3,360","3,360","3,360","3,360","0.11K","0.30%"
"08/09/2025","3,350","3,350","3,350","3,350","0.66K","3.08%"
"07/09/2025","3,250","3,250","3,250","3,250","","0.00%"
"05/09/2025","3,250","3,250","3,250","3,250","","0.00%"
"04/09/2025","3,250","3,250","3,250","3,250","0.00K","-2.99%"
"03/09/2025","3,350","3,350","3,350","3,350","","0.00%"
"02/09/2025","3,350","3,350","3,350","3,350","0.11K","-1.47%"
"01/09/2025","3,400","3,251","3,400","3,400","","0.00%"
"29/08/2025","3,400","3,251","3,400","3,400","","0.00%"
"28/08/2025","3,400","3,250","3,400","3,250","12.50K","4.62%"
"27/08/2025","3,250","3,250","3,250","3,250","0.50K","0.00%"
"26/08/2025","3,250","3,300","3,300","3,250","7.61K","-1.52%"
"25/08/2025","3,300","3,300","3,300","3,300","","0.00%"
"22/08/2025","3,300","3,300","3,300","3,300","","0.00%"
"21/08/2025","3,300","3,300","3,300","3,300","6.77K","-1.49%"
"20/08/2025","3,350","3,350","3,350","3,350","","-2.90%"
"19/08/2025","3,450","3,450","3,450","3,450","0.05K","0.00%"
"18/08/2025","3,450","3,449","3,450","3,450","","0.00%"
"15/08/2025","3,450","3,449","3,450","3,449","1.00K","-2.82%"
"14/08/2025","3,550","3,550","3,550","3,550","","0.00%"
"13/08/2025","3,550","3,550","3,550","3,550","","0.00%"
"12/08/2025","3,550","3,550","3,550","3,550","0.01K","-1.39%"
"11/08/2025","3,600","3,600","3,600","3,600","","0.00%"
"08/08/2025","3,600","3,600","3,600","3,600","","0.00%"
"07/08/2025","3,600","3,600","3,600","3,600","","0.00%"
"06/08/2025","3,600","3,600","3,600","3,597","37.65K","0.00%"
"05/08/2025","3,600","3,500","3,600","3,500","0.39K","0.00%"
"04/08/2025","3,600","3,600","3,600","3,600","","0.00%"
"01/08/2025","3,600","3,600","3,600","3,600","0.65K","0.22%"
"31/07/2025","3,592","3,591","3,592","3,591","2.65K","0.06%"
"30/07/2025","3,590","3,590","3,590","3,590","0.96K","-0.03%"
"29/07/2025","3,591","3,591","3,591","3,591","0.31K","2.60%"
"28/07/2025","3,500","3,500","3,500","3,500","","0.00%"
"25/07/2025","3,500","3,500","3,500","3,500","6.00K","-0.68%"
"24/07/2025","3,524","3,523","3,524","3,523","3.07K","0.00%"
"23/07/2025","3,524","3,524","3,524","3,524","","0.00%"
"22/07/2025","3,524","3,524","3,524","3,524","1.36K","3.65%"
"21/07/2025","3,400","3,400","3,400","3,400","4.49K","0.00%"
"18/07/2025","3,400","3,399","3,400","3,399","2.27K","-8.82%"
"17/07/2025","3,729","3,729","3,729","3,729","","0.00%"
"16/07/2025","3,729","3,729","3,729","3,729","","0.00%"
"15/07/2025","3,729","3,729","3,729","3,729","0.04K","-0.53%"
"14/07/2025","3,749","3,749","3,749","3,749","","0.00%"
"13/07/2025","3,749","3,749","3,749","3,749","","0.00%"
"11/07/2025","3,749","3,749","3,749","3,749","","0.00%"
"10/07/2025","3,749","3,749","3,749","3,749","","9,900.00%"
"09/07/2025","37","37","37","37","","0.00%"
"08/07/2025","37","37","37","37","","0.00%"
"07/07/2025","37","37","37","37","","-99.00%"
"06/07/2025","3,749","3,749","3,749","3,749","","9,900.00%"
"04/07/2025","37","37","37","37","","0.00%"
"03/07/2025","37","37","37","37","","-99.00%"
