"Date","Price","Open","High","Low","Vol.","Change %"
"04/08/2026","702","686","710","673","265.65K","6.69%"
"04/07/2026","658","709","709","658","528.51K","-4.36%"
"04/02/2026","688","684","709","680","188.49K","-1.15%"
"04/01/2026","696","681","709","681","827.11K","1.02%"
"03/31/2026","689","685","705","680","445.11K","-0.14%"
"03/30/2026","690","700","713","690","298.42K","-3.90%"
"03/27/2026","718","689","723","688","249.07K","1.41%"
"03/26/2026","708","720","725","708","90.36K","-1.67%"
"03/25/2026","720","710","720","692","249.56K","3.60%"
"03/24/2026","695","725","725","684","921.37K","-2.11%"
"03/23/2026","710","664","725","664","32.00M","5.65%"
"03/20/2026","672","671","690","664","1.97M","-1.18%"
"03/19/2026","680","694","696","674","450.49K","-1.45%"
"03/18/2026","690","708","715","690","429.65K","-1.85%"
"03/17/2026","703","711","718","688","498.80K","0.43%"
"03/16/2026","700","710","710","693","161.84K","1.01%"
"03/13/2026","693","677","696","677","91.65K","1.17%"
"03/12/2026","685","681","694","681","251.77K","-2.28%"
"03/11/2026","701","691","701","677","489.90K","1.59%"
"03/10/2026","690","716","716","677","257.79K","-3.63%"
"03/09/2026","716","691","716","681","385.26K","0.85%"
"03/06/2026","710","713","713","696","128.83K","1.43%"
"03/05/2026","700","693","712","693","145.62K","1.30%"
"03/04/2026","691","739","739","691","194.33K","-3.22%"
"03/03/2026","714","745","745","699","150.03K","-0.97%"
"03/02/2026","721","742","742","711","230.06K","-3.61%"
"02/27/2026","748","732","760","732","264.93K","0.81%"
"02/26/2026","742","734","750","725","236.64K","2.34%"
"02/25/2026","725","765","765","723","127.90K","-2.03%"
"02/24/2026","740","769","769","732","167.29K","-1.20%"
"02/23/2026","749","769","770","744","394.79K","-0.13%"
"02/20/2026","750","747","762","730","368.02K","2.74%"
"02/19/2026","730","727","740","715","68.63K","2.10%"
"02/18/2026","715","729","737","701","866.31K","0.70%"
"02/17/2026","710","767","767","701","474.59K","-6.58%"
"02/16/2026","760","740","769","740","11.03M","3.26%"
"02/13/2026","736","765","765","700","1.20M","-1.47%"
"02/12/2026","747","761","768","737","326.49K","-2.23%"
"02/11/2026","764","756","778","756","367.65K","-0.91%"
"02/10/2026","771","772","779","761","83.37K","2.25%"
"02/09/2026","754","743","769","743","38.74K","0.53%"
"02/06/2026","750","764","764","742","499.84K","0.00%"
"02/05/2026","750","783","783","742","612.87K","-1.83%"
"02/04/2026","764","770","783","752","73.37K","1.19%"
"02/03/2026","755","765","784","741","244.19K","-0.79%"
"02/02/2026","761","807","807","750","667.36K","-4.52%"
"01/30/2026","797","782","808","770","1.12M","1.01%"
"01/29/2026","789","785","793","775","214.06K","-0.63%"
"01/28/2026","794","820","820","782","430.24K","-0.75%"
"01/27/2026","800","772","817","772","210.35K","-1.11%"
"01/26/2026","809","763","815","763","1.08M","0.00%"
"01/23/2026","809","758","809","745","358.32K","5.61%"
"01/22/2026","766","729","770","729","450.46K","5.66%"
"01/21/2026","725","727","727","713","61.12K","1.40%"
"01/20/2026","715","726","729","699","129.22K","-1.52%"
"01/19/2026","726","719","730","714","390.89K","0.97%"
"01/16/2026","719","700","719","680","505.12K","2.71%"
"01/15/2026","700","672","701","672","371.54K","2.19%"
"01/14/2026","685","672","687","672","337.32K","0.15%"
"01/13/2026","684","682","686","670","148.38K","0.88%"
"01/12/2026","678","700","700","671","104.86K","-3.00%"
"01/09/2026","699","686","702","686","54.17K","2.34%"
"01/08/2026","683","693","703","676","103.09K","-1.01%"
"01/07/2026","690","700","700","680","94.40K","0.44%"
"01/06/2026","687","690","696","671","77.49K","1.78%"
"01/05/2026","675","726","729","675","207.18K","-6.12%"
"01/02/2026","719","705","719","703","218.59K","2.71%"
"12/31/2025","700","704","704","695","7.53K","0.43%"
"12/30/2025","697","700","714","690","584.98K","0.00%"
"12/29/2025","697","692","700","685","121.71K","0.87%"
"12/24/2025","691","697","700","686","85.20K","0.00%"
"12/23/2025","691","681","694","676","367.73K","1.62%"
"12/22/2025","680","668","680","664","208.91K","1.34%"
"12/19/2025","671","674","676","651","1.38M","0.60%"
"12/18/2025","667","668","671","650","575.85K","1.37%"
"12/17/2025","658","663","664","648","1.28M","-0.30%"
"12/15/2025","660","653","670","652","100.52K","0.61%"
"12/12/2025","656","670","670","653","636.95K","-2.09%"
"12/11/2025","670","664","670","650","310.05K","1.67%"
"12/10/2025","659","664","665","652","125.61K","-0.15%"
"12/09/2025","660","658","673","650","1.50M","0.00%"
"12/08/2025","660","664","669","656","459.11K","0.00%"
"12/05/2025","660","645","673","641","682.12K","2.17%"
"12/04/2025","646","662","665","613","2.83M","-3.00%"
"12/03/2025","666","674","677","664","281.58K","-0.60%"
"12/02/2025","670","680","680","665","11.32M","-0.15%"
"12/01/2025","671","720","720","671","1.04M","-4.82%"
"11/28/2025","705","726","731","698","365.35K","-1.40%"
"11/27/2025","715","668","735","659","2.21M","7.20%"
"11/26/2025","667","664","678","657","384.57K","0.30%"
"11/25/2025","665","671","671","656","586.04K","0.00%"
"11/24/2025","665","667","668","653","267.46K","0.91%"
"11/21/2025","659","659","669","653","255.32K","-0.15%"
"11/20/2025","660","664","675","655","1.19M","0.15%"
"11/19/2025","659","664","670","654","1.54M","0.92%"
"11/18/2025","653","661","666","644","240.67K","-2.25%"
"11/17/2025","668","670","670","650","430.74K","-0.15%"
"11/14/2025","669","697","697","663","297.21K","-0.89%"
"11/13/2025","675","670","681","670","123.73K","0.00%"
"11/12/2025","675","685","685","671","253.57K","0.00%"
"11/11/2025","675","690","700","668","775.20K","-2.17%"
"11/10/2025","690","699","699","675","1.78M","1.62%"
"11/07/2025","679","693","698","679","633.43K","-1.59%"
"11/06/2025","690","700","700","689","441.74K","-1.43%"
"11/05/2025","700","690","700","688","75.87K","1.45%"
"11/04/2025","690","686","704","686","381.78K","-2.27%"
"11/03/2025","706","705","740","695","414.72K","-0.14%"
"10/31/2025","707","690","720","690","1.73M","2.46%"
"10/30/2025","690","689","694","671","676.03K","1.47%"
"10/29/2025","680","689","689","667","1.32M","-0.87%"
"10/28/2025","686","679","688","671","1.13M","1.18%"
"10/27/2025","678","680","680","666","118.88K","1.19%"
"10/24/2025","670","669","673","653","459.70K","0.75%"
"10/23/2025","665","658","669","647","259.63K","2.31%"
"10/22/2025","650","651","663","648","200.74K","-0.15%"
"10/21/2025","651","662","675","644","349.34K","-2.11%"
"10/20/2025","665","680","683","661","717.36K","-1.92%"
"10/17/2025","678","680","684","667","332.03K","-0.88%"
"10/16/2025","684","660","694","660","336.01K","0.44%"
"10/15/2025","681","680","688","671","220.36K","0.44%"
"10/14/2025","678","673","678","660","174.30K","0.00%"
"10/13/2025","678","693","693","667","1.35M","0.44%"
"10/10/2025","675","689","702","673","2.15M","-1.32%"
"10/09/2025","684","675","684","666","419.31K","2.40%"
"10/08/2025","668","675","675","641","456.41K","3.41%"
"10/07/2025","646","658","658","642","298.51K","-0.62%"
"10/06/2025","650","669","669","642","171.85K","-0.31%"
"10/03/2025","652","671","671","648","88.85K","-1.21%"
"10/02/2025","660","650","675","646","1.56M","1.54%"
"10/01/2025","650","651","654","643","2.58M","-0.15%"
"09/30/2025","651","648","663","619","1.27M","2.36%"
"09/29/2025","636","639","655","631","633.94K","-0.47%"
"09/26/2025","639","654","654","635","291.13K","-2.29%"
"09/25/2025","654","655","662","648","387.00K","1.24%"
"09/23/2025","646","665","670","643","483.71K","-3.58%"
"09/22/2025","670","669","690","656","926.11K","-1.47%"
"09/19/2025","680","676","694","635","1.17M","-1.45%"
"09/18/2025","690","669","690","662","558.12K","4.70%"
"09/17/2025","659","702","702","650","328.64K","-3.09%"
"09/16/2025","680","679","711","679","1.49M","-2.30%"
"09/15/2025","696","677","701","676","353.02K","1.61%"
"09/12/2025","685","666","688","657","511.33K","2.54%"
"09/11/2025","668","650","668","650","65.61K","2.77%"
"09/10/2025","650","644","668","644","319.34K","1.88%"
"09/09/2025","638","645","668","638","201.85K","-1.09%"
"09/08/2025","645","671","671","643","553.61K","-3.87%"
"09/05/2025","671","650","684","650","172.81K","0.60%"
"09/04/2025","667","635","675","635","383.64K","5.04%"
"09/03/2025","635","661","663","633","914.33K","-3.20%"
"09/02/2025","656","695","695","649","873.44K","-2.24%"
"09/01/2025","671","681","701","665","1.44M","-0.59%"
"08/29/2025","675","659","675","640","698.25K","5.97%"
"08/28/2025","637","636","660","636","307.78K","0.95%"
"08/27/2025","631","650","663","631","900.59K","-3.81%"
"08/26/2025","656","665","665","656","215.41K","-1.06%"
"08/25/2025","663","670","670","660","342.28K","-1.19%"
"08/22/2025","671","680","684","663","211.66K","-1.32%"
"08/21/2025","680","671","680","669","163.65K","0.59%"
"08/20/2025","676","679","685","673","331.39K","0.15%"
"08/19/2025","675","680","680","671","330.28K","0.30%"
"08/18/2025","673","673","680","663","107.00K","1.66%"
"08/15/2025","662","686","686","662","282.35K","-1.63%"
"08/14/2025","673","663","678","663","231.98K","1.05%"
"08/13/2025","666","682","682","666","86.49K","-1.48%"
"08/12/2025","676","678","678","662","137.65K","1.50%"
"08/11/2025","666","678","680","665","261.38K","-0.60%"
"08/08/2025","670","690","690","670","281.51K","-1.18%"
"08/07/2025","678","690","690","676","303.80K","-1.74%"
"08/06/2025","690","690","700","683","154.34K","0.44%"
"08/05/2025","687","696","696","682","130.19K","-0.43%"
"08/04/2025","690","687","695","681","166.93K","0.73%"
"08/01/2025","685","683","695","680","241.18K","-0.87%"
"07/31/2025","691","696","700","680","636.91K","-1.29%"
"07/30/2025","700","699","700","685","220.09K","0.14%"
"07/29/2025","699","685","700","685","352.71K","1.90%"
"07/28/2025","686","694","708","670","399.92K","-1.72%"
"07/25/2025","698","721","724","698","1.66M","-2.79%"
"07/24/2025","718","739","739","710","47.43K","0.28%"
"07/23/2025","716","728","734","716","405.65K","-4.53%"
"07/22/2025","750","757","757","743","297.30K","0.00%"
"07/21/2025","750","753","754","740","165.11K","0.81%"
"07/18/2025","744","748","748","736","242.25K","0.95%"
