company,rows,file
BLUE LABEL TELECOMS (SOUTH AFRICA),3,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/BLUE LABEL TELECOMS.csv
ARADEL HOLDINGS NIGERIA (NIGERIA),11,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/nigeria/ARADEL HOLDINGS NIGERIA.csv
NASPERS (SOUTH AFRICA),3,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/NASPERS.csv
PPC (SOUTH AFRICA),4,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/PPC.csv
GUARANTY TRUST HOLDING COMPANY NIGERIA (NIGERIA),10,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/nigeria/GUARANTY TRUST HOLDING COMPANY NIGERIA.csv
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),10,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/ANGLOGOLD ASHANTI ADR.csv
GOLD FIELDS (SOUTH AFRICA),20,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/GOLD FIELDS.csv
ZENITH BANK NIGERIA (NIGERIA),20,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/nigeria/ZENITH BANK NIGERIA.csv
FIRSTRAND (SOUTH AFRICA),20,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/FIRSTRAND.csv
GRINDROD (SOUTH AFRICA),5,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/GRINDROD.csv
MTN GROUP (SOUTH AFRICA),5,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/MTN GROUP.csv
MTN NIGERIA (NIGERIA),6,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/nigeria/MTN NIGERIA.csv
PROSUS (SOUTH AFRICA),6,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/PROSUS.csv
IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),9,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/IMPALA PLATINUM HOLDINGS.csv
SIBANYE STILLWATER (SOUTH AFRICA),11,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/SIBANYE STILLWATER.csv
UNITED BANK FOR AFRICA NIGERIA (NIGERIA),19,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/nigeria/UNITED BANK FOR AFRICA NIGERIA.csv
STANDARD BANK GROUP (SOUTH AFRICA),18,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/STANDARD BANK GROUP.csv
CAPITEC BANK (SOUTH AFRICA),10,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/CAPITEC BANK.csv
FIRST HOLDCO NIGERIA (NIGERIA),10,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/nigeria/FIRST HOLDCO NIGERIA.csv
DANGOTE CEMENT NIGERIA (NIGERIA),11,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/nigeria/DANGOTE CEMENT NIGERIA.csv
ANGLO AMERICAN (SOUTH AFRICA),19,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/ANGLO AMERICAN.csv
SEPLAT ENERGY NIGERIA (NIGERIA),12,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/nigeria/SEPLAT ENERGY NIGERIA.csv
HARMONY GOLD MINING COMPANY (SOUTH AFRICA),12,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/HARMONY GOLD MINING COMPANY.csv
ABSA (SOUTH AFRICA),18,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/ABSA.csv
BRITISH AMERICAN TOBACCO (SOUTH AFRICA),6,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/BRITISH AMERICAN TOBACCO.csv
NORTHAM PLATINUM HOLDINGS (SOUTH AFRICA),6,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/NORTHAM PLATINUM HOLDINGS.csv
NIGERIAN BREWERIES (NIGERIA),15,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/nigeria/NIGERIAN BREWERIES.csv
SHOPRITE HOLDINGS (SOUTH AFRICA),10,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/SHOPRITE HOLDINGS.csv
SANLAM (SOUTH AFRICA),10,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/SANLAM.csv
GLENCORE (SOUTH AFRICA),9,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/GLENCORE.csv
BHP (SOUTH AFRICA),9,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/BHP.csv
BID CORP (SOUTH AFRICA),9,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/BID CORP.csv
COMMERCIAL INTERNATIONAL BANK EGYPT (EGYPT),9,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/egypt/COMMERCIAL INTERNATIONAL BANK EGYPT.csv
NESTLÉ NIGERIA (NIGERIA),14,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/nigeria/NESTLÉ NIGERIA.csv
VODACOM (SOUTH AFRICA),14,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/VODACOM.csv
DISCOVERY HOLDINGS (SOUTH AFRICA),14,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/DISCOVERY HOLDINGS.csv
OLD MUTUAL (SOUTH AFRICA),19,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/OLD MUTUAL.csv
MR PRICE (SOUTH AFRICA),10,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/MR PRICE.csv
FCMB GROUP NIGERIA (NIGERIA),10,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/nigeria/FCMB GROUP NIGERIA.csv
PRESCO PLC NIGERIA (NIGERIA),14,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/nigeria/PRESCO PLC NIGERIA.csv
CLICKS (SOUTH AFRICA),13,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/CLICKS.csv
FIDELITY BANK NIGERIA (NIGERIA),8,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/nigeria/FIDELITY BANK NIGERIA.csv
REINET INVEST (SOUTH AFRICA),8,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/REINET INVEST.csv
TALAAT MOUSTAFA GROUP EGYPT (EGYPT),9,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/egypt/TALAAT MOUSTAFA GROUP EGYPT.csv
SONATEL SENEGAL (SENEGAL),10,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/senegal/SONATEL SENEGAL.csv
OKOMU OIL PALM NIGERIA (NIGERIA),7,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/nigeria/OKOMU OIL PALM NIGERIA.csv
BUA CEMENT NIGERIA (NIGERIA),7,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/nigeria/BUA CEMENT NIGERIA.csv
BIDVEST (SOUTH AFRICA),21,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/BIDVEST.csv
REMGRO (SOUTH AFRICA),20,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/REMGRO.csv
MONDI (SOUTH AFRICA),19,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/MONDI.csv
WOOLWORTHS HOLDINGS (SOUTH AFRICA),9,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/WOOLWORTHS HOLDINGS.csv
DANGOTE SUGAR REFINERY NIGERIA (NIGERIA),9,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/nigeria/DANGOTE SUGAR REFINERY NIGERIA.csv
OUTSURANCE (SOUTH AFRICA),12,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/OUTSURANCE.csv
TRANSCORP PLC NIGERIA (NIGERIA),11,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/nigeria/TRANSCORP PLC NIGERIA.csv
SAFARICOM KENYA (KENYA),8,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/kenya/SAFARICOM KENYA.csv
ASPEN PHARMACARE HOLDINGS (SOUTH AFRICA),7,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/ASPEN PHARMACARE HOLDINGS.csv
WEMA BANK NIGERIA (NIGERIA),5,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/nigeria/WEMA BANK NIGERIA.csv
TRANSCORP POWER NIGERIA (NIGERIA),4,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/nigeria/TRANSCORP POWER NIGERIA.csv
