source_file,company,country_folder,status,note,target_path
BAT KENYA.xlsx,BAT KENYA,kenya,already_present,British American Tobacco Kenya.xlsx,
CARBACID INVESTMENTS (Kenya).xlsx,CARBACID INVESTMENTS,kenya,already_present,CARBACID INVESTMENTS (Kenya).xlsx,
CENTUM INVESTMENT (Kenya).xlsx,CENTUM INVESTMENT,kenya,already_present,CENTUM INVESTMENT (Kenya).xlsx,
CIC INSURANCE GROUP (Kenya).xlsx,CIC INSURANCE GROUP,kenya,already_present,CIC Insurance Group Kenya.xlsx,
EAST AFRICAN BREWERIES (Kenya).xlsx,EAST AFRICAN BREWERIES,kenya,already_present,East African Breweries Kenya.xlsx,
EVEREADY EAST AFRICA KENYA.xlsx,EVEREADY EAST AFRICA,kenya,already_present,EVEREADY EAST AFRICA KENYA.xlsx,
HF GROUP (Kenya).xlsx,HF GROUP,kenya,already_present,HF GROUP.xlsx,
HOME AFRIKA (Kenya).xlsx,HOME AFRIKA,kenya,already_present,HOME AFRIKA (Kenya).xlsx,
KENYA PIPELINE COMPANY (Kenya).xlsx,KENYA PIPELINE COMPANY,kenya,already_present,KENYA PIPELINE COMPANY (Kenya).xlsx,
Kenya RE.xlsx,KENYA RE,kenya,already_present,Kenya Reinsurance Corporation Limited.xlsx,
LIBERTY KENYA HOLDINGS.xlsx,LIBERTY KENYA HOLDINGS,kenya,already_present,LIBERTY KENYA HOLDINGS.xlsx,
LONGHORN KENYA.xlsx,LONGHORN KENYA,kenya,already_present,LONGHORN KENYA.xlsx,
NAIROBI BUSINESS VENTURES (Kenya).xlsx,NAIROBI BUSINESS VENTURES,kenya,already_present,NAIROBI BUSINESS VENTURES (Kenya).xlsx,
NAIROBI SECURITIES EXCHANGE (Kenya).xlsx,NAIROBI SECURITIES EXCHANGE,kenya,already_present,NAIROBI SECURITIES EXCHANGE (Kenya).xlsx,
NATION MEDIA GROUP (Kenya).xlsx,NATION MEDIA GROUP,kenya,already_present,NATION MEDIA GROUP (Kenya).xlsx,
SASINI (Kenya).xlsx,SASINI,kenya,already_present,SASINI (Kenya).xlsx,
SCANGROUP (Kenya).xlsx,SCANGROUP,kenya,already_present,SCANGROUP (Kenya).xlsx,
UCHUMI SUPERMARKETS (Kenya).xlsx,UCHUMI SUPERMARKETS,kenya,already_present,UCHUMI SUPERMARKETS (Kenya).xlsx,
WILLIAMSON TEA KENYA.xlsx,WILLIAMSON TEA KENYA,kenya,already_present,WILLIAMSON TEA KENYA.xlsx,
AIRTEL MALAWI.xlsx,AIRTEL MALAWI,malawi,already_present,AIRTEL MALAWI.xlsx,
BLANTYRE HOTELS Malawi.xlsx,BLANTYRE HOTELS,malawi,already_present,BLANTYRE HOTELS Malawi.xlsx,
FDH ABNK Malawi.xlsx,FDH BANK,malawi,already_present,FDH ABNK Malawi.xlsx,
FMB CAPITAL HOLDINGS Malawi.xlsx,FMB CAPITAL HOLDINGS,malawi,already_present,FMB CAPITAL HOLDINGS Malawi.xlsx,
ICON PROPERTIES Malawi.xlsx,ICON PROPERTIES,malawi,already_present,ICON PROPERTIES Malawi.xlsx,
NBS BANK MALAWI.xlsx,NBS BANK,malawi,already_present,NBS Bank Malawi.xlsx,
STANDARD BANK (MALAWI).xlsx,STANDARD BANK (MALAWI),malawi,already_present,STANDARD BANK (MALAWI).xlsx,
TELEKOM NETWORKS MALAWI.xlsx,TELEKOM NETWORKS MALAWI,malawi,already_present,TELEKOM NETWORKS MALAWI.xlsx,
AFRIPRISE INVESTMENT (Tanzania).xlsx,AFRIPRISE INVESTMENT,tanzania,already_present,AFRIPRISE INVESTMENT (Tanzania).xlsx,
DAR ES SALAAM STOCK EXCHANGE Tanzania.xlsx,DAR ES SALAAM STOCK EXCHANGE,tanzania,already_present,Dar es Salaam Stock Exchange Plc.xlsx,
DCB COMMERCIAL BANK Tanzania.xlsx,DCB COMMERCIAL BANK,tanzania,already_present,DCB Commercial Bank Plc Tanzania.xlsx,
KCB GROUP (Tanzania).xlsx,KCB GROUP,tanzania,already_present,KCB GROUP (Tanzania).xlsx,
MAENDELEO BANK (Tanzania).xlsx,MAENDELEO BANK,tanzania,already_present,MAENDELEO BANK (Tanzania).xlsx,
