Date,Company,Country,Weight,Liquidity,AvgDailyValue30d,TradeCount30,Rank,Price,Trading Days (90d),Participation,Regime,RawLiquidity,NormLiquidity,AdjLiquidity
2016-08-31 00:00:00,PPC (SOUTH AFRICA),SOUTH AFRICA,0.051191762,6.85609967,2962885679,20,1,594,90,0.666666667,HIGH,1316838080,6.85609967,6.85609967
2016-08-31 00:00:00,REINET INVEST (SOUTH AFRICA),SOUTH AFRICA,0.05044721,4.232991992,1829301200,20,2,320.6,90,0.666666667,HIGH,813022755.6,4.232991992,4.232991992
2016-08-31 00:00:00,NASPERS (SOUTH AFRICA),SOUTH AFRICA,0.046193513,3.876067127,1675054963,20,3,317.64,90,0.666666667,HIGH,744468872.6,3.876067127,3.876067127
2016-08-31 00:00:00,BLUE LABEL TELECOMS (SOUTH AFRICA),SOUTH AFRICA,0.040519761,3.399986284,1469315085,20,4,1905,90,0.666666667,HIGH,653028926.7,3.399986284,3.399986284
2016-08-31 00:00:00,GRINDROD (SOUTH AFRICA),SOUTH AFRICA,0.031589583,2.650661013,1145491742,20,5,781,90,0.666666667,HIGH,509107441,2.650661013,2.650661013
2016-08-31 00:00:00,MTN GROUP (SOUTH AFRICA),SOUTH AFRICA,0.029756989,2.496889219,1079038763,20,6,120.2,90,0.666666667,HIGH,479572783.7,2.496889219,2.496889219
2016-08-31 00:00:00,STANDARD BANK GROUP (SOUTH AFRICA),SOUTH AFRICA,0.020757206,1.741723372,752691396.7,20,7,133.14,90,0.666666667,HIGH,334529509.6,1.741723372,1.741723372
2016-08-31 00:00:00,FIRSTRAND (SOUTH AFRICA),SOUTH AFRICA,0.018224088,1.529171168,660836273.3,20,8,43.17,90,0.666666667,HIGH,293705010.4,1.529171168,1.529171168
2016-08-31 00:00:00,BRITISH AMERICAN TOBACCO (SOUTH AFRICA),SOUTH AFRICA,0.016247441,1.363312028,589159708.8,20,9,911.73,90,0.666666667,HIGH,261848759.5,1.363312028,1.363312028
2016-08-31 00:00:00,ANGLO AMERICAN (SOUTH AFRICA),SOUTH AFRICA,0.013143198,1.102837074,476594613.5,20,10,144.8,90,0.666666667,HIGH,211819828.2,1.102837074,1.102837074
2016-08-31 00:00:00,SHOPRITE HOLDINGS (SOUTH AFRICA),SOUTH AFRICA,0.012565837,1.054391099,455658528.7,20,11,188.5,90,0.666666667,HIGH,202514901.6,1.054391099,1.054391099
2016-08-31 00:00:00,WOOLWORTHS HOLDINGS (SOUTH AFRICA),SOUTH AFRICA,0.01211203,1.016312395,439202693.3,20,12,80.64,90,0.666666667,HIGH,195201197,1.016312395,1.016312395
2016-08-31 00:00:00,CORONATION (NAMIBIA),NAMIBIA,0.5,1,57477601.65,20,13,69.74,90,0.666666667,LOW,25545600.73,1,1
2016-08-31 00:00:00,ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),SOUTH AFRICA,0.01133441,0.951062815,411004876,20,14,239.78,90,0.666666667,HIGH,182668833.8,0.951062815,0.951062815
2016-08-31 00:00:00,ABSA (SOUTH AFRICA),SOUTH AFRICA,0.011004304,0.923363859,399034682.5,20,15,148.9,90,0.666666667,HIGH,177348747.8,0.923363859,0.923363859
