Date,ADV_USD
2016-11-30,83610016.19974999
2016-12-31,106167876.79973367
2017-01-31,127520810.47792
2017-02-28,134613253.60331666
2017-03-31,152456782.41282666
2017-04-30,169342275.37388334
2017-05-31,166809772.30204666
2017-06-30,248029901.29331434
2017-07-31,260246150.09348333
2017-08-31,218821556.2956533
2017-09-30,257023694.15375617
2017-10-31,209564191.98986
2017-11-30,226374373.05611333
2017-12-31,263764258.24035665
2018-01-31,307230527.24927664
2018-02-28,328295541.37934333
2018-03-31,332634813.97761667
2018-04-30,241874641.85073
2018-05-31,250157347.87744668
2018-06-30,244820125.54465
2018-07-31,168529300.51722333
2018-08-31,156787965.11307
2018-09-30,157141265.37071
2018-10-31,153139119.37215334
2018-11-30,149338942.84588668
2018-12-31,165343838.77809334
2019-01-31,156259800.87813666
2019-02-28,200977198.50881
2019-03-31,190057842.78642
2019-04-30,174609023.88158
2019-05-31,136049979.66304332
2019-06-30,165005648.98174998
2019-07-31,163118250.62398332
2019-08-31,112907178.49258
2019-09-30,121960242.72670518
2019-10-31,131873963.20165001
2019-11-30,153124068.64362267
2019-12-31,161751201.53347665
2020-01-31,198034146.30048332
2020-02-29,186954603.30966064
2020-03-31,165236767.650259
2020-04-30,136780351.30186048
2020-05-31,174684950.06081998
2020-06-30,218699491.6294333
2020-07-31,177400383.94611666
2020-08-31,250298426.71948332
2020-09-30,256292745.60591665
2020-10-31,268472675.066
2020-11-30,334491928.9306833
2020-12-31,321234398.62279993
2021-01-31,290625401.28629994
2021-02-28,276655419.67857665
2021-03-31,261937818.47938332
2021-04-30,290845771.86843663
2021-05-31,323906811.1692499
2021-06-30,388928468.91515833
2021-07-31,372753437.98606247
2021-08-31,359161440.099875
2021-09-30,330272621.52932495
2021-10-31,349534220.6060333
2021-11-30,415988519.38967663
2021-12-31,323668210.6968333
2022-01-31,272508267.1889333
2022-02-28,346118420.5536166
2022-03-31,389067767.2910333
2022-04-30,428712084.5616499
2022-05-31,403190227.73978335
2022-06-30,416766689.1128333
2022-07-31,332587494.5477167
2022-08-31,383810522.3620333
2022-09-30,437157081.46666664
2022-10-31,342875021.8091833
2022-11-30,336240738.2023833
2022-12-31,363340605.65851665
2023-01-31,356705316.9848333
2023-02-28,390804265.97164994
2023-03-31,365376182.9214167
2023-04-30,389651289.22576797
2023-05-31,567986118.2884667
2023-06-30,748241506.5575334
2023-07-31,655778368.7636167
2023-08-31,492451591.82393324
2023-09-30,564318737.3593166
2023-10-31,623933594.3046767
2023-11-30,646854210.9182667
2023-12-31,692854417.8754333
2024-01-31,807875409.1067632
2024-02-29,756491741.204533
2024-03-31,697914067.0173666
2024-04-30,751345041.1460708
2024-05-31,678071943.1783999
2024-06-30,697165230.41368
2024-07-31,693205735.8771731
2024-08-31,749914184.313277
2024-09-30,927217196.0167989
2024-10-31,1006493832.4042683
2024-11-30,913028296.9562649
2024-12-31,1109233325.4154415
2025-01-31,1155542843.7767417
2025-02-28,1186266329.63337
2025-03-31,1265542690.7449992
2025-04-30,1146882174.6735272
2025-05-31,1269619420.0452995
2025-06-30,1432983289.273927
2025-07-31,1662867922.146927
2025-08-31,1540580130.369618
2025-09-30,1465560309.6573305
2025-10-31,1691097450.8563669
2025-11-30,1728120788.4164734
2025-12-31,1712385396.195779
2026-01-31,1990457757.5913928
2026-02-28,2362494728.1737943
2026-03-25,2524804514.7366796
