Date,InvestableCapacityUSD
2019-04-30,403018761.00015146
2019-07-31,407878309.3704251
2019-10-31,457647889.0028501
2020-01-31,442511952.82296634
2020-04-30,564360503.6514472
2020-07-31,808796754.515733
2020-10-31,306090460.8924337
2021-01-31,529719889.26096106
2021-04-30,606907598.7604631
2021-07-31,698904524.8885156
2021-10-31,623667297.7369121
2022-01-31,726649248.1885381
2022-04-30,971286200.3524753
2022-07-31,772831866.403698
2022-10-31,376974691.0204184
2023-01-31,406803047.2709673
2023-04-30,435048139.60688245
2023-07-31,502704995.6823078
2023-10-31,348195385.13673884
2024-01-31,352680122.8102054
2024-04-30,310158103.2179929
2024-07-31,316582748.50122595
2024-10-31,296717824.18048316
2025-01-31,262901815.6836143
2025-04-30,335101416.6470269
2025-07-31,335440781.8504889
2025-10-31,417679798.04790807
2026-01-31,390472798.19849867
