Date,ADV_USD,InvestableCapacityUSD
2016-11-30,19685187657.551117,3937037531.5102234
2016-12-31,18230422295.86242,3646084459.1724844
2017-01-31,18320261454.701168,3664052290.940234
2017-02-28,20889116791.35481,4177823358.2709618
2017-03-31,21056538469.622578,4211307693.9245157
2017-04-30,20550865555.739517,4110173111.1479034
2017-05-31,19709459121.893906,3941891824.378781
2017-06-30,22747811022.82816,4549562204.565632
2017-07-31,19318531762.79936,3863706352.559872
2017-08-31,21945423831.95982,4389084766.391964
2017-09-30,25863088197.26724,5172617639.453447
2017-10-31,26508131832.120827,5301626366.424166
2017-11-30,24777119718.665752,4955423943.7331505
2017-12-31,28425449936.426674,5685089987.285336
2018-01-31,27374734969.660732,5474946993.932147
2018-02-28,28063344477.668743,5612668895.533749
2018-03-31,27559723165.842834,5511944633.168567
2018-04-30,24382029337.48608,4876405867.497216
2018-05-31,20162581485.176422,4032516297.0352845
2018-06-30,22208627389.566975,4441725477.913395
2018-07-31,18275144414.71165,3655028882.94233
2018-08-31,20326737514.93189,4065347502.9863777
2018-09-30,24195769486.945435,4839153897.389087
2018-10-31,20828133943.605984,4165626788.721197
2018-11-30,19024686413.03408,3804937282.606816
2018-12-31,18152138265.92312,3630427653.1846237
2019-01-31,16209939759.474718,3241987951.894944
2019-02-28,19107667493.33336,3821533498.666672
2019-03-31,19323113899.845135,3864622779.9690275
2019-04-30,17435891812.491764,3487178362.498353
2019-05-31,16710165743.651522,3342033148.7303047
2019-06-30,19250800713.88457,3850160142.7769146
2019-07-31,16746986708.569395,3349397341.713879
2019-08-31,17402360308.53149,3480472061.706298
2019-09-30,20288168541.9456,4057633708.38912
2019-10-31,21401375909.29678,4280275181.8593564
2019-11-30,19395672392.277493,3879134478.455498
2019-12-31,18672631507.594143,3734526301.5188284
2020-01-31,17889370272.51657,3577874054.503314
2020-02-29,18901443066.921875,3780288613.384375
2020-03-31,25055356653.48615,5011071330.69723
2020-04-30,24471235048.709183,4894247009.741837
2020-05-31,20997221525.718586,4199444305.143718
2020-06-30,23133410183.4457,4626682036.68914
2020-07-31,18906471656.016632,3781294331.2033267
2020-08-31,19372628841.988815,3874525768.3977633
2020-09-30,21431700609.79751,4286340121.9595017
2020-10-31,20428539310.90462,4085707862.180924
2020-11-30,23443654090.960186,4688730818.192038
2020-12-31,23413887608.67717,4682777521.735435
2021-01-31,22509131059.62723,4501826211.9254465
2021-02-28,24893208359.115345,4978641671.82307
2021-03-31,26423943503.26131,5284788700.652263
2021-04-30,24833071700.25989,4966614340.051979
2021-05-31,23727135380.20015,4745427076.0400305
2021-06-30,24033897520.4291,4806779504.08582
2021-07-31,21910659861.9712,4382131972.39424
2021-08-31,21306373154.946537,4261274630.9893074
2021-09-30,25151890364.484043,5030378072.896809
2021-10-31,24803803567.674732,4960760713.534946
2021-11-30,20405667949.708992,4081133589.941799
2021-12-31,20055348506.77918,4011069701.3558364
2022-01-31,17606324644.35918,3521264928.871836
2022-02-28,22924035407.319412,4584807081.463883
2022-03-31,27617933004.383247,5523586600.87665
2022-04-30,25007222866.391113,5001444573.278223
2022-05-31,23144896610.8194,4628979322.16388
2022-06-30,22678892984.10482,4535778596.820964
2022-07-31,20497694663.582634,4099538932.716527
2022-08-31,17993434690.68246,3598686938.1364923
2022-09-30,21511834218.042393,4302366843.608479
2022-10-31,20436462551.642773,4087292510.3285546
2022-11-30,20811186386.29906,4162237277.2598124
2022-12-31,20335413460.205532,4067082692.0411067
2023-01-31,19712422504.033066,3942484500.8066134
2023-02-28,21621490952.403683,4324298190.480737
2023-03-31,24341001079.606083,4868200215.921217
2023-04-30,21743640808.575077,4348728161.715015
2023-05-31,22242444748.011467,4448488949.602294
2023-06-30,26971266770.85184,5394253354.170369
2023-07-31,22379679164.96306,4475935832.992612
2023-08-31,21771464715.806847,4354292943.161369
2023-09-30,22937877813.975834,4587575562.795167
2023-10-31,20597934181.220573,4119586836.2441154
2023-11-30,21113346620.362225,4222669324.072445
2023-12-31,23887975055.02043,4777595011.0040865
2024-01-31,23031997975.61397,4606399595.122795
2024-02-29,22888495538.30159,4577699107.660318
2024-03-31,25029931052.231796,5005986210.44636
2024-04-30,26004696657.313126,5200939331.4626255
2024-05-31,23737529529.086205,4747505905.817242
2024-06-30,26580101656.93564,5316020331.387128
2024-07-31,25303420670.620045,5060684134.124009
2024-08-31,22907876855.908615,4581575371.181723
2024-09-30,25885366480.17728,5177073296.035457
2024-10-31,26177241280.26318,5235448256.052636
2024-11-30,24158171080.798077,4831634216.1596155
2024-12-31,25516208483.06974,5103241696.613948
2025-01-31,26420715643.50464,5284143128.700928
2025-02-28,29202582582.34104,5840516516.468209
2025-03-31,32304960761.201283,6460992152.240256
2025-04-30,32198037434.576653,6439607486.915331
2025-05-31,29219833685.58956,5843966737.117913
2025-06-30,36475335707.42852,7295067141.485705
2025-07-31,36979784258.518974,7395956851.7037945
2025-08-31,39463393894.92302,7892678778.984604
2025-09-30,42438429577.50629,8487685915.501258
2025-10-31,41198777283.91445,8239755456.78289
2025-11-30,41433051260.449875,8286610252.089976
2025-12-31,38536770599.061325,7707354119.812266
2026-01-31,39753013955.55168,7950602791.110337
2026-02-28,44636294016.42235,8927258803.284472
2026-03-25,50030227069.916794,10006045413.98336
