Company,HasPriceData,Status,Dividend_Status,Materiality,Action,ActionRequired,DividendEvents,WorkbookHeader,HasDividendSeries,LatestMaxWeight,BestLiquidityRank,InAM100
AECI LTD (SOUTH AFRICA),False,OK,OK,NON_MATERIAL,None,SOURCE_PRICES,12,,True,,,False
CI CAPITAL HOLDINGS (EGYPT),False,OK,OK,NON_MATERIAL,None,SOURCE_PRICES,4,,True,,,False
CO-OPERATIVE BANK KENYA (KENYA),False,OK,OK,NON_MATERIAL,None,SOURCE_PRICES,10,,True,,,False
COMPAGNIE SUCRERIE MAROCAINE ET DE RAFFINAGE SA (MORROCO),False,OK,OK,NON_MATERIAL,None,SOURCE_PRICES,10,,True,,,False
CREDIT AGRICOLE - EGYPT BANK (S.A.E.),False,OK,OK,NON_MATERIAL,None,SOURCE_PRICES,6,,True,,,False
"CRÉDIT IMMOBILIER ET HÔTELIER, SOCIÉTÉ ANONYME (MORROCO)",False,OK,OK,NON_MATERIAL,None,SOURCE_PRICES,4,,True,,,False
DIS-CHEM PHARMACIES (SOUTH AFRICA),False,OK,OK,NON_MATERIAL,None,SOURCE_PRICES,16,,True,,,False
DOUJA PROMOTION GROUPE ADDOHA S.A. (MOROCCO),False,OK,OK,NON_MATERIAL,None,SOURCE_PRICES,4,,True,,,False
E-FINANCE INVESTMENT GROUP (EGYPT),False,OK,OK,NON_MATERIAL,None,SOURCE_PRICES,7,,True,,,False
FORTRESS REAL ESTATE INVESTMENTS LIMITED (SOUTH AFRICA),False,OK,OK,NON_MATERIAL,None,SOURCE_PRICES,6,,True,,,False
HYPROP (SOUTH AFRICA),False,OK,OK,NON_MATERIAL,None,SOURCE_PRICES,9,,True,,,False
I&M BANK RWANDA (RWANDA),False,OK,OK,NON_MATERIAL,None,SOURCE_PRICES,7,,True,,,False
I&M GROUP KENYA (KENYA),False,OK,OK,NON_MATERIAL,None,SOURCE_PRICES,10,,True,,,False
IBL LTD (MAURITIUS),False,OK,OK,NON_MATERIAL,None,SOURCE_PRICES,8,,True,,,False
KAP LIMITED (SOUTH AFRICA),False,OK,OK,NON_MATERIAL,None,SOURCE_PRICES,3,,True,,,False
LABEL VIE (MOROCCO),False,OK,OK,NON_MATERIAL,None,SOURCE_PRICES,11,,True,,,False
MADINET MASR FOR HOUSING AND DEVELOPMENT (EGYPT),False,OK,OK,NON_MATERIAL,None,SOURCE_PRICES,9,,True,,,False
MOMENTUM METROPOLITAN HOLDINGS LTD (SOUTH AFRICA),False,OK,OK,NON_MATERIAL,None,SOURCE_PRICES,18,,True,,,False
MOTUS HOLDINGS LTD (SOUTH AFRICA),False,OK,OK,NON_MATERIAL,None,SOURCE_PRICES,13,,True,,,False
MTN RWANDACELL (RWANDA),False,OK,OK,NON_MATERIAL,None,SOURCE_PRICES,5,,True,,,False
NEDBANK GROUP LIMITED (SOUTH AFRICA),False,OK,OK,NON_MATERIAL,None,SOURCE_PRICES,11,,True,,,False
NETCARE LIMITED (SOUTH AFRICA),False,OK,OK,NON_MATERIAL,None,SOURCE_PRICES,19,,True,,,False
OMNIA HOLDINGS (SOUTH AFRICA),False,OK,OK,NON_MATERIAL,None,SOURCE_PRICES,4,,True,,,False
ORIENTAL WEAVERS CARPETS COMPANY (EGYPT),False,OK,OK,NON_MATERIAL,None,SOURCE_PRICES,10,,True,,,False
PICK N PAY STORES LTD (SOUTH AFRICA),False,OK,OK,NON_MATERIAL,None,SOURCE_PRICES,11,,True,,,False
QNB ALAHLI (EGYPT),False,OK,OK,NON_MATERIAL,None,SOURCE_PRICES,8,,True,,,False
REUNERT LTD (SOUTH AFRICA),False,OK,OK,NON_MATERIAL,None,SOURCE_PRICES,20,,True,,,False
SASOL LTD (SOUTH AFRICA),False,OK,OK,NON_MATERIAL,None,SOURCE_PRICES,11,,True,,,False
SEED CO INTERNATIONAL LIMITED (BOTSWANA),False,OK,OK,NON_MATERIAL,None,SOURCE_PRICES,5,,True,,,False
STE NATIONALE DE SIDERURGIE SA (MOROCCO),False,OK,OK,NON_MATERIAL,None,SOURCE_PRICES,6,,True,,,False
SUN INTERNATIONAL LIMITED (SOUTH AFRICA),False,OK,OK,NON_MATERIAL,None,SOURCE_PRICES,10,,True,,,False
TRUWORTHS INTERNATIONAL LTD (SOUTH AFRICA),False,OK,OK,NON_MATERIAL,None,SOURCE_PRICES,21,,True,,,False
