Company,Country,LiquidityUSD,Rank,Status,InitialWeight,Weight,WeightPct,InitialWeightPct,USDPrice,MinCapitalForOneShare
MTN UGANDA (UGANDA),UGANDA,290185384.87863094,51.0,Included AM100,0.04858276276646242,0.09999999999999998,9.999999999999998,4.858276276646242,,
SAFARICOM KENYA (KENYA),KENYA,209463327.89529413,69.0,Included AM100,0.03506829667409685,0.09999999999999998,9.999999999999998,3.5068296674096846,0.2213287532203919,2.2132875322039194
EQUITY GROUP HOLDINGS KENYA (KENYA),KENYA,131185316.87941176,73.0,Included AM100,0.021963012131232213,0.08494217567678027,8.494217567678026,2.1963012131232214,0.5211179639316106,6.1349731129392655
STANBIC BANK UGANDA (UGANDA),UGANDA,130719319.9834524,87.0,Included AM100,0.02188499505033832,0.08464044381270436,8.464044381270435,2.1884995050338323,,
KCB GROUP KENYA (KENYA),KENYA,127183901.53911763,82.0,Included AM100,0.021293096200459546,0.08235126891315625,8.235126891315625,2.1293096200459547,0.513310953236006,6.233188146467049
TANZANIA BREWERIES LTD (TANZANIA),TANZANIA,582713485.9649123,12.0,Included AM100,0.09755774248000863,0.07291632264468843,7.291632264468843,9.755774248000863,,
NMB BANK TANZANIA (TANZANIA),TANZANIA,581329716.2573099,32.0,Included AM100,0.0973260721102001,0.07291632264468843,7.291632264468843,9.73260721102001,,
CRDB BANK PLC TANZANIA (TANZANIA),TANZANIA,3066986154.5614038,7.0,Included AM100,0.513474035976696,0.07291626153337945,7.291626153337945,51.347403597669604,0.6193577219942024,8.494095952940128
TANZANIA CIGARETTE COMPANY (TANZANIA),TANZANIA,182671778.0116959,34.0,Included AM100,0.030582862258834716,0.05658538647695323,5.658538647695323,3.0582862258834718,,
TANGA CEMENT TANZANIA (TANZANIA),TANZANIA,160456145.55555555,102.0,Included AM200,0.026863526766542432,0.04970375340783098,4.970375340783098,2.686352676654243,,
BANK OF KIGALI RWANDA (RWANDA),RWANDA,50735351.74418605,116.0,Included AM200,0.008494099586344563,0.032851017654966216,3.2851017654966217,0.8494099586344563,,
TANZANIA PORTLAND CEMENT (TANZANIA),TANZANIA,85781978.42105263,98.0,Included AM100,0.014361596842690243,0.026572284205840145,2.6572284205840146,1.4361596842690243,,
EAST AFRICAN BREWERIES KENYA (KENYA),KENYA,34609074.011764705,119.0,Included AM200,0.005794242301292143,0.02240929179155245,2.240929179155245,0.5794242301292143,2.053243812944024,91.62466319966559
NATIONAL INVESTMENT COMPANY TANZANIA (TANZANIA),TANZANIA,61464543.65497076,118.0,Included AM200,0.010290378146326188,0.01903958561745317,1.903958561745317,1.029037814632619,,
DCB COMMERCIAL BANK PLC TANZANIA (TANZANIA),TANZANIA,55729688.918128654,124.0,Included AM200,0.009330250236036518,0.017263126356994122,1.7263126356994123,0.9330250236036518,,
DAR ES SALAAM STOCK EXCHANGE PLC (TANZANIA),TANZANIA,39021750.81871345,122.0,Included AM200,0.006533011521412327,0.012087586134640293,1.2087586134640294,0.6533011521412327,,
STANBIC HOLDINGS KENYA (KENYA),KENYA,29307052.22058824,142.0,Included AM200,0.004906579171837587,0.010311685903152493,1.0311685903152492,0.49065791718375873,,
CO-OPERATIVE BANK KENYA (KENYA),KENYA,23319395.698235296,131.0,Included AM200,0.0039041272514067863,0.010311685903152493,1.0311685903152492,0.39041272514067865,,
ABSA BANK KENYA (KENYA),KENYA,21949836.535588235,145.0,Included AM200,0.0036748360073927365,0.010311685903152493,1.0311685903152492,0.36748360073927366,,
STANDARD CHARTERED BANK KENYA (KENYA),KENYA,21022605.75147059,148.0,Included AM200,0.003519599267150324,0.010311685903152493,1.0311685903152492,0.3519599267150324,,
BRALIRWA RWANDA (RWANDA),RWANDA,18891133.720930237,165.0,Included AM200,0.00316274876605978,0.010311685903152493,1.0311685903152492,0.316274876605978,,
KENYA ELECTRICITY GENERATING CO (KENYA),KENYA,17329444.832294118,144.0,Included AM200,0.002901291212560448,0.010311685903152493,1.0311685903152492,0.2901291212560448,,
NCBA GROUP KENYA (KENYA),KENYA,17244567.776470587,141.0,Included AM200,0.0028870811176271174,0.010311685903152493,1.0311685903152492,0.2887081117627117,,
KENYA POWER (KENYA),KENYA,16985727.565294117,161.0,Included AM200,0.002843746155808599,0.010311685903152493,1.0311685903152492,0.2843746155808599,,
I&M GROUP KENYA (KENYA),KENYA,16724491.025,138.0,Included AM200,0.002800010001183346,0.010311685903152493,1.0311685903152492,0.28000100011833456,,
