Company,Country,LiquidityUSD,Rank,Status,InitialWeight,Weight,WeightPct,InitialWeightPct,USDPrice,MinCapitalForOneShare
MTN UGANDA (UGANDA),UGANDA,290185384.87863094,51.0,Included AM100,0.048155961955039676,0.10000000000000003,10.000000000000004,4.815596195503968,,
SAFARICOM KENYA (KENYA),KENYA,209463327.89529413,69.0,Included AM100,0.03476022079237588,0.10000000000000003,10.000000000000004,3.476022079237588,0.2213287532203919,2.213287532203918
CRDB BANK PLC TANZANIA (TANZANIA),TANZANIA,3066986154.5614038,7.0,Included AM100,0.5089631534595196,0.07681297801285476,7.681297801285476,50.89631534595196,0.6193577219942024,8.06319111713846
TANZANIA BREWERIES LTD (TANZANIA),TANZANIA,582713485.9649123,12.0,Included AM100,0.09670069522126808,0.07681281494119778,7.681281494119778,9.670069522126807,,
NMB BANK TANZANIA (TANZANIA),TANZANIA,581329716.2573099,32.0,Included AM100,0.09647106008157381,0.07681281494119778,7.681281494119778,9.647106008157381,,
EQUITY GROUP HOLDINGS KENYA (KENYA),KENYA,131185316.87941176,73.0,Included AM100,0.021770066508852572,0.06593793161895399,6.593793161895399,2.1770066508852572,0.5211179639316106,7.903159094268801
STANBIC BANK UGANDA (UGANDA),UGANDA,130719319.9834524,87.0,Included AM100,0.02169273481000643,0.06570370669049906,6.570370669049906,2.1692734810006433,,
KCB GROUP KENYA (KENYA),KENYA,127183901.53911763,82.0,Included AM100,0.021106035806637474,0.06392669242417515,6.392669242417515,2.1106035806637475,0.513310953236006,8.029681088926278
TANZANIA CIGARETTE COMPANY (TANZANIA),TANZANIA,182671778.0116959,34.0,Included AM100,0.03031419103298357,0.05293584170034894,5.293584170034895,3.031419103298357,,
TANGA CEMENT TANZANIA (TANZANIA),TANZANIA,160456145.55555555,102.0,Included AM200,0.02662752999796113,0.04649804810260947,4.649804810260947,2.6627529997961132,,
BANK OF KIGALI RWANDA (RWANDA),RWANDA,50735351.74418605,116.0,Included AM200,0.008419478704588942,0.02550120877511668,2.550120877511668,0.8419478704588942,,
TANZANIA PORTLAND CEMENT (TANZANIA),TANZANIA,85781978.42105263,98.0,Included AM100,0.014235429847716093,0.02485847173474628,2.485847173474628,1.4235429847716092,,
NATIONAL INVESTMENT COMPANY TANZANIA (TANZANIA),TANZANIA,61464543.65497076,118.0,Included AM200,0.01019997691155469,0.01781160389699276,1.781160389699276,1.0199976911554691,,
EAST AFRICAN BREWERIES KENYA (KENYA),KENYA,34609074.011764705,119.0,Included AM200,0.00574333973472426,0.017395626354135083,1.7395626354135083,0.574333973472426,2.053243812944024,118.03218643265184
DCB COMMERCIAL BANK PLC TANZANIA (TANZANIA),TANZANIA,55729688.918128654,124.0,Included AM200,0.009248283749472962,0.016149719582796547,1.6149719582796547,0.9248283749472962,,
