Rank,Company,Country,Liquidity,AvgDailyValue30d
1.0,BLUE LABEL TELECOMS (SOUTH AFRICA),SOUTH AFRICA,1249196278.407407,2322885641.6666665
2.0,ARADEL HOLDINGS NIGERIA (NIGERIA),NIGERIA,1214824613.3532758,3028648620.548333
3.0,NASPERS (SOUTH AFRICA),SOUTH AFRICA,1114830981.4074073,2073032816.6666667
4.0,PPC (SOUTH AFRICA),SOUTH AFRICA,927655194.0740739,1724978666.6666667
5.0,GUARANTY TRUST HOLDING COMPANY NIGERIA (NIGERIA),NIGERIA,842230370.0115752,2099743304.7379994
6.0,ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),SOUTH AFRICA,740273363.9271259,1376541379.2033336
7.0,GOLD FIELDS (SOUTH AFRICA),SOUTH AFRICA,740038111.6740739,1376103926.6666667
8.0,ZENITH BANK NIGERIA (NIGERIA),NIGERIA,729814848.5746518,1819483001.9866667
9.0,FIRSTRAND (SOUTH AFRICA),SOUTH AFRICA,605508316.3392589,1125945216.3333328
10.0,GRINDROD (SOUTH AFRICA),SOUTH AFRICA,596666348.1777776,1109503540.0
11.0,MTN GROUP (SOUTH AFRICA),SOUTH AFRICA,563618708.97037,1048051318.333333
12.0,MTN NIGERIA (NIGERIA),NIGERIA,559804444.1995778,1395634348.4200003
13.0,PROSUS (SOUTH AFRICA),SOUTH AFRICA,553899016.901185,1029977510.7666667
14.0,IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),SOUTH AFRICA,508779364.6711105,946077330.999999
15.0,SIBANYE STILLWATER (SOUTH AFRICA),SOUTH AFRICA,493139658.81481475,916995233.3333334
16.0,UNITED BANK FOR AFRICA NIGERIA (NIGERIA),NIGERIA,481521371.509842,1200468793.2378333
17.0,STANDARD BANK GROUP (SOUTH AFRICA),SOUTH AFRICA,480878196.4148148,894194993.3333334
18.0,CAPITEC BANK (SOUTH AFRICA),SOUTH AFRICA,470080747.9112147,874117093.2233332
19.0,FIRST HOLDCO NIGERIA (NIGERIA),NIGERIA,454084535.62777877,1132066709.3213322
20.0,DANGOTE CEMENT NIGERIA (NIGERIA),NIGERIA,419618546.7420895,1046140421.2406664
21.0,ANGLO AMERICAN (SOUTH AFRICA),SOUTH AFRICA,396074630.11453325,736502411.37
22.0,SEPLAT ENERGY NIGERIA (NIGERIA),NIGERIA,395160069.0206407,985163606.9766666
23.0,HARMONY GOLD MINING COMPANY (SOUTH AFRICA),SOUTH AFRICA,381862496.11677027,710074889.4733332
24.0,ABSA (SOUTH AFRICA),SOUTH AFRICA,375370046.36592585,698002152.3333333
25.0,BRITISH AMERICAN TOBACCO (SOUTH AFRICA),SOUTH AFRICA,365880236.5267703,680355811.7233334
26.0,NORTHAM PLATINUM HOLDINGS (SOUTH AFRICA),SOUTH AFRICA,310587666.88888884,577539050.0
27.0,NIGERIAN BREWERIES (NIGERIA),NIGERIA,299423481.71879876,746485134.4789997
28.0,SHOPRITE HOLDINGS (SOUTH AFRICA),SOUTH AFRICA,260459112.9291065,484324796.76899976
29.0,SANLAM (SOUTH AFRICA),SOUTH AFRICA,246950126.1333333,459204780.0
30.0,LAFARGE AFRICA NIGERIA (NIGERIA),NIGERIA,241871935.21597472,603004824.6381642
31.0,OANDO PLC NIGERIA (NIGERIA),NIGERIA,231516231.47476107,577187280.685
32.0,GLENCORE (SOUTH AFRICA),SOUTH AFRICA,226337089.39111105,420874752.99999994
33.0,BHP (SOUTH AFRICA),SOUTH AFRICA,223091118.47228143,414838856.6633333
34.0,BID CORP (SOUTH AFRICA),SOUTH AFRICA,215836545.37426662,401348948.01
35.0,COMMERCIAL INTERNATIONAL BANK EGYPT (EGYPT),EGYPT,202574898.95201612,505034374.1185998
36.0,NESTLÉ NIGERIA (NIGERIA),NIGERIA,187848542.96188653,468320467.2179997
37.0,VODACOM (SOUTH AFRICA),SOUTH AFRICA,179607677.20328885,333981217.94
38.0,DISCOVERY HOLDINGS (SOUTH AFRICA),SOUTH AFRICA,173365501.39874363,322373866.23733324
39.0,OLD MUTUAL (SOUTH AFRICA),SOUTH AFRICA,163352231.77777776,303754150.0
