Rank,Company,Country,Liquidity,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD
1.0,NASPERS (SOUTH AFRICA),SOUTH AFRICA,132863970.57016438,132863970.57016438,132863970.57016438,26572794.11403288
2.0,ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),SOUTH AFRICA,88350536.61082894,88350536.61082894,88350536.61082894,17670107.322165787
3.0,GOLD FIELDS (SOUTH AFRICA),SOUTH AFRICA,86587037.67603363,86587037.67603363,86587037.67603363,17317407.535206728
4.0,FIRSTRAND (SOUTH AFRICA),SOUTH AFRICA,58294149.98885582,58294149.98885582,58294149.98885582,11658829.997771164
5.0,PROSUS (SOUTH AFRICA),SOUTH AFRICA,52912869.032721,52912869.032721,52912869.032721,10582573.8065442
6.0,CAPITEC BANK (SOUTH AFRICA),SOUTH AFRICA,52194720.888338104,52194720.888338104,52194720.888338104,10438944.177667622
7.0,STANDARD BANK GROUP (SOUTH AFRICA),SOUTH AFRICA,45942818.914219216,45942818.914219216,45942818.914219216,9188563.782843843
8.0,NORTHAM PLATINUM HOLDINGS (SOUTH AFRICA),SOUTH AFRICA,42001630.35328874,42001630.35328874,42001630.35328874,8400326.070657749
9.0,MTN GROUP (SOUTH AFRICA),SOUTH AFRICA,41578248.98720508,41578248.98720508,41578248.98720508,8315649.797441017
10.0,SIBANYE STILLWATER (SOUTH AFRICA),SOUTH AFRICA,40202675.29154995,40202675.29154995,40202675.29154995,8040535.058309991
11.0,HARMONY GOLD MINING COMPANY (SOUTH AFRICA),SOUTH AFRICA,38061134.38737542,38061134.38737542,38061134.38737542,7612226.877475085
12.0,IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),SOUTH AFRICA,37336400.06170806,37336400.06170806,37336400.06170806,7467280.012341613
13.0,BRITISH AMERICAN TOBACCO (SOUTH AFRICA),SOUTH AFRICA,34345465.5529127,34345465.5529127,34345465.5529127,6869093.11058254
14.0,ABSA (SOUTH AFRICA),SOUTH AFRICA,33478368.831765827,33478368.831765827,33478368.831765827,6695673.766353166
