Company,Dividend_Status,Liquidity Score,Price,Trading Days (90d),NonZeroVolumeDays90d,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,ObservationDate,ImplementationDate,Country,Regime,RawLiquidity,Rank,Selected,RebalanceDate
REDEFINE PROPERTIES (SOUTH AFRICA),OK,280268761.9131905,22.83106269857699,87,87,280268761.9131905,280268761.9131905,56053752.3826381,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,280268761.9131905,1.0,True,2025-04-30
NASPERS (SOUTH AFRICA),OK,137592687.39593336,49.35442166132577,87,87,137592687.39593336,137592687.39593336,27518537.479186673,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,137592687.39593336,2.0,True,2025-04-30
BLUE LABEL TELECOMS (SOUTH AFRICA),OK,83063008.20599397,41.40178355387885,87,87,83063008.20599397,83063008.20599397,16612601.641198793,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,83063008.20599397,3.0,True,2025-04-30
PPC (SOUTH AFRICA),OK,77348286.38884577,25.12509292187899,87,87,77348286.38884577,77348286.38884577,15469657.277769156,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,77348286.38884577,4.0,True,2025-04-30
GRINDROD (SOUTH AFRICA),OK,76634844.97269078,66.58149624297931,87,87,76634844.97269078,76634844.97269078,15326968.994538156,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,76634844.97269078,5.0,True,2025-04-30
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),OK,60876982.154381596,37.51394852305419,87,87,60876982.154381596,60876982.154381596,12175396.43087632,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,60876982.154381596,6.0,True,2025-04-30
GOLD FIELDS (SOUTH AFRICA),OK,59148288.175941154,22.14394602693082,87,87,59148288.175941154,59148288.175941154,11829657.635188231,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,59148288.175941154,7.0,True,2025-04-30
FIRSTRAND (SOUTH AFRICA),OK,55019157.70430853,3.92388407719084,87,87,55019157.70430853,55019157.70430853,11003831.540861707,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,55019157.70430853,8.0,True,2025-04-30
STANDARD BANK GROUP (SOUTH AFRICA),OK,51822103.46898101,13.07651847049358,87,87,51822103.46898101,51822103.46898101,10364420.693796203,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,51822103.46898101,9.0,True,2025-04-30
PROSUS (SOUTH AFRICA),OK,50541465.164666705,45.96799609359425,87,87,50541465.164666705,50541465.164666705,10108293.032933341,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,50541465.164666705,10.0,True,2025-04-30
