company,country,status,reason,flag_low_history,flag_illiquid,flag_missing_data,flag_outlier_return
ABU DHABI ISLAMIC BANK EGYPT (EGYPT),EGYPT,INCLUDED,passed filters,False,False,False,False
ABU QIR FERTILIZERS EGYPT (EGYPT),EGYPT,INCLUDED,passed filters,False,False,False,False
ALEXANDRIA CONTAINERS AND GOODS (EGYPT),EGYPT,INCLUDED,passed filters,False,False,False,False
ALEXANDRIA MINERAL OILS EGYPT (EGYPT),EGYPT,INCLUDED,passed filters,False,False,False,False
ARABIAN CEMENT COMPANY (EGYPT),EGYPT,INCLUDED,passed filters,False,False,False,False
BELTONE HOLDING EGYPT (EGYPT),EGYPT,INCLUDED,passed filters,False,False,False,False
COMMERCIAL INTERNATIONAL BANK EGYPT (EGYPT),EGYPT,INCLUDED,passed filters,False,False,False,False
EFG HOLDING EGYPT (EGYPT),EGYPT,INCLUDED,passed filters,False,False,False,False
EL AHLI INVESTMENT AND DEVELOPMENT (EGYPT),EGYPT,INCLUDED,passed filters,False,False,False,False
EAST DELTA FLOUR MILLS EGYPT (EGYPT),EGYPT,INCLUDED,passed filters,False,False,False,False
EASTERN TOBACCO EGYPT (EGYPT),EGYPT,INCLUDED,passed filters,False,False,False,False
EDITA FOOD INDUSTRIES COMPANY (EGYPT),EGYPT,INCLUDED,passed filters,False,False,False,False
EGYPT ALUMINIUM (EGYPT),EGYPT,INCLUDED,passed filters,False,False,False,False
EL SEWEDY ELECTRIC (EGYPT),EGYPT,INCLUDED,passed filters,False,False,False,False
EMAAR MISR EGYPT (EGYPT),EGYPT,INCLUDED,passed filters,False,False,False,False
EXPORT DEVELOPMENT BANK OF (EGYPT),EGYPT,INCLUDED,passed filters,False,False,False,False
FAWRY EGYPT (EGYPT),EGYPT,INCLUDED,passed filters,False,False,False,False
GB AUTO EGYPT (EGYPT),EGYPT,INCLUDED,passed filters,False,False,False,False
HELIOPOLIS CO. FOR HOUSING & DEVELOPMENT (EGYPT),EGYPT,INCLUDED,passed filters,False,False,False,False
IBNSINA PHARMA (EGYPT),EGYPT,INCLUDED,passed filters,False,False,False,False
JUHAYNA FOOD INDUSTRIES (EGYPT),EGYPT,INCLUDED,passed filters,False,False,False,False
MARIDIVE OIL SERVICE EGYPT (EGYPT),EGYPT,INCLUDED,passed filters,False,False,False,False
ORASCOM INVESTMENT HOLDING EGYPT (EGYPT),EGYPT,INCLUDED,passed filters,False,False,False,False
PALM HILLS DEVELOPMANT COMPANY EGYPT (EGYPT),EGYPT,INCLUDED,passed filters,False,False,False,False
QATAR NATIONAL BANK ALAHLY (EGYPT),EGYPT,INCLUDED,passed filters,False,False,False,False
RAYA HOLDING EGYPT (EGYPT),EGYPT,INCLUDED,passed filters,False,False,False,False
SUEZ CANAL BANK (EGYPT),EGYPT,INCLUDED,passed filters,False,False,False,False
SIDI KERIR PETROCHEMICALS EGYPT (EGYPT),EGYPT,INCLUDED,passed filters,False,False,False,False
TALAAT MOUSTAFA GROUP EGYPT (EGYPT),EGYPT,INCLUDED,passed filters,False,False,False,False
TELECOM EGYPT (EGYPT),EGYPT,INCLUDED,passed filters,False,False,False,False
ACCESS BANK GHANA (GHANA),GHANA,INCLUDED,passed filters,False,False,False,False
AGRICULTURAL DEVELOPMENT BANK GHANA (GHANA),GHANA,INCLUDED,passed filters,False,False,False,False
ALUWORKS LIMITED (GHANA),GHANA,INCLUDED,passed filters,False,False,False,False
CAMELOT GHANA LIMITED (GHANA),GHANA,INCLUDED,passed filters,False,False,False,False
CALBANK PLC GHANA (GHANA),GHANA,INCLUDED,passed filters,False,False,False,False
CLYDESTONE GHANA PLC (GHANA),GHANA,INCLUDED,passed filters,False,False,False,False
COCOA PROCESSING COMPANY LIMITED (GHANA),GHANA,INCLUDED,passed filters,False,False,False,False
ECOBANK GHANA (GHANA),GHANA,INCLUDED,passed filters,False,False,False,False
ECOBANK TRANSITIONAL INC GHANA (GHANA),GHANA,INCLUDED,passed filters,False,False,False,False
ENTERPRISE GROUP PLC (GHANA),GHANA,INCLUDED,passed filters,False,False,False,False
FAN MILK PLC (GHANA),GHANA,INCLUDED,passed filters,False,False,False,False
GCB BANK PLC GHANA (GHANA),GHANA,INCLUDED,passed filters,False,False,False,False
GOIL PLC (GHANA),GHANA,INCLUDED,passed filters,False,False,False,False
INTRAVENOUS INFUSIONS (GHANA),GHANA,INCLUDED,passed filters,False,False,False,False
MTN GHANA (GHANA),GHANA,INCLUDED,passed filters,False,False,False,False
MEGA AFRICAN CAPITAL LIMITED (GHANA),GHANA,INCLUDED,passed filters,False,False,False,False
REPUBLIC BANK (GHANA),GHANA,INCLUDED,passed filters,False,False,False,False
SIC INSURANCE (GHANA),GHANA,INCLUDED,passed filters,False,False,False,False
SOCIETE GENERALE GHANA (GHANA),GHANA,INCLUDED,passed filters,False,False,False,False
STANDARD CHARTERED BANK GHANA (GHANA),GHANA,INCLUDED,passed filters,False,False,False,False
ABSA BANK KENYA (KENYA),KENYA,INCLUDED,passed filters,False,False,False,False
BAMBURI CEMENT PLC (KENYA),KENYA,INCLUDED,passed filters,False,False,False,False
BRITAM HOLDINGS KENYA (KENYA),KENYA,INCLUDED,passed filters,False,False,False,False
BRITISH AMERICAN TOBACCO KENYA (KENYA),KENYA,INCLUDED,passed filters,False,False,False,False
CARBACID INVESTMENTS KENYA (KENYA),KENYA,INCLUDED,passed filters,False,False,False,False
CENTUM INVESTMENT KENYA (KENYA),KENYA,INCLUDED,passed filters,False,False,False,False
CIC INSURANCE GROUP KENYA (KENYA),KENYA,INCLUDED,passed filters,False,False,False,False
COOPERATIVE BANK KENYA (KENYA),KENYA,INCLUDED,passed filters,False,False,False,False
DIAMOND TRUST BANK KENYA (KENYA),KENYA,INCLUDED,passed filters,False,False,False,False
EVEREADY EAST AFRICA KENYA (KENYA),KENYA,INCLUDED,passed filters,False,False,False,False
EAST AFRICAN BREWERIES KENYA (KENYA),KENYA,INCLUDED,passed filters,False,False,False,False
EQUITY GROUP HOLDINGS KENYA (KENYA),KENYA,INCLUDED,passed filters,False,False,False,False
HF GROUP (KENYA),KENYA,INCLUDED,passed filters,False,False,False,False
HOME AFRIKA KENYA (KENYA),KENYA,INCLUDED,passed filters,False,False,False,False
IM GROUP KENYA (KENYA),KENYA,INCLUDED,passed filters,False,False,False,False
JUBILEE HOLDINGS KENYA (KENYA),KENYA,INCLUDED,passed filters,False,False,False,False
KCB GROUP KENYA (KENYA),KENYA,INCLUDED,passed filters,False,False,False,False
KENYA PIPELINE COMPANY KENYA (KENYA),KENYA,INCLUDED,passed filters,True,True,False,False
KENYA AIRWAYS (KENYA),KENYA,INCLUDED,passed filters,False,False,False,False
KENYA ELECTRICITY GENERATING CO (KENYA),KENYA,INCLUDED,passed filters,False,False,False,False
KENYA POWER (KENYA),KENYA,INCLUDED,passed filters,False,False,False,False
KENYA REINSURANCE CORPORATION LIMITED (KENYA),KENYA,INCLUDED,passed filters,False,False,False,False
LIBERTY KENYA HOLDINGS (KENYA),KENYA,INCLUDED,passed filters,False,False,False,False
LONGHORN KENYA (KENYA),KENYA,INCLUDED,passed filters,False,False,False,False
NAIROBI BUSINESS VENTURES KENYA (KENYA),KENYA,INCLUDED,passed filters,False,False,False,False
NAIROBI SECURITIES EXCHANGE KENYA (KENYA),KENYA,INCLUDED,passed filters,False,False,False,False
NATION MEDIA GROUP KENYA (KENYA),KENYA,INCLUDED,passed filters,False,False,False,False
NCBA GROUP KENYA (KENYA),KENYA,INCLUDED,passed filters,False,False,False,False
SASINI KENYA (KENYA),KENYA,INCLUDED,passed filters,False,False,False,False
SCANGROUP KENYA (KENYA),KENYA,INCLUDED,passed filters,False,False,False,False
SAFARICOM KENYA (KENYA),KENYA,INCLUDED,passed filters,False,False,False,False
STANBIC HOLDINGS KENYA (KENYA),KENYA,INCLUDED,passed filters,False,False,False,False
STANDARD CHARTERED BANK KENYA (KENYA),KENYA,INCLUDED,passed filters,False,False,False,False
TOTALENERGIES MARKETING KENYA (KENYA),KENYA,INCLUDED,passed filters,False,False,False,False
UCHUMI SUPERMARKETS KENYA (KENYA),KENYA,INCLUDED,passed filters,False,False,False,False
WILLIAMSON TEA KENYA (KENYA),KENYA,INCLUDED,passed filters,False,False,False,False
AIRTEL MALAWI (MALAWI),MALAWI,INCLUDED,passed filters,False,False,False,False
BLANTYRE HOTELS MALAWI (MALAWI),MALAWI,INCLUDED,passed filters,False,False,False,False
FDH BANK MALAWI (MALAWI),MALAWI,INCLUDED,passed filters,False,False,False,False
FMB CAPITAL HOLDINGS MALAWI (MALAWI),MALAWI,INCLUDED,passed filters,False,False,False,False
ICON PROPERTIES MALAWI (MALAWI),MALAWI,INCLUDED,passed filters,False,False,False,False
NBS BANK MALAWI (MALAWI),MALAWI,INCLUDED,passed filters,False,False,False,False
NATIONAL BANK OF MALAWI (MALAWI),MALAWI,INCLUDED,passed filters,False,False,False,False
NICO HOLDINGS MALAWI (MALAWI),MALAWI,INCLUDED,passed filters,False,False,False,False
STANDARD BANK MALAWI (MALAWI),MALAWI,INCLUDED,passed filters,False,False,False,False
TELEKOM NETWORKS MALAWI (MALAWI),MALAWI,INCLUDED,passed filters,False,False,False,False
ASCENCIA MAURITIUS (MAURITIUS),MAURITIUS,INCLUDED,passed filters,False,False,False,False
CEIL MAURITIUS (MAURITIUS),MAURITIUS,INCLUDED,passed filters,False,False,False,False
CIM FINANCIAL SERVICES MAURITIUS (MAURITIUS),MAURITIUS,INCLUDED,passed filters,False,False,False,False
ENL LIMITED MAURITIUS (MAURITIUS),MAURITIUS,INCLUDED,passed filters,False,False,False,False
IRELAND BLYTH MAURITIUS (MAURITIUS),MAURITIUS,INCLUDED,passed filters,False,False,False,False
LUX ISLAND RESTORTS MAURITIUS (MAURITIUS),MAURITIUS,INCLUDED,passed filters,False,False,False,False
MCB GROUP LTD MAURITIUS (MAURITIUS),MAURITIUS,INCLUDED,passed filters,False,False,False,False
NEW MAURITIUS HOTELS (MAURITIUS),MAURITIUS,INCLUDED,passed filters,False,False,False,False
SBM HOLDINGS MAURITIUS (MAURITIUS),MAURITIUS,INCLUDED,passed filters,False,False,False,False
SUN RESORTS LIMITED MAURITIUS (MAURITIUS),MAURITIUS,INCLUDED,passed filters,False,False,False,False
ATLANTASANAD MOROCCO (MOROCCO),MOROCCO,INCLUDED,passed filters,False,False,False,False
ATTIJARIWAFA BANK MOROCCO (MOROCCO),MOROCCO,INCLUDED,passed filters,False,False,False,False
BANK OF AFRICA MOROCCO (MOROCCO),MOROCCO,INCLUDED,passed filters,False,False,False,False
BANQUE CENTRALE POPULAIRE MOROCCO (MOROCCO),MOROCCO,INCLUDED,passed filters,False,False,False,False
CIH BANK (MOROCCO),MOROCCO,INCLUDED,passed filters,False,False,False,False
CIMENTS DU MAROC MOROCCO (MOROCCO),MOROCCO,INCLUDED,passed filters,False,False,False,False
COSUMAR MOROCCO (MOROCCO),MOROCCO,INCLUDED,passed filters,False,False,False,False
DOUJA PROMOTION GROUPE ADDOHA SA (MOROCCO),MOROCCO,INCLUDED,passed filters,False,False,False,False
LAFARGEHOLCIM MAROC MOROCCO (MOROCCO),MOROCCO,INCLUDED,passed filters,False,False,False,False
MANAGEM MOROCCO (MOROCCO),MOROCCO,INCLUDED,passed filters,False,False,False,False
MAROC TELECOM MOROCCO (MOROCCO),MOROCCO,INCLUDED,passed filters,False,False,False,False
MARSA MAROC MOROCCO (MOROCCO),MOROCCO,INCLUDED,passed filters,False,False,False,False
TAQA MOROCCO (MOROCCO),MOROCCO,INCLUDED,passed filters,False,False,False,False
CAPRICORN INVESTMENT (NAMIBIA),NAMIBIA,INCLUDED,passed filters,False,True,False,False
CAPRICORN INVESTMENT (NAMIBIA),NAMIBIA,INCLUDED,passed filters,False,True,False,False
CORONATION (NAMIBIA),NAMIBIA,INCLUDED,passed filters,False,False,False,False
LETSHEGO HOLDINGS (NAMIBIA),NAMIBIA,INCLUDED,passed filters,False,True,False,False
MOBILE TELECOMMUNICATIONS (NAMIBIA),NAMIBIA,INCLUDED,passed filters,False,True,False,False
NAMIBIA BREWERIES (NAMIBIA),NAMIBIA,INCLUDED,passed filters,False,True,False,False
SBN HOLDINGS (NAMIBIA),NAMIBIA,INCLUDED,passed filters,False,True,False,False
BANK OF AFRICA NIGER (NIGER),NIGER,INCLUDED,passed filters,False,False,False,False
AIICO INSURANCE NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
AXA MANSARD NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
ACCESS HOLDINGS NIGERIA (NIGERIA),NIGERIA,EXCLUDED,price is 0 or NaN in last 90 days,False,True,,
AIRTEL AFRICA NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
