InputCompany,MatchType,MatchedCompany,AM100,AM200,AM300,CoveragePct,LatestAvgDailyUSDLiquidity,LatestRank,Status,Reason
Gold Fields Ltd,missing,,,,,,,,Missing entirely,not_in_master_dataset
FirstRand Ltd,missing,,,,,,,,Missing entirely,not_in_master_dataset
Standard Bank Group Ltd,likely_match,STANDARD BANK GROUP (SOUTH AFRICA),True,False,True,0.683971099812684,763101480.4683908,22.0,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
Capitec Bank Holdings Ltd,missing,,,,,,,,Missing entirely,not_in_master_dataset
Impala Platinum Holdings Ltd,likely_match,IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),True,False,True,0.683971099812684,847129056.7816092,19.0,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
Absa Group Ltd,missing,,,,,,,,Missing entirely,not_in_master_dataset
Harmony Gold Mining,likely_match,HARMONY GOLD MINING COMPANY (SOUTH AFRICA),True,False,True,0.683971099812684,724075859.3965517,27.0,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
Sibanye Stillwater Limited,missing,,,,,,,,Missing entirely,not_in_master_dataset
Sanlam Ltd,missing,,,,,,,,Missing entirely,not_in_master_dataset
Valterra Platinum Ltd,missing,,,,,,,,Missing entirely,not_in_master_dataset
Discovery Ltd,missing,,,,,,,,Missing entirely,not_in_master_dataset
Bid Corporation Ltd,missing,,,,,,,,Missing entirely,not_in_master_dataset
Commercial International Bank (CIB),likely_match,COMMERCIAL INTERNATIONAL BANK EGYPT (EGYPT),True,False,True,0.6438319507626439,363715949.9316071,45.0,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
Delta Corporation Limited,missing,,,,,,,,Missing entirely,not_in_master_dataset
Nedbank Group Limited,missing,,,,,,,,Missing entirely,not_in_master_dataset
Northam Platinum Holdings Limited,likely_match,NORTHAM PLATINUM HOLDINGS (SOUTH AFRICA),True,False,True,0.683971099812684,663021850.2982758,30.0,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
Shoprite Holdings Ltd,missing,,,,,,,,Missing entirely,not_in_master_dataset
Remgro Ltd,missing,,,,,,,,Missing entirely,not_in_master_dataset
Sasol Ltd,missing,,,,,,,,Missing entirely,not_in_master_dataset
OUTsurance Group Limited,missing,,,,,,,,Missing entirely,not_in_master_dataset
Attijariwafa Bank,missing,,,,,,,,Missing entirely,not_in_master_dataset
Vodacom Group Ltd,missing,,,,,,,,Missing entirely,not_in_master_dataset
Bidvest Group Ltd,missing,,,,,,,,Missing entirely,not_in_master_dataset
Growthpoint Properties,missing,,,,,,,,Missing entirely,not_in_master_dataset
Clicks Group Ltd,missing,,,,,,,,Missing entirely,not_in_master_dataset
Pepkor Holdings Ltd,missing,,,,,,,,Missing entirely,not_in_master_dataset
Anglo American PLC,exact_normalized,ANGLO AMERICAN (SOUTH AFRICA),True,False,True,0.683971099812684,562320805.2097701,25.0,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
Tiger Brands Ltd,missing,,,,,,,,Missing entirely,not_in_master_dataset
MTN Nigeria,exact_normalized,MTN NIGERIA (NIGERIA),True,False,True,0.453037195611453,1768027619.8441176,17.0,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
Mr Price Group Ltd,missing,,,,,,,,Missing entirely,not_in_master_dataset
Guaranty Trust Holding Company PLC,likely_match,GUARANTY TRUST HOLDING COMPANY NIGERIA (NIGERIA),True,False,True,0.6604227990366605,2354960903.95,8.0,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
Redefine Properties Ltd,missing,,,,,,,,Missing entirely,not_in_master_dataset
Safaricom,missing,,,,,,,,Missing entirely,not_in_master_dataset
Momentum Metropolitan Holdings Ltd,missing,,,,,,,,Missing entirely,not_in_master_dataset
Kumba Iron Ore Ltd,missing,,,,,,,,Missing entirely,not_in_master_dataset
Naspers Ltd,missing,,,,,,,,Missing entirely,not_in_master_dataset
Aspen Pharmacare Hldgs Ltd,likely_match,ASPEN PHARMACARE HOLDINGS (SOUTH AFRICA),True,False,True,0.683971099812684,194344755.05,71.0,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
Woolworths Holdings Ltd,likely_match,WOOLWORTHS HOLDINGS (SOUTH AFRICA),True,False,True,0.683971099812684,235666240.84310347,64.0,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
Zenith Bank,missing,,,,,,,,Missing entirely,not_in_master_dataset
Maroc Telecom (Itissalat Al Maghrib Ste SA),missing,,,,,,,,Missing entirely,not_in_master_dataset
Vukile Property Fund,missing,,,,,,,,Missing entirely,not_in_master_dataset
Fortress Real Estate Investments Limited,missing,,,,,,,,Missing entirely,not_in_master_dataset
PSG Financial Services Limited,missing,,,,,,,,Missing entirely,not_in_master_dataset
Banque Centrale Populaire,likely_match,BANQUE CENTRALE POPULAIRE MOROCCO (MOROCCO),False,True,True,0.6612255820176612,20591439.114417177,158.0,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
AVI Limited,missing,,,,,,,,Missing entirely,not_in_master_dataset
Equity Group,missing,,,,,,,,Missing entirely,not_in_master_dataset
Hyprop Investments,missing,,,,,,,,Missing entirely,not_in_master_dataset
KCB Group PLC,missing,,,,,,,,Missing entirely,not_in_master_dataset
First HoldCo Plc,missing,,,,,,,,Missing entirely,not_in_master_dataset
Talaat Moustafa Group Holding,likely_match,TALAAT MOUSTAFA GROUP EGYPT (EGYPT),True,False,True,0.6435643564356436,181027996.9614881,57.0,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
The Foschini Group,missing,,,,,,,,Missing entirely,not_in_master_dataset
