InputCompany,Category,SuggestedMatch,MatchScore,Note
Omnia Holdings,genuinely_absent,,0.7692,No strong naming or token match in live master universe.
CI Capital Holding,genuinely_absent,,0.7411,No strong naming or token match in live master universe.
Hyprop Investments,genuinely_absent,,0.7368,No strong naming or token match in live master universe.
Thungela Resources,genuinely_absent,,0.7359,No strong naming or token match in live master universe.
HF Group Plc,genuinely_absent,,0.7059,No strong naming or token match in live master universe.
e-Finance Investment Group,genuinely_absent,,0.6822,No strong naming or token match in live master universe.
Abu Qir Fertilizers and Chemical Industries Co SAE,genuinely_absent,,0.6767,No strong naming or token match in live master universe.
First National Bank of Botswana Limited,genuinely_absent,,0.6729,No strong naming or token match in live master universe.
Suez Canal Bank,genuinely_absent,,0.6667,No strong naming or token match in live master universe.
Maridive and Oil Services S.A.E.,genuinely_absent,,0.6616,No strong naming or token match in live master universe.
Export Development Bank of Egypt,genuinely_absent,,0.6569,No strong naming or token match in live master universe.
Sechaba Brewery Holdings Limited,genuinely_absent,,0.6552,No strong naming or token match in live master universe.
The Foschini Group,genuinely_absent,,0.6454,No strong naming or token match in live master universe.
Motus Holdings Ltd,genuinely_absent,,0.6364,No strong naming or token match in live master universe.
Capricorn Group Limited,genuinely_absent,,0.6347,No strong naming or token match in live master universe.
Coronation Fund Managers Ltd,genuinely_absent,,0.63,No strong naming or token match in live master universe.
Alexandria Containers and goods,genuinely_absent,,0.63,No strong naming or token match in live master universe.
Sun International Limmited,genuinely_absent,,0.6265,No strong naming or token match in live master universe.
Nedbank Group Limited,genuinely_absent,,0.625,No strong naming or token match in live master universe.
Truworths International Ltd,genuinely_absent,,0.6209,No strong naming or token match in live master universe.
Arabian Cement Company,genuinely_absent,,0.6209,No strong naming or token match in live master universe.
Pepkor Holdings Ltd,genuinely_absent,,0.6047,No strong naming or token match in live master universe.
The Kenya Power and Lighting Company PLC,genuinely_absent,,0.6032,No strong naming or token match in live master universe.
Seed Co International Limited,genuinely_absent,,0.5967,No strong naming or token match in live master universe.
Bamburi Cement Plc,genuinely_absent,,0.5925,No strong naming or token match in live master universe.
