Company,CoveragePct,FirstValidDate,LastValidDate,LargeGapCount,MaxGapDays,LatestAvgDailyUSDLiquidity,MeanAvgDailyUSDLiquidity,LiquidityTier,LatestRank,AM100,AM200,AM300,Status,Reason
CRDB BANK PLC TANZANIA (TANZANIA),0.6585496387476586,2016-01-04,2026-12-03,12,31,3066986154.5614033,266802571.16036782,AM100-scale,7.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
BLUE LABEL TELECOMS (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,2855006409.8850574,1214544110.7297888,AM100-scale,1.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
GUARANTY TRUST HOLDING COMPANY NIGERIA (NIGERIA),0.6604227990366605,2016-01-04,2026-12-03,12,31,2354960903.95,769654437.0581897,AM100-scale,8.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
ZENITH BANK NIGERIA (NIGERIA),0.6604227990366605,2016-01-04,2026-12-03,12,31,2258143111.759706,679492099.333944,AM100-scale,11.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
ARADEL HOLDINGS NIGERIA (NIGERIA),0.09526358041209526,2024-01-11,2026-12-03,20,32,2250389028.521177,1528899187.8318856,AM100-scale,2.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
NASPERS (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,1992229098.7419543,2319085187.104692,AM100-scale,3.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
MTN NIGERIA (NIGERIA),0.45303719561145306,2019-01-07,2026-12-03,13,31,1768027619.8441176,578526396.3114971,AM100-scale,17.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
GRINDROD (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,1747492744.7126436,833356308.9392354,AM100-scale,15.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,1549587791.2787359,509632442.3827628,AM100-scale,9.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
GOLD FIELDS (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,1499425518.2057471,442686057.37309885,AM100-scale,10.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
DANGOTE CEMENT NIGERIA (NIGERIA),0.6604227990366605,2016-01-04,2026-12-03,12,31,1327546865.0094118,268121005.6124865,AM100-scale,24.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
PPC (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,1112845374.8275862,1549998593.1310692,AM100-scale,6.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
FIRSTRAND (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,1025867817.2413793,738327634.2095666,AM100-scale,13.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
UNITED BANK FOR AFRICA NIGERIA (NIGERIA),0.6604227990366605,2016-01-04,2026-12-03,12,31,894030517.3920587,356285110.305254,AM100-scale,21.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
CAPITEC BANK (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,881708298.4885057,403206684.4590871,AM100-scale,37.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
PROSUS (SOUTH AFRICA),0.43724913031843726,2019-01-10,2026-12-03,17,31,864977109.3132184,997550812.1436776,AM100-scale,18.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
SIBANYE STILLWATER (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,848805578.1609195,420770663.1598452,AM100-scale,20.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,847129056.7816092,426344471.9451213,AM100-scale,19.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
FIRST HOLDCO NIGERIA (NIGERIA),0.6604227990366605,2016-01-04,2026-12-03,12,31,833562475.3255882,319212603.60702175,AM100-scale,23.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
MTN GROUP (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,832618864.8821839,639670731.9547707,AM100-scale,16.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
STANDARD BANK GROUP (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,763101480.4683908,613158935.0185301,AM100-scale,22.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
LAFARGE AFRICA NIGERIA (NIGERIA),0.6604227990366605,2016-01-04,2026-12-03,12,31,759199110.8870587,114801893.88467497,AM100-scale,40.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
FIDELITY BANK NIGERIA (NIGERIA),0.6604227990366605,2016-01-04,2026-12-03,12,31,730974046.4344118,163528367.04922587,AM100-scale,55.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
HARMONY GOLD MINING COMPANY (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,724075859.3965517,197703863.01661405,AM100-scale,27.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
SEPLAT ENERGY NIGERIA (NIGERIA),0.6601552047096602,2016-01-04,2026-12-03,12,31,689731552.2723529,189690502.8065042,AM100-scale,26.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
NORTHAM PLATINUM HOLDINGS (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,663021850.2982758,190367355.23038825,AM100-scale,30.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
FCMB GROUP NIGERIA (NIGERIA),0.6604227990366605,2016-01-04,2026-12-03,12,31,627794379.7141176,74719525.3293912,AM100-scale,52.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
BRITISH AMERICAN TOBACCO (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,606447294.6074713,511089157.4281789,AM100-scale,29.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
PRESCO PLC NIGERIA (NIGERIA),0.6601552047096602,2016-01-04,2026-12-03,12,31,599446549.8952941,69371192.30825675,AM100-scale,53.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
TANZANIA BREWERIES LTD (TANZANIA),0.6582820444206583,2016-01-04,2026-12-03,12,31,582713485.9649123,612065435.1398367,AM100-scale,12.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
NMB BANK TANZANIA (TANZANIA),0.6582820444206583,2016-01-04,2026-12-03,12,31,581329716.2573099,288001367.5664018,AM100-scale,32.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
ABSA (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,567268238.7643678,438439482.0548134,AM100-scale,28.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
ANGLO AMERICAN (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,562320805.2097701,654245410.795727,AM100-scale,25.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
NIGERIAN BREWERIES (NIGERIA),0.6604227990366605,2016-01-04,2026-12-03,12,31,556129690.8241177,221821719.59189096,AM100-scale,31.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
SHOPRITE HOLDINGS (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,384744876.90804595,335243602.6069799,AM100-scale,35.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
GLENCORE (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,373977884.1678161,209394412.2544361,AM100-scale,42.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
STANBIC IBTC HOLDINGS NIGERIA (NIGERIA),0.6604227990366605,2016-01-04,2026-12-03,12,31,367134202.1897059,82497636.90046327,AM100-scale,90.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
COMMERCIAL INTERNATIONAL BANK EGYPT (EGYPT),0.6438319507626439,2016-01-06,2026-12-03,12,61,363715949.9316071,176467696.6026219,AM100-scale,45.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
SANLAM (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,343468954.6545977,340005350.9950647,AM100-scale,38.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
OKOMU OIL PALM NIGERIA (NIGERIA),0.6604227990366605,2016-01-04,2026-12-03,12,31,336632510.0517647,50045668.46396558,AM100-scale,59.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
BID CORP (SOUTH AFRICA),0.6569440727856569,2016-01-06,2026-12-03,14,31,330882028.90459764,295034767.54229534,AM100-scale,44.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
DISCOVERY HOLDINGS (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,325891513.38793105,211528811.55455625,AM100-scale,48.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
NESTLÉ NIGERIA (NIGERIA),0.6604227990366605,2016-01-04,2026-12-03,12,31,325537270.0994118,191396232.49638683,AM100-scale,46.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
OANDO PLC NIGERIA (NIGERIA),0.6604227990366605,2016-01-04,2026-12-03,12,31,321666755.9917647,100441868.91933005,AM100-scale,41.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
BHP (SOUTH AFRICA),0.27722772277227725,2022-01-02,2026-12-03,10,31,295164748.76896554,380295065.3154969,AM100-scale,43.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
MTN UGANDA (UGANDA),0.2847203639282847,2021-06-12,2026-12-03,15,62,290185384.87863094,85583120.06531985,AM100-scale,51.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
OLD MUTUAL (SOUTH AFRICA),0.6837035054856837,2016-01-02,2026-12-03,9,31,286420515.51724136,190628098.0546043,AM100-scale,49.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
MR PRICE (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,284388496.2172414,252127754.54920232,AM100-scale,50.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
NBS BANK MALAWI (MALAWI),0.6465078940326465,2016-01-06,2026-12-03,16,31,267256555.45641175,64809838.9057499,AM100-scale,67.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
DANGOTE SUGAR REFINERY NIGERIA (NIGERIA),0.6604227990366605,2016-01-04,2026-12-03,12,31,249366159.4976471,68130588.92111327,AM100-scale,65.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
CLICKS (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,247609279.54885057,197546274.64123997,AM100-scale,54.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
SONATEL SENEGAL (SENEGAL),0.6622959593256623,2016-01-04,2026-12-03,12,31,238184949.24418604,229970327.27793473,AM100-scale,58.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
WOOLWORTHS HOLDINGS (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,235666240.84310347,253354447.76883423,AM100-scale,64.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
TRANSCORP POWER NIGERIA (NIGERIA),0.13513513513513514,2024-01-07,2026-12-03,11,31,228086552.6117647,402320117.07749826,AM100-scale,72.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
NASCON ALLIED INDUSTRIES NIGERIA (NIGERIA),0.6604227990366605,2016-01-04,2026-12-03,12,31,221997431.97,35887376.86578605,AM100-scale,74.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
SAFARICOM KENYA (KENYA),0.6622959593256623,2016-01-04,2026-12-03,12,31,209463327.89529413,212210923.89817306,AM100-scale,69.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
VODACOM (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,208499833.9758621,226392047.1080524,AM100-scale,47.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
BIDVEST (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,196060395.99827588,216492386.5362826,AM100-scale,61.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
ASPEN PHARMACARE HOLDINGS (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,194344755.05,257867845.78756976,AM100-scale,71.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
REINET INVEST (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,193935028.09712645,345836969.5867062,AM100-scale,56.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
BUA CEMENT NIGERIA (NIGERIA),0.41022210329141023,2020-01-04,2026-12-03,9,31,191592558.21705884,80009895.86830679,AM100-scale,60.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
TANZANIA CIGARETTE COMPANY (TANZANIA),0.6577468557666577,2016-01-04,2026-12-03,12,31,182671778.0116959,176368384.6171981,AM100-scale,34.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
OUTSURANCE (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,181656476.7270115,66723966.807326086,AM100-scale,66.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
TALAAT MOUSTAFA GROUP EGYPT (EGYPT),0.6435643564356436,2016-01-06,2026-12-03,12,61,181027996.9614881,73104991.65012726,AM100-scale,57.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
EFG HOLDING EGYPT (EGYPT),0.6438319507626439,2016-01-06,2026-12-03,12,61,179046780.1885119,78982217.02916166,AM100-scale,76.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
STANDARD BANK MALAWI (MALAWI),0.6416911961466417,2016-01-07,2026-12-03,20,31,167999999.34235296,23374606.716654897,AM100-scale,78.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
