Company,CoveragePct,FirstValidDate,LastValidDate,LargeGapCount,MaxGapDays,LatestAvgDailyUSDLiquidity,MeanAvgDailyUSDLiquidity,LiquidityTier,LatestRank,AM100,AM200,AM300,Status,Reason
NASPERS (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,160897606.5562562,147876196.08999017,AM100-scale,1.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,158003123.15872186,33335086.72178784,AM100-scale,2.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
GOLD FIELDS (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,129156495.14788292,28658685.010501582,AM100-scale,3.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,88456442.69897892,27516205.90416175,AM100-scale,4.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
STANDARD BANK GROUP (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,88088073.3993831,39850742.40606503,AM100-scale,5.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
FIRSTRAND (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,86267138.18024549,47595051.27579098,AM100-scale,6.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
MTN GROUP (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,85544761.13639763,41263699.75714631,AM100-scale,7.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
CAPITEC BANK (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,74850462.38762313,25811042.2476698,AM100-scale,8.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
PROSUS (SOUTH AFRICA),0.4318972437784319,2019-01-10,2026-03-25,0,30,67749506.84392042,57552700.25254177,AM100-scale,9.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016; below_am300_coverage
SIBANYE STILLWATER (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,66108107.774142615,26823205.33591538,AM100-scale,10.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
HARMONY GOLD MINING COMPANY (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,60269576.78213411,12687968.492152896,AM100-scale,11.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
NORTHAM PLATINUM HOLDINGS (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,55228725.88161929,12264160.071375903,AM100-scale,12.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
ABSA (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,54445867.07662126,28169356.56151454,AM100-scale,13.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
ANGLO AMERICAN (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,48091275.84815975,41345413.49819393,AM100-scale,14.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
BRITISH AMERICAN TOBACCO (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,46864329.44582094,32980510.25544763,AM100-scale,15.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
SHOPRITE HOLDINGS (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,39939926.95935663,21670663.492435716,AM100-scale,17.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
GLENCORE (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,35462804.919896156,13359267.776604258,AM100-scale,18.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
SANLAM (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,32594194.65685567,22001601.340382602,AM100-scale,19.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
DISCOVERY HOLDINGS (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,31105338.151399925,13771072.290945556,AM100-scale,20.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
BID CORP (SOUTH AFRICA),0.6515921862456516,2016-01-06,2026-03-25,0,27,31024925.583677128,18778791.298067898,AM100-scale,21.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
BID CORPORATION (SOUTH AFRICA),0.6521273748996521,2016-01-06,2026-03-25,0,27,31021453.14736943,18786444.83849321,AM100-scale,22.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
BHP (SOUTH AFRICA),0.27187583623227185,2022-01-02,2026-03-25,0,21,29138757.262763787,19829987.865475196,AM100-scale,23.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016; below_am300_coverage
VODACOM (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,24752259.179198448,14616212.70411121,AM100-scale,24.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
MR PRICE (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,24158305.159183566,16391904.888841558,AM100-scale,25.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
OLD MUTUAL (SOUTH AFRICA),0.6783516189456783,2016-01-02,2026-03-25,0,13,22631529.08727516,12392552.719992293,AM100-scale,26.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
PEPKOR HOLDINGS LTD (SOUTH AFRICA),0.5691731335295692,2017-09-21,2026-03-25,0,5,22092089.02807918,8277978.336575458,AM100-scale,27.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016; below_am300_coverage
REINET INVEST (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,19711432.579887245,21512261.70926387,AM100-scale,28.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
