header,target_stem,country,status,events
QNB Alahli (Egypt),QATAR NATIONAL BANK ALAHLY,egypt,imported,8
Export Development Bank of Egypt,EXPORT DEVELOPMENT BANK OF,egypt,imported,3
EMAAR MISR EGYPT (EGYPT),EMAAR MISR EGYPT,egypt,imported,0
MARIDIVE & OIL SERVICES (EGYPT),MARIDIVE & OIL SERVICE,egypt,imported,0
SUEZ CANAL BANK (EGYPT),SUEZ CANAL BANK,egypt,imported,0
FAWRY EGYPT (EGYPT),FAWRY EGYPT,egypt,imported,0
BELTONE HOLDING EGYPT (EGYPT),BELTONE HOLDING EGYPT,egypt,imported,0
OANDO PLC NIGERIA (NIGERIA),OANDO PLC NIGERIA,nigeria,imported,0
FDH Bank (Malawi),FDH BANK MALAWI,malawi,imported,19
FMB Capital Holdings (Malawi),FMB CAPITAL HOLDINGS MALAWI,malawi,imported,11
ZAMBIAN BREWERIES (Zambia),ZAMBIAN BREWERIES,zambia,imported,5
ZAMBIA SUGAR,ZAMBIA SUGAR,zambia,imported,7
ZAMBIA NATIONAL COMMERCIAL BANK,ZAMBIA NATIONAL COMMERCIAL BANK,zambia,imported,9
ZAMBEEF PRODUCTS (ZAMBIA),ZAMBEEF PRODUCTS,zambia,imported,0
PUMA ENERGY ZAMBIA,PUMA ENERGY ZAMBIA,zambia,imported,5
MADISON FINANCIAL SERVICES (ZAMBIA),MADISON FINANCIAL SERVICES,zambia,imported,4
COPPERBELT ENERGY CORPORATION (zambia),COPPERBELT ENERGY CORPORATION ZAMBIA,zambia,imported,6
CHILANGA CEMENT ZAMBIA,CHILANGA CEMENT ZAMBIA,zambia,imported,12
CEC AFRICA INVESTMENT Zambia,CEC AFRICA INVESTMENT ZAMBIA,zambia,imported,0
Airtel Networks Zambia Plc,AIRTEL NETWORKS ZAMBIA,zambia,imported,15
