Company,HasPriceSeries,HasDividendSeries,DividendEvents,Status,Dividend_Status,Materiality,ResolutionAction,WorkbookHeader
ABSA (SOUTH AFRICA),True,True,18,OK,OK,MATERIAL,None,ABSA (SOUTH AFRICA)
ABSA BANK KENYA (KENYA),True,True,17,OK,OK,NON_MATERIAL,None,ABSA BANK KENYA (KENYA)
ABU DHABI ISLAMIC BANK EGYPT (EGYPT),True,True,1,OK,OK,MATERIAL,None,ABU DHABI ISLAMIC BANK EGYPT (EGYPT)
ABU QIR FERTILIZERS EGYPT (EGYPT),True,True,10,OK,OK,MATERIAL,None,ABU QIR FERTILIZERS EGYPT (EGYPT)
ACCESS BANK GHANA (GHANA),True,True,3,OK,OK,NON_MATERIAL,None,
AECI (SOUTH AFRICA),True,False,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,MATERIAL,Assume zero; no mapped header or dividend file,
AECI LTD (SOUTH AFRICA),False,True,12,Missing Price,OK,NON_MATERIAL,None,
AFRICAN RAINBOW MINERALS (SOUTH AFRICA),True,True,19,OK,OK,MATERIAL,None,AFRICAN RAINBOW MINERALS (SOUTH AFRICA)
AFRIPRISE INVESTMENT TANZANIA (TANZANIA),True,True,6,OK,OK,NON_MATERIAL,None,
AGRICULTURAL DEVELOPMENT BANK GHANA (GHANA),True,True,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,
AIICO INSURANCE NIGERIA (NIGERIA),True,True,8,OK,OK,MATERIAL,None,AIICO INSURANCE NIGERIA (NIGERIA)
AIRTEL AFRICA NIGERIA (NIGERIA),True,True,4,OK,OK,NON_MATERIAL,None,
AIRTEL MALAWI (MALAWI),True,True,5,OK,OK,NON_MATERIAL,None,
AIRTEL NETWORKS ZAMBIA (ZAMBIA),True,True,15,OK,OK,NON_MATERIAL,None,
AIRTEL UGANDA (UGANDA),True,True,10,OK,OK,NON_MATERIAL,None,
ALEXANDRIA CONTAINERS AND GOODS (EGYPT),True,True,8,OK,OK,MATERIAL,None,
ALEXANDRIA MINERAL OILS EGYPT (EGYPT),True,True,15,OK,OK,MATERIAL,None,ALEXANDRIA MINERAL OILS EGYPT (EGYPT)
ALUWORKS LIMITED (GHANA),True,True,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,
AMEN BANK TUNISIA (TUNISIA),True,True,9,OK,OK,NON_MATERIAL,None,
ANGLO AMERICAN (SOUTH AFRICA),True,True,20,OK,OK,MATERIAL,None,ANGLO AMERICAN (SOUTH AFRICA)
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),True,True,10,OK,OK,MATERIAL,None,ANGLOGOLD ASHANTI ADR (SOUTH AFRICA)
ARABIAN CEMENT COMPANY (EGYPT),True,True,7,OK,OK,MATERIAL,None,
ARADEL HOLDINGS NIGERIA (NIGERIA),True,True,11,OK,OK,MATERIAL,None,ARADEL HOLDINGS NIGERIA (NIGERIA)
ARCELORMITTAL SOUTH AFRICA LIMITED (SOUTH AFRICA),True,False,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,MATERIAL,Assume zero; no mapped header or dividend file,
ASCENCIA MAURITIUS (MAURITIUS),True,True,8,OK,OK,NON_MATERIAL,None,
ASPEN PHARMACARE HOLDINGS (SOUTH AFRICA),True,True,8,OK,OK,MATERIAL,None,ASPEN PHARMACARE HOLDINGS (SOUTH AFRICA)
ATLANTASANAD MOROCCO (MOROCCO),True,True,10,OK,OK,NON_MATERIAL,None,
ATTIJARI BANK TUNISIA (TUNISIA),True,True,9,OK,OK,NON_MATERIAL,None,
ATTIJARIWAFA BANK MOROCCO (MOROCCO),True,True,11,OK,OK,MATERIAL,None,ATTIJARIWAFA BANK MOROCCO (MOROCCO)
AVI (SOUTH AFRICA),True,True,19,OK,OK,MATERIAL,None,AVI (SOUTH AFRICA)
AXA MANSARD NIGERIA (NIGERIA),True,True,10,OK,OK,NON_MATERIAL,None,AXA MANSARD NIGERIA (NIGERIA)
BAMBURI CEMENT PLC (KENYA),True,True,10,OK,OK,NON_MATERIAL,None,
BANK OF AFRICA MOROCCO (MOROCCO),True,True,1,OK,OK,NON_MATERIAL,None,
BANK OF AFRICA NIGER (NIGER),True,True,10,OK,OK,NON_MATERIAL,None,BANK OF AFRICA NIGER (NIGER)
BANK OF AFRICA SENEGAL (SENEGAL),True,True,9,OK,OK,NON_MATERIAL,None,BANK OF AFRICA SENEGAL (SENEGAL)
BANK OF BARODA UGANDA (UGANDA),True,True,6,OK,OK,NON_MATERIAL,None,
BANK OF KIGALI RWANDA (RWANDA),True,True,10,OK,OK,NON_MATERIAL,None,BANK OF KIGALI RWANDA (RWANDA)
BANQUE CENTRALE POPULAIRE MOROCCO (MOROCCO),True,True,9,OK,OK,MATERIAL,None,
BANQUE DE TUNISIE TUNISIA (TUNISIA),True,True,9,OK,OK,NON_MATERIAL,None,
BANQUE NATIONALE AGRICOLE TUNISIA (TUNISIA),True,True,9,OK,OK,NON_MATERIAL,None,
BELTONE HOLDING EGYPT (EGYPT),True,True,0,Zero Dividend,ZERO_CONFIRMED,MATERIAL,Zero file ensured: /Users/derrythornalley/AM100_DATA/data/dividends/egypt/BELTONE HOLDING EGYPT.csv,BELTONE HOLDING EGYPT (EGYPT)
BERGER PAINTS NIGERIA (NIGERIA),True,True,10,OK,OK,NON_MATERIAL,None,
BHP (SOUTH AFRICA),True,True,9,OK,OK,MATERIAL,None,BHP (SOUTH AFRICA)
