Company,HasPriceData,Status,Dividend_Status,Materiality,Action,ActionRequired,DividendEvents,WorkbookHeader,HasDividendSeries,LatestMaxWeight,BestLiquidityRank,InAM100
AECI (SOUTH AFRICA),True,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,MATERIAL,Assume zero; no mapped header or dividend file,SOURCE_DIVIDENDS,0,,False,0.01017662386592698,139.0,False
AGRICULTURAL DEVELOPMENT BANK GHANA (GHANA),True,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,SOURCE_DIVIDENDS,0,,True,,,False
ALUWORKS LIMITED (GHANA),True,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,SOURCE_DIVIDENDS,0,,True,,,False
ARCELORMITTAL SOUTH AFRICA LIMITED (SOUTH AFRICA),True,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,MATERIAL,Assume zero; no mapped header or dividend file,SOURCE_DIVIDENDS,0,,False,0.02516093768438265,102.0,False
CEC AFRICA INVESTMENT ZAMBIA (ZAMBIA),True,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,SOURCE_DIVIDENDS,0,,True,,,False
CLYDESTONE (GHANA) PLC (GHANA),False,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,NONE,0,,True,,,False
CLYDESTONE GHANA PLC (GHANA),True,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,SOURCE_DIVIDENDS,0,,False,,,False
COCOA PROCESSING COMPANY LIMITED (GHANA),True,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,SOURCE_DIVIDENDS,0,,True,,,False
COOPERATIVE BANK KENYA (KENYA),True,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,MATERIAL,Assume zero; no mapped header or dividend file,SOURCE_DIVIDENDS,0,,False,0.01039525856140681,140.0,False
DCB COMMERCIAL BANK PLC TANZANIA (TANZANIA),True,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,SOURCE_DIVIDENDS,0,,False,0.003988019522415014,179.0,False
DISCHEM PHARMACIES (SOUTH AFRICA),True,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,SOURCE_DIVIDENDS,0,,False,0.008671318465990589,148.0,False
DOT COM ZAMBIA (ZAMBIA),True,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,SOURCE_DIVIDENDS,0,,True,,,False
DOUJA PROMOTION GROUPE ADDOHA SA (MOROCCO),True,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,SOURCE_DIVIDENDS,0,,False,0.004077481885027093,177.0,False
EL AHLI INVESTMENT AND DEVELOPMENT (EGYPT),True,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,SOURCE_DIVIDENDS,0,,False,0.0066456242295384,160.0,False
HOME AFRIKA KENYA (KENYA),True,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,SOURCE_DIVIDENDS,0,,True,,,False
HYPROP INVESTMENTS LTD (SOUTH AFRICA),True,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,MATERIAL,Assume zero; no mapped header or dividend file,SOURCE_DIVIDENDS,0,,False,0.01506839046861874,124.0,False
IM BANK (RWANDA),True,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,SOURCE_DIVIDENDS,0,,False,,,False
IM GROUP KENYA (KENYA),True,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,SOURCE_DIVIDENDS,0,,False,0.002174450198376969,194.0,False
