Company,Status,Dividend_Status,Materiality,Action,DividendEvents,WorkbookHeader,HasDividendSeries,LatestMaxWeight,BestLiquidityRank,InAM100,RecommendedNextStep
GROWTHPOINT PROPERTIES (SOUTH AFRICA),Missing Source,MISSING_SOURCE_ASSUMED_ZERO,MATERIAL,Assume zero; no mapped header or dividend file,0,,False,0.0022889894989631,59.0,True,Source dividend history or document assumed-zero as material exception
HELIOPOLIS CO. FOR HOUSING & DEVELOPMENT (EGYPT),Missing Source,MISSING_SOURCE_ASSUMED_ZERO,MATERIAL,Assume zero; no mapped header or dividend file,0,,False,0.0070124096122452,65.0,True,Source dividend history or document assumed-zero as material exception
KCB GROUP (TANZANIA) (TANZANIA),Missing Source,MISSING_SOURCE_ASSUMED_ZERO,MATERIAL,Assume zero; no mapped header or dividend file,0,,False,0.0051692584494584,77.0,True,Investigate cross-listing; verify if Kenya parent dividend applies
AFRIPRISE INVESTMENT (TANZANIA) (TANZANIA),Missing Source,MISSING_SOURCE_ASSUMED_ZERO,MATERIAL,Assume zero; no mapped header or dividend file,0,,False,0.0028226850672962,97.0,True,Source dividend history or document assumed-zero as material exception
IBNSINA PHARMA (EGYPT),Missing Source,MISSING_SOURCE_ASSUMED_ZERO,MATERIAL,Assume zero; no mapped header or dividend file,0,,False,0.0283231508270393,103.0,False,Source dividend history or document assumed-zero as material exception
NBS BANK MALAWI (MALAWI),Missing Source,MISSING_SOURCE_ASSUMED_ZERO,MATERIAL,Assume zero; no mapped header or dividend file,0,,False,0.0186748607467931,112.0,False,Source dividend history or document assumed-zero as material exception
NICO HOLDINGS MALAWI (MALAWI),Missing Source,MISSING_SOURCE_ASSUMED_ZERO,MATERIAL,Assume zero; no mapped header or dividend file,0,,False,0.0170734788838577,115.0,False,Source dividend history or document assumed-zero as material exception
DAR ES SALAAM STOCK EXCHANGE PLC (TANZANIA),Missing Source,MISSING_SOURCE_ASSUMED_ZERO,MATERIAL,Assume zero; no mapped header or dividend file,0,,False,0.0110756565294246,126.0,False,Source dividend history or document assumed-zero as material exception
NATIONAL BANK OF MALAWI (MALAWI),Missing Source,MISSING_SOURCE_ASSUMED_ZERO,MATERIAL,Assume zero; no mapped header or dividend file,0,,False,0.0109011521590027,127.0,False,Source dividend history or document assumed-zero as material exception
OANDO PLC NIGERIA (NIGERIA),Zero Dividend,ZERO_CONFIRMED,MATERIAL,Zero file ensured: /Users/derrythornalley/AM100_DATA/data/dividends/nigeria/OANDO PLC NIGERIA.csv,0,OANDO PLC NIGERIA (NIGERIA),True,0.0067765049103773,42.0,True,Keep zero-dividend assumption
FAWRY EGYPT (EGYPT),Zero Dividend,ZERO_CONFIRMED,MATERIAL,Zero file ensured: /Users/derrythornalley/AM100_DATA/data/dividends/egypt/FAWRY EGYPT.csv,0,FAWRY EGYPT (EGYPT),True,0.0061299539821381,69.0,True,Keep zero-dividend assumption
BELTONE HOLDING EGYPT (EGYPT),Zero Dividend,ZERO_CONFIRMED,MATERIAL,Zero file ensured: /Users/derrythornalley/AM100_DATA/data/dividends/egypt/BELTONE HOLDING EGYPT.csv,0,BELTONE HOLDING EGYPT (EGYPT),True,0.0041582591035331,85.0,True,Keep zero-dividend assumption
EMAAR MISR EGYPT (EGYPT),Zero Dividend,ZERO_CONFIRMED,MATERIAL,Zero file ensured: /Users/derrythornalley/AM100_DATA/data/dividends/egypt/EMAAR MISR EGYPT.csv,0,EMAAR MISR EGYPT (EGYPT),True,0.0122698194332363,132.0,False,Keep zero-dividend assumption
