Company,Date,OriginalDividend,SanitizedDividend,PrevPrice,OriginalImpact,Action
ABU DHABI ISLAMIC BANK EGYPT (EGYPT),2024-04-01,0.8,0.8,39.5,0.020253164556962026,keep
ABU QIR FERTILIZERS EGYPT (EGYPT),2017-10-24,1.05,1.05,370.34,0.0028352324890641035,keep
ABU QIR FERTILIZERS EGYPT (EGYPT),2018-10-23,1.1,1.1,609.6,0.0018044619422572178,keep
ABU QIR FERTILIZERS EGYPT (EGYPT),2019-10-22,1.3,1.3,441.6,0.002943840579710145,keep
ABU QIR FERTILIZERS EGYPT (EGYPT),2020-10-20,1.2,1.2,359.6,0.003337041156840934,keep
ABU QIR FERTILIZERS EGYPT (EGYPT),2021-10-18,1.3,1.3,416.6,0.0031204992798847817,keep
ABU QIR FERTILIZERS EGYPT (EGYPT),2022-05-10,1.0,1.0,562.0,0.0017793594306049821,keep
ABU QIR FERTILIZERS EGYPT (EGYPT),2022-10-18,0.003,0.003,525.8,5.705591479650057e-06,keep
ABU QIR FERTILIZERS EGYPT (EGYPT),2023-10-24,7.0,7.0,1842.2,0.003799804581478667,keep
ABU QIR FERTILIZERS EGYPT (EGYPT),2024-10-22,0.0075,0.0075,1266.0,5.924170616113744e-06,keep
ABU QIR FERTILIZERS EGYPT (EGYPT),2025-10-22,0.006,0.006,1073.4,5.589714924538848e-06,keep
ALEXANDRIA MINERAL OILS EGYPT (EGYPT),2016-10-18,0.0055,0.0055,36.12,0.0001522702104097453,keep
ALEXANDRIA MINERAL OILS EGYPT (EGYPT),2017-10-18,0.85,0.85,124.3,0.006838294448913918,keep
ALEXANDRIA MINERAL OILS EGYPT (EGYPT),2018-01-10,0.85,0.85,87.10000000000001,0.00975889781859931,keep
ALEXANDRIA MINERAL OILS EGYPT (EGYPT),2018-10-03,0.85,0.85,105.0,0.008095238095238095,keep
ALEXANDRIA MINERAL OILS EGYPT (EGYPT),2019-02-06,0.00085,0.00085,60.1,1.4143094841930115e-05,keep
ALEXANDRIA MINERAL OILS EGYPT (EGYPT),2019-10-24,0.35,0.35,40.4,0.008663366336633662,keep
