header,status,canonical,events,output
ABSA (SOUTH AFRICA),imported,ABSA (SOUTH AFRICA),18,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/ABSA.csv
ABSA BANK KENYA (KENYA),imported,ABSA BANK KENYA (KENYA),17,/Users/derrythornalley/AM100_DATA/data/dividends/kenya/ABSA BANK KENYA.csv
ABU DHABI ISLAMIC BANK EGYPT (EGYPT),imported,ABU DHABI ISLAMIC BANK EGYPT (EGYPT),1,/Users/derrythornalley/AM100_DATA/data/dividends/egypt/ABU DHABI ISLAMIC BANK EGYPT.csv
ABU QIR FERTILIZERS EGYPT (EGYPT),imported,ABU QIR FERTILIZERS EGYPT (EGYPT),10,/Users/derrythornalley/AM100_DATA/data/dividends/egypt/ABU QIR FERTILIZERS EGYPT.csv
AFRICAN RAINBOW MINERALS (SOUTH AFRICA),imported,AFRICAN RAINBOW MINERALS (SOUTH AFRICA),19,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/AFRICAN RAINBOW MINERALS.csv
AIICO INSURANCE NIGERIA (NIGERIA),imported,AIICO INSURANCE NIGERIA (NIGERIA),8,/Users/derrythornalley/AM100_DATA/data/dividends/nigeria/AIICO INSURANCE NIGERIA.csv
ALEXANDRIA MINERAL OILS EGYPT (EGYPT),imported,ALEXANDRIA MINERAL OILS EGYPT (EGYPT),15,/Users/derrythornalley/AM100_DATA/data/dividends/egypt/ALEXANDRIA MINERAL OILS EGYPT.csv
ANGLO AMERICAN (SOUTH AFRICA),imported,ANGLO AMERICAN (SOUTH AFRICA),20,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/ANGLO AMERICAN.csv
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),imported,ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),10,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/ANGLOGOLD ASHANTI ADR.csv
ARADEL HOLDINGS NIGERIA (NIGERIA),imported,ARADEL HOLDINGS NIGERIA (NIGERIA),11,/Users/derrythornalley/AM100_DATA/data/dividends/nigeria/ARADEL HOLDINGS NIGERIA.csv
ASPEN PHARMACARE HOLDINGS (SOUTH AFRICA),imported,ASPEN PHARMACARE HOLDINGS (SOUTH AFRICA),8,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/ASPEN PHARMACARE HOLDINGS.csv
ATTIJARIWAFA BANK MOROCCO (MOROCCO),imported,ATTIJARIWAFA BANK MOROCCO (MOROCCO),11,/Users/derrythornalley/AM100_DATA/data/dividends/morocco/ATTIJARIWAFA BANK MOROCCO.csv
AVI (SOUTH AFRICA),imported,AVI (SOUTH AFRICA),19,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/AVI.csv
AXA MANSARD NIGERIA (NIGERIA),imported,AXA MANSARD NIGERIA (NIGERIA),10,/Users/derrythornalley/AM100_DATA/data/dividends/nigeria/AXA MANSARD NIGERIA.csv
BANK OF AFRICA NIGER (NIGER),imported,BANK OF AFRICA NIGER (NIGER),10,/Users/derrythornalley/AM100_DATA/data/dividends/niger/BANK OF AFRICA NIGER.csv
BANK OF AFRICA SENEGAL (SENEGAL),imported,BANK OF AFRICA SENEGAL (SENEGAL),9,/Users/derrythornalley/AM100_DATA/data/dividends/senegal/BANK OF AFRICA SENEGAL.csv
BANK OF KIGALI RWANDA (RWANDA),imported,BANK OF KIGALI RWANDA (RWANDA),10,/Users/derrythornalley/AM100_DATA/data/dividends/rwanda/BANK OF KIGALI RWANDA.csv
BELTONE HOLDING EGYPT (EGYPT),imported,BELTONE HOLDING EGYPT (EGYPT),0,/Users/derrythornalley/AM100_DATA/data/dividends/egypt/BELTONE HOLDING EGYPT.csv
BHP (SOUTH AFRICA),imported,BHP (SOUTH AFRICA),9,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/BHP.csv
BID CORP (SOUTH AFRICA),imported,BID CORPORATION (SOUTH AFRICA),18,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/BID CORPORATION.csv
BIDVEST (SOUTH AFRICA),imported,BIDVEST (SOUTH AFRICA),21,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/BIDVEST.csv
BLUE LABEL TELECOMS (SOUTH AFRICA),imported,BLUE LABEL TELECOMS (SOUTH AFRICA),3,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/BLUE LABEL TELECOMS.csv
BRITISH AMERICAN TOBACCO (SOUTH AFRICA),imported,BRITISH AMERICAN TOBACCO (SOUTH AFRICA),41,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/BRITISH AMERICAN TOBACCO.csv
BUA CEMENT NIGERIA (NIGERIA),imported,BUA CEMENT NIGERIA (NIGERIA),7,/Users/derrythornalley/AM100_DATA/data/dividends/nigeria/BUA CEMENT NIGERIA.csv
BUA FOODS NIGERIA (NIGERIA),imported,BUA FOODS NIGERIA (NIGERIA),4,/Users/derrythornalley/AM100_DATA/data/dividends/nigeria/BUA FOODS NIGERIA.csv
CADBURY NIGERIA (NIGERIA),imported,CADBURY NIGERIA (NIGERIA),7,/Users/derrythornalley/AM100_DATA/data/dividends/nigeria/CADBURY NIGERIA.csv
CAP PLC NIGERIA (NIGERIA),imported,CAP PLC NIGERIA (NIGERIA),10,/Users/derrythornalley/AM100_DATA/data/dividends/nigeria/CAP PLC NIGERIA.csv
CAPITEC BANK (SOUTH AFRICA),imported,CAPITEC BANK (SOUTH AFRICA),18,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/CAPITEC BANK.csv
CLICKS (SOUTH AFRICA),imported,CLICKS (SOUTH AFRICA),20,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/CLICKS.csv
CO-OPERATIVE BANK KENYA (KENYA),imported,CO-OPERATIVE BANK KENYA (KENYA),10,/Users/derrythornalley/AM100_DATA/data/dividends/kenya/CO-OPERATIVE BANK KENYA.csv
COMMERCIAL INTERNATIONAL BANK EGYPT (EGYPT),imported,COMMERCIAL INTERNATIONAL BANK EGYPT (EGYPT),9,/Users/derrythornalley/AM100_DATA/data/dividends/egypt/COMMERCIAL INTERNATIONAL BANK EGYPT.csv
CORONATION (NAMIBIA),imported,CORONATION (NAMIBIA),10,/Users/derrythornalley/AM100_DATA/data/dividends/namibia/CORONATION.csv
CUSTODIAN INVESTMENT NIGERIA (NIGERIA),imported,CUSTODIAN INVESTMENT NIGERIA (NIGERIA),20,/Users/derrythornalley/AM100_DATA/data/dividends/nigeria/CUSTODIAN INVESTMENT NIGERIA.csv
