Country,Companies,AvgADV_USD_30D,MedianADV_USD_30D,AvgTradingDays90d,MedianTradingDays90d,SelectedCount,Inclusion Status
ZIMBABWE,13,249933.52742834334,276421.1404694763,74.77777777777777,85.0,0,Excluded
SENEGAL,3,231590.93280831116,34206.08246010963,87.0,87.0,0,Excluded
MAURITIUS,10,138824.0487481305,37303.70949701523,79.0,82.0,0,Excluded
UGANDA,7,137211.6514628927,137211.6514628927,69.75,68.5,0,Excluded
GHANA,20,124355.93387006335,4456.379549312858,64.0,80.0,0,Excluded
TANZANIA,20,111237.52309689485,15650.203534436761,80.92857142857143,82.0,0,Excluded
MALAWI,10,51333.80492473847,50726.48280305504,79.7,84.5,0,Excluded
ZAMBIA,18,26914.600578770616,15620.922219887265,69.6923076923077,85.0,0,Excluded
NIGER,1,13637.403766950722,13637.403766950722,87.0,87.0,0,Excluded
TOGO,1,7114.981668904588,7114.981668904588,87.0,87.0,0,Excluded
RWANDA,5,,,35.0,35.0,0,Excluded
TUNISIA,10,,,73.8,74.0,0,Excluded
SOUTH AFRICA,71,31761252.5685512,14677702.310171489,84.23333333333333,85.0,57,Included
EGYPT,30,1468925.27304025,1031024.399505706,85.96428571428571,86.0,14,Included
MOROCCO,13,2170554.632575176,1181512.7319415403,85.0,85.0,7,Included
NIGERIA,45,236164.33630639315,98391.18686639219,85.82222222222222,86.0,3,Included
KENYA,36,206439.1046506597,30297.029185969266,80.10344827586206,83.0,3,Included
NAMIBIA,6,1378693.9074178396,1378693.9074178396,45.4,31.0,1,Included
