Country,LatestADV30USD,LatestCapacity20USD
SOUTH AFRICA,29100685447.32862,5820137089.465724
NIGERIA,28749445271.34047,5749889054.268094
EGYPT,9873217562.46434,1974643512.492868
TANZANIA,2663176447.3333335,532635289.4666667
SENEGAL,1284332526.2083335,256866505.24166673
KENYA,891641922.6428334,178328384.5285667
MALAWI,316775373.95900005,63355074.79180001
NIGER,304684371.6666667,60936874.33333334
MOROCCO,225759364.92200005,45151872.98440001
UGANDA,191123648.22366664,38224729.64473333
ZIMBABWE,44524050.5536293,8904810.11072586
NAMIBIA,42969557.626666665,8593911.525333334
RWANDA,34188160.0,6837632.0
TOGO,32928975.333333332,6585795.066666666
MAURITIUS,29415776.104500007,5883155.220900002
TUNISIA,5722054.844555,1144410.968911
GHANA,4459970.042666666,891994.0085333333
ZAMBIA,1317469.52,263493.90400000004
