Company,Country,Issue
ABU DHABI ISLAMIC BANK EGYPT (EGYPT),EGYPT,max_value_above_100m
ABU QIR FERTILIZERS EGYPT (EGYPT),EGYPT,median_value_above_50m
ABU QIR FERTILIZERS EGYPT (EGYPT),EGYPT,max_value_above_100m
ALEXANDRIA MINERAL OILS EGYPT (EGYPT),EGYPT,median_value_above_50m
ALEXANDRIA MINERAL OILS EGYPT (EGYPT),EGYPT,max_value_above_100m
BELTONE HOLDING EGYPT (EGYPT),EGYPT,max_value_above_100m
COMMERCIAL INTERNATIONAL BANK EGYPT (EGYPT),EGYPT,median_value_above_50m
COMMERCIAL INTERNATIONAL BANK EGYPT (EGYPT),EGYPT,max_value_above_100m
EFG HOLDING EGYPT (EGYPT),EGYPT,max_value_above_100m
EASTERN TOBACCO EGYPT (EGYPT),EGYPT,median_value_above_50m
EASTERN TOBACCO EGYPT (EGYPT),EGYPT,max_value_above_100m
EGYPT ALUMINIUM (EGYPT),EGYPT,max_value_above_100m
EMAAR MISR EGYPT (EGYPT),EGYPT,max_value_above_100m
FAWRY EGYPT (EGYPT),EGYPT,median_value_above_50m
FAWRY EGYPT (EGYPT),EGYPT,max_value_above_100m
GB AUTO EGYPT (EGYPT),EGYPT,max_value_above_100m
ORASCOM INVESTMENT HOLDING EGYPT (EGYPT),EGYPT,max_value_above_100m
PALM HILLS DEVELOPMANT COMPANY EGYPT (EGYPT),EGYPT,max_value_above_100m
RAYA HOLDING EGYPT (EGYPT),EGYPT,max_value_above_100m
SIDI KERIR PETROCHEMICALS EGYPT (EGYPT),EGYPT,max_value_above_100m
TALAAT MOUSTAFA GROUP EGYPT (EGYPT),EGYPT,max_value_above_100m
TELECOM EGYPT (EGYPT),EGYPT,max_value_above_100m
ABSA BANK KENYA (KENYA),KENYA,max_value_above_100m
CO-OPERATIVE BANK KENYA (KENYA),KENYA,max_value_above_100m
EAST AFRICAN BREWERIES KENYA (KENYA),KENYA,max_value_above_100m
EQUITY GROUP HOLDINGS KENYA (KENYA),KENYA,max_value_above_100m
KCB GROUP KENYA (KENYA),KENYA,max_value_above_100m
SAFARICOM KENYA (KENYA),KENYA,median_value_above_50m
SAFARICOM KENYA (KENYA),KENYA,max_value_above_100m
FDH BANK MALAWI (MALAWI),MALAWI,max_value_above_100m
FMB CAPITAL HOLDINGS MALAWI (MALAWI),MALAWI,max_value_above_100m
NBS BANK MALAWI (MALAWI),MALAWI,max_value_above_100m
NATIONAL BANK OF MALAWI (MALAWI),MALAWI,max_value_above_100m
NICO HOLDINGS MALAWI (MALAWI),MALAWI,max_value_above_100m
STANDARD BANK MALAWI (MALAWI),MALAWI,max_value_above_100m
MCB GROUP LTD MAURITIUS (MAURITIUS),MAURITIUS,max_value_above_100m
ATTIJARIWAFA BANK MOROCCO (MOROCCO),MOROCCO,max_value_above_100m
BANQUE CENTRALE POPULAIRE MOROCCO (MOROCCO),MOROCCO,max_value_above_100m
COSUMAR MOROCCO (MOROCCO),MOROCCO,max_value_above_100m
LAFARGEHOLCIM MAROC MOROCCO (MOROCCO),MOROCCO,max_value_above_100m
MAROC TELECOM MOROCCO (MOROCCO),MOROCCO,max_value_above_100m
MARSA MAROC MOROCCO (MOROCCO),MOROCCO,max_value_above_100m
CORONATION (NAMIBIA),NAMIBIA,max_value_above_100m
MOBILE TELECOMMUNICATIONS (NAMIBIA),NAMIBIA,max_value_above_100m
BANK OF AFRICA NIGER (NIGER),NIGER,max_value_above_100m
AIICO INSURANCE NIGERIA (NIGERIA),NIGERIA,max_value_above_100m
AIRTEL AFRICA NIGERIA (NIGERIA),NIGERIA,max_value_above_100m
ARADEL HOLDINGS NIGERIA (NIGERIA),NIGERIA,median_value_above_50m
ARADEL HOLDINGS NIGERIA (NIGERIA),NIGERIA,max_value_above_100m
BUA CEMENT NIGERIA (NIGERIA),NIGERIA,max_value_above_100m
BUA FOODS NIGERIA (NIGERIA),NIGERIA,max_value_above_100m
CADBURY NIGERIA (NIGERIA),NIGERIA,max_value_above_100m
CUTIX PLC NIGERIA (NIGERIA),NIGERIA,max_value_above_100m
