Company,Country,MedianTradedValueUSD,MeanTradedValueUSD,P75TradedValueUSD,P90TradedValueUSD,P99TradedValueUSD,MaxTradedValueUSD,LatestADV30USD,LatestCapacity20USD,ZeroOrMissingVolumeDays,StaleVolumeDays,ClippedValueDays,OutlierDays,RepeatedVolumeDays,MaxVolume,MedianVolume
ARADEL HOLDINGS NIGERIA (NIGERIA),NIGERIA,876315510.0,1762335873.1685393,1732907255.475,3792758579.5,13442758955.899988,20733584238.85002,4311979454.506667,862395890.9013335,3381,0,2,0,0,43432242.0,1478736.5
MTN NIGERIA (NIGERIA),NIGERIA,260680674.5,600969634.6948154,619564215.5,1390147363.360001,5642433370.124981,8215792274.847533,4142611429.1198354,828522285.8239671,2045,0,9,0,0,181732603.0,1261117.0
ZENITH BANK NIGERIA (NIGERIA),NIGERIA,443062496.4,744965386.0807475,908030612.075,1610266617.4000008,5010939412.649997,6276374859.134998,4104010429.0074997,820802085.8015,1269,0,13,0,0,605542199.0,17269982.5
ABU QIR FERTILIZERS EGYPT (EGYPT),EGYPT,201639064.5,627679208.5144236,793180814.25,1795559263.6800013,5330542829.790004,6911022420.238003,3494176863.9196672,698835372.7839335,1353,0,12,0,1,95235229.67,374226.5
GUARANTY TRUST HOLDING COMPANY NIGERIA (NIGERIA),NIGERIA,477818203.20000005,824951338.3957777,994217231.5500001,1976453830.130001,5455989684.782987,6681735455.651249,3385580424.2834167,677116084.8566834,1273,0,13,0,0,385180674.0,14390265.5
BLUE LABEL TELECOMS (SOUTH AFRICA),SOUTH AFRICA,647331375.0,1223543639.5500782,1543332500.0,2936990000.0,8318888999.999904,10675911249.999983,2322885641.6666665,464577128.3333333,1181,0,13,0,5,36470000.0,1020000.0
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),SOUTH AFRICA,415146450.0,549205523.2286384,674924118.5,1093791100.0,2506556929.9999986,3218287454.999981,2213377958.5766644,442675591.7153329,1181,0,13,0,9,15140000.0,1360000.0
NASPERS (SOUTH AFRICA),SOUTH AFRICA,1898686750.0,2283951868.045031,2670760275.0,3898622050.0,8403809919.999987,10130946484.999937,2073032816.6666667,414606563.3333334,1181,0,13,0,4,162270000.0,4005000.0
GOLD FIELDS (SOUTH AFRICA),SOUTH AFRICA,343321900.0,483657151.9037558,624728975.0,1093174850.0,2293117019.9999995,2876001904.999986,1876537727.879999,375307545.5759998,1181,0,13,0,5,25200000.0,2350000.0
PPC (SOUTH AFRICA),SOUTH AFRICA,885550000.0,1492490216.1502347,1802922500.0,3433225000.0,8854537499.999947,11191919999.999985,1724978666.6666667,344995733.3333334,1181,0,13,0,7,85690000.0,2195000.0
