Date,Index Level
2016-01-04,628.5
2016-01-05,624.26
2016-01-06,617.83
2016-01-07,616.87
2016-01-08,612.47
2016-01-11,600.29
2016-01-12,589.62
2016-01-13,577.15
2016-01-14,561.03
2016-01-15,556.29
2016-01-18,551.01
2016-01-19,552.95
2016-01-20,552.78
2016-01-21,554.37
2016-01-22,555.85
2016-01-25,561.76
2016-01-26,559.68
2016-01-27,554.49
2016-01-28,559.15
2016-01-29,563.39
2016-02-01,564.61
2016-02-02,569.82
2016-02-03,570.81
2016-02-04,576.5
2016-02-05,577.72
2016-02-08,580.41
2016-02-09,576.68
2016-02-10,579.33
2016-02-11,577.06
2016-02-12,574.82
2016-02-15,572.79
2016-02-16,576.21
2016-02-17,573.08
2016-02-18,577.45
2016-02-19,581.18
2016-02-22,583.17
2016-02-23,581.94
2016-02-24,576.63
2016-02-25,577.02
2016-02-26,577.64
2016-02-29,579.24
2016-03-01,579.02
2016-03-02,585.16
2016-03-03,590.81
2016-03-04,592.85
2016-03-07,598.07
2016-03-08,599.44
2016-03-09,601.83
2016-03-10,608.81
2016-03-11,609.78
2016-03-14,602.27
2016-03-15,599.21
2016-03-16,600.01
2016-03-17,605.66
2016-03-18,606.87
2016-03-21,611.0
2016-03-22,617.31
2016-03-23,618.8
2016-03-24,620.12
2016-03-25,618.32
2016-03-28,617.77
2016-03-29,612.07
2016-03-30,607.33
2016-03-31,606.59
2016-04-01,607.07
2016-04-04,608.47
2016-04-05,614.42
2016-04-06,614.96
2016-04-07,615.16
2016-04-08,612.99
2016-04-11,607.64
2016-04-12,607.27
2016-04-13,609.51
2016-04-14,611.25
2016-04-15,612.11
2016-04-18,614.97
2016-04-19,621.63
2016-04-20,624.08
2016-04-21,625.96
2016-04-22,625.18
2016-04-25,623.3
2016-04-26,631.12
2016-04-27,633.43
2016-04-28,635.68
2016-04-29,643.38
2016-05-02,643.1
2016-05-03,645.67
2016-05-04,642.74
2016-05-05,642.88
2016-05-06,644.77
2016-05-09,650.32
2016-05-10,650.4
2016-05-11,648.64
2016-05-12,652.53
2016-05-13,654.22
2016-05-16,656.67
2016-05-17,654.07
2016-05-18,658.84
2016-05-19,660.03
2016-05-20,660.95
2016-05-23,655.28
2016-05-24,657.45
2016-05-25,667.3
2016-05-26,676.43
2016-05-27,676.67
2016-05-30,673.23
2016-05-31,660.02
2016-06-01,650.22
2016-06-02,653.93
2016-06-03,663.59
2016-06-06,664.66
2016-06-07,665.27
2016-06-08,663.01
2016-06-09,664.64
2016-06-10,664.77
2016-06-13,659.89
2016-06-14,655.95
2016-06-15,660.39
2016-06-16,666.27
2016-06-17,674.66
2016-06-20,610.47
2016-06-21,601.69
2016-06-22,601.8
2016-06-23,609.59
2016-06-24,600.09
2016-06-27,585.01
2016-06-28,584.42
2016-06-29,586.15
2016-06-30,585.19
2016-07-01,583.19
2016-07-04,585.54
2016-07-05,585.91
2016-07-06,584.52
2016-07-07,584.22
2016-07-08,583.34
2016-07-11,592.05
2016-07-12,592.17
2016-07-13,593.61
2016-07-14,596.76
2016-07-15,592.55
2016-07-18,590.13
2016-07-19,588.98
2016-07-20,585.49
2016-07-21,581.78
2016-07-22,577.4
2016-07-25,582.15
2016-07-26,588.42
2016-07-27,594.86
2016-07-28,598.66
2016-07-29,599.33
2016-08-01,595.26
2016-08-02,598.1
2016-08-03,599.05
2016-08-04,600.92
2016-08-05,598.48
2016-08-08,600.41
2016-08-09,595.12
2016-08-10,599.37
2016-08-11,603.81
2016-08-12,603.38
2016-08-15,606.87
2016-08-16,608.05
2016-08-17,607.98
2016-08-18,596.04
2016-08-19,600.04
2016-08-22,602.32
2016-08-23,602.82
2016-08-24,599.24
2016-08-25,602.08
2016-08-26,599.65
2016-08-29,593.23
2016-08-30,592.71
2016-08-31,595.05
2016-09-01,597.01
2016-09-02,596.93
2016-09-05,599.07
2016-09-06,600.28
2016-09-07,601.36
2016-09-08,603.99
2016-09-09,602.75
2016-09-12,603.24
2016-09-13,603.26
2016-09-14,600.64
2016-09-15,596.92
2016-09-16,596.42
2016-09-19,599.28
2016-09-20,602.72
2016-09-21,601.86
2016-09-22,605.03
2016-09-23,604.27
2016-09-26,608.14
2016-09-27,608.39
2016-09-28,607.02
2016-09-29,608.5
2016-09-30,611.39
2016-10-03,618.35
2016-10-04,619.77
2016-10-05,622.72
2016-10-06,621.58
2016-10-07,621.23
2016-10-10,625.04
2016-10-11,623.14
2016-10-12,620.54
2016-10-13,626.04
2016-10-14,626.31
2016-10-17,619.38
2016-10-18,619.45
2016-10-19,616.5
2016-10-20,619.88
2016-10-21,621.19
2016-10-24,619.13
2016-10-25,619.82
2016-10-26,619.45
2016-10-27,621.29
2016-10-28,622.89
2016-10-31,623.28
2016-11-01,625.92
2016-11-02,629.5
2016-11-03,579.62
2016-11-04,564.65
2016-11-07,567.51
2016-11-08,564.3
2016-11-09,563.39
2016-11-10,570.91
2016-11-11,569.82
2016-11-14,573.75
2016-11-15,573.47
2016-11-16,574.71
2016-11-17,575.31
2016-11-18,569.9
2016-11-21,561.06
2016-11-22,560.48
2016-11-23,560.15
2016-11-24,558.96
2016-11-25,556.99
2016-11-28,556.88
2016-11-29,553.44
2016-11-30,557.77
2016-12-01,557.55
2016-12-02,559.69
2016-12-05,559.47
2016-12-06,560.48
2016-12-07,559.9
2016-12-08,555.69
2016-12-09,556.48
2016-12-12,556.96
2016-12-13,557.37
2016-12-14,558.12
2016-12-15,557.0
2016-12-16,560.68
2016-12-19,563.27
2016-12-20,563.01
2016-12-21,562.5
2016-12-22,569.59
2016-12-23,574.46
2016-12-26,570.15
2016-12-27,569.5
2016-12-28,570.66
2016-12-29,573.26
2016-12-30,580.52
2017-01-02,576.6
2017-01-03,574.05
2017-01-04,575.5
2017-01-05,583.95
2017-01-06,588.46
2017-01-09,590.92
2017-01-10,592.42
2017-01-11,589.52
2017-01-12,590.07
2017-01-13,588.22
2017-01-16,586.04
2017-01-17,584.73
2017-01-18,584.93
2017-01-19,585.98
2017-01-20,590.95
2017-01-23,592.18
2017-01-24,590.03
2017-01-25,590.05
2017-01-26,587.93
2017-01-27,589.66
2017-01-30,582.97
2017-01-31,582.31
2017-02-01,578.9
2017-02-02,582.07
2017-02-03,583.66
2017-02-06,581.77
2017-02-07,581.2
2017-02-08,585.45
2017-02-09,586.21
2017-02-10,583.68
2017-02-13,586.58
2017-02-14,583.18
2017-02-15,583.88
2017-02-16,589.43
2017-02-17,588.37
2017-02-20,588.33
2017-02-21,589.71
2017-02-22,583.11
2017-02-23,580.85
2017-02-24,579.5
2017-02-27,579.57
2017-02-28,578.21
2017-03-01,571.02
2017-03-02,574.77
2017-03-03,577.96
2017-03-06,576.71
2017-03-07,572.99
2017-03-08,572.03
2017-03-09,572.74
2017-03-10,576.43
2017-03-13,580.48
2017-03-14,581.46
2017-03-15,578.86
2017-03-16,584.1
2017-03-17,586.72
2017-03-20,587.87
2017-03-21,583.51
2017-03-22,586.39
2017-03-23,584.43
2017-03-24,581.37
2017-03-27,581.22
2017-03-28,581.83
2017-03-29,580.98
2017-03-30,579.35
2017-03-31,577.67
2017-04-03,575.89
2017-04-04,579.23
2017-04-05,581.74
2017-04-06,579.81
2017-04-07,580.44
2017-04-10,576.92
2017-04-11,577.56
2017-04-12,579.19
2017-04-13,578.86
2017-04-14,578.37
2017-04-17,579.54
2017-04-18,579.05
2017-04-19,579.74
2017-04-20,580.51
2017-04-21,577.98
2017-04-24,582.85
2017-04-25,584.03
2017-04-26,585.39
2017-04-27,586.79
2017-04-28,589.54
2017-05-01,588.95
2017-05-02,596.38
2017-05-03,593.27
2017-05-04,595.41
2017-05-05,596.16
2017-05-08,600.28
2017-05-09,602.53
2017-05-10,607.79
2017-05-11,614.54
2017-05-12,618.38
2017-05-15,612.74
2017-05-16,611.06
2017-05-17,616.2
2017-05-18,619.0
2017-05-19,620.64
2017-05-22,619.86
2017-05-23,621.25
