HistorySet,Original,AfterCleanAlias,NormalizedMatches
AM100,ABSA BANK KENYA (KENYA),ABSA BANK KENYA KENYA (KENYA),
AM200,ABSA BANK KENYA (KENYA),ABSA BANK KENYA KENYA (KENYA),
AM300,ABSA BANK KENYA (KENYA),ABSA BANK KENYA KENYA (KENYA),
AM100,ABU DHABI ISLAMIC BANK EGYPT (EGYPT),ABU DHABI ISLAMIC BANK EGYPT EGYPT (EGYPT),
AM200,ABU DHABI ISLAMIC BANK EGYPT (EGYPT),ABU DHABI ISLAMIC BANK EGYPT EGYPT (EGYPT),
AM300,ABU DHABI ISLAMIC BANK EGYPT (EGYPT),ABU DHABI ISLAMIC BANK EGYPT EGYPT (EGYPT),
AM100,ABU QIR FERTILIZERS EGYPT (EGYPT),ABU QIR FERTILIZERS EGYPT EGYPT (EGYPT),
AM200,ABU QIR FERTILIZERS EGYPT (EGYPT),ABU QIR FERTILIZERS EGYPT EGYPT (EGYPT),
AM300,ABU QIR FERTILIZERS EGYPT (EGYPT),ABU QIR FERTILIZERS EGYPT EGYPT (EGYPT),
AM100,AFRICAN RAINBOW MINERALS (SOUTH AFRICA),AFRICAN RAINBOW MINERALS SOUTH AFRICA (SOUTH AFRICA),
AM300,AFRICAN RAINBOW MINERALS (SOUTH AFRICA),AFRICAN RAINBOW MINERALS SOUTH AFRICA (SOUTH AFRICA),
AM100,AFRIPRISE INVESTMENT (TANZANIA) (TANZANIA),AFRIPRISE INVESTMENT TANZANIA,
AM200,AFRIPRISE INVESTMENT (TANZANIA) (TANZANIA),AFRIPRISE INVESTMENT TANZANIA,
AM300,AFRIPRISE INVESTMENT (TANZANIA) (TANZANIA),AFRIPRISE INVESTMENT TANZANIA,
AM100,AIICO INSURANCE NIGERIA (NIGERIA),AIICO INSURANCE NIGERIA NIGERIA (NIGERIA),
AM200,AIICO INSURANCE NIGERIA (NIGERIA),AIICO INSURANCE NIGERIA NIGERIA (NIGERIA),
AM300,AIICO INSURANCE NIGERIA (NIGERIA),AIICO INSURANCE NIGERIA NIGERIA (NIGERIA),
AM100,AIRTEL AFRICA NIGERIA (NIGERIA),AIRTEL AFRICA NIGERIA NIGERIA (NIGERIA),
AM200,AIRTEL AFRICA NIGERIA (NIGERIA),AIRTEL AFRICA NIGERIA NIGERIA (NIGERIA),
AM300,AIRTEL AFRICA NIGERIA (NIGERIA),AIRTEL AFRICA NIGERIA NIGERIA (NIGERIA),
AM100,AIRTEL MALAWI (MALAWI),AIRTEL MALAWI MALAWI (MALAWI),
AM200,AIRTEL MALAWI (MALAWI),AIRTEL MALAWI MALAWI (MALAWI),
AM300,AIRTEL MALAWI (MALAWI),AIRTEL MALAWI MALAWI (MALAWI),
AM200,AIRTEL UGANDA (UGANDA),AIRTEL UGANDA UGANDA (UGANDA),
AM300,AIRTEL UGANDA (UGANDA),AIRTEL UGANDA UGANDA (UGANDA),
AM100,ALEXANDRIA CONTAINERS AND GOODS (EGYPT),ALEXANDRIA CONTAINERS AND GOODS EGYPT (EGYPT),
AM200,ALEXANDRIA CONTAINERS AND GOODS (EGYPT),ALEXANDRIA CONTAINERS AND GOODS EGYPT (EGYPT),
AM300,ALEXANDRIA CONTAINERS AND GOODS (EGYPT),ALEXANDRIA CONTAINERS AND GOODS EGYPT (EGYPT),
AM100,ALEXANDRIA MINERAL OILS EGYPT (EGYPT),ALEXANDRIA MINERAL OILS EGYPT EGYPT (EGYPT),
AM200,ALEXANDRIA MINERAL OILS EGYPT (EGYPT),ALEXANDRIA MINERAL OILS EGYPT EGYPT (EGYPT),
AM300,ALEXANDRIA MINERAL OILS EGYPT (EGYPT),ALEXANDRIA MINERAL OILS EGYPT EGYPT (EGYPT),
AM200,AMEN BANK TUNISIA (TUNISIA),AMEN BANK TUNISIA TUNISIA (TUNISIA),
AM300,AMEN BANK TUNISIA (TUNISIA),AMEN BANK TUNISIA TUNISIA (TUNISIA),
AM100,ARABIAN CEMENT COMPANY (EGYPT),ARABIAN CEMENT COMPANY EGYPT (EGYPT),
AM200,ARABIAN CEMENT COMPANY (EGYPT),ARABIAN CEMENT COMPANY EGYPT (EGYPT),
AM300,ARABIAN CEMENT COMPANY (EGYPT),ARABIAN CEMENT COMPANY EGYPT (EGYPT),
AM100,ARADEL HOLDINGS NIGERIA (NIGERIA),ARADEL HOLDINGS NIGERIA NIGERIA (NIGERIA),
AM300,ARADEL HOLDINGS NIGERIA (NIGERIA),ARADEL HOLDINGS NIGERIA NIGERIA (NIGERIA),
AM200,ASCENCIA MAURITIUS (MAURITIUS),ASCENCIA MAURITIUS MAURITIUS (MAURITIUS),
AM300,ASCENCIA MAURITIUS (MAURITIUS),ASCENCIA MAURITIUS MAURITIUS (MAURITIUS),
AM100,ASPEN PHARMACARE HOLDINGS (SOUTH AFRICA),ASPEN PHARMACARE HOLDINGS SOUTH AFRICA (SOUTH AFRICA),
AM300,ASPEN PHARMACARE HOLDINGS (SOUTH AFRICA),ASPEN PHARMACARE HOLDINGS SOUTH AFRICA (SOUTH AFRICA),
AM200,ATLANTASANAD MOROCCO (MOROCCO),ATLANTASANAD MOROCCO MOROCCO (MOROCCO),
AM300,ATLANTASANAD MOROCCO (MOROCCO),ATLANTASANAD MOROCCO MOROCCO (MOROCCO),
AM200,ATTIJARI BANK TUNISIA (TUNISIA),ATTIJARI BANK TUNISIA TUNISIA (TUNISIA),
AM300,ATTIJARI BANK TUNISIA (TUNISIA),ATTIJARI BANK TUNISIA TUNISIA (TUNISIA),
AM100,ATTIJARIWAFA BANK MOROCCO (MOROCCO),ATTIJARIWAFA BANK MOROCCO MOROCCO (MOROCCO),
AM200,ATTIJARIWAFA BANK MOROCCO (MOROCCO),ATTIJARIWAFA BANK MOROCCO MOROCCO (MOROCCO),
AM300,ATTIJARIWAFA BANK MOROCCO (MOROCCO),ATTIJARIWAFA BANK MOROCCO MOROCCO (MOROCCO),
AM100,AVI (SOUTH AFRICA),AVI SOUTH AFRICA (SOUTH AFRICA),
AM200,AVI (SOUTH AFRICA),AVI SOUTH AFRICA (SOUTH AFRICA),
AM300,AVI (SOUTH AFRICA),AVI SOUTH AFRICA (SOUTH AFRICA),
AM200,AXA MANSARD NIGERIA (NIGERIA),AXA MANSARD NIGERIA NIGERIA (NIGERIA),
AM300,AXA MANSARD NIGERIA (NIGERIA),AXA MANSARD NIGERIA NIGERIA (NIGERIA),
AM100,BAMBURI CEMENT PLC (KENYA),BAMBURI CEMENT PLC KENYA (KENYA),
AM200,BAMBURI CEMENT PLC (KENYA),BAMBURI CEMENT PLC KENYA (KENYA),
AM300,BAMBURI CEMENT PLC (KENYA),BAMBURI CEMENT PLC KENYA (KENYA),
AM100,BANK OF AFRICA MOROCCO (MOROCCO),BANK OF AFRICA MOROCCO MOROCCO (MOROCCO),
AM200,BANK OF AFRICA MOROCCO (MOROCCO),BANK OF AFRICA MOROCCO MOROCCO (MOROCCO),
AM300,BANK OF AFRICA MOROCCO (MOROCCO),BANK OF AFRICA MOROCCO MOROCCO (MOROCCO),
AM100,BANK OF AFRICA NIGER (NIGER),BANK OF AFRICA NIGER NIGER (NIGER),
AM200,BANK OF AFRICA NIGER (NIGER),BANK OF AFRICA NIGER NIGER (NIGER),
AM300,BANK OF AFRICA NIGER (NIGER),BANK OF AFRICA NIGER NIGER (NIGER),
AM100,BANK OF AFRICA SENEGAL (SENEGAL),BANK OF AFRICA SENEGAL SENEGAL (SENEGAL),
AM200,BANK OF AFRICA SENEGAL (SENEGAL),BANK OF AFRICA SENEGAL SENEGAL (SENEGAL),
