Date,OriginalPrice,SanitizedPrice,Action,ReturnIn,ReturnOut,Company
2025-06-10,23.95,47.9,scaled_forward_regime_by_2,-0.4720017636684304,0.0041753653444676075,ABU DHABI ISLAMIC BANK EGYPT (EGYPT)
2017-08-07,152.23,304.46,scaled_forward_regime_by_2,-0.3655497207635242,0.03882283386980223,ABU QIR FERTILIZERS EGYPT (EGYPT)
2017-11-09,40.8,408.0,scaled_forward_regime_by_10,-0.8966093963813289,-0.03774509803921566,ABU QIR FERTILIZERS EGYPT (EGYPT)
2023-06-04,2.76,5.52,scaled_price_point,-0.5009041591320074,0.43840579710144945,BELTONE HOLDING EGYPT (EGYPT)
2017-01-12,155.0,310.0,scaled_forward_regime_by_2,-0.4820038097784314,-0.004774193548387151,EASTERN TOBACCO EGYPT (EGYPT)
2018-08-16,204.36,408.72,scaled_forward_regime_by_2,-0.3529635258358662,-0.0013701311411234984,EASTERN TOBACCO EGYPT (EGYPT)
2018-09-27,75.76,378.8,scaled_forward_regime_by_5,-0.7900454495067065,-0.03431890179514263,EASTERN TOBACCO EGYPT (EGYPT)
2018-01-11,67.82,135.64,scaled_forward_regime_by_2,-0.48753211425117127,-0.019168386906517232,EGYPT ALUMINIUM (EGYPT)
2021-04-18,21.28,42.56,scaled_forward_regime_by_2,-0.44984488107549114,-0.009398496240601628,FAWRY EGYPT (EGYPT)
2022-04-05,10.88,21.76,scaled_forward_regime_by_2,-0.43509865005192105,-0.011029411764705954,FAWRY EGYPT (EGYPT)
2021-02-17,0.26,0.52,scaled_forward_regime_by_2,-0.6,0.03846153846153855,ORASCOM INVESTMENT HOLDING EGYPT (EGYPT)
2019-02-14,5.28,10.56,scaled_forward_regime_by_2,-0.4204171240395169,0.009469696969697017,RAYA HOLDING EGYPT (EGYPT)
2024-07-01,42.0,84.0,scaled_forward_regime_by_2,-0.49397590361445787,-0.04761904761904767,RAYA HOLDING EGYPT (EGYPT)
2025-06-04,0.5,1.0,scaled_forward_regime_by_2,-0.5,0.0,SIC INSURANCE (GHANA)
2025-06-10,2.08,1.04,scaled_forward_regime_by_0.5,1.08,0.0,SIC INSURANCE (GHANA)
2022-06-24,15.25,113.80905060670702,isolated_spike_smoothed,-0.8704883227176221,6.213114754098361,EAST AFRICAN BREWERIES KENYA (KENYA)
2019-05-13,70.5,141.0,scaled_forward_regime_by_2,-0.4063157894736842,-0.099290780141844,I&M GROUP KENYA (KENYA)
2021-05-11,49.7,99.4,scaled_forward_regime_by_2,-0.41666666666666663,-0.012072434607645954,I&M GROUP KENYA (KENYA)
2024-08-21,137.0,68.5,scaled_forward_regime_by_0.5,0.6626213592233008,-0.09927007299270074,I&M GROUP KENYA (KENYA)
